fraud_type,state,financial_year,persons_estimate_000,victimisation_rate_pct
Total personal fraud or online impersonation,Australian Capital Territory,2023-24,62.5,16.8
Total personal fraud or online impersonation,Australian Capital Territory,2024-25,64.5,16.9
Total personal fraud or online impersonation,Australia,2014-15,na,na
Total personal fraud or online impersonation,Australia,2020-21,na,na
Total personal fraud or online impersonation,Australia,2021-22,2588.8,12.7
Total personal fraud or online impersonation,Australia,2022-23,2619.3,12.6
Total personal fraud or online impersonation,Australia,2023-24,3106.3,14.4
Total personal fraud or online impersonation,Australia,2024-25,3210.6,14.6
Card fraud,New South Wales,2014-15,364.5,6
Card fraud,New South Wales,2020-21,446.9,6.9
Card fraud,New South Wales,2021-22,480.1,7.5
Card fraud,New South Wales,2022-23,577.3,8.8
Card fraud,New South Wales,2023-24,681.4,10
Card fraud,New South Wales,2024-25,698.4,10.1
Card fraud,Victoria,2014-15,301.8,6.4
Card fraud,Victoria,2020-21,379,7.1
Card fraud,Victoria,2021-22,450,8.6
Card fraud,Victoria,2022-23,486.5,9
Card fraud,Victoria,2023-24,520,9.3
Card fraud,Victoria,2024-25,603.4,10.6
Card fraud,Queensland,2014-15,187.6,5
Card fraud,Queensland,2020-21,286.2,7
Card fraud,Queensland,2021-22,363.1,8.8
Card fraud,Queensland,2022-23,384.8,9.1
Card fraud,Queensland,2023-24,447.7,10.2
Card fraud,Queensland,2024-25,471.3,10.6
Card fraud,South Australia,2014-15,66,4.8
Card fraud,South Australia,2020-21,101.4,7.1
Card fraud,South Australia,2021-22,108.8,7.5
Card fraud,South Australia,2022-23,110.9,7.5
Card fraud,South Australia,2023-24,132.6,8.7
Card fraud,South Australia,2024-25,121.9,8
Card fraud,Western Australia,2014-15,128.8,6.4
Card fraud,Western Australia,2020-21,139.9,6.7
Card fraud,Western Australia,2021-22,172.8,8
Card fraud,Western Australia,2022-23,161,7.3
Card fraud,Western Australia,2023-24,258.4,11.1
Card fraud,Western Australia,2024-25,287.8,12.2
Card fraud,Tasmania,2014-15,18.1,4.4
Card fraud,Tasmania,2020-21,30.2,6.9
Card fraud,Tasmania,2021-22,32.4,7
Card fraud,Tasmania,2022-23,35.2,7.5
Card fraud,Tasmania,2023-24,48.9,10.4
Card fraud,Tasmania,2024-25,40.9,8.7
Card fraud,Northern Territory,2014-15,7.8,5.5
Card fraud,Northern Territory,2020-21,9.2,6.3
Card fraud,Northern Territory,2021-22,10.3,7
Card fraud,Northern Territory,2022-23,13.4,9
Card fraud,Northern Territory,2023-24,19.8,10.5
Card fraud,Northern Territory,2024-25,17.6,11
Card fraud,Australian Capital Territory,2014-15,22.2,7.4
Card fraud,Australian Capital Territory,2020-21,22.6,6.8
Card fraud,Australian Capital Territory,2021-22,30.6,8.7
Card fraud,Australian Capital Territory,2022-23,37.9,10.6
Card fraud,Australian Capital Territory,2023-24,42.4,11.4
Card fraud,Australian Capital Territory,2024-25,44.6,11.7
Card fraud,Australia,2014-15,1101.1,5.9
Card fraud,Australia,2020-21,1406.9,6.9
Card fraud,Australia,2021-22,1653.4,8.1
Card fraud,Australia,2022-23,1807.2,8.7
Card fraud,Australia,2023-24,2148.8,9.9
Card fraud,Australia,2024-25,2280.3,10.4
Scams,New South Wales,2014-15,123.9,2.1
Scams,New South Wales,2020-21,248.9,3.8
Scams,New South Wales,2021-22,211.7,3.3
Scams,New South Wales,2022-23,168.1,2.6
Scams,New South Wales,2023-24,210.9,3.1
Scams,New South Wales,2024-25,183.3,2.7
Scams,Victoria,2014-15,146.8,3.1
Scams,Victoria,2020-21,209.6,3.9
Scams,Victoria,2021-22,128.7,2.4
Scams,Victoria,2022-23,135.9,2.5
Scams,Victoria,2023-24,196.1,3.5
Scams,Victoria,2024-25,144,2.5
Scams,Queensland,2014-15,76,2
Scams,Queensland,2020-21,116,2.9
Scams,Queensland,2021-22,75.4,1.8
Scams,Queensland,2022-23,98.9,2.3
Scams,Queensland,2023-24,124.7,2.8
Scams,Queensland,2024-25,137.9,3.1
Scams,South Australia,2014-15,27.9,2.1
Scams,South Australia,2020-21,45.8,3.2
Scams,South Australia,2021-22,36.9,2.5
Scams,South Australia,2022-23,36.3,2.5
Scams,South Australia,2023-24,33,2.2
Scams,South Australia,2024-25,39.1,2.6
Scams,Western Australia,2014-15,59.4,2.9
Scams,Western Australia,2020-21,74.9,3.6
Scams,Western Australia,2021-22,70,3.2
Scams,Western Australia,2022-23,51.9,2.3
Scams,Western Australia,2023-24,70.9,3.1
Scams,Western Australia,2024-25,68.4,2.9
Scams,Tasmania,2014-15,12.2,2.9
Scams,Tasmania,2020-21,16.3,3.7
Scams,Tasmania,2021-22,15.5,3.3
Scams,Tasmania,2022-23,9.4,2
Scams,Tasmania,2023-24,18.7,4
Scams,Tasmania,2024-25,12,2.6
Scams,Northern Territory,2014-15,3.4,2.3
Scams,Northern Territory,2020-21,3.2,2.2
Scams,Northern Territory,2021-22,3.8,2.6
Scams,Northern Territory,2022-23,4.2,2.8
Scams,Northern Territory,2023-24,5.3,2.8
Scams,Northern Territory,2024-25,4.2,2.6
Scams,Australian Capital Territory,2014-15,4.7,1.6
Scams,Australian Capital Territory,2020-21,8.8,2.7
Scams,Australian Capital Territory,2021-22,9.4,2.7
Scams,Australian Capital Territory,2022-23,9.1,2.5
Scams,Australian Capital Territory,2023-24,12.4,3.3
Scams,Australian Capital Territory,2024-25,9.3,2.4
Scams,Australia,2014-15,449.1,2.4
Scams,Australia,2020-21,723.1,3.6
Scams,Australia,2021-22,552,2.7
Scams,Australia,2022-23,514.3,2.5
Scams,Australia,2023-24,675.3,3.1
Scams,Australia,2024-25,596.6,2.7
Identity theft,New South Wales,2014-15,43.1,0.7
Identity theft,New South Wales,2020-21,55.1,0.8
Identity theft,New South Wales,2021-22,53.3,0.8
Identity theft,New South Wales,2022-23,58.8,0.9
Identity theft,New South Wales,2023-24,83.8,1.2
Identity theft,New South Wales,2024-25,72.1,1
Identity theft,Victoria,2014-15,36.3,0.8
Identity theft,Victoria,2020-21,37.9,0.7
Identity theft,Victoria,2021-22,44.3,0.8
Identity theft,Victoria,2022-23,63.8,1.2
Identity theft,Victoria,2023-24,57.7,1
Identity theft,Victoria,2024-25,56.3,1
Identity theft,Queensland,2014-15,22.2,0.6
Identity theft,Queensland,2020-21,26.5,0.7
Identity theft,Queensland,2021-22,21,0.5
Identity theft,Queensland,2022-23,39.4,0.9
Identity theft,Queensland,2023-24,61.5,1.4
Identity theft,Queensland,2024-25,39.8,0.9
Identity theft,South Australia,2014-15,8.7,0.6
Identity theft,South Australia,2020-21,9.6,0.7
Identity theft,South Australia,2021-22,14.4,1
Identity theft,South Australia,2022-23,14.5,1
Identity theft,South Australia,2023-24,12,0.8
Identity theft,South Australia,2024-25,13.4,0.9
Identity theft,Western Australia,2014-15,12.2,0.6
Identity theft,Western Australia,2020-21,15.7,0.8
Identity theft,Western Australia,2021-22,19,0.9
Identity theft,Western Australia,2022-23,19.2,0.9
Identity theft,Western Australia,2023-24,27.1,1.2
Identity theft,Western Australia,2024-25,16,0.7
Identity theft,Tasmania,2014-15,2.9,0.7
Identity theft,Tasmania,2020-21,2.3,0.5
Identity theft,Tasmania,2021-22,3.3,0.7
