Financial Quarter And Year Name - Reported,Postcode - Incident,Offence Level 1 Description,Offence Level 2 Description,Offence Level 3 Description,Offence Count
Q1-2025/2026,5161,OFFENCES AGAINST THE PERSON,ASSAULT,Assault of a police officer,1
Q1-2025/2026,5161,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,13
Q1-2025/2026,5161,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,"Acts that threaten, harass, or control",1
Q1-2025/2026,5161,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,Driving causing serious injury,1
Q1-2025/2026,5161,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,Other acts that harm or endanger persons,1
Q1-2025/2026,5162,OFFENCES AGAINST PROPERTY,FRAUD AND RELATED OFFENCES,Other fraud and related offences,1
Q1-2025/2026,5162,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,16
Q1-2025/2026,5162,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,2
Q1-2025/2026,5162,OFFENCES AGAINST PROPERTY,THEFT,Receive or handle proceeds of crime,1
Q1-2025/2026,5162,OFFENCES AGAINST PROPERTY,THEFT,Theft from a person,2
Q1-2025/2026,5162,OFFENCES AGAINST THE PERSON,ASSAULT,Common Assault,2
Q1-2025/2026,5162,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,42
Q1-2025/2026,5162,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,"Acts that threaten, harass, or control",5
Q1-2025/2026,5163,OFFENCES AGAINST PROPERTY,FRAUD AND RELATED OFFENCES,Other fraud and related offences,1
Q1-2025/2026,5163,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,10
Q1-2025/2026,5163,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,3
Q1-2025/2026,5163,OFFENCES AGAINST PROPERTY,THEFT,Motor vehicle theft and related offences,1
Q1-2025/2026,5163,OFFENCES AGAINST PROPERTY,THEFT,Theft from a person,1
Q1-2025/2026,5163,OFFENCES AGAINST THE PERSON,ASSAULT,Common Assault,3
Q1-2025/2026,5163,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,43
Q1-2025/2026,5163,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,"Acts that threaten, harass, or control",1
Q1-2025/2026,5163,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,Other acts that harm or endanger persons,1
Q1-2025/2026,5164,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,8
Q1-2025/2026,5164,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
Q1-2025/2026,5164,OFFENCES AGAINST PROPERTY,THEFT,Theft from a person,1
Q1-2025/2026,5164,OFFENCES AGAINST THE PERSON,ASSAULT,Common Assault,3
Q1-2025/2026,5164,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,20
Q1-2025/2026,5164,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,"Acts that threaten, harass, or control",1
Q1-2025/2026,5164,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,Other acts that harm or endanger persons,1
Q1-2025/2026,5165,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,6
Q1-2025/2026,5165,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,16
Q1-2025/2026,5165,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,"Acts that threaten, harass, or control",2
Q1-2025/2026,5165,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,Other acts that harm or endanger persons,1
Q1-2025/2026,5166,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,1
Q1-2025/2026,5166,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,3
Q1-2025/2026,5166,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,"Acts that threaten, harass, or control",1
Q1-2025/2026,5167,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,1
Q1-2025/2026,5167,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,1
Q1-2025/2026,5167,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,"Acts that threaten, harass, or control",1
Q1-2025/2026,5168,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,3
Q1-2025/2026,5168,OFFENCES AGAINST THE PERSON,ASSAULT,Common Assault,4
Q1-2025/2026,5168,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,13
