sector,reason,year,value
State Government,Section 20(1)(b)(c)(d) – Documents otherwise available,2012-13,97
Local Government,Section 15 - Application incomplete/wrongly directed,2024-25,3
Local Government,Section 15 - Application incomplete/wrongly directed,2023-24,0
Local Government,Section 15 - Application incomplete/wrongly directed,2022-23,2
Local Government,Section 15 - Application incomplete/wrongly directed,2021-22,2
Local Government,Section 15 - Application incomplete/wrongly directed,2020-21,1
Local Government,Section 15 - Application incomplete/wrongly directed,2019-20,4
Local Government,Section 15 - Application incomplete/wrongly directed,2018-19,1
Local Government,Section 15 - Application incomplete/wrongly directed,2017-18,2
Local Government,Section 15 - Application incomplete/wrongly directed,2016-17,2
Local Government,Section 15 - Application incomplete/wrongly directed,2015-16,0
Local Government,Section 15 - Application incomplete/wrongly directed,2014-15,2
Local Government,Section 15 - Application incomplete/wrongly directed,2013-14,1
Local Government,Section 15 - Application incomplete/wrongly directed,2012-13,1
Local Government,Section 18(1) - Unreasonable diversion of an agency’s resources,2024-25,1
Local Government,Section 18(1) - Unreasonable diversion of an agency’s resources,2023-24,2
Local Government,Section 18(1) - Unreasonable diversion of an agency’s resources,2022-23,7
Local Government,Section 18(1) - Unreasonable diversion of an agency’s resources,2021-22,8
Local Government,Section 18(1) - Unreasonable diversion of an agency’s resources,2020-21,4
Local Government,Section 18(1) - Unreasonable diversion of an agency’s resources,2019-20,2
Local Government,Section 18(1) - Unreasonable diversion of an agency’s resources,2018-19,2
Local Government,Section 18(1) - Unreasonable diversion of an agency’s resources,2017-18,3
Local Government,Section 18(1) - Unreasonable diversion of an agency’s resources,2016-17,10
Local Government,Section 18(1) - Unreasonable diversion of an agency’s resources,2015-16,7
Local Government,Section 18(1) - Unreasonable diversion of an agency’s resources,2014-15,8
Local Government,Section 18(1) - Unreasonable diversion of an agency’s resources,2013-14,6
Local Government,Section 18(1) - Unreasonable diversion of an agency’s resources,2012-13,2
Local Government,Section 18(2a) - Abuse of right of access,2024-25,2
Local Government,Section 18(2a) - Abuse of right of access,2023-24,7
Local Government,Section 18(2a) - Abuse of right of access,2022-23,6
Local Government,Section 18(2a) - Abuse of right of access,2021-22,2
Local Government,Section 18(2a) - Abuse of right of access,2020-21,4
Local Government,Section 18(2a) - Abuse of right of access,2019-20,1
Local Government,Section 18(2a) - Abuse of right of access,2018-19,9
Local Government,Section 18(2a) - Abuse of right of access,2017-18,8
Local Government,Section 18(2a) - Abuse of right of access,2016-17,5
Local Government,Section 18(2a) - Abuse of right of access,2015-16,4
Local Government,Section 18(2a) - Abuse of right of access,2014-15,6
Local Government,Section 18(2a) - Abuse of right of access,2013-14,2
Local Government,Section 18(2a) - Abuse of right of access,2012-13,1
Local Government,Section 18(3) - Fees not paid,2024-25,2
Local Government,Section 18(3) - Fees not paid,2023-24,3
Local Government,Section 18(3) - Fees not paid,2022-23,5
Local Government,Section 18(3) - Fees not paid,2021-22,18
Local Government,Section 18(3) - Fees not paid,2020-21,9
Local Government,Section 18(3) - Fees not paid,2019-20,4
Local Government,Section 18(3) - Fees not paid,2018-19,4
Local Government,Section 18(3) - Fees not paid,2017-18,5
Local Government,Section 18(3) - Fees not paid,2016-17,9
Local Government,Section 18(3) - Fees not paid,2015-16,5
Local Government,Section 18(3) - Fees not paid,2014-15,5
Local Government,Section 18(3) - Fees not paid,2013-14,4
Local Government,Section 18(3) - Fees not paid,2012-13,2
Local Government,Section 19(2) - Deemed refusal - over 30 days to respond,2024-25,1
Local Government,Section 19(2) - Deemed refusal - over 30 days to respond,2023-24,3
Local Government,Section 19(2) - Deemed refusal - over 30 days to respond,2022-23,0
Local Government,Section 19(2) - Deemed refusal - over 30 days to respond,2021-22,2
Local Government,Section 19(2) - Deemed refusal - over 30 days to respond,2020-21,3
Local Government,Section 19(2) - Deemed refusal - over 30 days to respond,2019-20,0
Local Government,Section 19(2) - Deemed refusal - over 30 days to respond,2018-19,1
Local Government,Section 19(2) - Deemed refusal - over 30 days to respond,2017-18,2
Local Government,Section 19(2) - Deemed refusal - over 30 days to respond,2016-17,2
Local Government,Section 19(2) - Deemed refusal - over 30 days to respond,2015-16,2
Local Government,Section 19(2) - Deemed refusal - over 30 days to respond,2014-15,4
Local Government,Section 19(2) - Deemed refusal - over 30 days to respond,2013-14,0
Local Government,Section 19(2) - Deemed refusal - over 30 days to respond,2012-13,0
Local Government,Section 20(1) - Exempt document,2024-25,102
Local Government,Section 20(1) - Exempt document,2023-24,206
Local Government,Section 20(1) - Exempt document,2022-23,92
Local Government,Section 20(1) - Exempt document,2021-22,158
Local Government,Section 20(1) - Exempt document,2020-21,173
Local Government,Section 20(1) - Exempt document,2019-20,151
Local Government,Section 20(1) - Exempt document,2018-19,118
Local Government,Section 20(1) - Exempt document,2017-18,166
Local Government,Section 20(1) - Exempt document,2016-17,122
Local Government,Section 20(1) - Exempt document,2015-16,140
Local Government,Section 20(1) - Exempt document,2014-15,120
Local Government,Section 20(1) - Exempt document,2013-14,98
Local Government,Section 20(1) - Exempt document,2012-13,104
Local Government,Section 20(1)(b)(c)(d) – Documents otherwise available,2024-25,27
Local Government,Section 20(1)(b)(c)(d) – Documents otherwise available,2023-24,25
Local Government,Section 20(1)(b)(c)(d) – Documents otherwise available,2022-23,37
Local Government,Section 20(1)(b)(c)(d) – Documents otherwise available,2021-22,16
Local Government,Section 20(1)(b)(c)(d) – Documents otherwise available,2020-21,48
Local Government,Section 20(1)(b)(c)(d) – Documents otherwise available,2019-20,26
Local Government,Section 20(1)(b)(c)(d) – Documents otherwise available,2018-19,24
Local Government,Section 20(1)(b)(c)(d) – Documents otherwise available,2017-18,49
Local Government,Section 20(1)(b)(c)(d) – Documents otherwise available,2016-17,34
Local Government,Section 20(1)(b)(c)(d) – Documents otherwise available,2015-16,34
Local Government,Section 20(1)(b)(c)(d) – Documents otherwise available,2014-15,21
Local Government,Section 20(1)(b)(c)(d) – Documents otherwise available,2013-14,20
Local Government,Section 20(1)(b)(c)(d) – Documents otherwise available,2012-13,39
Universities,Section 15 - Application incomplete/wrongly directed,2024-25,8
Universities,Section 15 - Application incomplete/wrongly directed,2023-24,0
Universities,Section 15 - Application incomplete/wrongly directed,2022-23,0
Universities,Section 15 - Application incomplete/wrongly directed,2021-22,0
Universities,Section 15 - Application incomplete/wrongly directed,2020-21,0
Universities,Section 15 - Application incomplete/wrongly directed,2019-20,0
Universities,Section 15 - Application incomplete/wrongly directed,2018-19,0
Universities,Section 15 - Application incomplete/wrongly directed,2017-18,0
Universities,Section 15 - Application incomplete/wrongly directed,2016-17,0
Universities,Section 15 - Application incomplete/wrongly directed,2015-16,0
Universities,Section 15 - Application incomplete/wrongly directed,2014-15,0
Universities,Section 15 - Application incomplete/wrongly directed,2013-14,0
Universities,Section 15 - Application incomplete/wrongly directed,2012-13,0
Universities,Section 18(1) - Unreasonable diversion of an agency’s resources,2024-25,0
Universities,Section 18(1) - Unreasonable diversion of an agency’s resources,2023-24,1
Universities,Section 18(1) - Unreasonable diversion of an agency’s resources,2022-23,1
Universities,Section 18(1) - Unreasonable diversion of an agency’s resources,2021-22,0
Universities,Section 18(1) - Unreasonable diversion of an agency’s resources,2020-21,0
Universities,Section 18(1) - Unreasonable diversion of an agency’s resources,2019-20,1
Universities,Section 18(1) - Unreasonable diversion of an agency’s resources,2018-19,0
Universities,Section 18(1) - Unreasonable diversion of an agency’s resources,2017-18,0
Universities,Section 18(1) - Unreasonable diversion of an agency’s resources,2016-17,1
Universities,Section 18(1) - Unreasonable diversion of an agency’s resources,2015-16,0
Universities,Section 18(1) - Unreasonable diversion of an agency’s resources,2014-15,0
Universities,Section 18(1) - Unreasonable diversion of an agency’s resources,2013-14,0
Universities,Section 18(1) - Unreasonable diversion of an agency’s resources,2012-13,0
Universities,Section 18(2a) - Abuse of right of access,2024-25,0
Universities,Section 18(2a) - Abuse of right of access,2023-24,0
Universities,Section 18(2a) - Abuse of right of access,2022-23,0
Universities,Section 18(2a) - Abuse of right of access,2021-22,0
Universities,Section 18(2a) - Abuse of right of access,2020-21,8
Universities,Section 18(2a) - Abuse of right of access,2019-20,1
Universities,Section 18(2a) - Abuse of right of access,2018-19,0
Universities,Section 18(2a) - Abuse of right of access,2017-18,0
Universities,Section 18(2a) - Abuse of right of access,2016-17,1
Universities,Section 18(2a) - Abuse of right of access,2015-16,0
Universities,Section 18(2a) - Abuse of right of access,2014-15,0
Universities,Section 18(2a) - Abuse of right of access,2013-14,0
Universities,Section 18(2a) - Abuse of right of access,2012-13,0
Universities,Section 18(3) - Fees not paid,2024-25,0
Universities,Section 18(3) - Fees not paid,2023-24,1
Universities,Section 18(3) - Fees not paid,2022-23,0
Universities,Section 18(3) - Fees not paid,2021-22,1
Universities,Section 18(3) - Fees not paid,2020-21,1
Universities,Section 18(3) - Fees not paid,2019-20,0
Universities,Section 18(3) - Fees not paid,2018-19,2
Universities,Section 18(3) - Fees not paid,2017-18,0
Universities,Section 18(3) - Fees not paid,2016-17,0
Universities,Section 18(3) - Fees not paid,2015-16,0
Universities,Section 18(3) - Fees not paid,2014-15,0
Universities,Section 18(3) - Fees not paid,2013-14,0
Universities,Section 18(3) - Fees not paid,2012-13,0
Universities,Section 19(2) - Deemed refusal - over 30 days to respond,2024-25,1
Universities,Section 19(2) - Deemed refusal - over 30 days to respond,2023-24,0
Universities,Section 19(2) - Deemed refusal - over 30 days to respond,2022-23,0
Universities,Section 19(2) - Deemed refusal - over 30 days to respond,2021-22,0
Universities,Section 19(2) - Deemed refusal - over 30 days to respond,2020-21,0
Universities,Section 19(2) - Deemed refusal - over 30 days to respond,2019-20,0
Universities,Section 19(2) - Deemed refusal - over 30 days to respond,2018-19,0
Universities,Section 19(2) - Deemed refusal - over 30 days to respond,2017-18,0
Universities,Section 19(2) - Deemed refusal - over 30 days to respond,2016-17,0
Universities,Section 19(2) - Deemed refusal - over 30 days to respond,2015-16,0
Universities,Section 19(2) - Deemed refusal - over 30 days to respond,2014-15,0
Universities,Section 19(2) - Deemed refusal - over 30 days to respond,2013-14,0
Universities,Section 19(2) - Deemed refusal - over 30 days to respond,2012-13,0
Universities,Section 20(1) - Exempt document,2024-25,33
Universities,Section 20(1) - Exempt document,2023-24,23
Universities,Section 20(1) - Exempt document,2022-23,13
Universities,Section 20(1) - Exempt document,2021-22,25
Universities,Section 20(1) - Exempt document,2020-21,21
Universities,Section 20(1) - Exempt document,2019-20,26
Universities,Section 20(1) - Exempt document,2018-19,8
Universities,Section 20(1) - Exempt document,2017-18,8
Universities,Section 20(1) - Exempt document,2016-17,7
Universities,Section 20(1) - Exempt document,2015-16,4
Universities,Section 20(1) - Exempt document,2014-15,5
Universities,Section 20(1) - Exempt document,2013-14,6
Universities,Section 20(1) - Exempt document,2012-13,3
Universities,Section 20(1)(b)(c)(d) – Documents otherwise available,2024-25,0
Universities,Section 20(1)(b)(c)(d) – Documents otherwise available,2023-24,1
Universities,Section 20(1)(b)(c)(d) – Documents otherwise available,2022-23,0
Universities,Section 20(1)(b)(c)(d) – Documents otherwise available,2021-22,0
Universities,Section 20(1)(b)(c)(d) – Documents otherwise available,2020-21,0
Universities,Section 20(1)(b)(c)(d) – Documents otherwise available,2019-20,0
Universities,Section 20(1)(b)(c)(d) – Documents otherwise available,2018-19,0
Universities,Section 20(1)(b)(c)(d) – Documents otherwise available,2017-18,1
Universities,Section 20(1)(b)(c)(d) – Documents otherwise available,2016-17,0
Universities,Section 20(1)(b)(c)(d) – Documents otherwise available,2015-16,1
Universities,Section 20(1)(b)(c)(d) – Documents otherwise available,2014-15,0
Universities,Section 20(1)(b)(c)(d) – Documents otherwise available,2013-14,0
Universities,Section 20(1)(b)(c)(d) – Documents otherwise available,2012-13,0
