sector,agency,year,value
State Government,Adelaide Festival Corporation,2012-13,0
State Government,Adelaide Festival Corporation,2011-12,0
State Government,Alinytjara Wilurara Natural Resources Management Board NRM,2020-21,0
State Government,Alinytjara Wilurara Natural Resources Management Board NRM,2019-20,0
State Government,Alinytjara Wilurara Natural Resources Management Board NRM,2018-19,0
State Government,Alinytjara Wilurara Natural Resources Management Board NRM,2016-17,0
State Government,Alinytjara Wilurara Natural Resources Management Board NRM,2015-16,0
State Government,Alinytjara Wilurara Natural Resources Management Board NRM,2014-15,0
State Government,Alinytjara Wilurara Natural Resources Management Board NRM,2013-14,0
State Government,Alinytjara Wilurara Natural Resources Management Board NRM,2012-13,0
State Government,Alinytjara Wilurara Natural Resources Management Board NRM,2011-12,0
State Government,Alinytjara Wilurara Landscape Board,2024-25,1
State Government,Architectural Practice Board of SA,2020-21,0
State Government,Architectural Practice Board of SA,2019-20,0
State Government,Architectural Practice Board of SA,2018-19,0
State Government,Architectural Practice Board of SA,2016-17,0
State Government,Architectural Practice Board of SA,2015-16,0
State Government,Architectural Practice Board of SA,2014-15,0
State Government,Architectural Practice Board of SA,2013-14,0
State Government,Architectural Practice Board of SA,2012-13,0
State Government,Architectural Practice Board of SA,2011-12,0
State Government,Art Gallery of South Australia,2024-25,2
State Government,Art Gallery of South Australia,2023-24,4
State Government,Art Gallery of South Australia,2022-23,1
State Government,Attorney-General's Department,2024-25,211
State Government,Attorney-General's Department,2023-24,247
State Government,Attorney-General's Department,2022-23,202
State Government,Attorney-General's Department,2021-22,95
State Government,Attorney-General's Department,2020-21,50
State Government,Attorney-General's Department,2019-20,24
State Government,Attorney-General's Department,2018-19,26
State Government,Attorney-General's Department,2016-17,144
State Government,Attorney-General's Department,2015-16,144
State Government,Attorney-General's Department,2014-15,138
State Government,Attorney-General's Department,2013-14,76
State Government,Attorney-General's Department,2012-13,92
State Government,Attorney-General's Department,2011-12,120
State Government,Australian Energy Market Commission,2023-24,2
State Government,Australian Energy Market Commission,2022-23,0
State Government,Australian Energy Market Commission,2021-22,2
State Government,Barossa Hills Fleurieu Local Health Network,2024-25,256
State Government,Barossa Hills Fleurieu Local Health Network,2023-24,204
State Government,Barossa Hills Fleurieu Local Health Network,2022-23,246
State Government,Barossa Hills Fleurieu Local Health Network,2021-22,157
State Government,Barossa Hills Fleurieu Local Health Network,2020-21,104
State Government,Barossa Hills Fleurieu Local Health Network,2019-20,76
State Government,Botanic Gardens and State Herbarium Board,2024-25,5
State Government,Carclew Inc,2022-23,0
State Government,Carclew Inc,2021-22,0
State Government,Carclew Inc,2020-21,0
State Government,Carclew Inc,2019-20,0
State Government,Carclew Inc,2018-19,0
State Government,Carclew Inc,2016-17,0
State Government,Carclew Inc,2015-16,0
State Government,Carclew Inc,2014-15,0
State Government,Carclew Inc,2013-14,0
State Government,Carclew Inc,2012-13,0
State Government,Carclew Inc,2011-12,0
State Government,Centennial Park Cemetery Authority,2022-23,0
State Government,Centennial Park Cemetery Authority,2021-22,0
State Government,Centennial Park Cemetery Authority,2020-21,0
State Government,Centennial Park Cemetery Authority,2019-20,0
State Government,Centennial Park Cemetery Authority,2018-19,0
State Government,Centennial Park Cemetery Authority,2016-17,0
State Government,Centennial Park Cemetery Authority,2015-16,1
State Government,Centennial Park Cemetery Authority,2014-15,0
State Government,Centennial Park Cemetery Authority,2013-14,0
State Government,Centennial Park Cemetery Authority,2012-13,0
State Government,Centennial Park Cemetery Authority,2011-12,0
State Government,Central Adelaide Local Health Network,2024-25,2625
State Government,Central Adelaide Local Health Network,2023-24,2619
State Government,Central Adelaide Local Health Network,2022-23,2456
State Government,Central Adelaide Local Health Network,2021-22,1888
State Government,Central Adelaide Local Health Network,2020-21,1857
State Government,Central Adelaide Local Health Network,2019-20,2100
State Government,Central Adelaide Local Health Network,2018-19,2223
State Government,Central Adelaide Local Health Network,2016-17,2126
State Government,Central Adelaide Local Health Network,2015-16,2285
State Government,Central Adelaide Local Health Network,2014-15,2194
State Government,Central Adelaide Local Health Network,2013-14,2273
State Government,Central Adelaide Local Health Network,2012-13,2455
State Government,Central Adelaide Local Health Network,2011-12,2716
State Government,Compulsory Third Party Insurance Regulator,2024-25,1
State Government,Compulsory Third Party Insurance Regulator,2022-23,0
State Government,Compulsory Third Party Insurance Regulator,2021-22,0
State Government,Compulsory Third Party Insurance Regulator,2020-21,0
State Government,Compulsory Third Party Insurance Regulator,2019-20,1
State Government,Consumer and Business Services,2021-22,23
State Government,Consumer and Business Services,2020-21,33
State Government,Country Health South Australia Local Health Network (CHSALHN),2020-21,0
State Government,Country Health South Australia Local Health Network (CHSALHN),2019-20,2
State Government,Country Health South Australia Local Health Network (CHSALHN),2018-19,409
State Government,Country Health South Australia Local Health Network (CHSALHN),2016-17,412
State Government,Country Health South Australia Local Health Network (CHSALHN),2015-16,330
State Government,Country Health South Australia Local Health Network (CHSALHN),2014-15,330
State Government,Country Health South Australia Local Health Network (CHSALHN),2013-14,250
State Government,Country Health South Australia Local Health Network (CHSALHN),2012-13,312
State Government,Country Health South Australia Local Health Network (CHSALHN),2011-12,318
State Government,Courts Administration Authority,2024-25,90
State Government,Courts Administration Authority,2023-24,46
State Government,Courts Administration Authority,2022-23,72
State Government,Courts Administration Authority,2021-22,48
State Government,Courts Administration Authority,2020-21,13
State Government,Courts Administration Authority,2019-20,25
State Government,Courts Administration Authority,2018-19,32
State Government,Courts Administration Authority,2016-17,29
State Government,Courts Administration Authority,2015-16,26
State Government,Courts Administration Authority,2014-15,14
State Government,Courts Administration Authority,2013-14,38
State Government,Courts Administration Authority,2012-13,29
State Government,Courts Administration Authority,2011-12,51
State Government,Cross Border Commissioner,2024-25,1
State Government,Cross Border Commissioner,2023-24,5
State Government,Defence SA,2024-25,5
State Government,Defence SA,2023-24,15
State Government,Defence SA,2022-23,5
State Government,Defence SA,2021-22,7
State Government,Defence SA,2020-21,3
State Government,Defence SA,2019-20,5
State Government,Defence SA,2018-19,4
State Government,Defence SA,2016-17,16
State Government,Defence SA,2015-16,11
State Government,Defence SA,2014-15,0
State Government,Defence SA,2013-14,9
State Government,Defence SA,2012-13,16
State Government,Defence SA,2011-12,6
State Government,Department for Child Protection,2024-25,696
State Government,Department for Child Protection,2023-24,490
State Government,Department for Child Protection,2022-23,399
State Government,Department for Child Protection,2021-22,292
State Government,Department for Child Protection,2020-21,266
State Government,Department for Child Protection,2019-20,181
State Government,Department for Child Protection,2018-19,241
State Government,Department for Child Protection,2016-17,335
State Government,Department for Communities and Social Inclusion,2016-17,180
State Government,Department for Communities and Social Inclusion,2015-16,202
State Government,Department for Communities and Social Inclusion,2014-15,222
State Government,Department for Communities and Social Inclusion,2013-14,199
State Government,Department for Communities and Social Inclusion,2012-13,247
State Government,Department for Communities and Social Inclusion,2011-12,214
State Government,Department for Correctional Services,2024-25,600
State Government,Department for Correctional Services,2023-24,491
State Government,Department for Correctional Services,2022-23,335
State Government,Department for Correctional Services,2021-22,354
State Government,Department for Correctional Services,2020-21,643
State Government,Department for Correctional Services,2019-20,348
State Government,Department for Correctional Services,2018-19,249
State Government,Department for Correctional Services,2016-17,195
State Government,Department for Correctional Services,2015-16,200
State Government,Department for Correctional Services,2014-15,229
State Government,Department for Correctional Services,2013-14,280
State Government,Department for Correctional Services,2012-13,289
State Government,Department for Correctional Services,2011-12,272
State Government,Department for Education,2024-25,384
State Government,Department for Education,2023-24,280
State Government,Department for Education,2022-23,316
State Government,Department for Education,2021-22,199
State Government,Department for Education,2020-21,181
State Government,Department for Education,2019-20,153
State Government,Department for Education,2018-19,113
State Government,Department for Education and Child Development,2016-17,255
State Government,Department for Education and Child Development,2015-16,541
State Government,Department for Education and Child Development,2014-15,667
State Government,Department for Education and Child Development,2013-14,514
State Government,Department for Education and Child Development,2012-13,542
State Government,Department for Education and Child Development,2011-12,534
State Government,Department for Energy and Mining,2024-25,62
State Government,Department for Energy and Mining,2023-24,51
State Government,Department for Energy and Mining,2022-23,79
State Government,Department for Energy and Mining,2021-22,23
State Government,Department for Energy and Mining,2020-21,41
State Government,Department for Energy and Mining,2019-20,34
State Government,Department for Energy and Mining,2018-19,35
State Government,Department for Environment and Water,2024-25,73
State Government,Department for Environment and Water,2023-24,135
State Government,Department for Environment and Water,2022-23,153
State Government,Department for Environment and Water,2021-22,66
State Government,Department for Environment and Water,2020-21,50
State Government,Department for Environment and Water,2019-20,38
State Government,Department for Environment and Water,2018-19,44
State Government,Department for Health and Ageing,2016-17,131
State Government,Department for Health and Ageing,2015-16,109
State Government,Department for Health and Ageing,2014-15,111
State Government,Department for Health and Ageing,2013-14,100
State Government,Department for Health and Ageing,2012-13,97
State Government,Department for Health and Ageing,2011-12,148
State Government,Department for Health and Wellbeing,2024-25,123
State Government,Department for Health and Wellbeing,2023-24,80
State Government,Department for Health and Wellbeing,2022-23,135
State Government,Department for Health and Wellbeing,2021-22,104
State Government,Department for Health and Wellbeing,2020-21,116
State Government,Department for Health and Wellbeing,2019-20,132
State Government,Department for Health and Wellbeing,2018-19,165
State Government,Department for Housing and Urban Development,2024-25,74
State Government,"Department for Industry, Innovation and Science",2023-24,27
State Government,"Department for Industry, Innovation and Science",2022-23,32
State Government,Department for Infrastructure and Transport,2024-25,139
State Government,Department for Infrastructure and Transport,2023-24,127
State Government,Department for Infrastructure and Transport,2022-23,212
State Government,Department for Infrastructure and Transport,2021-22,102
State Government,Department for Infrastructure and Transport,2020-21,162
State Government,Department for Innovation and Skills,2021-22,20
State Government,Department for Innovation and Skills,2020-21,27
State Government,Department for Innovation and Skills,2019-20,22
State Government,Department for Innovation and Skills,2018-19,17
State Government,Department for Trade and Investment,2023-24,47
State Government,Department for Trade and Investment,2022-23,36
State Government,Department for Trade and Investment,2021-22,15
State Government,Department for Trade and Investment,2020-21,14
State Government,Department for Trade and Investment,2019-20,19
State Government,Department for Trade and Investment,2018-19,9
State Government,Department for Water,2011-12,34
State Government,"Department of Environment, Water and Natural Resources",2016-17,91
State Government,"Department of Environment, Water and Natural Resources",2015-16,65
State Government,"Department of Environment, Water and Natural Resources",2014-15,81
State Government,"Department of Environment, Water and Natural Resources",2013-14,59
State Government,"Department of Environment, Water and Natural Resources",2012-13,81
State Government,"Department of Environment, Water and Natural Resources",2011-12,79
State Government,"Department of Further Education, Employment, Science and Technology",2013-14,32
State Government,"Department of Further Education, Employment, Science and Technology",2012-13,69
State Government,"Department of Further Education, Employment, Science and Technology",2011-12,46
State Government,Department of Human Services,2024-25,117
State Government,Department of Human Services,2023-24,80
State Government,Department of Human Services,2022-23,73
State Government,Department of Human Services,2021-22,76
State Government,Department of Human Services,2020-21,94
State Government,Department of Human Services,2019-20,61
State Government,Department of Human Services,2018-19,97
State Government,"Department of Manufacturing, Innovation, Trade, Resources and Energy",2013-14,47
State Government,"Department of Manufacturing, Innovation, Trade, Resources and Energy",2012-13,102
State Government,"Department of Manufacturing, Innovation, Trade, Resources and Energy",2011-12,87
State Government,"Department of Planning, Transport and Infrastructure",2019-20,112
State Government,"Department of Planning, Transport and Infrastructure",2018-19,125
State Government,"Department of Planning, Transport and Infrastructure",2016-17,381
State Government,"Department of Planning, Transport and Infrastructure",2015-16,361
State Government,"Department of Planning, Transport and Infrastructure",2014-15,278
State Government,"Department of Planning, Transport and Infrastructure",2013-14,222
State Government,"Department of Planning, Transport and Infrastructure",2012-13,253
State Government,"Department of Planning, Transport and Infrastructure",2011-12,260
State Government,Department of Premier and Cabinet,2024-25,60
State Government,Department of Premier and Cabinet,2023-24,66
State Government,Department of Premier and Cabinet,2022-23,114
State Government,Department of Premier and Cabinet,2021-22,147
State Government,Department of Premier and Cabinet,2020-21,255
State Government,Department of Premier and Cabinet,2019-20,148
State Government,Department of Premier and Cabinet,2018-19,182
State Government,Department of Premier and Cabinet,2016-17,434
State Government,Department of Premier and Cabinet,2015-16,239
State Government,Department of Premier and Cabinet,2014-15,254
State Government,Department of Premier and Cabinet,2013-14,330
State Government,Department of Premier and Cabinet,2012-13,835
State Government,Department of Premier and Cabinet,2011-12,497
State Government,Department of Primary Industries and Regions,2024-25,70
State Government,Department of Primary Industries and Regions,2023-24,69
State Government,Department of Primary Industries and Regions,2022-23,72
State Government,Department of Primary Industries and Regions,2021-22,28
State Government,Department of Primary Industries and Regions,2020-21,36
State Government,Department of Primary Industries and Regions,2019-20,19
State Government,Department of Primary Industries and Regions,2018-19,14
State Government,Department of Primary Industries and Regions,2016-17,56
State Government,Department of Primary Industries and Regions,2015-16,41
State Government,Department of Primary Industries and Regions,2014-15,53
State Government,Department of Primary Industries and Regions,2013-14,28
State Government,Department of Primary Industries and Regions,2012-13,41
State Government,Department of Primary Industries and Regions,2011-12,70
State Government,Department of State Development,2024-25,45
State Government,Department of State Development,2016-17,152
State Government,Department of State Development,2015-16,132
State Government,Department of State Development,2014-15,252
State Government,Department of Treasury and Finance,2024-25,169
State Government,Department of Treasury and Finance,2023-24,113
State Government,Department of Treasury and Finance,2022-23,193
State Government,Department of Treasury and Finance,2021-22,231
State Government,Department of Treasury and Finance,2020-21,127
State Government,Department of Treasury and Finance,2019-20,125
State Government,Department of Treasury and Finance,2018-19,258
State Government,Department of Treasury and Finance,2016-17,145
State Government,Department of Treasury and Finance,2015-16,82
State Government,Department of Treasury and Finance,2014-15,104
State Government,Department of Treasury and Finance,2013-14,245
State Government,Department of Treasury and Finance,2012-13,348
State Government,Department of Treasury and Finance,2011-12,314
State Government,Dog and Cat Management Board,2023-24,2
State Government,Dog and Cat Management Board,2022-23,3
State Government,Dog and Cat Management Board,2021-22,3
State Government,Dog and Cat Management Board,2020-21,3
State Government,Dog and Cat Management Board,2019-20,0
State Government,Dog and Cat Management Board,2012-13,0
State Government,Dog and Cat Management Board,2011-12,0
State Government,Drug and Alcohol Services SA,2024-25,36
State Government,Drug and Alcohol Services SA,2023-24,30
State Government,Drug and Alcohol Services SA,2022-23,11
State Government,Drug and Alcohol Services SA,2021-22,6
State Government,Drug and Alcohol Services SA,2020-21,9
State Government,Drug and Alcohol Services SA,2019-20,8
State Government,Drug and Alcohol Services SA,2018-19,9
State Government,Education & Early Childhood Services Registration & Standards Board of SA,2016-17,0
State Government,Education & Early Childhood Services Registration & Standards Board of SA,2015-16,0
State Government,Education & Early Childhood Services Registration & Standards Board of SA,2014-15,0
State Government,Education & Early Childhood Services Registration & Standards Board of SA,2013-14,0
State Government,Education & Early Childhood Services Registration & Standards Board of SA,2012-13,1
State Government,Education Standards Board,2024-25,2
State Government,Education Standards Board,2023-24,9
State Government,Education Standards Board,2022-23,8
State Government,Education Standards Board,2020-21,0
State Government,Education Standards Board,2019-20,0
State Government,Education Standards Board,2018-19,0
State Government,Electoral Commission of South Australia,2023-24,13
State Government,Electoral Commission of South Australia,2022-23,3
State Government,Electoral Commission of South Australia,2021-22,1
State Government,Electoral Commission of South Australia,2020-21,3
State Government,Electoral Commission of South Australia,2019-20,3
State Government,Electoral Commission of South Australia,2018-19,2
State Government,Electoral Commission of South Australia,2016-17,5
State Government,Electoral Commission of South Australia,2015-16,3
State Government,Electoral Commission of South Australia,2014-15,11
State Government,Electoral Commission of South Australia,2013-14,10
State Government,Electoral Commission of South Australia,2012-13,0
State Government,Electoral Commission of South Australia,2011-12,0
State Government,Environment Protection Authority,2024-25,16
State Government,Environment Protection Authority,2023-24,18
State Government,Environment Protection Authority,2022-23,13
State Government,Environment Protection Authority,2021-22,17
State Government,Environment Protection Authority,2020-21,17
State Government,Environment Protection Authority,2019-20,7
State Government,Environment Protection Authority,2018-19,18
State Government,Environment Protection Authority,2016-17,21
State Government,Environment Protection Authority,2015-16,21
State Government,Environment Protection Authority,2014-15,40
State Government,Environment Protection Authority,2013-14,21
State Government,Environment Protection Authority,2012-13,44
State Government,Environment Protection Authority,2011-12,37
State Government,Equal Opportunity SA,2024-25,3
State Government,Equal Opportunity SA,2023-24,3
State Government,Equal Opportunity SA,2022-23,2
State Government,Equal Opportunity SA,2021-22,1
State Government,Equal Opportunity SA,2020-21,0
State Government,Equal Opportunity SA,2019-20,2
State Government,Equal Opportunity SA,2018-19,2
State Government,Equal Opportunity SA,2016-17,1
State Government,Equal Opportunity SA,2015-16,1
State Government,Equal Opportunity SA,2014-15,1
State Government,Equal Opportunity SA,2013-14,2
State Government,Equal Opportunity SA,2012-13,0
State Government,Equal Opportunity SA,2011-12,3
State Government,Essential Services Commission of SA,2024-25,2
State Government,Essential Services Commission of SA,2023-24,5
State Government,Essential Services Commission of SA,2022-23,7
State Government,Essential Services Commission of SA,2021-22,2
State Government,Essential Services Commission of SA,2020-21,2
State Government,Essential Services Commission of SA,2019-20,3
State Government,Essential Services Commission of SA,2018-19,4
State Government,Essential Services Commission of SA,2016-17,0
State Government,Essential Services Commission of SA,2015-16,1
State Government,Essential Services Commission of SA,2014-15,4
State Government,Essential Services Commission of SA,2013-14,4
State Government,Essential Services Commission of SA,2012-13,1
State Government,Essential Services Commission of SA,2011-12,0
State Government,Eyre and Far North Local Health Network,2024-25,88
State Government,Eyre and Far North Local Health Network,2023-24,80
State Government,Eyre and Far North Local Health Network,2022-23,109
State Government,Eyre and Far North Local Health Network,2021-22,56
State Government,Eyre and Far North Local Health Network,2020-21,27
State Government,Eyre and Far North Local Health Network,2019-20,23
State Government,Eyre Peninsula Landscape Board,2024-25,1
State Government,Eyre Peninsula Natural Resources Management Board,2022-23,0
State Government,Eyre Peninsula Natural Resources Management Board,2020-21,0
State Government,Eyre Peninsula Natural Resources Management Board,2019-20,0
State Government,Eyre Peninsula Natural Resources Management Board,2018-19,0
State Government,Eyre Peninsula Natural Resources Management Board,2016-17,0
State Government,Eyre Peninsula Natural Resources Management Board,2015-16,0
State Government,Eyre Peninsula Natural Resources Management Board,2014-15,0
State Government,Eyre Peninsula Natural Resources Management Board,2013-14,0
State Government,Eyre Peninsula Natural Resources Management Board,2012-13,0
State Government,Eyre Peninsula Natural Resources Management Board,2011-12,0
State Government,Fines Enforcement & Recovery Unit,2020-21,3
State Government,First Nations Voice to Parliament - Region 1: Central,2024-25,1
State Government,First Nations Voice to Parliament - Region 2: Far North,2024-25,1
State Government,First Nations Voice to Parliament - Region 3: Flinders and Upper North,2024-25,1
State Government,First Nations Voice to Parliament - Region 4: Riverland and South East,2024-25,1
State Government,First Nations Voice to Parliament - Region 5: West and West Coast,2024-25,1
State Government,First Nations Voice to Parliament - Region 6: Yorke and Mid North,2024-25,1
State Government,First Nations Voice to Parliament - State Voice,2024-25,3
State Government,Flinders and Upper North Local Health Network,2024-25,189
State Government,Flinders and Upper North Local Health Network,2023-24,185
State Government,Flinders and Upper North Local Health Network,2022-23,198
State Government,Flinders and Upper North Local Health Network,2021-22,151
State Government,Flinders and Upper North Local Health Network,2020-21,75
State Government,Flinders and Upper North Local Health Network,2019-20,94
State Government,Forensic Science SA,2021-22,3
State Government,ForestrySA,2024-25,1
State Government,ForestrySA,2023-24,2
State Government,ForestrySA,2022-23,1
State Government,ForestrySA,2021-22,2
State Government,ForestrySA,2020-21,6
State Government,ForestrySA,2019-20,1
State Government,ForestrySA,2018-19,2
State Government,ForestrySA,2016-17,1
State Government,ForestrySA,2015-16,2
State Government,ForestrySA,2014-15,2
State Government,ForestrySA,2013-14,6
State Government,ForestrySA,2012-13,5
State Government,ForestrySA,2011-12,8
State Government,Green Adelaide,2024-25,1
State Government,Green Adelaide,2023-24,14
State Government,Green Adelaide,2022-23,4
State Government,Green Adelaide,2021-22,6
State Government,Green Industries SA,2024-25,8
State Government,Green Industries SA,2023-24,26
State Government,Green Industries SA,2022-23,16
State Government,Green Industries SA,2021-22,2
State Government,Green Industries SA,2020-21,2
State Government,Green Industries SA,2019-20,0
State Government,Green Industries SA,2018-19,0
State Government,Green Industries SA (previously Zero Waste SA),2016-17,0
State Government,Green Industries SA (previously Zero Waste SA),2015-16,0
State Government,Green Industries SA (previously Zero Waste SA),2014-15,0
State Government,Green Industries SA (previously Zero Waste SA),2013-14,4
State Government,Green Industries SA (previously Zero Waste SA),2012-13,6
State Government,Green Industries SA (previously Zero Waste SA),2011-12,0
State Government,Guardianship Board,2020-21,0
State Government,Guardianship Board,2019-20,0
State Government,Guardianship Board,2018-19,0
State Government,Guardianship Board,2016-17,0
State Government,Guardianship Board,2015-16,0
State Government,Guardianship Board,2014-15,0
State Government,Guardianship Board,2013-14,0
State Government,Guardianship Board,2012-13,1
State Government,Guardianship Board,2011-12,2
State Government,Health Performance Council,2016-17,0
State Government,Health Performance Council,2015-16,0
State Government,Health Performance Council,2014-15,0
State Government,Health Performance Council,2013-14,0
State Government,Health Performance Council,2012-13,0
State Government,Health Performance Council,2011-12,0
State Government,Health Services Charitable Gifts Board,2024-25,2
State Government,Heritage South Australia,2023-24,1
State Government,Heritage South Australia,2022-23,3
State Government,Hills and Fleurier Landscape Board,2024-25,5
State Government,Hills and Fleurier Landscape Board,2023-24,1
State Government,History Trust of South Australia,2024-25,1
State Government,History Trust of South Australia,2023-24,1
State Government,History Trust of South Australia,2022-23,0
State Government,History Trust of South Australia,2020-21,0
State Government,History Trust of South Australia,2019-20,0
State Government,History Trust of South Australia,2018-19,0
State Government,History Trust of South Australia,2016-17,0
State Government,History Trust of South Australia,2015-16,0
State Government,History Trust of South Australia,2014-15,1
State Government,History Trust of South Australia,2013-14,0
State Government,History Trust of South Australia,2012-13,0
State Government,History Trust of South Australia,2011-12,0
State Government,Homestart Finance,2023-24,0
State Government,Homestart Finance,2022-23,0
State Government,Homestart Finance,2020-21,0
State Government,Homestart Finance,2019-20,0
State Government,Homestart Finance,2018-19,0
State Government,Homestart Finance,2016-17,0
State Government,Homestart Finance,2015-16,0
State Government,Homestart Finance,2014-15,0
State Government,Homestart Finance,2013-14,0
State Government,Homestart Finance,2012-13,3
State Government,Homestart Finance,2011-12,1
State Government,Independent Gambling Authority,2020-21,0
State Government,Independent Gambling Authority,2019-20,0
State Government,Independent Gambling Authority,2018-19,0
State Government,Independent Gambling Authority,2016-17,0
State Government,Independent Gambling Authority,2015-16,0
State Government,Independent Gambling Authority,2014-15,0
State Government,Independent Gambling Authority,2013-14,0
State Government,Independent Gambling Authority,2012-13,0
State Government,Independent Gambling Authority,2011-12,13
State Government,Industrial Relations Commission,2020-21,0
State Government,Industrial Relations Commission,2019-20,0
State Government,Industrial Relations Commission,2018-19,0
State Government,Industrial Relations Commission,2016-17,0
State Government,Industrial Relations Commission,2015-16,0
State Government,Industrial Relations Commission,2014-15,0
State Government,Industrial Relations Commission,2013-14,0
State Government,Industrial Relations Commission,2012-13,0
State Government,Industrial Relations Commission,2011-12,0
State Government,Industrial Relations Court,2020-21,0
State Government,Industrial Relations Court,2019-20,0
State Government,Industrial Relations Court,2018-19,0
State Government,Industrial Relations Court,2016-17,0
State Government,Industrial Relations Court,2015-16,0
State Government,Industrial Relations Court,2014-15,0
State Government,Industrial Relations Court,2013-14,0
State Government,Industrial Relations Court,2012-13,1
State Government,Industrial Relations Court,2011-12,0
State Government,Infrastructure SA,2023-24,1
State Government,Investment Attraction South Australia,2020-21,0
State Government,Investment Attraction South Australia,2019-20,0
State Government,Investment Attraction South Australia,2018-19,0
State Government,Investment Attraction South Australia,2016-17,10
State Government,Kangaroo Island Lanscape Board,2024-25,1
State Government,Legal Practitioners Conduct Board,2012-13,0
State Government,Legal Practitioners Conduct Board,2011-12,0
State Government,Legal Services Commission,2024-25,9
State Government,Legal Services Commission,2023-24,9
State Government,Legal Services Commission,2022-23,8
State Government,Legal Services Commission,2021-22,6
State Government,Legal Services Commission,2020-21,6
State Government,Legal Services Commission,2019-20,11
State Government,Legal Services Commission,2018-19,9
State Government,Legal Services Commission,2016-17,8
State Government,Legal Services Commission,2015-16,2
State Government,Legal Services Commission,2014-15,11
State Government,Legal Services Commission,2013-14,6
State Government,Legal Services Commission,2012-13,11
State Government,Legal Services Commission,2011-12,14
State Government,Lifetime Support Authority,2024-25,20
State Government,Lifetime Support Authority,2023-24,2
State Government,Lifetime Support Authority,2022-23,0
State Government,Lifetime Support Authority,2021-22,2
State Government,Lifetime Support Authority,2020-21,1
State Government,Lifetime Support Authority,2016-17,0
State Government,Lifetime Support Authority,2015-16,0
State Government,Lifetime Support Authority,2014-15,0
State Government,Lifetime Support Authority,2013-14,1
State Government,Limestone Coast Landscape Board,2024-25,1
State Government,Limestone Coast Landscape Board,2023-24,2
State Government,Limestone Coast Landscape Board,2022-23,1
State Government,Limestone Coast Local Health Network,2024-25,262
State Government,Limestone Coast Local Health Network,2023-24,259
