sector,category,determination_outcome,year,value
Universities,Non-personal,full release,2018-19,3
Universities,Non-personal,partial release,2018-19,5
Universities,Non-personal,release refused,2018-19,3
Universities,Non-personal,full release,2017-18,3
Universities,Non-personal,partial release,2017-18,2
Universities,Non-personal,release refused,2017-18,3
Universities,Non-personal,full release,2016-17,5
Universities,Non-personal,partial release,2016-17,1
Universities,Non-personal,release refused,2016-17,3
Universities,Non-personal,full release,2015-16,3
Universities,Non-personal,partial release,2015-16,4
Universities,Non-personal,release refused,2015-16,1
Universities,Non-personal,full release,2014-15,1
Universities,Non-personal,partial release,2014-15,2
Universities,Non-personal,release refused,2014-15,1
Universities,Non-personal,full release,2013-14,5
Universities,Non-personal,partial release,2013-14,3
Universities,Non-personal,release refused,2013-14,1
Universities,Non-personal,full release,2012-13,2
Universities,Non-personal,partial release,2012-13,1
Universities,Non-personal,release refused,2012-13,4
