table,table_title,year,measure,description1,description2,description4,description5,description6,data_source,unit,jurisdiction,value
7A.4,"Lodgments, civil, per 100,000 people",2018-19,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,NT,129
7A.4,"Lodgments, civil, per 100,000 people",2018-19,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,Aust,103
7A.4,"Lodgments, civil, per 100,000 people",2017-18,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,NSW,82
7A.4,"Lodgments, civil, per 100,000 people",2017-18,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,Vic,104
7A.4,"Lodgments, civil, per 100,000 people",2017-18,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,Qld,117
7A.4,"Lodgments, civil, per 100,000 people",2017-18,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,WA,88
7A.4,"Lodgments, civil, per 100,000 people",2017-18,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,SA,150
7A.4,"Lodgments, civil, per 100,000 people",2017-18,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,Tas,112
7A.4,"Lodgments, civil, per 100,000 people",2017-18,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,ACT,73
7A.4,"Lodgments, civil, per 100,000 people",2017-18,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,NT,125
7A.4,"Lodgments, civil, per 100,000 people",2017-18,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,Aust,101
7A.4,"Lodgments, civil, per 100,000 people",2016-17,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,NSW,81
7A.4,"Lodgments, civil, per 100,000 people",2016-17,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,Vic,100
7A.4,"Lodgments, civil, per 100,000 people",2016-17,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,Qld,114
7A.4,"Lodgments, civil, per 100,000 people",2016-17,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,WA,94
7A.4,"Lodgments, civil, per 100,000 people",2016-17,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,SA,148
7A.4,"Lodgments, civil, per 100,000 people",2016-17,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,Tas,111
7A.4,"Lodgments, civil, per 100,000 people",2016-17,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,ACT,73
7A.4,"Lodgments, civil, per 100,000 people",2016-17,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,NT,114
7A.4,"Lodgments, civil, per 100,000 people",2016-17,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,Aust,100
7A.4,"Lodgments, civil, per 100,000 people",2015-16,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,NSW,80
7A.4,"Lodgments, civil, per 100,000 people",2015-16,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,Vic,103
7A.4,"Lodgments, civil, per 100,000 people",2015-16,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,Qld,110
7A.4,"Lodgments, civil, per 100,000 people",2015-16,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,WA,87
7A.4,"Lodgments, civil, per 100,000 people",2015-16,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,SA,142
7A.4,"Lodgments, civil, per 100,000 people",2015-16,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,Tas,110
7A.4,"Lodgments, civil, per 100,000 people",2015-16,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,ACT,73
7A.4,"Lodgments, civil, per 100,000 people",2015-16,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,NT,109
7A.4,"Lodgments, civil, per 100,000 people",2015-16,Lodgments,Lodgments; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,Aust,98
