table,table_title,year,measure,description1,description2,description4,description5,description6,data_source,unit,jurisdiction,value
7A.6,"Finalisations, civil",2016-17,Finalisations,Finalisations; civil,,,Deaths reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,na
7A.6,"Finalisations, civil",2016-17,Finalisations,Finalisations; civil,,,Fires reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,na
7A.6,"Finalisations, civil",2016-17,Finalisations,Finalisations; civil,,,Total coroners' courts (incl. deaths and fires reported),,Australian state and territory court authorities and departments (unpublished),no.,SA,1850
7A.6,"Finalisations, civil",2015-16,Finalisations,Finalisations; civil,,,Deaths reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,na
7A.6,"Finalisations, civil",2015-16,Finalisations,Finalisations; civil,,,Fires reported,,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,na
7A.6,"Finalisations, civil",2015-16,Finalisations,Finalisations; civil,,,Total coroners' courts (incl. deaths and fires reported),,Australian state and territory court authorities and departments (unpublished),no.,SA,2181
7A.8,"Finalisations, civil, per 100,000 people",2024-25,Finalisations,Finalisations; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,SA,221
7A.8,"Finalisations, civil, per 100,000 people",2023-24,Finalisations,Finalisations; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,SA,175
7A.8,"Finalisations, civil, per 100,000 people",2022-23,Finalisations,Finalisations; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,SA,175
7A.8,"Finalisations, civil, per 100,000 people",2021-22,Finalisations,Finalisations; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,SA,148
7A.8,"Finalisations, civil, per 100,000 people",2020-21,Finalisations,Finalisations; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,SA,160
7A.8,"Finalisations, civil, per 100,000 people",2019-20,Finalisations,Finalisations; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,SA,138
7A.8,"Finalisations, civil, per 100,000 people",2018-19,Finalisations,Finalisations; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,SA,155
7A.8,"Finalisations, civil, per 100,000 people",2017-18,Finalisations,Finalisations; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,SA,162
7A.8,"Finalisations, civil, per 100,000 people",2016-17,Finalisations,Finalisations; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,SA,108
7A.8,"Finalisations, civil, per 100,000 people",2015-16,Finalisations,Finalisations; civil; per 100000 people,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December,rate,SA,128
7A.12,"Real recurrent expenditure, civil, 2024-25 dollars",2024-25,Recurrent expenditure,Real recurrent expenditure; civil,Excluding payroll tax,Excluding autopsy and forensic science,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,5059
7A.12,"Real recurrent expenditure, civil, 2024-25 dollars",2024-25,Recurrent expenditure,Real recurrent expenditure; civil,Excluding payroll tax,Autopsy and forensic science,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,768
7A.12,"Real recurrent expenditure, civil, 2024-25 dollars",2024-25,Recurrent expenditure,Real recurrent expenditure; civil,Payroll tax where applicable,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,186
7A.12,"Real recurrent expenditure, civil, 2024-25 dollars",2023-24,Recurrent expenditure,Real recurrent expenditure; civil,Excluding payroll tax,Excluding autopsy and forensic science,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,5055
7A.12,"Real recurrent expenditure, civil, 2024-25 dollars",2023-24,Recurrent expenditure,Real recurrent expenditure; civil,Excluding payroll tax,Autopsy and forensic science,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,665
7A.12,"Real recurrent expenditure, civil, 2024-25 dollars",2023-24,Recurrent expenditure,Real recurrent expenditure; civil,Payroll tax where applicable,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,176
7A.12,"Real recurrent expenditure, civil, 2024-25 dollars",2022-23,Recurrent expenditure,Real recurrent expenditure; civil,Excluding payroll tax,Excluding autopsy and forensic science,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,5548
7A.12,"Real recurrent expenditure, civil, 2024-25 dollars",2022-23,Recurrent expenditure,Real recurrent expenditure; civil,Excluding payroll tax,Autopsy and forensic science,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,839
7A.12,"Real recurrent expenditure, civil, 2024-25 dollars",2022-23,Recurrent expenditure,Real recurrent expenditure; civil,Payroll tax where applicable,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,211
7A.12,"Real recurrent expenditure, civil, 2024-25 dollars",2021-22,Recurrent expenditure,Real recurrent expenditure; civil,Excluding payroll tax,Excluding autopsy and forensic science,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,5227
7A.12,"Real recurrent expenditure, civil, 2024-25 dollars",2021-22,Recurrent expenditure,Real recurrent expenditure; civil,Excluding payroll tax,Autopsy and forensic science,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,609
7A.12,"Real recurrent expenditure, civil, 2024-25 dollars",2021-22,Recurrent expenditure,Real recurrent expenditure; civil,Payroll tax where applicable,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,201
7A.12,"Real recurrent expenditure, civil, 2024-25 dollars",2020-21,Recurrent expenditure,Real recurrent expenditure; civil,Excluding payroll tax,Excluding autopsy and forensic science,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,5550
7A.12,"Real recurrent expenditure, civil, 2024-25 dollars",2020-21,Recurrent expenditure,Real recurrent expenditure; civil,Excluding payroll tax,Autopsy and forensic science,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,736
7A.12,"Real recurrent expenditure, civil, 2024-25 dollars",2020-21,Recurrent expenditure,Real recurrent expenditure; civil,Payroll tax where applicable,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,201
7A.12,"Real recurrent expenditure, civil, 2024-25 dollars",2019-20,Recurrent expenditure,Real recurrent expenditure; civil,Excluding payroll tax,Excluding autopsy and forensic science,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,5103
7A.12,"Real recurrent expenditure, civil, 2024-25 dollars",2019-20,Recurrent expenditure,Real recurrent expenditure; civil,Excluding payroll tax,Autopsy and forensic science,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,651
7A.12,"Real recurrent expenditure, civil, 2024-25 dollars",2019-20,Recurrent expenditure,Real recurrent expenditure; civil,Payroll tax where applicable,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,184
7A.12,"Real recurrent expenditure, civil, 2024-25 dollars",2018-19,Recurrent expenditure,Real recurrent expenditure; civil,Excluding payroll tax,Excluding autopsy and forensic science,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,6010
7A.12,"Real recurrent expenditure, civil, 2024-25 dollars",2018-19,Recurrent expenditure,Real recurrent expenditure; civil,Excluding payroll tax,Autopsy and forensic science,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,604
7A.12,"Real recurrent expenditure, civil, 2024-25 dollars",2018-19,Recurrent expenditure,Real recurrent expenditure; civil,Payroll tax where applicable,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,215
7A.12,"Real recurrent expenditure, civil, 2024-25 dollars",2017-18,Recurrent expenditure,Real recurrent expenditure; civil,Excluding payroll tax,Excluding autopsy and forensic science,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,5314
7A.12,"Real recurrent expenditure, civil, 2024-25 dollars",2017-18,Recurrent expenditure,Real recurrent expenditure; civil,Excluding payroll tax,Autopsy and forensic science,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,585
7A.12,"Real recurrent expenditure, civil, 2024-25 dollars",2017-18,Recurrent expenditure,Real recurrent expenditure; civil,Payroll tax where applicable,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,200
7A.12,"Real recurrent expenditure, civil, 2024-25 dollars",2016-17,Recurrent expenditure,Real recurrent expenditure; civil,Excluding payroll tax,Excluding autopsy and forensic science,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,4169
7A.12,"Real recurrent expenditure, civil, 2024-25 dollars",2016-17,Recurrent expenditure,Real recurrent expenditure; civil,Excluding payroll tax,Autopsy and forensic science,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,531
7A.12,"Real recurrent expenditure, civil, 2024-25 dollars",2016-17,Recurrent expenditure,Real recurrent expenditure; civil,Payroll tax where applicable,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,157
7A.12,"Real recurrent expenditure, civil, 2024-25 dollars",2015-16,Recurrent expenditure,Real recurrent expenditure; civil,Excluding payroll tax,Excluding autopsy and forensic science,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,4371
7A.12,"Real recurrent expenditure, civil, 2024-25 dollars",2015-16,Recurrent expenditure,Real recurrent expenditure; civil,Excluding payroll tax,Autopsy and forensic science,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,5405
7A.12,"Real recurrent expenditure, civil, 2024-25 dollars",2015-16,Recurrent expenditure,Real recurrent expenditure; civil,Payroll tax where applicable,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,157
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2024-25,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,26
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2023-24,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,42
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2022-23,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,36
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2021-22,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,45
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2020-21,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,40
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2019-20,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,34
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2018-19,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,39
7A.13,"Real income (excluding fines), criminal and civil, 2024-25 dollars",2017-18,Recurrent expenditure,Real income (excluding fines); civil,,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,SA,31
