date,location,unemployment_rate_trend_pct,unemployment_rate_seasonally_adjusted_pct,unemployment_rate_original_pct
1980-06,Queensland,6.72653,6.9741203,6.879743
1980-06,South Australia,8.104064,8.1995013,8.0536821
1980-06,Tasmania,6.2891778,6.4209982,6.1415951
1980-06,Victoria,5.9492017,6.1209209,6.0063998
1980-06,Western Australia,6.342115,6.3875612,6.1455242
1980-07,Australia,6.1751968,6.0742503,5.7843135
1980-07,Australian Capital Territory,5.952096,,5.8748708
1980-07,New South Wales,5.6528326,5.5827729,5.3277801
1980-07,Northern Territory,3.318608,,2.3850324
1980-07,Queensland,6.6561943,6.4584018,6.0786142
1980-07,South Australia,8.11888,7.8105804,7.5279236
1980-07,Tasmania,6.2217386,5.4221931,5.1584414
1980-07,Victoria,6.0169205,6.0137869,5.7273805
1980-07,Western Australia,6.2308875,6.0974215,6.0058835
1980-08,Australia,6.1374962,6.1769717,5.9095079
1980-08,Australian Capital Territory,5.9079346,,5.3109557
1980-08,New South Wales,5.6457504,5.7672989,5.4893842
1980-08,Northern Territory,3.3760611,,4.603277
1980-08,Queensland,6.5506266,6.4920168,5.9919904
1980-08,South Australia,8.0764446,7.9257443,7.98814
1980-08,Tasmania,6.168651,5.3043332,5.1701649
1980-08,Victoria,6.0581109,6.0432978,5.7521566
1980-08,Western Australia,6.1252256,6.2414115,6.2649056
1980-09,Australia,6.0810432,6.140812,6.0223764
1980-09,Australian Capital Territory,5.8577274,,5.9919492
1980-09,New South Wales,5.6152512,5.6650884,5.5234241
1980-09,Northern Territory,3.4856765,,4.6843591
1980-09,Queensland,6.4236712,6.524067,6.1440412
1980-09,South Australia,7.985386,8.0936036,8.2962258
1980-09,Tasmania,6.1332683,5.8531993,5.6992508
1980-09,Victoria,6.0647736,5.9581638,5.9950028
1980-09,Western Australia,6.0201279,6.0249987,5.8329547
1980-10,Australia,6.0168425,6.055053,5.6503626
1980-10,Australian Capital Territory,5.8108219,,4.5828774
1980-10,New South Wales,5.5727634,5.3680258,5.0376177
1980-10,Northern Territory,3.6409572,,4.5875725
1980-10,Queensland,6.2881412,6.2877746,5.5434268
1980-10,South Australia,7.8642551,7.8401664,7.75444
1980-10,Tasmania,6.1221185,6.1120264,5.8136206
1980-10,Victoria,6.050736,6.1073307,5.8220986
1980-10,Western Australia,5.9216649,6.2676644,5.85578
1980-11,Australia,5.9514063,5.8503013,5.3664835
1980-11,Australian Capital Territory,5.7804467,,4.2831404
1980-11,New South Wales,5.5283425,5.3917267,5.0610289
1980-11,Northern Territory,3.8256237,,3.8962325
1980-11,Queensland,6.1512615,5.9853046,5.2553681
1980-11,South Australia,7.7469657,7.7323407,7.285058
1980-11,Tasmania,6.1382337,6.381518,5.9162353
1980-11,Victoria,6.0098936,5.8992402,5.3249737
1980-11,Western Australia,5.8435125,5.6363305,5.1263064
1980-12,Australia,5.8850419,6.0510647,6.3493654
1980-12,Australian Capital Territory,5.7718191,,5.7550571
1980-12,New South Wales,5.4753056,5.587436,5.730933
1980-12,Northern Territory,4.0151547,,4.0511958
1980-12,Queensland,6.0203343,6.2378003,6.7144399
1980-12,South Australia,7.6583093,7.4160547,7.5251686
1980-12,Tasmania,6.1780766,6.6674571,7.4065733
1980-12,Victoria,5.9453063,6.1511927,6.4818896
1980-12,Western Australia,5.7989983,6.1656658,6.5756421
1981-01,Australia,5.8125706,5.9157692,6.488085
1981-01,Australian Capital Territory,5.7849085,,6.2655904
1981-01,New South Wales,5.3971716,5.5691451,6.093172
1981-01,Northern Territory,4.1991256,,5.2479693
1981-01,Queensland,5.893047,6.2019598,7.0268284
1981-01,South Australia,7.6021987,7.7815754,8.3706447
1981-01,Tasmania,6.2342616,6.2547002,7.1093066
1981-01,Victoria,5.8589459,5.7182511,6.0535251
1981-01,Western Australia,5.7760503,5.8611524,6.5137261
1981-02,Australia,5.7376269,5.6164556,6.3037577
1981-02,Australian Capital Territory,5.8232544,,8.2840145
1981-02,New South Wales,5.2997096,5.2163436,5.7968133
1981-02,Northern Territory,4.3829703,,3.4390995
1981-02,Queensland,5.7811504,5.5933138,6.4539929
1981-02,South Australia,7.5821125,7.1804376,7.6459873
1981-02,Tasmania,6.307816,6.155633,6.6846574
1981-02,Victoria,5.753238,5.7232125,6.3565846
1981-02,Western Australia,5.7608975,5.657897,6.3516356
1981-03,Australia,5.6733635,5.7461505,6.0418269
1981-03,Australian Capital Territory,5.8876145,,6.484994
1981-03,New South Wales,5.1934291,5.2128226,5.5029202
1981-03,Northern Territory,4.5567597,,3.8414821
1981-03,Queensland,5.7076939,5.7694037,6.2268525
1981-03,South Australia,7.607662,7.2597606,7.35097
1981-03,Tasmania,6.399659,6.6121257,6.9022868
1981-03,Victoria,5.6484741,5.8295904,6.0899207
1981-03,Western Australia,5.7486978,5.959456,6.2407401
1981-04,Australia,5.6333998,5.5548927,5.5758833
1981-04,Australian Capital Territory,5.961261,,4.9364283
1981-04,New South Wales,5.0913051,5.0645213,5.1195903
1981-04,Northern Territory,4.696705,,5.5160409
1981-04,Queensland,5.673069,5.7136729,5.9320209
1981-04,South Australia,7.65926,7.93243,7.644564
1981-04,Tasmania,6.5120437,6.4228887,6.0045179
1981-04,Victoria,5.5754113,5.3203535,5.3571805
1981-04,Western Australia,5.7490592,5.4516336,5.3278682
1981-05,Australia,5.6267735,5.5888231,5.5847502
1981-05,Australian Capital Territory,6.0247792,,6.5666957
1981-05,New South Wales,5.0123444,4.9459021,4.9658995
1981-05,Northern Territory,4.7827065,,5.0531549
1981-05,Queensland,5.6716923,5.5254943,5.5574607
1981-05,South Australia,7.7161739,7.7451268,7.6727887
1981-05,Tasmania,6.6406994,5.4250532,5.2866955
1981-05,Victoria,5.5513501,5.6731837,5.7202747
1981-05,Western Australia,5.7738083,5.8576245,5.5049064
1981-06,Australia,5.6551395,5.3743456,5.2259643
1981-06,Australian Capital Territory,6.058988,,5.6511973
1981-06,New South Wales,4.984092,4.5097853,4.3761572
1981-06,Northern Territory,4.8192114,,6.4332326
1981-06,Queensland,5.69284,5.5440813,5.4169699
1981-06,South Australia,7.7732247,7.5045769,7.3479848
1981-06,Tasmania,6.7843837,6.4363407,6.1444365
1981-06,Victoria,5.5664956,5.3825739,5.2854533
1981-06,Western Australia,5.8322055,5.638678,5.4390961
1981-07,Australia,5.7108082,5.8242583,5.5593825
1981-07,Australian Capital Territory,6.057743,,6.0416475
1981-07,New South Wales,5.0161676,5.1379997,4.8962775
1981-07,Northern Territory,4.8293535,,5.8237406
