lga_code,lga_name,sex,year,population,is_total_row
46860,Robe (DC),Persons,2026,1458,False
46860,Robe (DC),Persons,2031,1481,False
46860,Robe (DC),Persons,2036,1501,False
46970,Roxby Downs (M),Persons,2016,4052,False
46970,Roxby Downs (M),Persons,2021,3928,False
46970,Roxby Downs (M),Persons,2026,3931,False
46970,Roxby Downs (M),Persons,2031,3919,False
46970,Roxby Downs (M),Persons,2036,3902,False
47140,Salisbury (C),Persons,2016,140370,False
47140,Salisbury (C),Persons,2021,144694,False
47140,Salisbury (C),Persons,2026,149416,False
47140,Salisbury (C),Persons,2031,153039,False
47140,Salisbury (C),Persons,2036,156120,False
47290,Southern Mallee (DC),Persons,2016,2063,False
47290,Southern Mallee (DC),Persons,2021,2067,False
47290,Southern Mallee (DC),Persons,2026,2067,False
47290,Southern Mallee (DC),Persons,2031,2058,False
47290,Southern Mallee (DC),Persons,2036,2040,False
47490,Streaky Bay (DC),Persons,2016,2191,False
47490,Streaky Bay (DC),Persons,2021,2157,False
47490,Streaky Bay (DC),Persons,2026,2147,False
47490,Streaky Bay (DC),Persons,2031,2161,False
47490,Streaky Bay (DC),Persons,2036,2168,False
47630,Tatiara (DC),Persons,2016,6817,False
47630,Tatiara (DC),Persons,2021,6892,False
47630,Tatiara (DC),Persons,2026,6921,False
47630,Tatiara (DC),Persons,2031,6935,False
47630,Tatiara (DC),Persons,2036,6934,False
47700,Tea Tree Gully (C),Persons,2016,99144,False
47700,Tea Tree Gully (C),Persons,2021,101319,False
47700,Tea Tree Gully (C),Persons,2026,105211,False
47700,Tea Tree Gully (C),Persons,2031,108271,False
47700,Tea Tree Gully (C),Persons,2036,110739,False
47800,The Coorong (DC),Persons,2016,5531,False
47800,The Coorong (DC),Persons,2021,5611,False
47800,The Coorong (DC),Persons,2026,5644,False
47800,The Coorong (DC),Persons,2031,5649,False
47800,The Coorong (DC),Persons,2036,5623,False
47910,Tumby Bay (DC),Persons,2016,2666,False
47910,Tumby Bay (DC),Persons,2021,2612,False
47910,Tumby Bay (DC),Persons,2026,2655,False
47910,Tumby Bay (DC),Persons,2031,2658,False
47910,Tumby Bay (DC),Persons,2036,2671,False
47980,Unley (C),Persons,2016,38939,False
47980,Unley (C),Persons,2021,38792,False
47980,Unley (C),Persons,2026,39241,False
47980,Unley (C),Persons,2031,40077,False
47980,Unley (C),Persons,2036,40932,False
48050,Victor Harbor (C),Persons,2016,15018,False
48050,Victor Harbor (C),Persons,2021,16014,False
48050,Victor Harbor (C),Persons,2026,16985,False
48050,Victor Harbor (C),Persons,2031,17898,False
48050,Victor Harbor (C),Persons,2036,18774,False
48130,Wakefield (DC),Persons,2016,6927,False
48130,Wakefield (DC),Persons,2021,7097,False
48130,Wakefield (DC),Persons,2026,7287,False
48130,Wakefield (DC),Persons,2031,7445,False
48130,Wakefield (DC),Persons,2036,7579,False
48260,Walkerville (M),Persons,2016,7781,False
48260,Walkerville (M),Persons,2021,7969,False
48260,Walkerville (M),Persons,2026,8225,False
48260,Walkerville (M),Persons,2031,8439,False
48260,Walkerville (M),Persons,2036,8622,False
48340,Wattle Range (DC),Persons,2016,12024,False
48340,Wattle Range (DC),Persons,2021,12016,False
48340,Wattle Range (DC),Persons,2026,12070,False
48340,Wattle Range (DC),Persons,2031,12096,False
48340,Wattle Range (DC),Persons,2036,12097,False
48410,West Torrens (C),Persons,2016,59413,False
48410,West Torrens (C),Persons,2021,60944,False
48410,West Torrens (C),Persons,2026,63341,False
48410,West Torrens (C),Persons,2031,66213,False
48410,West Torrens (C),Persons,2036,68999,False
48540,Whyalla (C),Persons,2016,22509,False
48540,Whyalla (C),Persons,2021,21976,False
48540,Whyalla (C),Persons,2026,22236,False
48540,Whyalla (C),Persons,2031,22440,False
48540,Whyalla (C),Persons,2036,22580,False
48640,Wudinna (DC),Persons,2016,1274,False
48640,Wudinna (DC),Persons,2021,1199,False
48640,Wudinna (DC),Persons,2026,1180,False
48640,Wudinna (DC),Persons,2031,1160,False
48640,Wudinna (DC),Persons,2036,1141,False
48750,Yankalilla (DC),Persons,2016,5273,False
48750,Yankalilla (DC),Persons,2021,5666,False
48750,Yankalilla (DC),Persons,2026,6090,False
48750,Yankalilla (DC),Persons,2031,6488,False
48750,Yankalilla (DC),Persons,2036,6861,False
48830,Yorke Peninsula (DC),Persons,2016,11291,False
48830,Yorke Peninsula (DC),Persons,2021,11412,False
48830,Yorke Peninsula (DC),Persons,2026,11598,False
48830,Yorke Peninsula (DC),Persons,2031,11755,False
48830,Yorke Peninsula (DC),Persons,2036,11878,False
49399,Unincorporated SA,Persons,2016,3583,False
