region_code,sa2_code,sa2_name,sex,year,population,is_total_row
AIS,41063,Sheidow Park - Trott Park,Persons,2036,11653,False
AIS,41064,Warradale,Persons,2016,15173,False
AIS,41064,Warradale,Persons,2021,16936,False
AIS,41064,Warradale,Persons,2026,17736,False
AIS,41064,Warradale,Persons,2031,18345,False
AIS,41064,Warradale,Persons,2036,18573,False
AIS,41065,Belair,Persons,2016,4686,False
AIS,41065,Belair,Persons,2021,4703,False
AIS,41065,Belair,Persons,2026,4723,False
AIS,41065,Belair,Persons,2031,4771,False
AIS,41065,Belair,Persons,2036,4885,False
AIS,41066,Bellevue Heights,Persons,2016,7569,False
AIS,41066,Bellevue Heights,Persons,2021,7609,False
AIS,41066,Bellevue Heights,Persons,2026,7873,False
AIS,41066,Bellevue Heights,Persons,2031,8370,False
AIS,41066,Bellevue Heights,Persons,2036,9137,False
AIS,41067,Blackwood,Persons,2016,12307,False
AIS,41067,Blackwood,Persons,2021,12758,False
AIS,41067,Blackwood,Persons,2026,13379,False
AIS,41067,Blackwood,Persons,2031,13546,False
AIS,41067,Blackwood,Persons,2036,13865,False
AIS,41068,Colonel Light Gardens,Persons,2016,15933,False
AIS,41068,Colonel Light Gardens,Persons,2021,15879,False
AIS,41068,Colonel Light Gardens,Persons,2026,15945,False
AIS,41068,Colonel Light Gardens,Persons,2031,16083,False
AIS,41068,Colonel Light Gardens,Persons,2036,16197,False
AIS,41069,Mitcham (SA),Persons,2016,16349,False
AIS,41069,Mitcham (SA),Persons,2021,16413,False
AIS,41069,Mitcham (SA),Persons,2026,16541,False
AIS,41069,Mitcham (SA),Persons,2031,16762,False
AIS,41069,Mitcham (SA),Persons,2036,17037,False
AIS,41070,Panorama,Persons,2016,8324,False
AIS,41070,Panorama,Persons,2021,8430,False
AIS,41070,Panorama,Persons,2026,8572,False
AIS,41070,Panorama,Persons,2031,8727,False
AIS,41070,Panorama,Persons,2036,8843,False
AIS,,SUBTOTAL Adelaide - Inner South,Persons,2016,191999,True
AIS,,SUBTOTAL Adelaide - Inner South,Persons,2021,198517,True
AIS,,SUBTOTAL Adelaide - Inner South,Persons,2026,205104,True
AIS,,SUBTOTAL Adelaide - Inner South,Persons,2031,211632,True
AIS,,SUBTOTAL Adelaide - Inner South,Persons,2036,216057,True
AOS,41071,Aberfoyle Park,Persons,2016,11863,False
AOS,41071,Aberfoyle Park,Persons,2021,11747,False
AOS,41071,Aberfoyle Park,Persons,2026,11776,False
AOS,41071,Aberfoyle Park,Persons,2031,11858,False
AOS,41071,Aberfoyle Park,Persons,2036,11952,False
AOS,41072,Aldinga,Persons,2016,15627,False
AOS,41072,Aldinga,Persons,2021,16374,False
AOS,41072,Aldinga,Persons,2026,18443,False
AOS,41072,Aldinga,Persons,2031,19410,False
AOS,41072,Aldinga,Persons,2036,19945,False
AOS,41073,Christie Downs,Persons,2016,9499,False
AOS,41073,Christie Downs,Persons,2021,9525,False
AOS,41073,Christie Downs,Persons,2026,9587,False
AOS,41073,Christie Downs,Persons,2031,9987,False
AOS,41073,Christie Downs,Persons,2036,10428,False
AOS,41075,Clarendon,Persons,2016,2739,False
AOS,41075,Clarendon,Persons,2021,2762,False
AOS,41075,Clarendon,Persons,2026,2812,False
AOS,41075,Clarendon,Persons,2031,2826,False
AOS,41075,Clarendon,Persons,2036,2887,False
AOS,41076,Coromandel Valley,Persons,2016,4435,False
AOS,41076,Coromandel Valley,Persons,2021,4391,False
AOS,41076,Coromandel Valley,Persons,2026,4408,False
AOS,41076,Coromandel Valley,Persons,2031,4447,False
AOS,41076,Coromandel Valley,Persons,2036,4546,False
AOS,41077,Flagstaff Hill,Persons,2016,10771,False
AOS,41077,Flagstaff Hill,Persons,2021,10982,False
AOS,41077,Flagstaff Hill,Persons,2026,11372,False
AOS,41077,Flagstaff Hill,Persons,2031,11782,False
AOS,41077,Flagstaff Hill,Persons,2036,12048,False
AOS,41078,Hackham - Onkaparinga Hills,Persons,2016,6352,False
AOS,41078,Hackham - Onkaparinga Hills,Persons,2021,6530,False
AOS,41078,Hackham - Onkaparinga Hills,Persons,2026,6953,False
AOS,41078,Hackham - Onkaparinga Hills,Persons,2031,7813,False
AOS,41078,Hackham - Onkaparinga Hills,Persons,2036,8906,False
AOS,41079,Hackham West - Huntfield Heights,Persons,2016,7651,False
AOS,41079,Hackham West - Huntfield Heights,Persons,2021,7728,False
AOS,41079,Hackham West - Huntfield Heights,Persons,2026,7781,False
AOS,41079,Hackham West - Huntfield Heights,Persons,2031,7863,False
AOS,41079,Hackham West - Huntfield Heights,Persons,2036,8000,False
AOS,41083,McLaren Vale,Persons,2016,6090,False
AOS,41083,McLaren Vale,Persons,2021,7260,False
AOS,41083,McLaren Vale,Persons,2026,8505,False
AOS,41083,McLaren Vale,Persons,2031,8743,False
AOS,41083,McLaren Vale,Persons,2036,8832,False
AOS,41084,Morphett Vale - East,Persons,2016,13739,False
AOS,41084,Morphett Vale - East,Persons,2021,13994,False
AOS,41084,Morphett Vale - East,Persons,2026,14047,False
AOS,41084,Morphett Vale - East,Persons,2031,14179,False
AOS,41084,Morphett Vale - East,Persons,2036,14320,False
AOS,41085,Morphett Vale - West,Persons,2016,9591,False
AOS,41085,Morphett Vale - West,Persons,2021,9983,False
AOS,41085,Morphett Vale - West,Persons,2026,10053,False
AOS,41085,Morphett Vale - West,Persons,2031,10166,False
AOS,41085,Morphett Vale - West,Persons,2036,10263,False
AOS,41086,Reynella,Persons,2016,10231,False
AOS,41086,Reynella,Persons,2021,10230,False
AOS,41086,Reynella,Persons,2026,10333,False
AOS,41086,Reynella,Persons,2031,10484,False
AOS,41086,Reynella,Persons,2036,10623,False
AOS,41087,Seaford (SA),Persons,2016,22828,False
AOS,41087,Seaford (SA),Persons,2021,24783,False
AOS,41087,Seaford (SA),Persons,2026,25861,False
AOS,41087,Seaford (SA),Persons,2031,26714,False
AOS,41087,Seaford (SA),Persons,2036,27662,False
AOS,41088,Willunga,Persons,2016,3470,False
AOS,41088,Willunga,Persons,2021,3521,False
AOS,41088,Willunga,Persons,2026,3544,False
AOS,41088,Willunga,Persons,2031,3591,False
AOS,41088,Willunga,Persons,2036,3719,False
AOS,41089,Woodcroft,Persons,2016,11558,False
AOS,41089,Woodcroft,Persons,2021,11518,False
AOS,41089,Woodcroft,Persons,2026,11523,False
AOS,41089,Woodcroft,Persons,2031,11597,False
AOS,41089,Woodcroft,Persons,2036,11704,False
AOS,48001,Christies Beach - Lonsdale,Persons,2016,10412,False
AOS,48001,Christies Beach - Lonsdale,Persons,2021,11061,False
AOS,48001,Christies Beach - Lonsdale,Persons,2026,11572,False
AOS,48001,Christies Beach - Lonsdale,Persons,2031,12093,False
AOS,48001,Christies Beach - Lonsdale,Persons,2036,12429,False
AOS,48002,Happy Valley - Happy Valley Reservoir,Persons,2016,13830,False
AOS,48002,Happy Valley - Happy Valley Reservoir,Persons,2021,13977,False
AOS,48002,Happy Valley - Happy Valley Reservoir,Persons,2026,13999,False
AOS,48002,Happy Valley - Happy Valley Reservoir,Persons,2031,14099,False
AOS,48002,Happy Valley - Happy Valley Reservoir,Persons,2036,14252,False
AOS,,SUBTOTAL Adelaide - Outer South,Persons,2016,170686,True
AOS,,SUBTOTAL Adelaide - Outer South,Persons,2021,176366,True
AOS,,SUBTOTAL Adelaide - Outer South,Persons,2026,182569,True
AOS,,SUBTOTAL Adelaide - Outer South,Persons,2031,187652,True
AOS,,SUBTOTAL Adelaide - Outer South,Persons,2036,192516,True
AS,,TOTAL Adelaide - South,Persons,2016,362685,True
AS,,TOTAL Adelaide - South,Persons,2021,374883,True
AS,,TOTAL Adelaide - South,Persons,2026,387673,True
AS,,TOTAL Adelaide - South,Persons,2031,399284,True
AS,,TOTAL Adelaide - South,Persons,2036,408573,True
AW,41090,Beverley,Persons,2016,7936,False
AW,41090,Beverley,Persons,2021,8585,False
AW,41090,Beverley,Persons,2026,9073,False
AW,41090,Beverley,Persons,2031,9496,False
AW,41090,Beverley,Persons,2036,9864,False
AW,41091,Flinders Park,Persons,2016,14866,False
AW,41091,Flinders Park,Persons,2021,15442,False
AW,41091,Flinders Park,Persons,2026,16290,False
AW,41091,Flinders Park,Persons,2031,17112,False
AW,41091,Flinders Park,Persons,2036,17900,False
AW,41092,Henley Beach,Persons,2016,15273,False
AW,41092,Henley Beach,Persons,2021,15471,False
AW,41092,Henley Beach,Persons,2026,15853,False
AW,41092,Henley Beach,Persons,2031,16316,False
AW,41092,Henley Beach,Persons,2036,16936,False
AW,41093,Hindmarsh - Brompton,Persons,2016,18158,False
AW,41093,Hindmarsh - Brompton,Persons,2021,19491,False
AW,41093,Hindmarsh - Brompton,Persons,2026,20727,False
AW,41093,Hindmarsh - Brompton,Persons,2031,22212,False
AW,41093,Hindmarsh - Brompton,Persons,2036,23924,False
AW,41094,Royal Park - Hendon - Albert Park,Persons,2016,6010,False
AW,41094,Royal Park - Hendon - Albert Park,Persons,2021,6229,False
AW,41094,Royal Park - Hendon - Albert Park,Persons,2026,6270,False
AW,41094,Royal Park - Hendon - Albert Park,Persons,2031,6362,False
AW,41094,Royal Park - Hendon - Albert Park,Persons,2036,6537,False
AW,41095,Seaton - Grange,Persons,2016,16805,False
AW,41095,Seaton - Grange,Persons,2021,18251,False
AW,41095,Seaton - Grange,Persons,2026,18897,False
AW,41095,Seaton - Grange,Persons,2031,19658,False
AW,41095,Seaton - Grange,Persons,2036,20483,False
AW,41096,West Lakes,Persons,2016,14841,False
AW,41096,West Lakes,Persons,2021,15037,False
AW,41096,West Lakes,Persons,2026,15730,False
AW,41096,West Lakes,Persons,2031,16550,False
AW,41096,West Lakes,Persons,2036,17517,False
AW,41097,Woodville - Cheltenham,Persons,2016,17929,False
AW,41097,Woodville - Cheltenham,Persons,2021,19363,False
AW,41097,Woodville - Cheltenham,Persons,2026,20289,False
AW,41097,Woodville - Cheltenham,Persons,2031,20836,False
AW,41097,Woodville - Cheltenham,Persons,2036,21606,False
AW,41099,Largs Bay - Semaphore,Persons,2016,14824,False
AW,41099,Largs Bay - Semaphore,Persons,2021,14859,False
AW,41099,Largs Bay - Semaphore,Persons,2026,15515,False
AW,41099,Largs Bay - Semaphore,Persons,2031,16350,False
AW,41099,Largs Bay - Semaphore,Persons,2036,16913,False
AW,41101,Port Adelaide,Persons,2016,10987,False
AW,41101,Port Adelaide,Persons,2021,11456,False
AW,41101,Port Adelaide,Persons,2026,12415,False
AW,41101,Port Adelaide,Persons,2031,13732,False
AW,41101,Port Adelaide,Persons,2036,14924,False
AW,41105,Fulham,Persons,2016,2752,False
AW,41105,Fulham,Persons,2021,2785,False
AW,41105,Fulham,Persons,2026,2798,False
AW,41105,Fulham,Persons,2031,2838,False
AW,41105,Fulham,Persons,2036,2917,False
AW,41106,Lockleys,Persons,2016,13016,False
AW,41106,Lockleys,Persons,2021,13388,False
AW,41106,Lockleys,Persons,2026,13754,False
AW,41106,Lockleys,Persons,2031,14243,False
AW,41106,Lockleys,Persons,2036,14771,False
AW,41107,Plympton,Persons,2016,24828,False
AW,41107,Plympton,Persons,2021,25653,False
AW,41107,Plympton,Persons,2026,26736,False
AW,41107,Plympton,Persons,2031,28025,False
AW,41107,Plympton,Persons,2036,29517,False
AW,41108,Richmond (SA),Persons,2016,16975,False
AW,41108,Richmond (SA),Persons,2021,17259,False
AW,41108,Richmond (SA),Persons,2026,18171,False
AW,41108,Richmond (SA),Persons,2031,19188,False
