scientific_name,common_name,current_scientific_name,threatened_status,act,nsw,nt,qld,sa,tas,vic,wa,aci_ashmore_cartier_islands,cki_cocos_keeling_islands,ci_christmas_island,csi_coral_sea_islands,jbt_jervis_bay_territory,nfi_norfolk_island,hmi_heard_mcdonald_islands,aat_australian_antarctic_territory,cma_commonwealth_marine_area,listed_sprat_taxon_id,current_sprat_taxon_id,kingdom,class,sprat_profile_url,date_extracted,nsl_name_url,family,genus,species,infraspecific_rank,infraspecies,species_author,infraspecies_author
Acanthiza lineata whitei,Kangaroo Island Striated Thornbill,-,Vulnerable,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,80759,-,Animalia,Aves,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=80759,2026-02-06,-,Acanthizidae,Acanthiza,lineata,-,whitei,-,"Mathews, 1920"
Acanthocladium dockeri,"Spiny Everlasting, Spiny Daisy",-,Critically Endangered,-,Yes,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,17632,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=17632,2026-02-06,https://id.biodiversity.org.au/name/apni/72668,Asteraceae,Acanthocladium,dockeri,-,-,F.Muell.,-
Allocasuarina robusta,Mount Compass Oak-bush,-,Endangered,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,16377,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=16377,2026-02-06,https://id.biodiversity.org.au/name/apni/82344,Casuarinaceae,Allocasuarina,robusta,-,-,(Macklin) L.A.S.Johnson,-
Amphibromus fluitans,"River Swamp Wallaby-grass, Floating Swamp Wallaby-grass",-,Vulnerable,-,Yes,-,-,Yes,Yes,Yes,-,-,-,-,-,-,-,-,-,-,19215,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=19215,2026-02-06,https://id.biodiversity.org.au/name/apni/86430,Poaceae,Amphibromus,fluitans,-,-,Kirk,-
Amytornis barbatus barbatus,"Bulloo Grey Grasswren, Grey Grasswren (Bulloo)",-,Endangered,-,Yes,-,Yes,Yes,-,-,-,-,-,-,-,-,-,-,-,-,67065,-,Animalia,Aves,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=67065,2026-02-06,-,Maluridae,Amytornis,barbatus,-,barbatus,"Favaloro  McEvey, 1968",-
Amytornis merrotsyi merrotsyi,Short-tailed Grasswren (Flinders Ranges),-,Vulnerable,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,86269,-,Animalia,Aves,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=86269,2026-02-06,-,Maluridae,Amytornis,merrotsyi,-,merrotsyi,"Mellor, 1913",-
Amytornis merrotsyi pedleri,"Gawler Ranges Short-tailed Grasswren, Short-tailed Grasswren (Gawler Ranges)",-,Endangered,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,86270,-,Animalia,Aves,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=86270,2026-02-06,-,Maluridae,Amytornis,merrotsyi,-,pedleri,-,"Christidis, Horton  Norman, 2008"
Amytornis modestus,Thick-billed Grasswren,-,Vulnerable,-,Yes,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,84121,-,Animalia,Aves,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=84121,2026-02-06,-,Maluridae,Amytornis,modestus,-,-,"(North, 1902)",-
Amytornis striatus howei,"Murray Mallee Striated Grasswren, Striated Grasswren (sandplain)",-,Endangered,-,Yes,-,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,91648,-,Animalia,Aves,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=91648,2026-02-06,-,Maluridae,Amytornis,striatus,-,howei,-,"(Mathews, 1912)"
Amytornis textilis myall,Western Grasswren (Gawler Ranges),-,Vulnerable,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,64454,-,Animalia,Aves,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64454,2026-02-06,-,Maluridae,Amytornis,textilis,-,myall,-,"(Mathews, 1916)"
Antechinus minimus maritimus,Swamp Antechinus (mainland),-,Vulnerable,-,-,-,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,83086,-,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83086,2026-02-06,-,Dasyuridae,Antechinus,minimus,-,maritimus,-,"(Finlayson, 1958)"
Anthochaera chrysoptera halmaturina,Kangaroo Island Little Wattlebird,-,Vulnerable,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,80437,-,Animalia,Aves,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=80437,2026-02-06,-,Meliphagidae,Anthochaera,chrysoptera,-,halmaturina,-,"(Mathews, 1912)"
Anthochaera phrygia,Regent Honeyeater,-,Critically Endangered,Yes,Yes,-,Yes,Yes,-,Yes,-,-,-,-,-,Yes,-,-,-,-,82338,-,Animalia,Aves,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=82338,2026-02-06,-,Meliphagidae,Anthochaera,phrygia,-,-,"(Shaw, 1794)",-
Aphelocephala leucopsis,Southern Whiteface,-,Vulnerable,Yes,Yes,Yes,Yes,Yes,-,Yes,Yes,-,-,-,-,-,-,-,-,-,529,-,Animalia,Aves,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=529,2026-02-06,-,Pardalotidae,Aphelocephala,leucopsis,-,-,"(Gould,1841)",-
Aprasia aurita,"Eared Worm-lizard, Mallee Worm-lizard",-,Endangered,-,-,-,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,1662,-,Animalia,Reptilia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1662,2026-02-06,-,Pygopodidae,Aprasia,aurita,-,-,"Kluge, 1974",-
Aprasia pseudopulchella,Flinders Ranges Worm-lizard,-,Vulnerable,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,1666,-,Animalia,Reptilia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1666,2026-02-06,-,Pygopodidae,Aprasia,pseudopulchella,-,-,"Kluge,1974",-
Ardenna grisea,Sooty Shearwater,-,Vulnerable,-,Yes,-,Yes,Yes,Yes,Yes,Yes,-,-,-,-,Yes,-,Yes,Yes,Yes,82651,-,Animalia,Aves,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=82651,2026-02-06,-,Procellariidae,Ardenna,grisea,-,-,"(J.F. Gmelin, 1789)",-
Arenaria interpres,Ruddy Turnstone,-,Vulnerable,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-,-,-,-,-,-,-,-,Yes,872,-,Animalia,Aves,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=872,2026-02-06,-,Scolopacidae,Arenaria,interpres,-,-,"(Linnaeus,1758)",-
Asperula tetraphylla,Kangaroo Island Woodruff,-,Vulnerable,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,85221,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=85221,2026-02-06,https://id.biodiversity.org.au/name/apni/217946,Rubiaceae,Asperula,tetraphylla,-,-,(Airy Shaw  Turrill) I.Thomps.,-
Asterolasia phebalioides,Downy Star-bush,-,Vulnerable,-,-,-,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,3599,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=3599,2026-02-06,https://id.biodiversity.org.au/name/apni/108228,Rutaceae,Asterolasia,phebalioides,-,-,F.Muell.,-
Austrostipa metatoris,-,-,Vulnerable,-,Yes,-,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,66704,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66704,2026-02-06,https://id.biodiversity.org.au/name/apni/163146,Poaceae,Austrostipa,metatoris,-,-,(J.Everett  S.W.L.Jacobs) S.W.L.Jacobs  J.Everett,-
Balaenoptera borealis,Sei Whale,-,Vulnerable,-,Yes,-,Yes,Yes,Yes,Yes,Yes,-,Yes,Yes,Yes,-,-,Yes,Yes,Yes,34,-,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=34,2026-02-06,-,Balaenopteridae,Balaenoptera,borealis,-,-,"Lesson, 1828",-
Balaenoptera musculus,Blue Whale,-,Endangered,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-,Yes,Yes,Yes,Yes,36,-,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=36,2026-02-06,-,Balaenopteridae,Balaenoptera,musculus,-,-,"(Linnaeus, 1758)",-
Balaenoptera physalus,Fin Whale,-,Vulnerable,-,Yes,-,Yes,Yes,Yes,Yes,Yes,-,-,-,-,-,-,Yes,Yes,Yes,37,-,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=37,2026-02-06,-,Balaenopteridae,Balaenoptera,physalus,-,-,"(Linnaeus, 1758)",-
Bettongia gaimardi gaimardi,"Eastern Bettong (mainland), Eastern Rat-kangaroo",-,Extinct,-,Yes,-,Yes,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,66656,-,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66656,2026-02-06,-,Potoroidae,Bettongia,gaimardi,-,gaimardi,"(Desmarest,1822)",-
Bettongia lesueur graii,"Boodie (inland), Burrowing Bettong (inland)",-,Extinct,-,Yes,Yes,Yes,Yes,-,-,Yes,-,-,-,-,-,-,-,-,-,66657,-,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66657,2026-02-06,-,Potoroidae,Bettongia,lesueur,-,graii,-,"(Gould, 1841)"
Bettongia lesueur lesueur,"Burrowing Bettong (Shark Bay), Boodie",-,Vulnerable,-,Yes,-,-,Yes,-,-,Yes,-,-,-,-,-,-,-,-,-,66659,-,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66659,2026-02-06,-,Potoroidae,Bettongia,lesueur,-,lesueur,"(Quoy and Gaimard,1824)",-
Bettongia penicillata ogilbyi,Woylie,-,Endangered,-,Yes,-,-,Yes,-,-,Yes,-,-,-,-,-,-,-,-,-,66844,-,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66844,2026-02-06,-,Potoroidae,Bettongia,penicillata,-,ogilbyi,-,"(Waterhouse, 1841)"
Bettongia penicillata penicillata,"Brush-tailed Bettong (central and south-east), Brush-tailed Bettong (south-east mainland)",-,Extinct,-,Yes,Yes,Yes,Yes,-,Yes,Yes,-,-,-,-,-,-,-,-,-,66658,-,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66658,2026-02-06,-,Potoroidae,Bettongia,penicillata,-,penicillata,"Gray, 1837",-
Bettongia pusilla,Nullarbor Dwarf Bettong,-,Extinct,-,-,-,-,Yes,-,-,Yes,-,-,-,-,-,-,-,-,-,85133,-,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=85133,2026-02-06,-,Potoroidae,Bettongia,pusilla,-,-,"McNamara, 1997",-
Beyeria subtecta,Kangaroo Island Turpentine Bush,-,Vulnerable,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,2076,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=2076,2026-02-06,https://id.biodiversity.org.au/name/apni/115914,Euphorbiaceae,Beyeria,subtecta,-,-,J.Black,-
Bidyanus bidyanus,"Silver Perch, Bidyan",-,Endangered,Yes,Yes,-,Yes,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,76155,-,Animalia,Actinopterygii,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=76155,2026-02-06,-,Terapontidae,Bidyanus,bidyanus,-,-,"Mitchell, 1838",-
Bossiaea peninsularis,Sword Bossiaea,-,Endangered,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,86647,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=86647,2026-02-06,https://id.biodiversity.org.au/name/apni/240243,Fabaceae,Bossiaea,peninsularis,-,-,I.Thomps.,-
Botaurus poiciloptilus,Australasian Bittern,-,Endangered,Yes,Yes,-,Yes,Yes,Yes,Yes,Yes,-,-,-,-,-,-,-,-,-,1001,-,Animalia,Aves,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1001,2026-02-06,-,Ardeidae,Botaurus,poiciloptilus,-,-,"(Wagler, 1827)",-
Brachyscome muelleri,Corunna Daisy,-,Endangered,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,18836,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=18836,2026-02-06,https://id.biodiversity.org.au/name/apni/65349,Asteraceae,Brachyscome,muelleri,-,-,Sonder,-
Caladenia argocalla,White-beauty Spider-orchid,-,Endangered,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,54991,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=54991,2026-02-06,https://id.biodiversity.org.au/name/apni/117351,Orchidaceae,Caladenia,argocalla,-,-,D.L.Jones,-
Caladenia behrii,Pink-lipped Spider-orchid,-,Endangered,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,11161,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=11161,2026-02-06,https://id.biodiversity.org.au/name/apni/90675,Orchidaceae,Caladenia,behrii,-,-,Schldl.,-
Caladenia brumalis,Winter Spider-orchid,-,Vulnerable,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,54993,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=54993,2026-02-06,https://id.biodiversity.org.au/name/apni/117353,Orchidaceae,Caladenia,brumalis,-,-,D.L.Jones,-
Caladenia calcicola,Limestone Spider-orchid,-,Vulnerable,-,-,-,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,10065,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10065,2026-02-06,https://id.biodiversity.org.au/name/apni/90755,Orchidaceae,Caladenia,calcicola,-,-,G.W.Carr,-
Caladenia colorata,"Coloured Spider-orchid, Small Western Spider-orchid, Painted Spider-orchid",-,Endangered,-,-,-,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,54999,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=54999,2026-02-06,https://id.biodiversity.org.au/name/apni/117359,Orchidaceae,Caladenia,colorata,-,-,D.L.Jones,-
Caladenia concolor,"Crimson Spider-orchid, Maroon Spider-orchid",-,Vulnerable,-,Yes,-,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,5505,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=5505,2026-02-06,https://id.biodiversity.org.au/name/apni/90994,Orchidaceae,Caladenia,concolor,-,-,Fitzg.,-
Caladenia conferta,Coast Spider-orchid,-,Endangered,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,55000,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55000,2026-02-06,https://id.biodiversity.org.au/name/apni/117360,Orchidaceae,Caladenia,conferta,-,-,D.L.Jones,-
Caladenia formosa,"Elegant Spider-orchid, Blood-red Spider-orchid",-,Vulnerable,-,-,-,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,24370,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=24370,2026-02-06,https://id.biodiversity.org.au/name/apni/119060,Orchidaceae,Caladenia,formosa,-,-,G.W.Carr,-
Caladenia fulva,Tawny Spider-orchid,-,Endangered,-,-,-,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,24371,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=24371,2026-02-06,https://id.biodiversity.org.au/name/apni/119064,Orchidaceae,Caladenia,fulva,-,-,G.W.Carr,-
Caladenia gladiolata,"Bayonet Spider-orchid, Clubbed Spider-orchid",-,Endangered,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,8079,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=8079,2026-02-06,https://id.biodiversity.org.au/name/apni/91520,Orchidaceae,Caladenia,gladiolata,-,-,R.S.Rogers,-
Caladenia intuta,Ghost Spider-orchid,-,Critically Endangered,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,82821,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=82821,2026-02-06,https://id.biodiversity.org.au/name/apni/216096,Orchidaceae,Caladenia,intuta,-,-,(D.L.Jones) R.J.Bates,-
Caladenia lowanensis,Wimmera Spider-orchid,-,Endangered,-,-,-,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,24374,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=24374,2026-02-06,https://id.biodiversity.org.au/name/apni/119067,Orchidaceae,Caladenia,lowanensis,-,-,G.W.Carr,-
Caladenia macroclavia,Large-club Spider-orchid,-,Endangered,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,55012,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55012,2026-02-06,https://id.biodiversity.org.au/name/apni/117373,Orchidaceae,Caladenia,macroclavia,-,-,D.L.Jones,-
Caladenia ornata,Ornate Pink Fingers,-,Vulnerable,-,-,-,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,76213,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=76213,2026-02-06,https://id.biodiversity.org.au/name/apni/167933,Orchidaceae,Caladenia,ornata,-,-,(Nicholls) D.L.Jones,-
Caladenia ovata,Kangaroo Island Spider-orchid,-,Endangered,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,3957,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=3957,2026-02-06,https://id.biodiversity.org.au/name/apni/92030,Orchidaceae,Caladenia,ovata,-,-,R.S.Rogers,-
Caladenia richardsiorum,Little Dip Spider-orchid,-,Endangered,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,55018,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55018,2026-02-06,https://id.biodiversity.org.au/name/apni/117379,Orchidaceae,Caladenia,richardsiorum,-,-,D.L.Jones,-
Caladenia rigida,Stiff White Spider-orchid,-,Endangered,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,13419,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=13419,2026-02-06,https://id.biodiversity.org.au/name/apni/92363,Orchidaceae,Caladenia,rigida,-,-,R.S.Rogers,-
Caladenia tensa,"Greencomb Spider-orchid, Rigid Spider-orchid",-,Endangered,-,Yes,-,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,24390,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=24390,2026-02-06,https://id.biodiversity.org.au/name/apni/119073,Orchidaceae,Caladenia,tensa,-,-,G.W.Carr,-
Caladenia versicolor,Candy Spider-orchid,-,Vulnerable,-,-,-,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,24392,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=24392,2026-02-06,https://id.biodiversity.org.au/name/apni/119077,Orchidaceae,Caladenia,versicolor,-,-,G.W.Carr,-
Caladenia woolcockiorum,Woolcock's Spider-orchid,-,Vulnerable,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,55023,-,Plantae,Liliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55023,2026-02-06,https://id.biodiversity.org.au/name/apni/117384,Orchidaceae,Caladenia,woolcockiorum,-,-,D.L.Jones,-
