table,table_title,section,row_group,row_label,column,value
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",Australia,,"05 Robbery, blackmail, and extortion",3 to under 6 months - (no.),51
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",Australia,,"05 Robbery, blackmail, and extortion",6 to under 12 months - (no.),129
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",Australia,,"05 Robbery, blackmail, and extortion",1 to under 2 years - (no.),253
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",Australia,,"05 Robbery, blackmail, and extortion",2 to under 5 years - (no.),662
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",Australia,,"05 Robbery, blackmail, and extortion",5 to under 10 years - (no.),88
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",Australia,,"05 Robbery, blackmail, and extortion",10 years & over - (no.),3
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",Australia,,"05 Robbery, blackmail, and extortion",No further penalty due to time spent in custody - (no.),0
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",Australia,,"05 Robbery, blackmail, and extortion",Total - (no.),1227
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",Australia,,"05 Robbery, blackmail, and extortion",Mean - (months),29.6
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",Australia,,"05 Robbery, blackmail, and extortion",Median - (months),30
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",Australia,,051 Robbery,Under 3 months - (no.),32
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",Australia,,051 Robbery,3 to under 6 months - (no.),49
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",Australia,,051 Robbery,6 to under 12 months - (no.),129
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",Australia,,051 Robbery,1 to under 2 years - (no.),248
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",Australia,,051 Robbery,2 to under 5 years - (no.),649
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",Australia,,051 Robbery,5 to under 10 years - (no.),88
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",Australia,,051 Robbery,10 years & over - (no.),3
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",Australia,,051 Robbery,No further penalty due to time spent in custody - (no.),0
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",Australia,,051 Robbery,Total - (no.),1194
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",Australia,,051 Robbery,Mean - (months),29.8
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",Australia,,051 Robbery,Median - (months),30
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",Australia,,06 Burglary,Under 3 months - (no.),256
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",Australia,,06 Burglary,3 to under 6 months - (no.),425
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",Australia,,06 Burglary,6 to under 12 months - (no.),1175
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",Australia,,06 Burglary,1 to under 2 years - (no.),1538
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",Australia,,06 Burglary,2 to under 5 years - (no.),982
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",Australia,,06 Burglary,5 to under 10 years - (no.),57
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",Australia,,06 Burglary,10 years & over - (no.),3
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",Australia,,06 Burglary,No further penalty due to time spent in custody - (no.),122
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",Australia,,06 Burglary,Total - (no.),4579
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",Australia,,06 Burglary,Mean - (months),15.5
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",Australia,,06 Burglary,Median - (months),12
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",Australia,,07 Theft,Under 3 months - (no.),1136
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",Australia,,07 Theft,3 to under 6 months - (no.),1004
