table,table_title,financial_year,row_group,row_label,column,value
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Method of finalisation,Transfer to other court levels,16 Environmental offences,0
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Method of finalisation,Transfer to other court levels,17 Miscellaneous offences,0
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Method of finalisation,Transfer to other court levels,Total,1283
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Method of finalisation,Withdrawn by prosecution,01 Homicide,16
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Method of finalisation,Withdrawn by prosecution,02 Assault,2603
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Method of finalisation,Withdrawn by prosecution,03 Sexual offences,362
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Method of finalisation,Withdrawn by prosecution,04 Harm or endanger persons,92
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Method of finalisation,Withdrawn by prosecution,"05 Robbery, blackmail, and extortion",93
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Method of finalisation,Withdrawn by prosecution,06 Burglary,259
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Method of finalisation,Withdrawn by prosecution,07 Theft,576
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Method of finalisation,Withdrawn by prosecution,08 Fraud and related offences,124
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Method of finalisation,Withdrawn by prosecution,09 Drug offences,470
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Method of finalisation,Withdrawn by prosecution,10 Weapons and explosives offences,193
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Method of finalisation,Withdrawn by prosecution,11 Property damage,239
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Method of finalisation,Withdrawn by prosecution,"12 Public order, health, and safety offences",130
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Method of finalisation,Withdrawn by prosecution,13 Traffic and vehicle offences,681
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Method of finalisation,Withdrawn by prosecution,14 Offences against justice procedures and orders,385
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Method of finalisation,Withdrawn by prosecution,15 Offences against government,58
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Method of finalisation,Withdrawn by prosecution,16 Environmental offences,11
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Method of finalisation,Withdrawn by prosecution,17 Miscellaneous offences,9
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Method of finalisation,Withdrawn by prosecution,Total,6298
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Method of finalisation,Total finalised,01 Homicide,72
