table,table_title,section,row_group,row_label,column,value
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",New South Wales,,02 Assault,Under 3 months - (no.),0
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",New South Wales,,02 Assault,3 to under 6 months - (no.),6
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",New South Wales,,02 Assault,6 to under 12 months - (no.),14
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",New South Wales,,02 Assault,1 year & over - (no.),20
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",New South Wales,,02 Assault,No further penalty due to time spent in custody - (no.),..
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",New South Wales,,02 Assault,Total - (no.),38
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",New South Wales,,02 Assault,Mean - (months),10.4
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",New South Wales,,02 Assault,Median - (months),11
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",New South Wales,,03 Sexual offences,Under 3 months - (no.),0
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",New South Wales,,03 Sexual offences,3 to under 6 months - (no.),0
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",New South Wales,,03 Sexual offences,6 to under 12 months - (no.),3
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",New South Wales,,03 Sexual offences,1 year & over - (no.),3
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",New South Wales,,03 Sexual offences,No further penalty due to time spent in custody - (no.),..
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",New South Wales,,03 Sexual offences,Total - (no.),6
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",New South Wales,,03 Sexual offences,Mean - (months),12
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",New South Wales,,03 Sexual offences,Median - (months),12
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",New South Wales,,04 Harm or endanger persons,Under 3 months - (no.),0
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",New South Wales,,04 Harm or endanger persons,3 to under 6 months - (no.),0
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",New South Wales,,04 Harm or endanger persons,6 to under 12 months - (no.),0
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",New South Wales,,04 Harm or endanger persons,1 year & over - (no.),6
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",New South Wales,,04 Harm or endanger persons,No further penalty due to time spent in custody - (no.),..
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",New South Wales,,04 Harm or endanger persons,Total - (no.),8
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",New South Wales,,04 Harm or endanger persons,Mean - (months),9.3
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",New South Wales,,04 Harm or endanger persons,Median - (months),10.5
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",New South Wales,,"05 Robbery, blackmail, and extortion",Under 3 months - (no.),0
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",New South Wales,,"05 Robbery, blackmail, and extortion",3 to under 6 months - (no.),0
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",New South Wales,,"05 Robbery, blackmail, and extortion",6 to under 12 months - (no.),11
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",New South Wales,,"05 Robbery, blackmail, and extortion",1 year & over - (no.),7
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",New South Wales,,"05 Robbery, blackmail, and extortion",No further penalty due to time spent in custody - (no.),..
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",New South Wales,,"05 Robbery, blackmail, and extortion",Total - (no.),21
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",New South Wales,,"05 Robbery, blackmail, and extortion",Mean - (months),10.7
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",New South Wales,,"05 Robbery, blackmail, and extortion",Median - (months),10
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",New South Wales,,06 Burglary,Under 3 months - (no.),0
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",New South Wales,,06 Burglary,3 to under 6 months - (no.),12
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",New South Wales,,06 Burglary,6 to under 12 months - (no.),43
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",New South Wales,,06 Burglary,1 year & over - (no.),47
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",New South Wales,,06 Burglary,No further penalty due to time spent in custody - (no.),..
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",New South Wales,,06 Burglary,Total - (no.),103
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",New South Wales,,06 Burglary,Mean - (months),10.6
