table,table_title,section,row_group,row_label,column,value
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,04 Harm or endanger persons,Under 3 months - (no.),285
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,04 Harm or endanger persons,3 to under 6 months - (no.),544
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,04 Harm or endanger persons,6 to under 12 months - (no.),960
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,04 Harm or endanger persons,1 to under 2 years - (no.),499
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,04 Harm or endanger persons,2 years & over - (no.),72
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,04 Harm or endanger persons,No further penalty due to time spent in custody - (no.),10
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,04 Harm or endanger persons,Total - (no.),2372
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,04 Harm or endanger persons,Mean - (months),8
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,04 Harm or endanger persons,Median - (months),7
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,"044 Acts that threaten, harass or control",Under 3 months - (no.),250
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,"044 Acts that threaten, harass or control",3 to under 6 months - (no.),491
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,"044 Acts that threaten, harass or control",6 to under 12 months - (no.),858
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,"044 Acts that threaten, harass or control",1 to under 2 years - (no.),408
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,"044 Acts that threaten, harass or control",2 years & over - (no.),24
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,"044 Acts that threaten, harass or control",No further penalty due to time spent in custody - (no.),4
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,"044 Acts that threaten, harass or control",Total - (no.),2030
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,"044 Acts that threaten, harass or control",Mean - (months),7.4
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,"044 Acts that threaten, harass or control",Median - (months),6.7
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,06 Burglary,Under 3 months - (no.),216
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,06 Burglary,3 to under 6 months - (no.),347
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,06 Burglary,6 to under 12 months - (no.),1013
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,06 Burglary,1 to under 2 years - (no.),1293
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,06 Burglary,2 years & over - (no.),438
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,06 Burglary,No further penalty due to time spent in custody - (no.),119
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,06 Burglary,Total - (no.),3427
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,06 Burglary,Mean - (months),12.2
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,06 Burglary,Median - (months),12
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,07 Theft,Under 3 months - (no.),1091
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,07 Theft,3 to under 6 months - (no.),966
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,07 Theft,6 to under 12 months - (no.),1204
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,07 Theft,1 to under 2 years - (no.),721
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,07 Theft,2 years & over - (no.),65
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,07 Theft,No further penalty due to time spent in custody - (no.),277
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,07 Theft,Total - (no.),4319
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,07 Theft,Mean - (months),6.3
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,07 Theft,Median - (months),5
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,08 Fraud and related offences,Under 3 months - (no.),164
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,08 Fraud and related offences,3 to under 6 months - (no.),169
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,08 Fraud and related offences,6 to under 12 months - (no.),188
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,08 Fraud and related offences,1 to under 2 years - (no.),120
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,08 Fraud and related offences,2 years & over - (no.),33
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,08 Fraud and related offences,No further penalty due to time spent in custody - (no.),15
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,08 Fraud and related offences,Total - (no.),704
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,08 Fraud and related offences,Mean - (months),7.3
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,08 Fraud and related offences,Median - (months),6
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,09 Drug offences,Under 3 months - (no.),201
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,09 Drug offences,3 to under 6 months - (no.),207
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,09 Drug offences,6 to under 12 months - (no.),335
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,09 Drug offences,1 to under 2 years - (no.),356
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,09 Drug offences,2 years & over - (no.),62
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,09 Drug offences,No further penalty due to time spent in custody - (no.),97
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,09 Drug offences,Total - (no.),1262
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,09 Drug offences,Mean - (months),8.9
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,09 Drug offences,Median - (months),7.7
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,092 Distribute or deal drugs,Under 3 months - (no.),72
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,092 Distribute or deal drugs,3 to under 6 months - (no.),91
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,092 Distribute or deal drugs,6 to under 12 months - (no.),228
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,092 Distribute or deal drugs,1 to under 2 years - (no.),318
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,092 Distribute or deal drugs,2 years & over - (no.),56
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,092 Distribute or deal drugs,No further penalty due to time spent in custody - (no.),4
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,092 Distribute or deal drugs,Total - (no.),773
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,092 Distribute or deal drugs,Mean - (months),10.9
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,092 Distribute or deal drugs,Median - (months),10
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,094 Unlawful possession or use of drugs,Under 3 months - (no.),111
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,094 Unlawful possession or use of drugs,3 to under 6 months - (no.),102
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,094 Unlawful possession or use of drugs,6 to under 12 months - (no.),92
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,094 Unlawful possession or use of drugs,1 to under 2 years - (no.),30
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,094 Unlawful possession or use of drugs,2 years & over - (no.),0
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,094 Unlawful possession or use of drugs,No further penalty due to time spent in custody - (no.),91
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,094 Unlawful possession or use of drugs,Total - (no.),427
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,094 Unlawful possession or use of drugs,Mean - (months),4.6
Table 81,"Defendants sentenced to custody in a correctional institution – Magistrates' Courts, Selected principal offence by sentence length, States and territories, 2024–25",Australia,,094 Unlawful possession or use of drugs,Median - (months),3
