table,table_title,section,row_group,row_label,column,value
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,09 Drug offences,Mean - (months),43.6
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,09 Drug offences,Median - (months),45
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,10 Weapons and explosives offences,Under 3 months - (no.),63
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,10 Weapons and explosives offences,3 to under 6 months - (no.),25
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,10 Weapons and explosives offences,6 to under 12 months - (no.),24
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,10 Weapons and explosives offences,1 to under 2 years - (no.),5
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,10 Weapons and explosives offences,2 to under 5 years - (no.),17
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,10 Weapons and explosives offences,5 to under 10 years - (no.),0
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,10 Weapons and explosives offences,10 years & over - (no.),0
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,10 Weapons and explosives offences,No further penalty due to time spent in custody - (no.),241
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,10 Weapons and explosives offences,Total - (no.),386
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,10 Weapons and explosives offences,Mean - (months),8.4
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,10 Weapons and explosives offences,Median - (months),3.9
