table,table_title,section,row_group,row_label,column,value
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,039 Other sexual offences,Transfer to other court levels,0
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,039 Other sexual offences,Withdrawn by prosecution,11
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,039 Other sexual offences,Total,85
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,04 Harm or endanger persons,Acquitted,7
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,04 Harm or endanger persons,Guilty outcome,159
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,04 Harm or endanger persons,Total adjudicated,163
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,04 Harm or endanger persons,Transfer to other court levels,35
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,04 Harm or endanger persons,Withdrawn by prosecution,127
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,04 Harm or endanger persons,Total,323
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,"044 Acts that threaten, harass, or control",Acquitted,3
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,"044 Acts that threaten, harass, or control",Guilty outcome,51
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,"044 Acts that threaten, harass, or control",Total adjudicated,58
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,"044 Acts that threaten, harass, or control",Transfer to other court levels,12
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,"044 Acts that threaten, harass, or control",Withdrawn by prosecution,84
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,"044 Acts that threaten, harass, or control",Total,153
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,045 Driving causing serious injury,Acquitted,0
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,045 Driving causing serious injury,Guilty outcome,25
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,045 Driving causing serious injury,Total adjudicated,25
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,045 Driving causing serious injury,Transfer to other court levels,8
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,045 Driving causing serious injury,Withdrawn by prosecution,3
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,045 Driving causing serious injury,Total,40
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,049 Other acts that harm or endanger persons,Acquitted,3
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,049 Other acts that harm or endanger persons,Guilty outcome,80
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,049 Other acts that harm or endanger persons,Total adjudicated,83
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,049 Other acts that harm or endanger persons,Transfer to other court levels,3
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,049 Other acts that harm or endanger persons,Withdrawn by prosecution,28
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,049 Other acts that harm or endanger persons,Total,112
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,"05 Robbery, blackmail, and extortion",Acquitted,8
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,"05 Robbery, blackmail, and extortion",Guilty outcome,111
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,"05 Robbery, blackmail, and extortion",Total adjudicated,119
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,"05 Robbery, blackmail, and extortion",Transfer to other court levels,64
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,"05 Robbery, blackmail, and extortion",Withdrawn by prosecution,90
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,"05 Robbery, blackmail, and extortion",Total,275
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,051 Robbery,Acquitted,8
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,051 Robbery,Guilty outcome,108
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,051 Robbery,Total adjudicated,112
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,051 Robbery,Transfer to other court levels,59
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,051 Robbery,Withdrawn by prosecution,88
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,051 Robbery,Total,264
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,052 Blackmail or other extortion,Acquitted,0
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,052 Blackmail or other extortion,Guilty outcome,3
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,052 Blackmail or other extortion,Total adjudicated,3
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,052 Blackmail or other extortion,Transfer to other court levels,3
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,052 Blackmail or other extortion,Withdrawn by prosecution,7
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,052 Blackmail or other extortion,Total,8
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,06 Burglary,Acquitted,33
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,06 Burglary,Guilty outcome,879
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,06 Burglary,Total adjudicated,917
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,06 Burglary,Transfer to other court levels,60
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,06 Burglary,Withdrawn by prosecution,287
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,06 Burglary,Total,1270
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,07 Theft,Acquitted,29
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,07 Theft,Guilty outcome,2313
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,07 Theft,Total adjudicated,2340
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,07 Theft,Transfer to other court levels,34
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,07 Theft,Withdrawn by prosecution,621
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,07 Theft,Total,3002
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,071 Motor vehicle theft and related offences,Acquitted,6
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,071 Motor vehicle theft and related offences,Guilty outcome,241
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,071 Motor vehicle theft and related offences,Total adjudicated,250
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,071 Motor vehicle theft and related offences,Transfer to other court levels,7
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,071 Motor vehicle theft and related offences,Withdrawn by prosecution,137
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,071 Motor vehicle theft and related offences,Total,395
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,"072, 073 & 079 Other types of theft",Acquitted,19
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,"072, 073 & 079 Other types of theft",Guilty outcome,1748
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,"072, 073 & 079 Other types of theft",Total adjudicated,1768
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,"072, 073 & 079 Other types of theft",Transfer to other court levels,13
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,"072, 073 & 079 Other types of theft",Withdrawn by prosecution,329
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,"072, 073 & 079 Other types of theft",Total,2114
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,074 Receive or handle proceeds of crime,Acquitted,7
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,074 Receive or handle proceeds of crime,Guilty outcome,317
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,074 Receive or handle proceeds of crime,Total adjudicated,322
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,074 Receive or handle proceeds of crime,Transfer to other court levels,13
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,074 Receive or handle proceeds of crime,Withdrawn by prosecution,160
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,074 Receive or handle proceeds of crime,Total,497
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,08 Fraud and related offences,Acquitted,7
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,08 Fraud and related offences,Guilty outcome,270
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,08 Fraud and related offences,Total adjudicated,282
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,08 Fraud and related offences,Transfer to other court levels,10
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,08 Fraud and related offences,Withdrawn by prosecution,112
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,08 Fraud and related offences,Total,404
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,09 Drug offences,Acquitted,73
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,09 Drug offences,Guilty outcome,1435
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,09 Drug offences,Total adjudicated,1504
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,09 Drug offences,Transfer to other court levels,266
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,09 Drug offences,Withdrawn by prosecution,377
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,09 Drug offences,Total,2160
