state,venue_or_event_type,measure,value
Vic.,Total attending at least one venue or event,attendance_rate_pct,60.9
Qld,Total attending at least one venue or event,attendance_rate_pct,64.8
SA,Total attending at least one venue or event,attendance_rate_pct,67.8
WA,Total attending at least one venue or event,attendance_rate_pct,69.3
Tas.,Total attending at least one venue or event,attendance_rate_pct,68
NT,Total attending at least one venue or event,attendance_rate_pct,68.8
ACT,Total attending at least one venue or event,attendance_rate_pct,71.6
Australia,Total attending at least one venue or event,attendance_rate_pct,63.8
NSW,Total population aged 15 years and over,attendance_rate_pct,100
Vic.,Total population aged 15 years and over,attendance_rate_pct,100
Qld,Total population aged 15 years and over,attendance_rate_pct,100
SA,Total population aged 15 years and over,attendance_rate_pct,100
WA,Total population aged 15 years and over,attendance_rate_pct,100
Tas.,Total population aged 15 years and over,attendance_rate_pct,100
NT,Total population aged 15 years and over,attendance_rate_pct,100
ACT,Total population aged 15 years and over,attendance_rate_pct,100
Australia,Total population aged 15 years and over,attendance_rate_pct,100
NSW,Libraries or archives,rse_pct,3.2
Vic.,Libraries or archives,rse_pct,3.8
Qld,Libraries or archives,rse_pct,2.5
SA,Libraries or archives,rse_pct,4.1
WA,Libraries or archives,rse_pct,3.8
Tas.,Libraries or archives,rse_pct,4.2
NT,Libraries or archives,rse_pct,9.6
ACT,Libraries or archives,rse_pct,9
Australia,Libraries or archives,rse_pct,1.6
NSW,Art galleries,rse_pct,3.4
Vic.,Art galleries,rse_pct,4.3
Qld,Art galleries,rse_pct,4.4
SA,Art galleries,rse_pct,4.9
WA,Art galleries,rse_pct,5.7
Tas.,Art galleries,rse_pct,4.7
NT,Art galleries,rse_pct,7.1
ACT,Art galleries,rse_pct,6.4
Australia,Art galleries,rse_pct,2
NSW,Museums,rse_pct,3.1
Vic.,Museums,rse_pct,4.4
Qld,Museums,rse_pct,3.9
SA,Museums,rse_pct,4.3
WA,Museums,rse_pct,3.6
Tas.,Museums,rse_pct,4.7
NT,Museums,rse_pct,6
ACT,Museums,rse_pct,5.7
Australia,Museums,rse_pct,1.6
NSW,Cinemas,rse_pct,1.5
Vic.,Cinemas,rse_pct,1.8
Qld,Cinemas,rse_pct,2.4
SA,Cinemas,rse_pct,1.9
WA,Cinemas,rse_pct,2.7
Tas.,Cinemas,rse_pct,2.6
NT,Cinemas,rse_pct,5
ACT,Cinemas,rse_pct,5.3
Australia,Cinemas,rse_pct,0.8
