waste_stream,period_from,period_to,rate_aud,unit
Solid Waste Levy (Country),2020-01-01,2020-06-30,70.00,per tonne
Solid Waste Levy (Metro),2020-01-01,2020-06-30,140.00,per tonne
Solid Waste Levy (Country),2020-07-01,2021-06-30,71.50,per tonne
Solid Waste Levy (Metro),2020-07-01,2021-06-30,143.00,per tonne
Solid Waste Levy (Country),2021-07-01,2022-06-30,73.00,per tonne
Solid Waste Levy (Metro),2021-07-01,2022-06-30,146.00,per tonne
Solid Waste Levy (Country),2022-07-01,2023-06-30,74.50,per tonne
Solid Waste Levy (Metro),2022-07-01,2023-06-30,149.00,per tonne
Solid Waste Levy (Country),2023-07-01,2024-06-30,78.00,per tonne
Solid Waste Levy (Metro),2023-07-01,2024-06-30,156.00,per tonne
Liquid Waste Levy,1994-07-01,1995-06-30,6.50,per kilolitre
Liquid Waste Levy,1995-07-01,1996-06-30,6.50,per kilolitre
Liquid Waste Levy,1996-07-01,1997-06-30,6.79,per kilolitre
Liquid Waste Levy,1997-07-01,1998-06-30,6.79,per kilolitre
Liquid Waste Levy,1998-07-01,1999-06-30,7.21,per kilolitre
Liquid Waste Levy,1999-07-01,2000-06-30,7.41,per kilolitre
Liquid Waste Levy,2000-07-01,2001-06-30,7.60,per kilolitre
Liquid Waste Levy,2001-07-01,2002-06-30,7.80,per kilolitre
Liquid Waste Levy,2002-07-01,2003-06-30,8.12,per kilolitre
Liquid Waste Levy,2003-07-01,2004-06-30,8.45,per kilolitre
Liquid Waste Levy,2004-07-01,2005-06-30,8.77,per kilolitre
Liquid Waste Levy,2005-07-01,2006-06-30,9.04,per kilolitre
Liquid Waste Levy,2006-07-01,2007-06-30,9.39,per kilolitre
Liquid Waste Levy,2007-07-01,2008-06-30,9.82,per kilolitre
Liquid Waste Levy,2008-07-01,2009-06-30,10.10,per kilolitre
Liquid Waste Levy,2009-07-01,2010-06-30,10.60,per kilolitre
Liquid Waste Levy,2010-07-01,2011-06-30,10.90,per kilolitre
Liquid Waste Levy,2011-07-01,2012-06-30,11.25,per kilolitre
Liquid Waste Levy,2012-07-01,2013-06-30,11.64,per kilolitre
Liquid Waste Levy,2013-07-01,2014-06-30,17.95,per kilolitre
Liquid Waste Levy,2014-07-01,2015-06-30,18.90,per kilolitre
Liquid Waste Levy,2015-07-01,2016-06-30,28.70,per kilolitre
Liquid Waste Levy,2016-07-01,2017-06-30,35.10,per kilolitre
Liquid Waste Levy,2017-07-01,2018-06-30,35.81,per kilolitre
Liquid Waste Levy,2018-07-01,2019-06-30,36.52,per kilolitre
Liquid Waste Levy,2019-07-01,2020-06-30,38.30,per kilolitre
Liquid Waste Levy,2020-07-01,2021-06-30,39.02,per kilolitre
Liquid Waste Levy,2021-07-01,2022-06-30,39.73,per kilolitre
Liquid Waste Levy,2022-07-01,2023-06-30,40.50,per kilolitre
Liquid Waste Levy,2023-07-01,2024-06-30,42.50,per kilolitre
