surname,given_names,ballot_paper_surname,ballot_paper_given_names,council,position_contested,ward_name,position_on_ballot,standing_for_reelection,political_party_membership,elected_status
Mudge,Leith Rowland,MUDGE,Leith,Adelaide Hills,Ward Councillor,Ranges ward,2,Yes,Australian Labor Party (South Australian Branch),Elected
Osterstock,Mark,OSTERSTOCK,Mark,Adelaide Hills,Ward Councillor,Ranges ward,1,Yes,,Elected
Parkin,Kirsty,PARKIN,Kirsty,Adelaide Hills,Ward Councillor,Ranges ward,4,Yes,,Elected
Pascale,Louise,PASCALE,Louise,Adelaide Hills,Ward Councillor,Ranges ward,11,No,,Elected
Sadler,James,SADLER,James,Adelaide Hills,Ward Councillor,Ranges ward,8,No,,Not elected
Slade,Ashley Scott Frederick,SLADE,Ashley,Adelaide Hills,Ward Councillor,Ranges ward,9,No,Australian Greens SA,Not elected
Chaplin,Padma Caroline Louise,CHAPLIN,Padma,Adelaide Hills,Ward Councillor,Valleys ward,6,No,Animal Justice Party,Not elected
Gill,Pauline Elizabeth,GILL,Pauline Elizabeth,Adelaide Hills,Ward Councillor,Valleys ward,4,Yes,,Elected
Grant,Chris,GRANT,Chris,Adelaide Hills,Ward Councillor,Valleys ward,1,Yes,,Elected
Herrmann,Malcolm Arthur,HERRMANN,Malcolm Arthur,Adelaide Hills,Ward Councillor,Valleys ward,3,Yes,,Elected
Huxter,Lucy Anne,HUXTER,Lucy,Adelaide Hills,Ward Councillor,Valleys ward,2,No,Liberal Party of Australia (SA Division),Elected
Selwood,Melanie,SELWOOD,Melanie,Adelaide Hills,Ward Councillor,Valleys ward,5,No,Australian Greens SA,Elected
Bombardieri,Alana Rose,BOMBARDIERI,Alana Rose,Adelaide Plains,Area Councillor,,13,No,,Elected
Boon,Kay,BOON,Kay,Adelaide Plains,Area Councillor,,14,Yes,Liberal Party of Australia (SA Division),Elected
Di Troia,Carmine,DI TROIA,Carmine,Adelaide Plains,Area Councillor,,6,Yes,,Not elected
Jones,Stephen Edward,JONES,Stephen Edward,Adelaide Plains,Area Councillor,,4,No,,Not elected
Keen,Terry-Anne,KEEN,Terry-Anne,Adelaide Plains,Area Councillor,,12,Yes,,Not elected
Lawrence,Melville Hurtle,LAWRENCE,Mel,Adelaide Plains,Area Councillor,,7,No,,Elected
Lush,John Wilton,LUSH,John Wilton,Adelaide Plains,Area Councillor,,10,Yes,Liberal Party of Australia (SA Division),Elected
Mazzeo,Dante Isaiah,MAZZEO,Dante Isaiah,Adelaide Plains,Area Councillor,,8,No,,Elected
Panella,Margherita,PANELLA,Margherita,Adelaide Plains,Area Councillor,,5,Yes,,Elected
Parker,Brian,PARKER,Brian,Adelaide Plains,Area Councillor,,3,Yes,,Elected
Paton,David Rodney,PATON,David,Adelaide Plains,Area Councillor,,2,No,,Elected
Slater,Matt,SLATER,Matt,Adelaide Plains,Area Councillor,,9,No,,Not elected
Strudwicke,Sydney Marcus,STRUDWICKE,Marcus,Adelaide Plains,Area Councillor,,1,Yes,,Elected
Stubing,Edward,STUBING,Eddie,Adelaide Plains,Area Councillor,,15,No,,Not elected
Walton,Thomas Glen,WALTON,Thomas Glen,Adelaide Plains,Area Councillor,,11,No,,Not elected
Burgess,Steven David,BURGESS,Steve,Adelaide Plains,Mayor,,1,No,,Not elected
Wasley,Mark Norton,WASLEY,Mark ,Adelaide Plains,Mayor,,2,Yes,,Elected
Hurst,Mark,HURST,Mark,Alexandrina,Mayor,,1,No,,Not elected
Lewis,Bronwyn Mary,LEWIS,Bron,Alexandrina,Mayor,,3,Yes,Liberal Party of Australia (SA Division),Not elected
Parkes,Keith James,PARKES,Keith ,Alexandrina,Mayor,,2,Yes,,Elected
Smith,Shaun,SMITH,Shaun,Alexandrina,Mayor,,4,No,,Not elected
Arney,Lynton John,ARNEY,Lynton,Alexandrina,Ward Councillor,Alexandrina North ward,6,No,,Not elected
Bagster,Lance James,BAGSTER,Lance,Alexandrina,Ward Councillor,Alexandrina North ward,5,No,,Not elected
Keily,Rex John,KEILY,Rex John,Alexandrina,Ward Councillor,Alexandrina North ward,1,Yes,Liberal Party of Australia (SA Division),Not elected
Maidment,Craig,MAIDMENT,Craig,Alexandrina,Ward Councillor,Alexandrina North ward,2,Yes,,Elected
Miller,Sue,MILLER,Sue,Alexandrina,Ward Councillor,Alexandrina North ward,4,No,,Elected
Thornton,Christie,THORNTON,Christie ,Alexandrina,Ward Councillor,Alexandrina North ward,3,No,,Elected
Bickley,Eli,BICKLEY,Eli,Alexandrina,Ward Councillor,Alexandrina South ward,8,No,,Not elected
Davis,James Thomas,DAVIS,Jim,Alexandrina,Ward Councillor,Alexandrina South ward,3,No,,Not elected
Gardner,Margaret Anne,GARDNER,Margaret Anne,Alexandrina,Ward Councillor,Alexandrina South ward,6,Yes,,Elected
Gladwin,David Laurence,GLADWIN,Dave,Alexandrina,Ward Councillor,Alexandrina South ward,9,No,Liberal Party of Australia (SA Division),Not elected
Jones,Mark,JONES,Mark,Alexandrina,Ward Councillor,Alexandrina South ward,2,No,,Not elected
Jordan,Julie,JORDAN,Julie,Alexandrina,Ward Councillor,Alexandrina South ward,7,No,,Not elected
Livingston,Emily Catherine,LIVINGSTON,Milli,Alexandrina,Ward Councillor,Alexandrina South ward,13,No,,Elected
Oliver,Peter John,OLIVER,Peter,Alexandrina,Ward Councillor,Alexandrina South ward,11,No,,Elected
Ostigh,Craig,OSTIGH,Craig,Alexandrina,Ward Councillor,Alexandrina South ward,10,Yes,,Not elected
Rivers-Thompson,Michael,RIVERS-THOMPSON,Michael,Alexandrina,Ward Councillor,Alexandrina South ward,12,No,,Not elected
Thompson,Gerald Owen,THOMPSON,Gerry,Alexandrina,Ward Councillor,Alexandrina South ward,5,No,,Not elected
Watson,Steven,WATSON,Steven,Alexandrina,Ward Councillor,Alexandrina South ward,1,No,,Not elected
Williams,Lesley Jane,WILLIAMS,Jane,Alexandrina,Ward Councillor,Alexandrina South ward,4,No,,Not elected
Coomans,William Edward,COOMANS,Bill,Alexandrina,Ward Councillor,Alexandrina West ward,3,Yes,,Elected
Dybala,Victoria,DYBALA,Victoria,Alexandrina,Ward Councillor,Alexandrina West ward,5,No,,Not elected
Newport,Judith Anne,NEWPORT,Judy,Alexandrina,Ward Councillor,Alexandrina West ward,4,No,Australian Labor Party (South Australian Branch),Not elected
Nicholson,Louise Helene,NICHOLSON,Lou,Alexandrina,Ward Councillor,Alexandrina West ward,2,No,,Elected
Rosenberg,Lorraine Florence,ROSENBERG,Lorraine Florence,Alexandrina,Ward Councillor,Alexandrina West ward,6,No,,Not elected
Scott,Michael John Dundas,SCOTT,Michael,Alexandrina,Ward Councillor,Alexandrina West ward,1,Yes,,Elected
Angas,Colin John,ANGAS,John,Barossa,Area Councillor,,7,Yes,,Elected
Barrett,Donald Robert,BARRETT,Don,Barossa,Area Councillor,,12,Yes,,Elected
Davies,Colin,DAVIES,Colin,Barossa,Area Councillor,,13,No,,Not elected
De Vries,David Malcolm,DE VRIES,Dave,Barossa,Area Councillor,,20,Yes,,Elected
Evans,Jane Warburton,EVANS,Jane,Barossa,Area Councillor,,21,No,Liberal Party of Australia (SA Division),Elected
Greatwich,Jessica Kate,GREATWICH,Jess,Barossa,Area Councillor,,5,No,,Elected
Haebich,David Henry,HAEBICH,David,Barossa,Area Councillor,,16,Yes,,Not elected
Harms,Christopher,HARMS,Christopher,Barossa,Area Councillor,,6,No,,Not elected
Hore,Scott,HORE,Scott,Barossa,Area Councillor,,19,No,,Not elected
Hurn,Anthony Delacey,HURN,Tony,Barossa,Area Councillor,,8,Yes,,Elected
James,Shelley P,JAMES,Shelley,Barossa,Area Councillor,,15,No,,Not elected
Johnstone,Russell,JOHNSTONE,Russell,Barossa,Area Councillor,,17,Yes,,Not elected
Kruger,Angie Suzan Joy,KRUGER,Angie,Barossa,Area Councillor,,2,No,,Not elected
Lane,Ricky Allan,LANE,Rick,Barossa,Area Councillor,,9,Yes,,Elected
Lohner,Katrin,LOHNER,Katrin,Barossa,Area Councillor,,11,No,,Not elected
Preece,Bruce,PREECE,Bruce,Barossa,Area Councillor,,18,No,National Party of Australia (SA) Inc,Elected
Schilling,Kathryn Louise,SCHILLING,Kathryn Louise,Barossa,Area Councillor,,10,Yes,,Elected
Thompson,Heidi,THOMPSON,Heidi Marie,Barossa,Area Councillor,,4,No,,Elected
Troup,Catherine Jane,TROUP,Cathy,Barossa,Area Councillor,,3,Yes,,Elected
Van Der Wijngaart,Katie (Kat),VAN DER WIJNGAART,Katie (Kat),Barossa,Area Councillor,,14,No,,Not elected
Wiese-Smith,Carla Megan,WIESE-SMITH,Carla,Barossa,Area Councillor,,22,Yes,,Not elected
Woodbury,Bob,WOODBURY,Bob,Barossa,Area Councillor,,1,No,,Not elected
Lange,Michael James,LANGE,Michael (Bim),Barossa,Mayor,,1,Yes,,Elected
Szuty,Helen Margaret,SZUTY,Helen,Barossa,Mayor,,2,No,SA-BEST Incorporated,Not elected
Axford,Cynthia Lorraine,AXFORD,Cynthia Lorraine,Barunga West,Area Councillor,,2,No,,Elected
Beinke,Kevin,BEINKE,Kevin John,Barunga West,Area Councillor,,7,No,,Elected
Button,Christopher Peter,BUTTON,Peter,Barunga West,Area Councillor,,3,Yes,,Elected
Eason,David Frederick Charles,EASON,Dave,Barunga West,Area Councillor,,5,Yes,,Elected
Gregory,Kim,GREGORY,Kim,Barunga West,Area Councillor,,1,No,Australian Labor Party (South Australian Branch),Elected
Kerley,Leonie Helen,KERLEY,Leonie,Barunga West,Area Councillor,,6,Yes,,Elected
Locke,Rob,LOCKE,Rob,Barunga West,Area Councillor,,9,Yes,,Not elected
Lockyer,Brian John,LOCKYER,Brian John,Barunga West,Area Councillor,,4,Yes,,Elected
Mcdonald,Margaret Anne,McDONALD,Margaret,Barunga West,Area Councillor,,8,Yes,,Elected
Rowlands,Grant William,ROWLANDS,Grant,Barunga West,Area Councillor,,10,Yes,,Elected
Simmons,Evelyn Georgina,SIMMONS,Georgie,Barunga West,Area Councillor,,11,Yes,,Not elected
Centofanti,Rhonda Louise,CENTOFANTI,Rhonda Louise,Berri Barmera,Area Councillor,,8,Yes,,Elected
Kassebaum,Andrew James,KASSEBAUM,Andrew ,Berri Barmera,Area Councillor,,7,Yes,,Elected
Little,Adrian James,LITTLE,Adrian James,Berri Barmera,Area Councillor,,5,Yes,,Elected
Marrett,Collis James,MARRETT,Collis,Berri Barmera,Area Councillor,,6,No,,Elected
Richardson,Bruce Graeme,RICHARDSON,Bruce Graeme,Berri Barmera,Area Councillor,,1,No,,Elected
Schlein,Ian Rodney,SCHLEIN,Ian,Berri Barmera,Area Councillor,,9,No,,Elected
Scott,Trevor Malcolm,SCOTT,Trevor Malcolm,Berri Barmera,Area Councillor,,3,Yes,,Elected
Sindos,Meta,SINDOS,Meta,Berri Barmera,Area Councillor,,4,Yes,Liberal Party of Australia (SA Division),Not elected
Waterman,David,WATERMAN,David,Berri Barmera,Area Councillor,,2,No,,Elected
Hunt,Peter Robert,HUNT,Peter R,Berri Barmera,Mayor,,1,Yes,,Not elected
Nobile,Raffaele,NOBILE,Raffaele (Ralf),Berri Barmera,Mayor,,3,No,,Not elected
Winnall,Ella Stephanie,WINNALL,Ella,Berri Barmera,Mayor,,2,Yes,Liberal Party of Australia (SA Division),Elected
Lemon,Helga,LEMON,Helga ,Burnside,Mayor,,1,Yes,,Not elected
Monceaux,Dorothy Anne,MONCEAUX,Anne,Burnside,Mayor,,2,Yes,,Elected
Casbarra,Patrizia,CASBARRA,Pat,Burnside,Ward Councillor,Beaumont ward,4,No,,Not elected
Cavaleri,Cathy,CAVALERI,Cathy,Burnside,Ward Councillor,Beaumont ward,1,No,,Not elected
Green,Jaimee,GREEN,Jaimee,Burnside,Ward Councillor,Beaumont ward,3,No,,Not elected
Horton,Robert,HORTON,Robert John,Burnside,Ward Councillor,Beaumont ward,5,No,,Not elected
Huebl,Paul,HUEBL,Paul,Burnside,Ward Councillor,Beaumont ward,2,Yes,,Elected
Jones,Harvey Lloyd,JONES,Harvey,Burnside,Ward Councillor,Beaumont ward,6,Yes,Liberal Party of Australia (SA Division),Elected
Daws,Michael,DAWS,Mike,Burnside,Ward Councillor,Burnside ward,1,Yes,,Elected
Dinan,Kevin,DINAN,Kevin,Burnside,Ward Councillor,Burnside ward,3,No,,Not elected
Turnbull,Jennifer Jillian,TURNBULL,Jennifer Jillian,Burnside,Ward Councillor,Burnside ward,2,Yes,,Elected
Jennings,Edward (Ted),JENNINGS,Ted,Burnside,Ward Councillor,Eastwood and Glenunga ward,3,No,,Elected
Leung,Janet,LEUNG,Janet,Burnside,Ward Councillor,Eastwood and Glenunga ward,5,No,,Not elected
Melick,Jennifer Jane,MELICK,Jenni,Burnside,Ward Councillor,Eastwood and Glenunga ward,2,No,Liberal Party of Australia (SA Division),Not elected
West,Jason,WEST,Jason,Burnside,Ward Councillor,Eastwood and Glenunga ward,1,No,,Not elected
Wilkins,Diane,WILKINS,Di ,Burnside,Ward Councillor,Eastwood and Glenunga ward,6,No,Liberal Party of Australia (SA Division),Elected
Winderlich,David Nicholas,WINDERLICH,David Nicholas,Burnside,Ward Councillor,Eastwood and Glenunga ward,4,No,,Not elected
Battersby,Alexandra,BATTERSBY,Alexandra,Burnside,Ward Councillor,Kensington Gardens and Magill ward,4,No,,Not elected
Hallett,Kerry Margaret,HALLETT,Kerry Margaret,Burnside,Ward Councillor,Kensington Gardens and Magill ward,6,No,,Elected
Harvey,Jo,HARVEY,Jo,Burnside,Ward Councillor,Kensington Gardens and Magill ward,5,No,,Elected
Jackson,Kym,JACKSON,Kym,Burnside,Ward Councillor,Kensington Gardens and Magill ward,2,No,Liberal Party of Australia (SA Division),Not elected
Thakur,Dilip Narayan,THAKUR,Dilip ,Burnside,Ward Councillor,Kensington Gardens and Magill ward,1,No,,Not elected
Walmsley,Jayson,WALMSLEY,Jayson,Burnside,Ward Councillor,Kensington Gardens and Magill ward,3,No,Liberal Party of Australia (SA Division),Not elected
Accatino,Damian Frank,ACCATINO,Damian Frank,Burnside,Ward Councillor,Kensington Park ward,1,No,,Not elected
Davey,Jane,DAVEY,Jane,Burnside,Ward Councillor,Kensington Park ward,2,Yes,Australian Labor Party (South Australian Branch),Elected
Shakes,Christopher David,SHAKES,Christopher,Burnside,Ward Councillor,Kensington Park ward,3,No,,Not elected
Stephenson-Jones,Tabitha Jane,STEPHENSON-JONES,Tabitha,Burnside,Ward Councillor,Kensington Park ward,4,No,Australian Greens SA,Not elected
Xing,Andy,XING,Andy,Burnside,Ward Councillor,Kensington Park ward,5,No,,Elected
Cornish,Peter William,CORNISH,Peter,Burnside,Ward Councillor,Rose Park and Toorak Gardens ward,,Yes,,Elected unopposed
Henschke,Lilian Ann,HENSCHKE,Lilian,Burnside,Ward Councillor,Rose Park and Toorak Gardens ward,,Yes,,Elected unopposed
Whittaker,Jillian Yvonne,WHITTAKER,Jill,Campbelltown,Mayor,,,Yes,,Elected unopposed
Barbaro,Domenico Antonio,BARBARO,Dom,Campbelltown,Ward Councillor,Gorge ward,4,Yes,,Elected
Busato,Gianni James,BUSATO,Gianni,Campbelltown,Ward Councillor,Gorge ward,3,No,,Not elected
Mcluskey,Johanna Maria Hendrika,MCLUSKEY,Johanna,Campbelltown,Ward Councillor,Gorge ward,1,Yes,,Elected
Sohal,Gurtej,SOHAL,Gurtej,Campbelltown,Ward Councillor,Gorge ward,2,No,Liberal Party of Australia (SA Division),Not elected
Ajrish,Yassir,AJRISH,Yassir (Aj),Campbelltown,Ward Councillor,Hectorville ward,4,No,Australian Labor Party (South Australian Branch),Elected
Black,Judith Marie,BLACK,Judy,Campbelltown,Ward Councillor,Hectorville ward,6,No,Australian Labor Party (South Australian Branch),Not elected
Blackborough,Lucia Jane,BLACKBOROUGH,Luci,Campbelltown,Ward Councillor,Hectorville ward,5,Yes,,Elected
Kennedy,John Charles,KENNEDY,John,Campbelltown,Ward Councillor,Hectorville ward,2,Yes,,Not elected
Mcdonnell,Joshua Graham,McDONNELL,Joshua,Campbelltown,Ward Councillor,Hectorville ward,7,No,,Not elected
Thomas,Colin Anthony,THOMAS,Colin ,Campbelltown,Ward Councillor,Hectorville ward,1,No,,Not elected
Wong,Ching Yan Cingel,WONG,Ching,Campbelltown,Ward Councillor,Hectorville ward,3,No,Liberal Democratic Party,Not elected
Agostinelli,Paul James,AGOSTINELLI,Paul,Campbelltown,Ward Councillor,Newton ward,2,No,Liberal Party of Australia (SA Division),Not elected
Ferguson,Mark,FERGUSON,Mark,Campbelltown,Ward Councillor,Newton ward,3,No,,Not elected
Leombruno,Anna,LEOMBRUNO ,Anna,Campbelltown,Ward Councillor,Newton ward,4,Yes,,Elected
Scalzi,Claudio,SCALZI,Claude,Campbelltown,Ward Councillor,Newton ward,1,No,,Elected
Carbone,Aniello,CARBONE,Aniello,Campbelltown,Ward Councillor,River ward,3,No,,Not elected
Lakhani,Jagdish Harish,LAKHANI,Jagdish Harish,Campbelltown,Ward Councillor,River ward,4,No,,Elected
Noble,Matthew,NOBLE,Matthew,Campbelltown,Ward Councillor,River ward,2,Yes,,Elected
Ozgo,Eric Charles,OZGO,Eric Charles,Campbelltown,Ward Councillor,River ward,5,No,,Not elected
Parken,Kevin Kingsley,PARKEN,Kevin Kingsley,Campbelltown,Ward Councillor,River ward,1,No,,Not elected
Britton- La Salle,Therese,BRITTON-LA SALLE,Therese,Campbelltown,Ward Councillor,Woodforde ward,,Yes,Liberal Party of Australia (SA Division),Elected unopposed
Flynn,John,FLYNN,John,Campbelltown,Ward Councillor,Woodforde ward,,Yes,,Elected unopposed
Brewster,Joyce Lorraine,BREWSTER,Joyce,Ceduna,Area Councillor,,1,Yes,,Elected
Brown,Paul Gibson,BROWN,Paul Gibson,Ceduna,Area Councillor,,3,Yes,Liberal Party of Australia (SA Division),Elected
Evans,Terena Anne,EVANS,Terena,Ceduna,Area Councillor,,8,No,,Not elected
Evans,Janet,EVANS ,Janet Shirley,Ceduna,Area Councillor,,10,No,,Elected
Jacobsen,Michele,JACOBSEN,Michele ,Ceduna,Area Councillor,,7,No,,Elected
Mcguinness,Jane Elizabeth,McGUINNESS,Jane Elizabeth ,Ceduna,Area Councillor,,9,No,,Not elected
Nicholls,Anthony William,NICHOLLS,Anthony William,Ceduna,Area Councillor,,5,Yes,Liberal Party of Australia (SA Division),Elected
Nicholls,Hayley,NICHOLLS,Hayley,Ceduna,Area Councillor,,2,No,,Elected
Ryan,Geoffrey Alexander,RYAN,Geoff,Ceduna,Area Councillor,,6,Yes,Liberal Party of Australia (SA Division),Elected
Samsonenko,Melanie Kate,SAMSONENKO,Melanie Kate,Ceduna,Area Councillor,,11,No,Pauline Hanson’s One Nation,Not elected
Sleep,Robert George,SLEEP,Robert George,Ceduna,Area Councillor,,4,Yes,,Elected
Maynard,Kenneth Reginald,MAYNARD,Ken,Ceduna,Mayor,,1,No,,Elected
Will,Perry Alan,WILL,Perry Alan,Ceduna,Mayor,,2,Yes,,Not elected
Evans,Angela,EVANS,Angela,Charles Sturt,Mayor,,3,Yes,,Elected
Mitchell,Matthew James,MITCHELL,Matt,Charles Sturt,Mayor,,4,Yes,Australian Labor Party (South Australian Branch),Not elected
Paparella,Paul Thomas,PAPARELLA,Paul ,Charles Sturt,Mayor,,1,No,,Not elected
Russo,Maria,RUSSO,Maria,Charles Sturt,Mayor,,2,No,,Not elected
Agius,Edgar,AGIUS,Edgar,Charles Sturt,Ward Councillor,Beverley ward,,Yes,Australian Labor Party (South Australian Branch),Elected unopposed
Mcewen,Michael,MCEWEN,Michael,Charles Sturt,Ward Councillor,Beverley ward,,No,Australian Labor Party (South Australian Branch),Elected unopposed
Ppiros,Peter,PPIROS,Peter,Charles Sturt,Ward Councillor,Findon ward,4,No,Australian Labor Party (South Australian Branch),Elected
Rooprai,Rajveer Singh,ROOPRAI,Rajveer ,Charles Sturt,Ward Councillor,Findon ward,1,No,Australian Labor Party (South Australian Branch),Not elected
Tedesco,Franco,TEDESCO,Frank,Charles Sturt,Ward Councillor,Findon ward,3,No,,Not elected
Turelli,George,TURELLI,George,Charles Sturt,Ward Councillor,Findon ward,2,Yes,,Elected
Blazic,Mara,BLAZIC,Mara,Charles Sturt,Ward Councillor,Grange ward,3,No,,Not elected
Mcgrath,Sarah Louise,McGRATH,Sarah,Charles Sturt,Ward Councillor,Grange ward,2,Yes,,Not elected
Scheffler,Thomas Mark,SCHEFFLER,Tom,Charles Sturt,Ward Councillor,Grange ward,1,Yes,,Elected
Tullio,Rachele,TULLIO,Rachele,Charles Sturt,Ward Councillor,Grange ward,4,No,,Elected
Adley,John Patrick,ADLEY,John Patrick,Charles Sturt,Ward Councillor,Henley ward,3,No,Australian Labor Party (South Australian Branch),Not elected
Fardone,Merlindie,FARDONE,Merlindie,Charles Sturt,Ward Councillor,Henley ward,1,No,,Elected
Van Den Nieuwelaar,Kenzie,van den NIEUWELAAR,Kenzie,Charles Sturt,Ward Councillor,Henley ward,2,Yes,,Elected
Alexandrides,Paul,ALEXANDRIDES,Paul,Charles Sturt,Ward Councillor,Hindmarsh ward,5,Yes,Australian Labor Party (South Australian Branch),Not elected
Campbell,Alice,CAMPBELL,Alice ,Charles Sturt,Ward Councillor,Hindmarsh ward,2,Yes,Australian Labor Party (South Australian Branch),Elected
Cooke,Graham Marshall Hall,COOKE,Graham Marshall Hall,Charles Sturt,Ward Councillor,Hindmarsh ward,4,No,,Not elected
Kinsella,Katriona,KINSELLA,Katriona,Charles Sturt,Ward Councillor,Hindmarsh ward,3,No,,Elected
Sutton,Stephen Anthony,SUTTON,Steve,Charles Sturt,Ward Councillor,Hindmarsh ward,1,No,,Not elected
Ferrao,Gerard,FERRAO,Gerard,Charles Sturt,Ward Councillor,Semaphore Park ward,4,Yes,Australian Labor Party (South Australian Branch),Not elected
