council,election,vacancies,candidates,election_status,supplementary_election_required,comment
Mount Barker,South Ward,3,5,Contested,No,
Mount Gambier,Mayor,1,1,Uncontested,No,Candidate(s) who nominated were elected unopposed
Mount Gambier,Area Councillor,8,18,Contested,No,
Mount Remarkable,Telowie Ward,3,3,Uncontested,No,Candidate(s) who nominated were elected unopposed
Mount Remarkable,Willochra Ward,4,3,Uncontested,Yes,Candidate(s) who nominated were elected unopposed
Murray Bridge,Mayor,1,2,Contested,No,
Murray Bridge,Area Councillor,9,15,Contested,No,
Naracoorte Lucindale,Mayor,1,2,Contested,No,
Naracoorte Lucindale,Area Councillor,10,16,Contested,No,
Northern Areas,Belalie Ward,4,5,Contested,No,
Northern Areas,Broughton Ward,1,1,Uncontested,No,Candidate(s) who nominated were elected unopposed
Northern Areas,Rocky River Ward,3,5,Contested,No,
Northern Areas,Yackamoorundie Ward,1,1,Uncontested,No,Candidate(s) who nominated were elected unopposed
Norwood Payneham & St Peters,Mayor,1,3,Contested,No,
Norwood Payneham & St Peters,St Peters Ward,2,6,Contested,No,
Norwood Payneham & St Peters,Torrens Ward,2,3,Contested,No,
Norwood Payneham & St Peters,Payneham Ward,2,5,Contested,No,
Norwood Payneham & St Peters,Maylands/Trinity Ward,3,4,Contested,No,
Norwood Payneham & St Peters,West Norwood/Kent Town Ward,2,2,Uncontested,No,Candidate(s) who nominated were elected unopposed
Norwood Payneham & St Peters,Kensington/East Norwood Ward,2,3,Contested,No,
Onkaparinga,Mayor,1,8,Contested,No,
Onkaparinga,South Coast Ward,2,10,Contested,No,
Onkaparinga,Mid Coast Ward,2,10,Contested,No,
Onkaparinga,Knox Ward,2,8,Contested,No,
Onkaparinga,Pimpala Ward,2,7,Contested,No,
Onkaparinga,Thalassa Ward,2,6,Contested,No,
Onkaparinga,Southern Vales Ward,2,8,Contested,No,
Orroroo Carrieton,Area Councillor,6,6,Uncontested,No,Candidate(s) who nominated were elected unopposed
Peterborough,Mayor,1,2,Contested,No,
Peterborough,Area Councillor,8,10,Contested,No,
Playford,Mayor,1,3,Contested,No,
Playford,Ward 1,3,11,Contested,No,
Playford,Ward 2,3,10,Contested,No,
Playford,Ward 3,3,10,Contested,No,
Playford,Ward 4,3,12,Contested,No,
Playford,Ward 5,3,6,Contested,No,
Port Adelaide Enfield,Mayor,1,1,Uncontested,No,Candidate(s) who nominated were elected unopposed
Port Adelaide Enfield,Outer Harbor Ward,2,6,Contested,No,
