age_range,gender,standing_for_reelection,elected_status,council_type,position_contested
25-34,M,No,No,Country,Area Councillor
25-34,M,No,No,Metropolitan,Ward Councillor
25-34,M,Yes,No,Metropolitan,Mayor
25-34,M,Yes,Yes,Metropolitan,Ward Councillor
25-34,M,No,No,Metropolitan,Ward Councillor
25-34,M,No,Yes,Country,Ward Councillor
25-34,M,No,No,Metropolitan,Area Councillor
25-34,F,No,No,Country,Ward Councillor
25-34,M,No,No,Metropolitan,Ward Councillor
25-34,M,No,No,Metropolitan,Ward Councillor
25-34,M,Yes,No,Metropolitan,Ward Councillor
25-34,M,No,No,Metropolitan,Ward Councillor
25-34,F,No,Yes,Country,Ward Councillor
25-34,M,No,No,Metropolitan,Ward Councillor
25-34,M,No,No,Country,Ward Councillor
25-34,M,No,No,Country,Area Councillor
25-34,M,No,No,Country,Area Councillor
25-34,M,No,No,Metropolitan,Ward Councillor
25-34,M,No,No,Metropolitan,Mayor
25-34,M,Yes,No,Metropolitan,Mayor
25-34,M,No,No,Metropolitan,Ward Councillor
25-34,M,No,No,Metropolitan,Ward Councillor
25-34,M,No,No,Metropolitan,Ward Councillor
25-34,F,No,No,Metropolitan,Ward Councillor
25-34,M,No,No,Metropolitan,Ward Councillor
25-34,F,No,No,Metropolitan,Ward Councillor
25-34,F,No,Yes,Country,Ward Councillor
25-34,M,No,No,Metropolitan,Ward Councillor
25-34,F,No,No,Metropolitan,Ward Councillor
25-34,M,No,No,Country,Area Councillor
25-34,M,No,No,Country,Area Councillor
25-34,F,No,No,Metropolitan,Ward Councillor
25-34,F,No,Yes,Country,Ward Councillor
25-34,F,No,No,Metropolitan,Ward Councillor
25-34,M,No,No,Metropolitan,Ward Councillor
25-34,M,No,No,Metropolitan,Ward Councillor
25-34,M,No,No,Metropolitan,Ward Councillor
25-34,M,No,No,Metropolitan,Ward Councillor
25-34,M,No,No,Metropolitan,Ward Councillor
25-34,F,No,No,Metropolitan,Ward Councillor
25-34,M,No,No,Metropolitan,Ward Councillor
25-34,M,No,No,Metropolitan,Ward Councillor
25-34,M,No,No,Metropolitan,Ward Councillor
25-34,F,No,No,Country,Area Councillor
25-34,M,Yes,No,Country,Mayor
25-34,M,No,No,Metropolitan,Ward Councillor
25-34,F,No,No,Metropolitan,Ward Councillor
25-34,M,No,No,Metropolitan,Ward Councillor
25-34,F,Yes,Yes,Country,Mayor
25-34,M,No,Yes,Metropolitan,Ward Councillor
25-34,M,No,Elected unopposed,Metropolitan,Ward Councillor
25-34,M,No,Yes,Metropolitan,Ward Councillor
25-34,M,No,Yes,Country,Area Councillor
25-34,M,No,Yes,Country,Area Councillor
25-34,M,Yes,Yes,Metropolitan,Area Councillor
25-34,M,Yes,Yes,Metropolitan,Area Councillor
25-34,M,Yes,Yes,Metropolitan,Ward Councillor
25-34,M,No,Yes,Country,Area Councillor
25-34,M,No,Yes,Metropolitan,Ward Councillor
25-34,F,No,Yes,Metropolitan,Ward Councillor
25-34,M,No,Yes,Metropolitan,Ward Councillor
25-34,M,Yes,Yes,Country,Ward Councillor
25-34,M,No,Yes,Country,Area Councillor
25-34,M,No,Yes,Country,Ward Councillor
25-34,M,No,Yes,Metropolitan,Ward Councillor
25-34,F,No,Yes,Metropolitan,Ward Councillor
25-34,F,No,Elected unopposed,Country,Area Councillor
25-34,M,Yes,Yes,Metropolitan,Ward Councillor
25-34,F,No,Yes,Metropolitan,Ward Councillor
25-34,F,No,Yes,Metropolitan,Ward Councillor
25-34,F,Yes,Yes,Metropolitan,Ward Councillor
25-34,M,Yes,Yes,Metropolitan,Ward Councillor
25-34,F,Yes,Yes,Metropolitan,Ward Councillor
25-34,F,Yes,Yes,Metropolitan,Ward Councillor
25-34,M,No,Yes,Country,Area Councillor
25-34,M,Yes,Yes,Country,Area Councillor
25-34,F,No,Yes,Metropolitan,Ward Councillor
25-34,F,No,Yes,Metropolitan,Ward Councillor
25-34,M,Yes,Yes,Metropolitan,Ward Councillor
25-34,M,Yes,Yes,Metropolitan,Ward Councillor
25-34,F,Yes,Yes,Metropolitan,Ward Councillor
25-34,M,Yes,Yes,Country,Ward Councillor
25-34,F,Yes,Yes,Country,Ward Councillor
25-34,M,No,Yes,Metropolitan,Area Councillor
25-34,M,No,Yes,Metropolitan,Area Councillor
25-34,M,No,Yes,Metropolitan,Ward Councillor
25-34,M,Yes,Yes,Metropolitan,Ward Councillor
25-34,F,Yes,Yes,Country,Area Councillor
35-44,M,Yes,Yes,Metropolitan,Area Councillor
35-44,M,Yes,Yes,Metropolitan,Ward Councillor
35-44,M,No,Yes,Metropolitan,Ward Councillor
35-44,M,Yes,Yes,Country,Ward Councillor
35-44,F,No,Yes,Country,Ward Councillor
35-44,F,No,Yes,Country,Area Councillor
35-44,F,Yes,Yes,Country,Area Councillor
35-44,F,No,Yes,Country,Ward Councillor
35-44,F,No,Yes,Country,Area Councillor
35-44,M,No,No,Metropolitan,Area Councillor
35-44,F,No,Yes,Country,Area Councillor
35-44,M,No,No,Metropolitan,Area Councillor
35-44,M,No,No,Metropolitan,Mayor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,F,No,No,Metropolitan,Ward Councillor
35-44,F,No,No,Metropolitan,Ward Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,M,Yes,Yes,Country,Area Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,F,No,No,Metropolitan,Ward Councillor
35-44,M,No,No,Country,Mayor
35-44,F,No,No,Country,Area Councillor
35-44,F,No,No,Country,Area Councillor
35-44,F,Yes,No,Country,Area Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,M,Yes,Yes,Metropolitan,Ward Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,M,No,Yes,Metropolitan,Ward Councillor
35-44,F,No,No,Metropolitan,Ward Councillor
35-44,F,No,No,Country,Area Councillor
35-44,F,No,No,Country,Area Councillor
35-44,F,No,No,Country,Area Councillor
35-44,F,No,No,Metropolitan,Ward Councillor
35-44,M,No,No,Country,Area Councillor
35-44,M,No,No,Metropolitan,Area Councillor
35-44,M,No,No,Metropolitan,Area Councillor
35-44,F,No,No,Metropolitan,Area Councillor
35-44,M,No,No,Country,Ward Councillor
35-44,F,No,No,Country,Ward Councillor
35-44,M,Yes,Elected unopposed,Metropolitan,Ward Councillor
35-44,M,Yes,Yes,Metropolitan,Ward Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,F,No,No,Country,Area Councillor
35-44,M,No,No,Metropolitan,Mayor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,F,No,No,Metropolitan,Ward Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,F,No,No,Metropolitan,Ward Councillor
35-44,M,No,Yes,Metropolitan,Ward Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,F,No,No,Metropolitan,Ward Councillor
35-44,M,No,No,Country,Area Councillor
35-44,F,No,No,Country,Area Councillor
35-44,M,No,No,Country,Area Councillor
35-44,M,No,No,Country,Area Councillor
35-44,M,No,No,Country,Area Councillor
35-44,M,No,No,Country,Area Councillor
35-44,M,No,No,Country,Area Councillor
35-44,M,No,No,Country,Area Councillor
35-44,F,No,No,Country,Area Councillor
35-44,F,No,Yes,Metropolitan,Ward Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,F,Yes,Yes,Metropolitan,Ward Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,F,No,Yes,Metropolitan,Ward Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,F,No,Yes,Metropolitan,Ward Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,F,No,Yes,Metropolitan,Ward Councillor
35-44,F,No,Yes,Country,Area Councillor
35-44,F,No,No,Country,Area Councillor
35-44,M,No,No,Metropolitan,Mayor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,F,No,No,Metropolitan,Ward Councillor
35-44,F,No,Yes,Country,Area Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,F,No,No,Metropolitan,Ward Councillor
35-44,F,No,No,Metropolitan,Ward Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,F,No,No,Metropolitan,Ward Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,F,No,No,Metropolitan,Ward Councillor
35-44,F,No,No,Metropolitan,Ward Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,F,No,No,Metropolitan,Ward Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,M,Yes,Yes,Country,Area Councillor
35-44,M,No,Elected unopposed,Country,Area Councillor
35-44,M,No,No,Country,Area Councillor
35-44,M,No,No,Country,Area Councillor
35-44,M,No,No,Metropolitan,Mayor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,F,No,No,Metropolitan,Ward Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,M,No,No,Metropolitan,Mayor
35-44,F,No,No,Metropolitan,Ward Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,F,No,No,Country,Area Councillor
35-44,M,No,No,Metropolitan,Mayor
35-44,F,No,No,Metropolitan,Ward Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,F,No,No,Metropolitan,Ward Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,M,Yes,No,Metropolitan,Mayor
35-44,F,No,No,Metropolitan,Mayor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,F,No,No,Metropolitan,Ward Councillor
35-44,M,Yes,No,Metropolitan,Area Councillor
35-44,M,No,No,Country,Ward Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,F,Yes,Yes,Country,Ward Councillor
35-44,F,No,No,Metropolitan,Ward Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,M,No,No,Metropolitan,Ward Councillor
35-44,F,No,No,Metropolitan,Ward Councillor
35-44,F,No,No,Metropolitan,Ward Councillor
35-44,F,No,No,Metropolitan,Ward Councillor
35-44,M,No,Yes,Country,Ward Councillor
35-44,F,Yes,Elected unopposed,Metropolitan,Ward Councillor
35-44,F,No,Yes,Metropolitan,Ward Councillor
35-44,F,Yes,Yes,Metropolitan,Ward Councillor
35-44,M,Yes,Yes,Country,Area Councillor
35-44,F,Yes,Elected unopposed,Country,Mayor
35-44,M,Yes,Elected unopposed,Country,Area Councillor
35-44,F,No,Yes,Country,Area Councillor
35-44,M,No,Yes,Country,Area Councillor
35-44,M,No,Yes,Country,Ward Councillor
35-44,F,No,Yes,Metropolitan,Ward Councillor
35-44,M,No,Yes,Metropolitan,Ward Councillor
35-44,F,No,Yes,Metropolitan,Ward Councillor
35-44,F,No,Yes,Metropolitan,Ward Councillor
35-44,F,Yes,Yes,Country,Mayor
35-44,F,No,Elected unopposed,Country,Ward Councillor
35-44,F,No,Elected unopposed,Country,Ward Councillor
35-44,M,No,Yes,Metropolitan,Ward Councillor
35-44,F,No,Yes,Country,Ward Councillor
35-44,M,Yes,Yes,Country,Area Councillor
35-44,M,Yes,Yes,Country,Area Councillor
35-44,F,No,Yes,Country,Area Councillor
35-44,M,Yes,Yes,Country,Area Councillor
35-44,F,Yes,Yes,Country,Area Councillor
35-44,M,Yes,Yes,Country,Area Councillor
35-44,F,No,Yes,Country,Area Councillor
35-44,M,Yes,Yes,Metropolitan,Ward Councillor
35-44,M,No,Yes,Metropolitan,Ward Councillor
35-44,F,No,Yes,Metropolitan,Ward Councillor
35-44,M,Yes,Yes,Metropolitan,Ward Councillor
35-44,F,No,Yes,Metropolitan,Ward Councillor
35-44,M,No,Yes,Metropolitan,Ward Councillor
35-44,F,Yes,Yes,Metropolitan,Ward Councillor
35-44,M,Yes,Yes,Country,Area Councillor
35-44,M,Yes,Yes,Country,Area Councillor
35-44,M,Yes,Yes,Metropolitan,Mayor
35-44,M,Yes,Yes,Metropolitan,Ward Councillor
35-44,F,No,Yes,Metropolitan,Ward Councillor
35-44,F,Yes,Yes,Metropolitan,Ward Councillor
35-44,F,Yes,Elected unopposed,Metropolitan,Mayor
35-44,M,Yes,Yes,Metropolitan,Ward Councillor
35-44,F,Yes,Yes,Metropolitan,Ward Councillor
35-44,F,Yes,Yes,Metropolitan,Ward Councillor
35-44,M,Yes,Yes,Metropolitan,Ward Councillor
35-44,F,Yes,Yes,Country,Area Councillor
35-44,M,Yes,Yes,Country,Area Councillor
35-44,F,Yes,Yes,Country,Area Councillor
35-44,F,No,Yes,Country,Area Councillor
35-44,F,Yes,Yes,Metropolitan,Ward Councillor
35-44,F,No,Yes,Metropolitan,Ward Councillor
35-44,M,Yes,Yes,Metropolitan,Ward Councillor
35-44,F,Yes,Yes,Metropolitan,Ward Councillor
35-44,M,No,Yes,Metropolitan,Ward Councillor
35-44,F,Yes,Elected unopposed,Country,Ward Councillor
35-44,M,Yes,Yes,Metropolitan,Ward Councillor
35-44,F,No,Yes,Metropolitan,Ward Councillor
35-44,M,Yes,Yes,Metropolitan,Ward Councillor
35-44,F,No,Yes,Metropolitan,Ward Councillor
35-44,M,Yes,Elected unopposed,Country,Area Councillor
35-44,M,No,Yes,Metropolitan,Ward Councillor
35-44,M,No,Yes,Country,Area Councillor
35-44,M,No,Yes,Country,Ward Councillor
35-44,M,No,Yes,Country,Ward Councillor
35-44,F,No,Yes,Metropolitan,Area Councillor
35-44,F,No,Yes,Metropolitan,Ward Councillor
35-44,F,Yes,Yes,Metropolitan,Ward Councillor
35-44,F,No,Yes,Metropolitan,Ward Councillor
35-44,F,No,Yes,Metropolitan,Ward Councillor
35-44,M,No,Yes,Country,Area Councillor
35-44,F,No,Yes,Country,Area Councillor
35-44,F,No,Elected unopposed,Country,Ward Councillor
45-54,F,Yes,Yes,Metropolitan,Ward Councillor
45-54,M,No,Yes,Metropolitan,Ward Councillor
45-54,F,Yes,Yes,Country,Ward Councillor
45-54,M,Yes,Yes,Country,Ward Councillor
45-54,F,Yes,Yes,Country,Ward Councillor
45-54,F,No,Yes,Country,Ward Councillor
45-54,F,Yes,Yes,Country,Ward Councillor
45-54,M,No,Yes,Country,Area Councillor
45-54,F,No,Yes,Country,Ward Councillor
45-54,M,No,Yes,Country,Ward Councillor
45-54,F,No,Yes,Country,Area Councillor
45-54,M,Yes,Yes,Country,Area Councillor
45-54,F,No,Yes,Country,Area Councillor
45-54,M,Yes,Yes,Metropolitan,Ward Councillor
45-54,F,Yes,Yes,Metropolitan,Ward Councillor
45-54,M,No,Yes,Metropolitan,Ward Councillor
45-54,M,Yes,Yes,Metropolitan,Ward Councillor
45-54,F,No,Yes,Country,Area Councillor
45-54,F,No,Yes,Country,Area Councillor
45-54,F,No,Yes,Country,Area Councillor
45-54,F,Yes,Yes,Metropolitan,Ward Councillor
45-54,F,No,Yes,Metropolitan,Ward Councillor
45-54,M,No,Yes,Metropolitan,Ward Councillor
45-54,M,Yes,Yes,Country,Area Councillor
45-54,F,Yes,Elected unopposed,Country,Area Councillor
45-54,M,Yes,Elected unopposed,Country,Area Councillor
45-54,M,No,Yes,Country,Area Councillor
45-54,M,No,Yes,Country,Area Councillor
45-54,M,Yes,Elected unopposed,Country,Area Councillor
45-54,F,Yes,Yes,Country,Area Councillor
45-54,M,No,Yes,Metropolitan,Area Councillor
45-54,M,Yes,Yes,Country,Ward Councillor
45-54,F,No,Yes,Country,Ward Councillor
45-54,F,No,No,Metropolitan,Area Councillor
45-54,M,No,No,Metropolitan,Mayor
45-54,F,No,No,Metropolitan,Ward Councillor
45-54,M,No,No,Metropolitan,Ward Councillor
45-54,M,No,No,Country,Ward Councillor
45-54,F,Yes,Yes,Metropolitan,Mayor
45-54,M,No,Elected unopposed,Metropolitan,Ward Councillor
45-54,F,Yes,Yes,Metropolitan,Ward Councillor
45-54,M,No,No,Country,Ward Councillor
45-54,F,No,No,Country,Ward Councillor
45-54,M,No,No,Country,Ward Councillor
45-54,M,No,No,Country,Ward Councillor
45-54,F,No,No,Country,Ward Councillor
45-54,M,No,No,Country,Area Councillor
45-54,F,Yes,Yes,Metropolitan,Ward Councillor
45-54,F,No,No,Country,Area Councillor
45-54,F,No,No,Metropolitan,Ward Councillor
45-54,M,No,No,Metropolitan,Ward Councillor
45-54,M,No,No,Metropolitan,Ward Councillor
45-54,F,No,Yes,Metropolitan,Ward Councillor
45-54,M,No,No,Metropolitan,Ward Councillor
45-54,M,No,No,Metropolitan,Ward Councillor
45-54,M,Yes,Yes,Country,Area Councillor
45-54,M,No,No,Metropolitan,Ward Councillor
45-54,O,No,No,Metropolitan,Ward Councillor
45-54,F,No,No,Metropolitan,Ward Councillor
45-54,F,Yes,No,Metropolitan,Ward Councillor
45-54,F,No,Yes,Country,Area Councillor
45-54,M,No,No,Metropolitan,Ward Councillor
45-54,M,Yes,No,Metropolitan,Ward Councillor
45-54,M,No,Yes,Country,Area Councillor
45-54,M,Yes,Yes,Country,Area Councillor
45-54,F,Yes,Elected unopposed,Country,Area Councillor
45-54,M,No,No,Metropolitan,Ward Councillor
45-54,M,Yes,Yes,Country,Area Councillor
45-54,M,Yes,No,Metropolitan,Ward Councillor
45-54,M,No,No,Metropolitan,Ward Councillor
45-54,M,No,Yes,Country,Ward Councillor
45-54,F,No,No,Country,Area Councillor
45-54,M,No,No,Country,Area Councillor
45-54,M,No,No,Metropolitan,Area Councillor
45-54,F,No,No,Metropolitan,Area Councillor
45-54,M,No,Yes,Country,Ward Councillor
45-54,M,No,No,Country,Ward Councillor
45-54,F,No,No,Metropolitan,Ward Councillor
45-54,M,Yes,Yes,Country,Ward Councillor
45-54,F,No,Yes,Country,Ward Councillor
45-54,F,No,No,Metropolitan,Ward Councillor
45-54,F,No,Yes,Country,Area Councillor
45-54,M,No,No,Country,Area Councillor
45-54,F,Yes,Yes,Country,Area Councillor
45-54,M,Yes,Yes,Country,Area Councillor
45-54,M,No,No,Country,Area Councillor
45-54,F,No,No,Country,Mayor
45-54,M,Yes,No,Country,Ward Councillor
45-54,M,No,No,Country,Ward Councillor
45-54,M,No,No,Metropolitan,Ward Councillor
45-54,M,No,No,Metropolitan,Ward Councillor
45-54,M,No,No,Metropolitan,Ward Councillor
45-54,M,No,No,Metropolitan,Ward Councillor
45-54,M,No,No,Metropolitan,Ward Councillor
45-54,F,No,No,Country,Ward Councillor
45-54,M,No,No,Metropolitan,Ward Councillor
45-54,M,Yes,Yes,Metropolitan,Ward Councillor
45-54,M,No,No,Metropolitan,Ward Councillor
45-54,M,No,Yes,Metropolitan,Ward Councillor
45-54,F,No,No,Metropolitan,Ward Councillor
45-54,M,Yes,No,Metropolitan,Ward Councillor
45-54,F,No,No,Metropolitan,Ward Councillor
45-54,F,No,No,Country,Ward Councillor
45-54,M,Yes,Yes,Metropolitan,Ward Councillor
45-54,F,No,No,Country,Area Councillor
45-54,F,No,No,Country,Area Councillor
45-54,M,No,Yes,Metropolitan,Ward Councillor
45-54,M,Yes,No,Country,Area Councillor
45-54,F,No,No,Country,Ward Councillor
45-54,M,No,No,Metropolitan,Ward Councillor
45-54,F,No,No,Metropolitan,Ward Councillor
45-54,M,No,No,Metropolitan,Mayor
45-54,M,No,No,Metropolitan,Mayor
45-54,M,No,No,Metropolitan,Ward Councillor
45-54,F,No,No,Metropolitan,Ward Councillor
45-54,F,Yes,No,Metropolitan,Ward Councillor
45-54,F,No,No,Metropolitan,Ward Councillor
45-54,F,No,No,Metropolitan,Ward Councillor
45-54,M,No,No,Metropolitan,Ward Councillor
45-54,F,No,No,Metropolitan,Ward Councillor
45-54,F,No,Yes,Country,Ward Councillor
45-54,M,No,No,Metropolitan,Ward Councillor
45-54,M,No,No,Metropolitan,Ward Councillor
45-54,M,No,Yes,Country,Ward Councillor
45-54,M,No,No,Metropolitan,Ward Councillor
45-54,M,No,No,Metropolitan,Ward Councillor
45-54,M,Yes,No,Metropolitan,Mayor
45-54,M,No,No,Metropolitan,Ward Councillor
45-54,F,Yes,No,Metropolitan,Ward Councillor
45-54,M,No,No,Metropolitan,Ward Councillor
45-54,F,No,No,Metropolitan,Ward Councillor
45-54,M,No,No,Metropolitan,Ward Councillor
45-54,F,Yes,No,Metropolitan,Ward Councillor
45-54,F,No,No,Metropolitan,Ward Councillor
45-54,F,No,Yes,Metropolitan,Ward Councillor
45-54,F,No,No,Metropolitan,Ward Councillor
45-54,F,Yes,Yes,Metropolitan,Ward Councillor
45-54,M,Yes,Yes,Metropolitan,Ward Councillor
45-54,M,No,No,Metropolitan,Ward Councillor
45-54,M,No,No,Metropolitan,Ward Councillor
45-54,M,No,No,Metropolitan,Ward Councillor
45-54,M,No,No,Metropolitan,Ward Councillor
45-54,M,No,No,Metropolitan,Ward Councillor
45-54,M,No,No,Metropolitan,Ward Councillor
45-54,F,No,No,Country,Area Councillor
45-54,F,No,No,Country,Area Councillor
45-54,M,No,No,Country,Area Councillor
45-54,M,Yes,Yes,Metropolitan,Ward Councillor
45-54,F,No,No,Metropolitan,Mayor
45-54,F,No,No,Metropolitan,Ward Councillor
45-54,F,No,Yes,Country,Ward Councillor
45-54,F,Yes,Yes,Country,Ward Councillor
45-54,M,No,No,Metropolitan,Ward Councillor
45-54,M,Yes,No,Metropolitan,Mayor
45-54,M,No,No,Metropolitan,Ward Councillor
45-54,F,Yes,Yes,Country,Ward Councillor
45-54,F,No,Yes,Country,Ward Councillor
45-54,M,No,No,Metropolitan,Ward Councillor
45-54,F,Yes,Yes,Country,Area Councillor
45-54,M,No,No,Metropolitan,Ward Councillor
45-54,M,No,No,Metropolitan,Ward Councillor
45-54,F,No,No,Metropolitan,Ward Councillor
45-54,M,No,No,Metropolitan,Ward Councillor
45-54,M,No,Yes,Country,Area Councillor
45-54,M,No,No,Metropolitan,Ward Councillor
45-54,F,No,No,Metropolitan,Ward Councillor
45-54,M,No,No,Country,Area Councillor
45-54,M,No,No,Country,Ward Councillor
45-54,M,No,No,Metropolitan,Ward Councillor
45-54,M,Yes,No,Metropolitan,Ward Councillor
45-54,M,Yes,Yes,Country,Area Councillor
45-54,F,Yes,Yes,Country,Area Councillor
45-54,F,No,No,Metropolitan,Ward Councillor
45-54,F,No,No,Metropolitan,Ward Councillor
45-54,M,No,No,Country,Area Councillor
45-54,M,No,No,Country,Area Councillor
45-54,F,No,No,Country,Area Councillor
45-54,F,No,No,Country,Area Councillor
45-54,F,No,No,Country,Area Councillor
45-54,M,Yes,No,Country,Ward Councillor
45-54,M,No,No,Country,Ward Councillor
45-54,M,Yes,Yes,Country,Area Councillor
45-54,M,No,Yes,Country,Area Councillor
45-54,M,No,No,Country,Ward Councillor
45-54,M,Yes,Yes,Country,Area Councillor
45-54,M,Yes,Yes,Country,Area Councillor
45-54,F,No,Yes,Country,Ward Councillor
45-54,M,Yes,Elected unopposed,Country,Ward Councillor
45-54,M,Yes,Yes,Metropolitan,Mayor
45-54,F,No,Yes,Metropolitan,Ward Councillor
45-54,F,Yes,Yes,Metropolitan,Ward Councillor
45-54,M,Yes,Elected unopposed,Country,Area Councillor
45-54,F,Yes,Yes,Country,Area Councillor
45-54,M,Yes,Yes,Metropolitan,Ward Councillor
45-54,F,Yes,Yes,Metropolitan,Ward Councillor
45-54,F,Yes,Yes,Metropolitan,Ward Councillor
45-54,M,No,Yes,Metropolitan,Ward Councillor
45-54,M,Yes,Yes,Metropolitan,Ward Councillor
45-54,M,No,Yes,Country,Area Councillor
45-54,F,No,Yes,Country,Area Councillor
45-54,M,No,Yes,Country,Area Councillor
45-54,F,Yes,Yes,Country,Area Councillor
45-54,F,No,Yes,Country,Area Councillor
45-54,F,Yes,Yes,Country,Area Councillor
45-54,M,Yes,Yes,Country,Area Councillor
45-54,M,Yes,Yes,Country,Area Councillor
45-54,F,Yes,Yes,Country,Area Councillor
45-54,M,No,Yes,Country,Area Councillor
45-54,M,Yes,Yes,Metropolitan,Mayor
45-54,F,Yes,Yes,Metropolitan,Ward Councillor
45-54,M,Yes,Yes,Metropolitan,Ward Councillor
45-54,M,No,Yes,Metropolitan,Ward Councillor
45-54,M,Yes,Yes,Country,Area Councillor
45-54,F,No,Yes,Country,Area Councillor
45-54,F,No,Yes,Metropolitan,Ward Councillor
45-54,F,No,Yes,Metropolitan,Ward Councillor
45-54,F,Yes,Yes,Metropolitan,Ward Councillor
45-54,M,Yes,Elected unopposed,Country,Ward Councillor
45-54,F,No,Yes,Country,Area Councillor
45-54,F,Yes,Yes,Country,Area Councillor
