sheet,metric,category,financial_year,value
ICT personnel,Proportion of ICT FTE in each service Category,Storage,2009-10,0.0028620204860413737
ICT personnel,Proportion of ICT FTE in each service Category,Storage,2011-12,0.001607243309849723
ICT personnel,Proportion of ICT FTE in each service Category,Storage,2013-14,0.0036710533644571143
ICT personnel,Proportion of ICT FTE in each service Category,Data Network,2009-10,0.03760795340429805
ICT personnel,Proportion of ICT FTE in each service Category,Data Network,2011-12,0.030441188288553758
ICT personnel,Proportion of ICT FTE in each service Category,Data Network,2013-14,0.0281430546202105
ICT personnel,Proportion of ICT FTE in each service Category,Voice Network,2009-10,0.012050612572805784
ICT personnel,Proportion of ICT FTE in each service Category,Voice Network,2011-12,0.0058235782593554965
ICT personnel,Proportion of ICT FTE in each service Category,Voice Network,2013-14,0.008177587839445848
ICT personnel,Proportion of ICT FTE in each service Category,Facilities,2009-10,0.004619401486242217
ICT personnel,Proportion of ICT FTE in each service Category,Facilities,2011-12,0.0037984516889448456
ICT personnel,Proportion of ICT FTE in each service Category,Facilities,2013-14,0.0025317609410049065
ICT personnel,Proportion of ICT FTE in each service Category,Mobile Services,2009-10,0.004870455914842337
ICT personnel,Proportion of ICT FTE in each service Category,Mobile Services,2011-12,0.003118052021108463
ICT personnel,Proportion of ICT FTE in each service Category,Mobile Services,2013-14,0.004278675990298291
ICT personnel,Proportion of ICT FTE in each service Category,Voice and Data Carriage,2009-10,0.0006025306286402891
ICT personnel,Proportion of ICT FTE in each service Category,Voice and Data Carriage,2011-12,0.004023465752323807
ICT personnel,Proportion of ICT FTE in each service Category,Voice and Data Carriage,2013-14,0.0038989118491475562
ICT personnel,Proportion of ICT FTE in each service Category,Government Radio Network,2009-10,0.009339224743924483
ICT personnel,Proportion of ICT FTE in each service Category,Government Radio Network,2011-12,0.01208111221237042
ICT personnel,Proportion of ICT FTE in each service Category,Government Radio Network,2013-14,0.013438587074854043
ICT personnel,Proportion of ICT FTE in each service Category,Service Management,2009-10,0.15997188190399678
ICT personnel,Proportion of ICT FTE in each service Category,Service Management,2011-12,0.15335244167046158
ICT personnel,Proportion of ICT FTE in each service Category,Service Management,2013-14,0.15993640216516194
ICT personnel,Proportion of ICT FTE in each service Category,ICT Management,2009-10,0.15831492267523598
ICT personnel,Proportion of ICT FTE in each service Category,ICT Management,2011-12,0.19062441402587668
ICT personnel,Proportion of ICT FTE in each service Category,ICT Management,2013-14,0.19116314161151646
ICT workforce demographics,ICT Staff Gender Distribution,Male,2009-10,0.7
ICT workforce demographics,ICT Staff Gender Distribution,Male,2011-12,0.72
