source_table,breakdown,financial_year,category_1,category_2,column_category,count
ST SA.3,"Closed treatment episodes, by country of birth and client type",2024–25,New Zealand,Other's drug use,,1
ST SA.3,"Closed treatment episodes, by country of birth and client type",2023–24,New Zealand,Other's drug use,,0
ST SA.3,"Closed treatment episodes, by country of birth and client type",2022–23,New Zealand,Other's drug use,,2
ST SA.3,"Closed treatment episodes, by country of birth and client type",2021–22,New Zealand,Other's drug use,,0
ST SA.3,"Closed treatment episodes, by country of birth and client type",2020–21,New Zealand,Other's drug use,,0
ST SA.3,"Closed treatment episodes, by country of birth and client type",2019–20,New Zealand,Other's drug use,,2
ST SA.3,"Closed treatment episodes, by country of birth and client type",2018–19,New Zealand,Other's drug use,,7
ST SA.3,"Closed treatment episodes, by country of birth and client type",2017–18,New Zealand,Other's drug use,,2
ST SA.3,"Closed treatment episodes, by country of birth and client type",2016–17,New Zealand,Other's drug use,,3
ST SA.3,"Closed treatment episodes, by country of birth and client type",2015–16,New Zealand,Other's drug use,,0
ST SA.3,"Closed treatment episodes, by country of birth and client type",2024–25,New Zealand,Total,,57
ST SA.3,"Closed treatment episodes, by country of birth and client type",2023–24,New Zealand,Total,,45
ST SA.3,"Closed treatment episodes, by country of birth and client type",2022–23,New Zealand,Total,,48
ST SA.3,"Closed treatment episodes, by country of birth and client type",2021–22,New Zealand,Total,,52
ST SA.3,"Closed treatment episodes, by country of birth and client type",2020–21,New Zealand,Total,,66
ST SA.3,"Closed treatment episodes, by country of birth and client type",2019–20,New Zealand,Total,,59
ST SA.3,"Closed treatment episodes, by country of birth and client type",2018–19,New Zealand,Total,,135
ST SA.3,"Closed treatment episodes, by country of birth and client type",2017–18,New Zealand,Total,,97
ST SA.3,"Closed treatment episodes, by country of birth and client type",2016–17,New Zealand,Total,,92
ST SA.3,"Closed treatment episodes, by country of birth and client type",2015–16,New Zealand,Total,,107
ST SA.3,"Closed treatment episodes, by country of birth and client type",2024–25,United Kingdom,Own drug use,,209
ST SA.3,"Closed treatment episodes, by country of birth and client type",2023–24,United Kingdom,Own drug use,,234
ST SA.3,"Closed treatment episodes, by country of birth and client type",2022–23,United Kingdom,Own drug use,,191
ST SA.3,"Closed treatment episodes, by country of birth and client type",2021–22,United Kingdom,Own drug use,,173
ST SA.3,"Closed treatment episodes, by country of birth and client type",2020–21,United Kingdom,Own drug use,,190
ST SA.3,"Closed treatment episodes, by country of birth and client type",2019–20,United Kingdom,Own drug use,,194
ST SA.3,"Closed treatment episodes, by country of birth and client type",2018–19,United Kingdom,Own drug use,,301
