source_table,breakdown,financial_year,category_1,category_2,column_category,count
SCR SA.2,Clients by sex,2016–17,Own drug use,Total,,8334
SCR SA.2,Clients by sex,2015–16,Own drug use,Total,,8025
SCR SA.2,Clients by sex,2014–15,Own drug use,Total,,8782
SCR SA.2,Clients by sex,2013–14,Own drug use,Total,,9136
SCR SA.2,Clients by sex,2024–25,Other's drug use,Male,,44
SCR SA.2,Clients by sex,2023–24,Other's drug use,Male,,37
SCR SA.2,Clients by sex,2022–23,Other's drug use,Male,,27
SCR SA.2,Clients by sex,2021–22,Other's drug use,Male,,9
SCR SA.2,Clients by sex,2020–21,Other's drug use,Male,,8
SCR SA.2,Clients by sex,2019–20,Other's drug use,Male,,8
SCR SA.2,Clients by sex,2018–19,Other's drug use,Male,,50
SCR SA.2,Clients by sex,2017–18,Other's drug use,Male,,80
SCR SA.2,Clients by sex,2016–17,Other's drug use,Male,,42
SCR SA.2,Clients by sex,2015–16,Other's drug use,Male,,15
SCR SA.2,Clients by sex,2014–15,Other's drug use,Male,,62
SCR SA.2,Clients by sex,2013–14,Other's drug use,Male,,29
SCR SA.2,Clients by sex,2024–25,Other's drug use,Female,,90
SCR SA.2,Clients by sex,2023–24,Other's drug use,Female,,70
SCR SA.2,Clients by sex,2022–23,Other's drug use,Female,,31
SCR SA.2,Clients by sex,2021–22,Other's drug use,Female,,22
SCR SA.2,Clients by sex,2020–21,Other's drug use,Female,,61
SCR SA.2,Clients by sex,2019–20,Other's drug use,Female,,78
SCR SA.2,Clients by sex,2018–19,Other's drug use,Female,,125
SCR SA.2,Clients by sex,2017–18,Other's drug use,Female,,95
SCR SA.2,Clients by sex,2016–17,Other's drug use,Female,,87
SCR SA.2,Clients by sex,2015–16,Other's drug use,Female,,49
SCR SA.2,Clients by sex,2014–15,Other's drug use,Female,,95
SCR SA.2,Clients by sex,2013–14,Other's drug use,Female,,50
SCR SA.2,Clients by sex,2024–25,Other's drug use,Another term,,0
SCR SA.2,Clients by sex,2023–24,Other's drug use,Another term,,0
SCR SA.2,Clients by sex,2022–23,Other's drug use,Another term,,0
SCR SA.2,Clients by sex,2021–22,Other's drug use,Another term,,0
SCR SA.2,Clients by sex,2020–21,Other's drug use,Another term,,0
SCR SA.2,Clients by sex,2019–20,Other's drug use,Another term,,0
SCR SA.2,Clients by sex,2018–19,Other's drug use,Another term,,0
SCR SA.2,Clients by sex,2017–18,Other's drug use,Another term,,0
SCR SA.2,Clients by sex,2016–17,Other's drug use,Another term,,0
SCR SA.2,Clients by sex,2015–16,Other's drug use,Another term,,0
SCR SA.2,Clients by sex,2014–15,Other's drug use,Another term,,0
SCR SA.2,Clients by sex,2013–14,Other's drug use,Another term,,0
SCR SA.2,Clients by sex,2024–25,Other's drug use,Not stated,,0
SCR SA.2,Clients by sex,2023–24,Other's drug use,Not stated,,0
SCR SA.2,Clients by sex,2022–23,Other's drug use,Not stated,,0
SCR SA.2,Clients by sex,2021–22,Other's drug use,Not stated,,0
SCR SA.2,Clients by sex,2020–21,Other's drug use,Not stated,,0
SCR SA.2,Clients by sex,2019–20,Other's drug use,Not stated,,0
SCR SA.2,Clients by sex,2018–19,Other's drug use,Not stated,,1
SCR SA.2,Clients by sex,2017–18,Other's drug use,Not stated,,0
SCR SA.2,Clients by sex,2016–17,Other's drug use,Not stated,,0
SCR SA.2,Clients by sex,2015–16,Other's drug use,Not stated,,0
SCR SA.2,Clients by sex,2014–15,Other's drug use,Not stated,,0
SCR SA.2,Clients by sex,2013–14,Other's drug use,Not stated,,0
SCR SA.2,Clients by sex,2024–25,Other's drug use,Total,,134
SCR SA.2,Clients by sex,2023–24,Other's drug use,Total,,107
SCR SA.2,Clients by sex,2022–23,Other's drug use,Total,,58
SCR SA.2,Clients by sex,2021–22,Other's drug use,Total,,31
SCR SA.2,Clients by sex,2020–21,Other's drug use,Total,,69
SCR SA.2,Clients by sex,2019–20,Other's drug use,Total,,86
SCR SA.2,Clients by sex,2018–19,Other's drug use,Total,,176
SCR SA.2,Clients by sex,2017–18,Other's drug use,Total,,175
SCR SA.2,Clients by sex,2016–17,Other's drug use,Total,,129
SCR SA.2,Clients by sex,2015–16,Other's drug use,Total,,64
SCR SA.2,Clients by sex,2014–15,Other's drug use,Total,,157
SCR SA.2,Clients by sex,2013–14,Other's drug use,Total,,79
SCR SA.2,Clients by sex,2024–25,Total,Male,,5417
SCR SA.2,Clients by sex,2023–24,Total,Male,,4962
SCR SA.2,Clients by sex,2022–23,Total,Male,,4235
SCR SA.2,Clients by sex,2021–22,Total,Male,,4312
SCR SA.2,Clients by sex,2020–21,Total,Male,,4551
SCR SA.2,Clients by sex,2019–20,Total,Male,,4559
SCR SA.2,Clients by sex,2018–19,Total,Male,,5595
SCR SA.2,Clients by sex,2017–18,Total,Male,,5005
SCR SA.2,Clients by sex,2016–17,Total,Male,,5697
SCR SA.2,Clients by sex,2015–16,Total,Male,,5565
SCR SA.2,Clients by sex,2014–15,Total,Male,,6175
SCR SA.2,Clients by sex,2013–14,Total,Male,,6505
SCR SA.2,Clients by sex,2024–25,Total,Female,,3250
SCR SA.2,Clients by sex,2023–24,Total,Female,,2988
SCR SA.2,Clients by sex,2022–23,Total,Female,,2448
SCR SA.2,Clients by sex,2021–22,Total,Female,,2627
SCR SA.2,Clients by sex,2020–21,Total,Female,,2791
SCR SA.2,Clients by sex,2019–20,Total,Female,,2564
SCR SA.2,Clients by sex,2018–19,Total,Female,,3080
SCR SA.2,Clients by sex,2017–18,Total,Female,,2537
SCR SA.2,Clients by sex,2016–17,Total,Female,,2763
SCR SA.2,Clients by sex,2015–16,Total,Female,,2522
SCR SA.2,Clients by sex,2014–15,Total,Female,,2762
SCR SA.2,Clients by sex,2013–14,Total,Female,,2705
SCR SA.2,Clients by sex,2024–25,Total,Another term,,43
SCR SA.2,Clients by sex,2023–24,Total,Another term,,27
SCR SA.2,Clients by sex,2022–23,Total,Another term,,28
SCR SA.2,Clients by sex,2021–22,Total,Another term,,13
SCR SA.2,Clients by sex,2020–21,Total,Another term,,6
SCR SA.2,Clients by sex,2019–20,Total,Another term,,5
SCR SA.2,Clients by sex,2018–19,Total,Another term,,4
SCR SA.2,Clients by sex,2017–18,Total,Another term,,0
SCR SA.2,Clients by sex,2016–17,Total,Another term,,0
SCR SA.2,Clients by sex,2015–16,Total,Another term,,0
SCR SA.2,Clients by sex,2014–15,Total,Another term,,0
SCR SA.2,Clients by sex,2013–14,Total,Another term,,0
SCR SA.2,Clients by sex,2024–25,Total,Not stated,,11
SCR SA.2,Clients by sex,2023–24,Total,Not stated,,12
SCR SA.2,Clients by sex,2022–23,Total,Not stated,,7
SCR SA.2,Clients by sex,2021–22,Total,Not stated,,8
SCR SA.2,Clients by sex,2020–21,Total,Not stated,,4
SCR SA.2,Clients by sex,2019–20,Total,Not stated,,3
SCR SA.2,Clients by sex,2018–19,Total,Not stated,,2
SCR SA.2,Clients by sex,2017–18,Total,Not stated,,2
SCR SA.2,Clients by sex,2016–17,Total,Not stated,,3
SCR SA.2,Clients by sex,2015–16,Total,Not stated,,2
SCR SA.2,Clients by sex,2014–15,Total,Not stated,,2
SCR SA.2,Clients by sex,2013–14,Total,Not stated,,5
SCR SA.2,Clients by sex,2024–25,Total,Total,,8721
SCR SA.2,Clients by sex,2023–24,Total,Total,,7989
SCR SA.2,Clients by sex,2022–23,Total,Total,,6718
SCR SA.2,Clients by sex,2021–22,Total,Total,,6960
SCR SA.2,Clients by sex,2020–21,Total,Total,,7352
SCR SA.2,Clients by sex,2019–20,Total,Total,,7131
SCR SA.2,Clients by sex,2018–19,Total,Total,,8681
SCR SA.2,Clients by sex,2017–18,Total,Total,,7544
SCR SA.2,Clients by sex,2016–17,Total,Total,,8463
SCR SA.2,Clients by sex,2015–16,Total,Total,,8089
SCR SA.2,Clients by sex,2014–15,Total,Total,,8939
SCR SA.2,Clients by sex,2013–14,Total,Total,,9215
SCR SA.3,Clients by age group,2024–25,Own drug use,10–19,,641
SCR SA.3,Clients by age group,2023–24,Own drug use,10–19,,630
SCR SA.3,Clients by age group,2022–23,Own drug use,10–19,,621
SCR SA.3,Clients by age group,2021–22,Own drug use,10–19,,567
SCR SA.3,Clients by age group,2020–21,Own drug use,10–19,,718
SCR SA.3,Clients by age group,2019–20,Own drug use,10–19,,759
SCR SA.3,Clients by age group,2018–19,Own drug use,10–19,,880
SCR SA.3,Clients by age group,2017–18,Own drug use,10–19,,1072
SCR SA.3,Clients by age group,2016–17,Own drug use,10–19,,1285
SCR SA.3,Clients by age group,2015–16,Own drug use,10–19,,1203
SCR SA.3,Clients by age group,2014–15,Own drug use,10–19,,1353
SCR SA.3,Clients by age group,2013–14,Own drug use,10–19,,1163
SCR SA.3,Clients by age group,2024–25,Own drug use,20–29,,1770
SCR SA.3,Clients by age group,2023–24,Own drug use,20–29,,1572
SCR SA.3,Clients by age group,2022–23,Own drug use,20–29,,1353
SCR SA.3,Clients by age group,2021–22,Own drug use,20–29,,1483
SCR SA.3,Clients by age group,2020–21,Own drug use,20–29,,1613
SCR SA.3,Clients by age group,2019–20,Own drug use,20–29,,1616
SCR SA.3,Clients by age group,2018–19,Own drug use,20–29,,2109
SCR SA.3,Clients by age group,2017–18,Own drug use,20–29,,1808
SCR SA.3,Clients by age group,2016–17,Own drug use,20–29,,2183
SCR SA.3,Clients by age group,2015–16,Own drug use,20–29,,2200
SCR SA.3,Clients by age group,2014–15,Own drug use,20–29,,2257
SCR SA.3,Clients by age group,2013–14,Own drug use,20–29,,2259
SCR SA.3,Clients by age group,2024–25,Own drug use,30–39,,2538
SCR SA.3,Clients by age group,2023–24,Own drug use,30–39,,2301
SCR SA.3,Clients by age group,2022–23,Own drug use,30–39,,1947
SCR SA.3,Clients by age group,2021–22,Own drug use,30–39,,2047
SCR SA.3,Clients by age group,2020–21,Own drug use,30–39,,2193
SCR SA.3,Clients by age group,2019–20,Own drug use,30–39,,2166
SCR SA.3,Clients by age group,2018–19,Own drug use,30–39,,2568
SCR SA.3,Clients by age group,2017–18,Own drug use,30–39,,2101
SCR SA.3,Clients by age group,2016–17,Own drug use,30–39,,2377
SCR SA.3,Clients by age group,2015–16,Own drug use,30–39,,2219
SCR SA.3,Clients by age group,2014–15,Own drug use,30–39,,2509
SCR SA.3,Clients by age group,2013–14,Own drug use,30–39,,2587
SCR SA.3,Clients by age group,2024–25,Own drug use,40–49,,2103
SCR SA.3,Clients by age group,2023–24,Own drug use,40–49,,1951
SCR SA.3,Clients by age group,2022–23,Own drug use,40–49,,1583
SCR SA.3,Clients by age group,2021–22,Own drug use,40–49,,1653
SCR SA.3,Clients by age group,2020–21,Own drug use,40–49,,1717
SCR SA.3,Clients by age group,2019–20,Own drug use,40–49,,1563
SCR SA.3,Clients by age group,2018–19,Own drug use,40–49,,1922
SCR SA.3,Clients by age group,2017–18,Own drug use,40–49,,1573
SCR SA.3,Clients by age group,2016–17,Own drug use,40–49,,1677
SCR SA.3,Clients by age group,2015–16,Own drug use,40–49,,1623
SCR SA.3,Clients by age group,2014–15,Own drug use,40–49,,1769
SCR SA.3,Clients by age group,2013–14,Own drug use,40–49,,1952
SCR SA.3,Clients by age group,2024–25,Own drug use,50–59,,1123
SCR SA.3,Clients by age group,2023–24,Own drug use,50–59,,1062
SCR SA.3,Clients by age group,2022–23,Own drug use,50–59,,829
SCR SA.3,Clients by age group,2021–22,Own drug use,50–59,,860
SCR SA.3,Clients by age group,2020–21,Own drug use,50–59,,779
SCR SA.3,Clients by age group,2019–20,Own drug use,50–59,,706
SCR SA.3,Clients by age group,2018–19,Own drug use,50–59,,804
SCR SA.3,Clients by age group,2017–18,Own drug use,50–59,,624
SCR SA.3,Clients by age group,2016–17,Own drug use,50–59,,632
SCR SA.3,Clients by age group,2015–16,Own drug use,50–59,,613
SCR SA.3,Clients by age group,2014–15,Own drug use,50–59,,692
SCR SA.3,Clients by age group,2013–14,Own drug use,50–59,,834
SCR SA.3,Clients by age group,2024–25,Own drug use,60+,,412
SCR SA.3,Clients by age group,2023–24,Own drug use,60+,,366
SCR SA.3,Clients by age group,2022–23,Own drug use,60+,,327
SCR SA.3,Clients by age group,2021–22,Own drug use,60+,,319
SCR SA.3,Clients by age group,2020–21,Own drug use,60+,,263
SCR SA.3,Clients by age group,2019–20,Own drug use,60+,,235
SCR SA.3,Clients by age group,2018–19,Own drug use,60+,,222
SCR SA.3,Clients by age group,2017–18,Own drug use,60+,,191
SCR SA.3,Clients by age group,2016–17,Own drug use,60+,,179
SCR SA.3,Clients by age group,2015–16,Own drug use,60+,,167
SCR SA.3,Clients by age group,2014–15,Own drug use,60+,,202
SCR SA.3,Clients by age group,2013–14,Own drug use,60+,,340
SCR SA.3,Clients by age group,2024–25,Own drug use,Unknown,,0
SCR SA.3,Clients by age group,2023–24,Own drug use,Unknown,,0
SCR SA.3,Clients by age group,2022–23,Own drug use,Unknown,,0
SCR SA.3,Clients by age group,2021–22,Own drug use,Unknown,,0
SCR SA.3,Clients by age group,2020–21,Own drug use,Unknown,,0
SCR SA.3,Clients by age group,2019–20,Own drug use,Unknown,,0
SCR SA.3,Clients by age group,2018–19,Own drug use,Unknown,,0
SCR SA.3,Clients by age group,2017–18,Own drug use,Unknown,,0
SCR SA.3,Clients by age group,2016–17,Own drug use,Unknown,,1
SCR SA.3,Clients by age group,2015–16,Own drug use,Unknown,,0
SCR SA.3,Clients by age group,2014–15,Own drug use,Unknown,,0
SCR SA.3,Clients by age group,2013–14,Own drug use,Unknown,,1
SCR SA.3,Clients by age group,2024–25,Own drug use,Total,,8587
SCR SA.3,Clients by age group,2023–24,Own drug use,Total,,7882
SCR SA.3,Clients by age group,2022–23,Own drug use,Total,,6660
SCR SA.3,Clients by age group,2021–22,Own drug use,Total,,6929
SCR SA.3,Clients by age group,2020–21,Own drug use,Total,,7283
SCR SA.3,Clients by age group,2019–20,Own drug use,Total,,7045
SCR SA.3,Clients by age group,2018–19,Own drug use,Total,,8505
SCR SA.3,Clients by age group,2017–18,Own drug use,Total,,7369
SCR SA.3,Clients by age group,2016–17,Own drug use,Total,,8334
SCR SA.3,Clients by age group,2015–16,Own drug use,Total,,8025
SCR SA.3,Clients by age group,2014–15,Own drug use,Total,,8782
SCR SA.3,Clients by age group,2013–14,Own drug use,Total,,9136
SCR SA.3,Clients by age group,2024–25,Other's drug use,10–19,,61
SCR SA.3,Clients by age group,2023–24,Other's drug use,10–19,,38
SCR SA.3,Clients by age group,2022–23,Other's drug use,10–19,,32
SCR SA.3,Clients by age group,2021–22,Other's drug use,10–19,,5
SCR SA.3,Clients by age group,2020–21,Other's drug use,10–19,,1
SCR SA.3,Clients by age group,2019–20,Other's drug use,10–19,,1
SCR SA.3,Clients by age group,2018–19,Other's drug use,10–19,,42
SCR SA.3,Clients by age group,2017–18,Other's drug use,10–19,,96
SCR SA.3,Clients by age group,2016–17,Other's drug use,10–19,,32
SCR SA.3,Clients by age group,2015–16,Other's drug use,10–19,,3
SCR SA.3,Clients by age group,2014–15,Other's drug use,10–19,,60
SCR SA.3,Clients by age group,2013–14,Other's drug use,10–19,,9
SCR SA.3,Clients by age group,2024–25,Other's drug use,20–29,,10
SCR SA.3,Clients by age group,2023–24,Other's drug use,20–29,,11
SCR SA.3,Clients by age group,2022–23,Other's drug use,20–29,,4
SCR SA.3,Clients by age group,2021–22,Other's drug use,20–29,,2
SCR SA.3,Clients by age group,2020–21,Other's drug use,20–29,,3
SCR SA.3,Clients by age group,2019–20,Other's drug use,20–29,,5
SCR SA.3,Clients by age group,2018–19,Other's drug use,20–29,,31
SCR SA.3,Clients by age group,2017–18,Other's drug use,20–29,,43
SCR SA.3,Clients by age group,2016–17,Other's drug use,20–29,,31
SCR SA.3,Clients by age group,2015–16,Other's drug use,20–29,,10
SCR SA.3,Clients by age group,2014–15,Other's drug use,20–29,,26
SCR SA.3,Clients by age group,2013–14,Other's drug use,20–29,,5
SCR SA.3,Clients by age group,2024–25,Other's drug use,30–39,,8
SCR SA.3,Clients by age group,2023–24,Other's drug use,30–39,,9
SCR SA.3,Clients by age group,2022–23,Other's drug use,30–39,,2
SCR SA.3,Clients by age group,2021–22,Other's drug use,30–39,,5
SCR SA.3,Clients by age group,2020–21,Other's drug use,30–39,,11
SCR SA.3,Clients by age group,2019–20,Other's drug use,30–39,,13
SCR SA.3,Clients by age group,2018–19,Other's drug use,30–39,,18
SCR SA.3,Clients by age group,2017–18,Other's drug use,30–39,,2
SCR SA.3,Clients by age group,2016–17,Other's drug use,30–39,,13
SCR SA.3,Clients by age group,2015–16,Other's drug use,30–39,,6
SCR SA.3,Clients by age group,2014–15,Other's drug use,30–39,,20
SCR SA.3,Clients by age group,2013–14,Other's drug use,30–39,,14
SCR SA.3,Clients by age group,2024–25,Other's drug use,40–49,,13
SCR SA.3,Clients by age group,2023–24,Other's drug use,40–49,,13
SCR SA.3,Clients by age group,2022–23,Other's drug use,40–49,,7
SCR SA.3,Clients by age group,2021–22,Other's drug use,40–49,,6
SCR SA.3,Clients by age group,2020–21,Other's drug use,40–49,,19
SCR SA.3,Clients by age group,2019–20,Other's drug use,40–49,,18
SCR SA.3,Clients by age group,2018–19,Other's drug use,40–49,,20
SCR SA.3,Clients by age group,2017–18,Other's drug use,40–49,,9
SCR SA.3,Clients by age group,2016–17,Other's drug use,40–49,,17
SCR SA.3,Clients by age group,2015–16,Other's drug use,40–49,,13
SCR SA.3,Clients by age group,2014–15,Other's drug use,40–49,,19
SCR SA.3,Clients by age group,2013–14,Other's drug use,40–49,,18
SCR SA.3,Clients by age group,2024–25,Other's drug use,50–59,,15
SCR SA.3,Clients by age group,2023–24,Other's drug use,50–59,,14
SCR SA.3,Clients by age group,2022–23,Other's drug use,50–59,,6
SCR SA.3,Clients by age group,2021–22,Other's drug use,50–59,,7
SCR SA.3,Clients by age group,2020–21,Other's drug use,50–59,,22
SCR SA.3,Clients by age group,2019–20,Other's drug use,50–59,,31
SCR SA.3,Clients by age group,2018–19,Other's drug use,50–59,,33
SCR SA.3,Clients by age group,2017–18,Other's drug use,50–59,,13
SCR SA.3,Clients by age group,2016–17,Other's drug use,50–59,,18
SCR SA.3,Clients by age group,2015–16,Other's drug use,50–59,,15
SCR SA.3,Clients by age group,2014–15,Other's drug use,50–59,,16
SCR SA.3,Clients by age group,2013–14,Other's drug use,50–59,,19
SCR SA.3,Clients by age group,2024–25,Other's drug use,60+,,27
SCR SA.3,Clients by age group,2023–24,Other's drug use,60+,,22
SCR SA.3,Clients by age group,2022–23,Other's drug use,60+,,7
SCR SA.3,Clients by age group,2021–22,Other's drug use,60+,,6
SCR SA.3,Clients by age group,2020–21,Other's drug use,60+,,13
SCR SA.3,Clients by age group,2019–20,Other's drug use,60+,,18
SCR SA.3,Clients by age group,2018–19,Other's drug use,60+,,32
SCR SA.3,Clients by age group,2017–18,Other's drug use,60+,,12
SCR SA.3,Clients by age group,2016–17,Other's drug use,60+,,18
SCR SA.3,Clients by age group,2015–16,Other's drug use,60+,,17
SCR SA.3,Clients by age group,2014–15,Other's drug use,60+,,16
SCR SA.3,Clients by age group,2013–14,Other's drug use,60+,,14
SCR SA.3,Clients by age group,2024–25,Other's drug use,Unknown,,0
SCR SA.3,Clients by age group,2023–24,Other's drug use,Unknown,,0
SCR SA.3,Clients by age group,2022–23,Other's drug use,Unknown,,0
SCR SA.3,Clients by age group,2021–22,Other's drug use,Unknown,,0
SCR SA.3,Clients by age group,2020–21,Other's drug use,Unknown,,0
SCR SA.3,Clients by age group,2019–20,Other's drug use,Unknown,,0
SCR SA.3,Clients by age group,2018–19,Other's drug use,Unknown,,0
SCR SA.3,Clients by age group,2017–18,Other's drug use,Unknown,,0
SCR SA.3,Clients by age group,2016–17,Other's drug use,Unknown,,0
SCR SA.3,Clients by age group,2015–16,Other's drug use,Unknown,,0
SCR SA.3,Clients by age group,2014–15,Other's drug use,Unknown,,0
SCR SA.3,Clients by age group,2013–14,Other's drug use,Unknown,,0
SCR SA.3,Clients by age group,2024–25,Other's drug use,Total,,134
SCR SA.3,Clients by age group,2023–24,Other's drug use,Total,,107
SCR SA.3,Clients by age group,2022–23,Other's drug use,Total,,58
SCR SA.3,Clients by age group,2021–22,Other's drug use,Total,,31
SCR SA.3,Clients by age group,2020–21,Other's drug use,Total,,69
SCR SA.3,Clients by age group,2019–20,Other's drug use,Total,,86
SCR SA.3,Clients by age group,2018–19,Other's drug use,Total,,176
SCR SA.3,Clients by age group,2017–18,Other's drug use,Total,,175
SCR SA.3,Clients by age group,2016–17,Other's drug use,Total,,129
SCR SA.3,Clients by age group,2015–16,Other's drug use,Total,,64
SCR SA.3,Clients by age group,2014–15,Other's drug use,Total,,157
SCR SA.3,Clients by age group,2013–14,Other's drug use,Total,,79
SCR SA.3,Clients by age group,2024–25,Total,10–19,,702
SCR SA.3,Clients by age group,2023–24,Total,10–19,,668
SCR SA.3,Clients by age group,2022–23,Total,10–19,,653
SCR SA.3,Clients by age group,2021–22,Total,10–19,,572
SCR SA.3,Clients by age group,2020–21,Total,10–19,,719
SCR SA.3,Clients by age group,2019–20,Total,10–19,,760
SCR SA.3,Clients by age group,2018–19,Total,10–19,,922
SCR SA.3,Clients by age group,2017–18,Total,10–19,,1168
SCR SA.3,Clients by age group,2016–17,Total,10–19,,1317
SCR SA.3,Clients by age group,2015–16,Total,10–19,,1206
SCR SA.3,Clients by age group,2014–15,Total,10–19,,1413
SCR SA.3,Clients by age group,2013–14,Total,10–19,,1172
SCR SA.3,Clients by age group,2024–25,Total,20–29,,1780
SCR SA.3,Clients by age group,2023–24,Total,20–29,,1583
SCR SA.3,Clients by age group,2022–23,Total,20–29,,1357
SCR SA.3,Clients by age group,2021–22,Total,20–29,,1485
SCR SA.3,Clients by age group,2020–21,Total,20–29,,1616
SCR SA.3,Clients by age group,2019–20,Total,20–29,,1621
