reference_quarter,measure,breakdown_1,breakdown_2,unit,series_id,value
2004-Q2,Employees Involved,Federal legislation,,000,A2540939T,3.6
2004-Q2,Employees Involved,Pre-determined return to work,,000,A2540951J,92.3
2004-Q2,Employees Involved,Resumption without negotiation,,000,A2540933C,22.3
2004-Q2,Employees Involved,Mediation,,000,A2540927J,1.1
2004-Q2,Employees Involved,Other reasons,,000,A2540930W,0.1
2004-Q2,Employees Involved,Total Reasons,,000,A2540945L,129
2004-Q2,Working days Lost,Negotiation without intervention of a third party,,000,A2540937L,11.9
2004-Q2,Working days Lost,State legislation,,000,A2540943J,1.1
2004-Q2,Working days Lost,Federal legislation,,000,A2540940A,7.9
2004-Q2,Working days Lost,Pre-determined return to work,,000,A2540952K,215.8
2004-Q2,Working days Lost,Resumption without negotiation,,000,A2540934F,17.2
2004-Q2,Working days Lost,Mediation,,000,A2540928K,2.6
2004-Q2,Working days Lost,Total Reasons,,000,A2540946R,256.5
2004-Q3,Number of Disputes,Negotiation without intervention of a third party,,Number,A2540935J,42
2004-Q3,Number of Disputes,State legislation,,Number,A2540941C,16
2004-Q3,Number of Disputes,Federal legislation,,Number,A2540938R,26
2004-Q3,Number of Disputes,Pre-determined return to work,,Number,A2540950F,25
2004-Q3,Number of Disputes,Resumption without negotiation,,Number,A2540932A,66
2004-Q3,Number of Disputes,Total Reasons,,Number,A2540944K,187
2004-Q3,Employees Involved,Negotiation without intervention of a third party,,000,A2540936K,7.1
2004-Q3,Employees Involved,State legislation,,000,A2540942F,1.8
2004-Q3,Employees Involved,Federal legislation,,000,A2540939T,8.7
2004-Q3,Employees Involved,Pre-determined return to work,,000,A2540951J,29
2004-Q3,Employees Involved,Resumption without negotiation,,000,A2540933C,12.2
2004-Q3,Employees Involved,Mediation,,000,A2540927J,1
2004-Q3,Employees Involved,Other reasons,,000,A2540930W,0.4
2004-Q3,Employees Involved,Total Reasons,,000,A2540945L,60.3
2004-Q3,Working days Lost,Negotiation without intervention of a third party,,000,A2540937L,11.8
2004-Q3,Working days Lost,State legislation,,000,A2540943J,1.9
2004-Q3,Working days Lost,Federal legislation,,000,A2540940A,36.2
2004-Q3,Working days Lost,Pre-determined return to work,,000,A2540952K,24.2
2004-Q3,Working days Lost,Resumption without negotiation,,000,A2540934F,13.1
2004-Q3,Working days Lost,Mediation,,000,A2540928K,2
2004-Q3,Working days Lost,Other reasons,,000,A2540931X,6.3
2004-Q3,Working days Lost,Total Reasons,,000,A2540946R,95.5
2004-Q4,Number of Disputes,Negotiation without intervention of a third party,,Number,A2540935J,15
2004-Q4,Number of Disputes,State legislation,,Number,A2540941C,12
2004-Q4,Number of Disputes,Federal legislation,,Number,A2540938R,20
2004-Q4,Number of Disputes,Pre-determined return to work,,Number,A2540950F,18
2004-Q4,Number of Disputes,Resumption without negotiation,,Number,A2540932A,60
2004-Q4,Number of Disputes,Mediation,,Number,A2540926F,14
2004-Q4,Number of Disputes,Total Reasons,,Number,A2540944K,139
2004-Q4,Employees Involved,Negotiation without intervention of a third party,,000,A2540936K,4.1
2004-Q4,Employees Involved,State legislation,,000,A2540942F,0.9
2004-Q4,Employees Involved,Federal legislation,,000,A2540939T,2.1
2004-Q4,Employees Involved,Pre-determined return to work,,000,A2540951J,4
2004-Q4,Employees Involved,Resumption without negotiation,,000,A2540933C,16.1
2004-Q4,Employees Involved,Mediation,,000,A2540927J,2.6
2004-Q4,Employees Involved,Total Reasons,,000,A2540945L,29.7
