table,table_title,reference_quarter,measure,breakdown_1,breakdown_2,unit,series_id,value
01,"National quarterly disputes, employees involved and working days lost",1986-Q1,Working days Lost,12 months ended,Dispute total,000,A2540831R,1122.4
01,"National quarterly disputes, employees involved and working days lost",1986-Q2,Number of Disputes,Quarter,Dispute new,Number,A2540832T,463
01,"National quarterly disputes, employees involved and working days lost",1986-Q2,Number of Disputes,Quarter,Dispute total,Number,A2540826W,483
01,"National quarterly disputes, employees involved and working days lost",1986-Q2,Employees Involved,Quarter,Dispute new,000,A2540833V,299.9
01,"National quarterly disputes, employees involved and working days lost",1986-Q2,Employees Involved,Quarter,Dispute total,000,A2540827X,319.3
01,"National quarterly disputes, employees involved and working days lost",1986-Q2,Working days Lost,Quarter,Dispute total,000,A2540828A,526.3
01,"National quarterly disputes, employees involved and working days lost",1986-Q2,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,1906
01,"National quarterly disputes, employees involved and working days lost",1986-Q2,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,1931
01,"National quarterly disputes, employees involved and working days lost",1986-Q2,Employees Involved,12 months ended,Dispute new,000,A2540836A,686
01,"National quarterly disputes, employees involved and working days lost",1986-Q2,Employees Involved,12 months ended,Dispute total,000,A2540830L,692.1
01,"National quarterly disputes, employees involved and working days lost",1986-Q2,Working days Lost,12 months ended,Dispute total,000,A2540831R,1446.6
01,"National quarterly disputes, employees involved and working days lost",1986-Q3,Number of Disputes,Quarter,Dispute new,Number,A2540832T,477
01,"National quarterly disputes, employees involved and working days lost",1986-Q3,Number of Disputes,Quarter,Dispute total,Number,A2540826W,491
01,"National quarterly disputes, employees involved and working days lost",1986-Q3,Employees Involved,Quarter,Dispute new,000,A2540833V,156.9
01,"National quarterly disputes, employees involved and working days lost",1986-Q3,Employees Involved,Quarter,Dispute total,000,A2540827X,162.3
01,"National quarterly disputes, employees involved and working days lost",1986-Q3,Working days Lost,Quarter,Dispute total,000,A2540828A,289.9
01,"National quarterly disputes, employees involved and working days lost",1986-Q3,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,1802
01,"National quarterly disputes, employees involved and working days lost",1986-Q3,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,1823
01,"National quarterly disputes, employees involved and working days lost",1986-Q3,Employees Involved,12 months ended,Dispute new,000,A2540836A,678.1
01,"National quarterly disputes, employees involved and working days lost",1986-Q3,Employees Involved,12 months ended,Dispute total,000,A2540830L,686.1
01,"National quarterly disputes, employees involved and working days lost",1986-Q3,Working days Lost,12 months ended,Dispute total,000,A2540831R,1387.2
01,"National quarterly disputes, employees involved and working days lost",1986-Q4,Number of Disputes,Quarter,Dispute new,Number,A2540832T,438
01,"National quarterly disputes, employees involved and working days lost",1986-Q4,Number of Disputes,Quarter,Dispute total,Number,A2540826W,456
01,"National quarterly disputes, employees involved and working days lost",1986-Q4,Employees Involved,Quarter,Dispute new,000,A2540833V,151.5
01,"National quarterly disputes, employees involved and working days lost",1986-Q4,Employees Involved,Quarter,Dispute total,000,A2540827X,155.5
01,"National quarterly disputes, employees involved and working days lost",1986-Q4,Working days Lost,Quarter,Dispute total,000,A2540828A,375.2
01,"National quarterly disputes, employees involved and working days lost",1986-Q4,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,1752
01,"National quarterly disputes, employees involved and working days lost",1986-Q4,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,1761
01,"National quarterly disputes, employees involved and working days lost",1986-Q4,Employees Involved,12 months ended,Dispute new,000,A2540836A,673.9
01,"National quarterly disputes, employees involved and working days lost",1986-Q4,Employees Involved,12 months ended,Dispute total,000,A2540830L,691.7
01,"National quarterly disputes, employees involved and working days lost",1986-Q4,Working days Lost,12 months ended,Dispute total,000,A2540831R,1390.7
01,"National quarterly disputes, employees involved and working days lost",1987-Q1,Number of Disputes,Quarter,Dispute new,Number,A2540832T,362
01,"National quarterly disputes, employees involved and working days lost",1987-Q1,Number of Disputes,Quarter,Dispute total,Number,A2540826W,366
01,"National quarterly disputes, employees involved and working days lost",1987-Q1,Employees Involved,Quarter,Dispute new,000,A2540833V,83.5
01,"National quarterly disputes, employees involved and working days lost",1987-Q1,Employees Involved,Quarter,Dispute total,000,A2540827X,85.8
01,"National quarterly disputes, employees involved and working days lost",1987-Q1,Working days Lost,Quarter,Dispute total,000,A2540828A,184.2
01,"National quarterly disputes, employees involved and working days lost",1987-Q1,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,1740
01,"National quarterly disputes, employees involved and working days lost",1987-Q1,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,1761
