table,table_title,reference_quarter,measure,breakdown_1,breakdown_2,unit,series_id,value
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q1,Employees Involved,Non-Enterprise Bargaining related,Health and safety,000,A2540900J,4
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q1,Employees Involved,Non-Enterprise Bargaining related,Job security,000,A2540909C,0.7
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q1,Employees Involved,Non-Enterprise Bargaining related,Managerial policy,000,A2540906W,0.5
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q1,Employees Involved,Non-Enterprise Bargaining related,Union issues,000,A2540918F,0.6
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q1,Employees Involved,Non-Enterprise Bargaining related,Other,000,A2540903R,0.2
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q1,Employees Involved,Total disputes,,000,A2540915X,21.9
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q1,Working days Lost,Enterprise Bargaining related,Remuneration,000,A2540895A,0.1
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q1,Working days Lost,Enterprise Bargaining related,Employment conditions,000,A2540925C,16.8
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q1,Working days Lost,Non-Enterprise Bargaining related,Employment conditions,000,A2540913V,0.1
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q1,Working days Lost,Non-Enterprise Bargaining related,Health and safety,000,A2540901K,7.3
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q1,Working days Lost,Non-Enterprise Bargaining related,Job security,000,A2540910L,0.8
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q1,Working days Lost,Non-Enterprise Bargaining related,Managerial policy,000,A2540907X,0.5
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q1,Working days Lost,Non-Enterprise Bargaining related,Union issues,000,A2540919J,1.2
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q1,Working days Lost,Non-Enterprise Bargaining related,Other,000,A2540904T,0.1
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q1,Working days Lost,Total disputes,,000,A2540916A,26.9
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q2,Number of Disputes,Enterprise Bargaining related,Remuneration,Number,A2540893W,3
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q2,Number of Disputes,Enterprise Bargaining related,Employment conditions,Number,A2540923X,24
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q2,Number of Disputes,Enterprise Bargaining related,Other,Number,A2540896C,1
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q2,Number of Disputes,Non-Enterprise Bargaining related,Remuneration,Number,A2540920T,1
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q2,Number of Disputes,Non-Enterprise Bargaining related,Health and safety,Number,A2540899K,8
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q2,Number of Disputes,Non-Enterprise Bargaining related,Job security,Number,A2540908A,3
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q2,Number of Disputes,Non-Enterprise Bargaining related,Managerial policy,Number,A2540905V,2
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q2,Number of Disputes,Non-Enterprise Bargaining related,Union issues,Number,A2540917C,9
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q2,Number of Disputes,Non-Enterprise Bargaining related,Other,Number,A2540902L,2
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q2,Number of Disputes,Total disputes,,Number,A2540914W,53
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q2,Employees Involved,Enterprise Bargaining related,Remuneration,000,A2540894X,0.4
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q2,Employees Involved,Enterprise Bargaining related,Employment conditions,000,A2540924A,6.1
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q2,Employees Involved,Non-Enterprise Bargaining related,Remuneration,000,A2540921V,0.1
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q2,Employees Involved,Non-Enterprise Bargaining related,Health and safety,000,A2540900J,0.8
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q2,Employees Involved,Non-Enterprise Bargaining related,Job security,000,A2540909C,0.3
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q2,Employees Involved,Non-Enterprise Bargaining related,Managerial policy,000,A2540906W,0.2
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q2,Employees Involved,Non-Enterprise Bargaining related,Union issues,000,A2540918F,9.5
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q2,Employees Involved,Non-Enterprise Bargaining related,Other,000,A2540903R,3.9
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q2,Employees Involved,Total disputes,,000,A2540915X,21.2
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q2,Working days Lost,Enterprise Bargaining related,Remuneration,000,A2540895A,0.6
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q2,Working days Lost,Enterprise Bargaining related,Employment conditions,000,A2540925C,14
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q2,Working days Lost,Non-Enterprise Bargaining related,Remuneration,000,A2540922W,0.1
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q2,Working days Lost,Non-Enterprise Bargaining related,Health and safety,000,A2540901K,0.9
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q2,Working days Lost,Non-Enterprise Bargaining related,Job security,000,A2540910L,0.2
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q2,Working days Lost,Non-Enterprise Bargaining related,Managerial policy,000,A2540907X,0.2
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q2,Working days Lost,Non-Enterprise Bargaining related,Union issues,000,A2540919J,6.7
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q2,Working days Lost,Non-Enterprise Bargaining related,Other,000,A2540904T,3.2
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q2,Working days Lost,Total disputes,,000,A2540916A,26
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q3,Number of Disputes,Enterprise Bargaining related,Remuneration,Number,A2540893W,5
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q3,Number of Disputes,Enterprise Bargaining related,Employment conditions,Number,A2540923X,32
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q3,Number of Disputes,Non-Enterprise Bargaining related,Remuneration,Number,A2540920T,3
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q3,Number of Disputes,Non-Enterprise Bargaining related,Employment conditions,Number,A2540911R,2
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q3,Number of Disputes,Non-Enterprise Bargaining related,Health and safety,Number,A2540899K,29
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q3,Number of Disputes,Non-Enterprise Bargaining related,Job security,Number,A2540908A,3
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q3,Number of Disputes,Non-Enterprise Bargaining related,Managerial policy,Number,A2540905V,4
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q3,Number of Disputes,Non-Enterprise Bargaining related,Union issues,Number,A2540917C,6
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q3,Number of Disputes,Non-Enterprise Bargaining related,Other,Number,A2540902L,1
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q3,Number of Disputes,Total disputes,,Number,A2540914W,85
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q3,Employees Involved,Enterprise Bargaining related,Remuneration,000,A2540894X,0.2
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q3,Employees Involved,Enterprise Bargaining related,Employment conditions,000,A2540924A,10.7
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q3,Employees Involved,Non-Enterprise Bargaining related,Remuneration,000,A2540921V,0.3
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q3,Employees Involved,Non-Enterprise Bargaining related,Health and safety,000,A2540900J,3.7
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q3,Employees Involved,Non-Enterprise Bargaining related,Managerial policy,000,A2540906W,0.5
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q3,Employees Involved,Non-Enterprise Bargaining related,Union issues,000,A2540918F,8.1
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q3,Employees Involved,Non-Enterprise Bargaining related,Other,000,A2540903R,0.1
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q3,Employees Involved,Total disputes,,000,A2540915X,23.8
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q3,Working days Lost,Enterprise Bargaining related,Remuneration,000,A2540895A,0.6
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q3,Working days Lost,Enterprise Bargaining related,Employment conditions,000,A2540925C,11.7
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q3,Working days Lost,Non-Enterprise Bargaining related,Remuneration,000,A2540922W,0.4
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q3,Working days Lost,Non-Enterprise Bargaining related,Health and safety,000,A2540901K,5.6
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q3,Working days Lost,Non-Enterprise Bargaining related,Managerial policy,000,A2540907X,0.2
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q3,Working days Lost,Non-Enterprise Bargaining related,Union issues,000,A2540919J,6.3
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q3,Working days Lost,Total disputes,,000,A2540916A,25.4
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q4,Number of Disputes,Enterprise Bargaining related,Remuneration,Number,A2540893W,3
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q4,Number of Disputes,Enterprise Bargaining related,Employment conditions,Number,A2540923X,21
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q4,Number of Disputes,Non-Enterprise Bargaining related,Employment conditions,Number,A2540911R,1
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q4,Number of Disputes,Non-Enterprise Bargaining related,Health and safety,Number,A2540899K,9
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q4,Number of Disputes,Non-Enterprise Bargaining related,Managerial policy,Number,A2540905V,3
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q4,Number of Disputes,Non-Enterprise Bargaining related,Union issues,Number,A2540917C,4
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q4,Number of Disputes,Non-Enterprise Bargaining related,Other,Number,A2540902L,2
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q4,Number of Disputes,Total disputes,,Number,A2540914W,43
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q4,Employees Involved,Enterprise Bargaining related,Remuneration,000,A2540894X,0.2
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q4,Employees Involved,Enterprise Bargaining related,Employment conditions,000,A2540924A,30.1
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q4,Employees Involved,Non-Enterprise Bargaining related,Health and safety,000,A2540900J,2.6
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q4,Employees Involved,Non-Enterprise Bargaining related,Union issues,000,A2540918F,0.9
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q4,Employees Involved,Non-Enterprise Bargaining related,Other,000,A2540903R,2.5
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q4,Employees Involved,Total disputes,,000,A2540915X,36.7
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q4,Working days Lost,Enterprise Bargaining related,Remuneration,000,A2540895A,0.3
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q4,Working days Lost,Enterprise Bargaining related,Employment conditions,000,A2540925C,29
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q4,Working days Lost,Non-Enterprise Bargaining related,Health and safety,000,A2540901K,2
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q4,Working days Lost,Non-Enterprise Bargaining related,Union issues,000,A2540919J,1.5
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q4,Working days Lost,Non-Enterprise Bargaining related,Other,000,A2540904T,1.4
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2016-Q4,Working days Lost,Total disputes,,000,A2540916A,34.5
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q1,Number of Disputes,Enterprise Bargaining related,Remuneration,Number,A2540893W,5
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q1,Number of Disputes,Enterprise Bargaining related,Employment conditions,Number,A2540923X,13
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q1,Number of Disputes,Non-Enterprise Bargaining related,Remuneration,Number,A2540920T,1
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q1,Number of Disputes,Non-Enterprise Bargaining related,Employment conditions,Number,A2540911R,2
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q1,Number of Disputes,Non-Enterprise Bargaining related,Health and safety,Number,A2540899K,1
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q1,Number of Disputes,Non-Enterprise Bargaining related,Managerial policy,Number,A2540905V,1
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q1,Number of Disputes,Non-Enterprise Bargaining related,Other,Number,A2540902L,1
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q1,Number of Disputes,Total disputes,,Number,A2540914W,24
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q1,Employees Involved,Enterprise Bargaining related,Employment conditions,000,A2540924A,1.5
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q1,Employees Involved,Non-Enterprise Bargaining related,Remuneration,000,A2540921V,0.2
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q1,Employees Involved,Non-Enterprise Bargaining related,Other,000,A2540903R,14.1
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q1,Employees Involved,Total disputes,,000,A2540915X,16.3
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q1,Working days Lost,Enterprise Bargaining related,Employment conditions,000,A2540925C,15
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q1,Working days Lost,Non-Enterprise Bargaining related,Managerial policy,000,A2540907X,0.1
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q1,Working days Lost,Non-Enterprise Bargaining related,Other,000,A2540904T,9.8
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q1,Working days Lost,Total disputes,,000,A2540916A,28
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q2,Number of Disputes,Enterprise Bargaining related,Remuneration,Number,A2540893W,4
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q2,Number of Disputes,Enterprise Bargaining related,Employment conditions,Number,A2540923X,15
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q2,Number of Disputes,Non-Enterprise Bargaining related,Health and safety,Number,A2540899K,4
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q2,Number of Disputes,Non-Enterprise Bargaining related,Job security,Number,A2540908A,2
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q2,Number of Disputes,Non-Enterprise Bargaining related,Managerial policy,Number,A2540905V,1
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q2,Number of Disputes,Non-Enterprise Bargaining related,Union issues,Number,A2540917C,4
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q2,Number of Disputes,Non-Enterprise Bargaining related,Other,Number,A2540902L,2
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q2,Number of Disputes,Total disputes,,Number,A2540914W,32
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q2,Employees Involved,Enterprise Bargaining related,Employment conditions,000,A2540924A,7.9
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q2,Employees Involved,Non-Enterprise Bargaining related,Health and safety,000,A2540900J,2.3
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q2,Employees Involved,Non-Enterprise Bargaining related,Other,000,A2540903R,14.3
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q2,Employees Involved,Total disputes,,000,A2540915X,26.5
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q2,Working days Lost,Enterprise Bargaining related,Employment conditions,000,A2540925C,15.1
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q2,Working days Lost,Non-Enterprise Bargaining related,Health and safety,000,A2540901K,1.6
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q2,Working days Lost,Non-Enterprise Bargaining related,Other,000,A2540904T,9.7
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q2,Working days Lost,Total disputes,,000,A2540916A,29.2
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q3,Number of Disputes,Enterprise Bargaining related,Remuneration,Number,A2540893W,4
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q3,Number of Disputes,Enterprise Bargaining related,Employment conditions,Number,A2540923X,20
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q3,Number of Disputes,Non-Enterprise Bargaining related,Remuneration,Number,A2540920T,1
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q3,Number of Disputes,Non-Enterprise Bargaining related,Employment conditions,Number,A2540911R,2
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q3,Number of Disputes,Non-Enterprise Bargaining related,Health and safety,Number,A2540899K,4
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q3,Number of Disputes,Non-Enterprise Bargaining related,Managerial policy,Number,A2540905V,3
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q3,Number of Disputes,Non-Enterprise Bargaining related,Union issues,Number,A2540917C,2
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q3,Number of Disputes,Total disputes,,Number,A2540914W,36
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q3,Employees Involved,Enterprise Bargaining related,Employment conditions,000,A2540924A,3
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q3,Employees Involved,Non-Enterprise Bargaining related,Remuneration,000,A2540921V,0.3
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q3,Employees Involved,Non-Enterprise Bargaining related,Health and safety,000,A2540900J,0.7
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q3,Employees Involved,Total disputes,,000,A2540915X,5.6
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q3,Working days Lost,Enterprise Bargaining related,Employment conditions,000,A2540925C,16.2
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q3,Working days Lost,Non-Enterprise Bargaining related,Remuneration,000,A2540922W,0.1
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q3,Working days Lost,Non-Enterprise Bargaining related,Health and safety,000,A2540901K,0.7
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q3,Working days Lost,Total disputes,,000,A2540916A,24.6
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q4,Number of Disputes,Enterprise Bargaining related,Remuneration,Number,A2540893W,14
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q4,Number of Disputes,Enterprise Bargaining related,Employment conditions,Number,A2540923X,35
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q4,Number of Disputes,Non-Enterprise Bargaining related,Remuneration,Number,A2540920T,1
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q4,Number of Disputes,Non-Enterprise Bargaining related,Health and safety,Number,A2540899K,4
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q4,Number of Disputes,Non-Enterprise Bargaining related,Job security,Number,A2540908A,1
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q4,Number of Disputes,Non-Enterprise Bargaining related,Managerial policy,Number,A2540905V,1
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q4,Number of Disputes,Non-Enterprise Bargaining related,Union issues,Number,A2540917C,2
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q4,Number of Disputes,Non-Enterprise Bargaining related,Other,Number,A2540902L,4
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q4,Number of Disputes,Total disputes,,Number,A2540914W,62
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q4,Employees Involved,Enterprise Bargaining related,Remuneration,000,A2540894X,1
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q4,Employees Involved,Enterprise Bargaining related,Employment conditions,000,A2540924A,11.1
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q4,Employees Involved,Non-Enterprise Bargaining related,Health and safety,000,A2540900J,1.1
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q4,Employees Involved,Non-Enterprise Bargaining related,Managerial policy,000,A2540906W,0.1
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q4,Employees Involved,Non-Enterprise Bargaining related,Union issues,000,A2540918F,0.2
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q4,Employees Involved,Non-Enterprise Bargaining related,Other,000,A2540903R,3.4
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q4,Employees Involved,Total disputes,,000,A2540915X,18
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q4,Working days Lost,Enterprise Bargaining related,Remuneration,000,A2540895A,2
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q4,Working days Lost,Enterprise Bargaining related,Employment conditions,000,A2540925C,49.6
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q4,Working days Lost,Non-Enterprise Bargaining related,Health and safety,000,A2540901K,1.2
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q4,Working days Lost,Non-Enterprise Bargaining related,Managerial policy,000,A2540907X,0.1
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q4,Working days Lost,Non-Enterprise Bargaining related,Union issues,000,A2540919J,0.2
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q4,Working days Lost,Non-Enterprise Bargaining related,Other,000,A2540904T,2.1
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2017-Q4,Working days Lost,Total disputes,,000,A2540916A,56.4
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2018-Q1,Number of Disputes,Enterprise Bargaining related,Remuneration,Number,A2540893W,4
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2018-Q1,Number of Disputes,Enterprise Bargaining related,Employment conditions,Number,A2540923X,10
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2018-Q1,Number of Disputes,Non-Enterprise Bargaining related,Health and safety,Number,A2540899K,1
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2018-Q1,Number of Disputes,Non-Enterprise Bargaining related,Union issues,Number,A2540917C,2
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2018-Q1,Number of Disputes,Non-Enterprise Bargaining related,Other,Number,A2540902L,1
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2018-Q1,Number of Disputes,Total disputes,,Number,A2540914W,18
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2018-Q1,Employees Involved,Enterprise Bargaining related,Remuneration,000,A2540894X,0.2
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2018-Q1,Employees Involved,Enterprise Bargaining related,Employment conditions,000,A2540924A,1.8
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2018-Q1,Employees Involved,Non-Enterprise Bargaining related,Health and safety,000,A2540900J,0.2
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2018-Q1,Employees Involved,Non-Enterprise Bargaining related,Union issues,000,A2540918F,0.7
04a,"Disputes, employees involved and working days lost by cause (Enterprise Bargaining related vs not)",2018-Q1,Employees Involved,Non-Enterprise Bargaining related,Other,000,A2540903R,0.9
