reference_quarter,working_days_lost_000,working_days_lost_000_series_id,working_days_lost_per_1000_employees,working_days_lost_per_1000_employees_series_id
2011-Q1,0.7,A2540882R,0.9,A2540891T
2011-Q3,0.5,A2540882R,0.7,A2540891T
2011-Q4,0.2,A2540882R,0.3,A2540891T
2013-Q1,,,0.1,A2540891T
2013-Q3,0.1,A2540882R,0.2,A2540891T
2013-Q4,1.1,A2540882R,1.6,A2540891T
2014-Q1,0.1,A2540882R,0.1,A2540891T
2014-Q2,2.1,A2540882R,3,A2540891T
2014-Q3,0.1,A2540882R,0.1,A2540891T
2015-Q2,0.6,A2540882R,0.9,A2540891T
2015-Q3,0.6,A2540882R,0.9,A2540891T
2016-Q1,1.8,A2540882R,2.5,A2540891T
2016-Q3,0.8,A2540882R,1.2,A2540891T
2017-Q3,0.6,A2540882R,0.8,A2540891T
2019-Q3,6.2,A2540882R,8.2,A2540891T
2019-Q4,0.1,A2540882R,0.1,A2540891T
2020-Q4,0.5,A2540882R,0.6,A2540891T
2021-Q2,1,A2540882R,1.2,A2540891T
2021-Q3,1.2,A2540882R,1.5,A2540891T
2021-Q4,2,A2540882R,2.4,A2540891T
2022-Q1,1.5,A2540882R,1.8,A2540891T
2022-Q2,1.8,A2540882R,2.2,A2540891T
2022-Q3,2,A2540882R,2.4,A2540891T
2022-Q4,0.8,A2540882R,1,A2540891T
2023-Q1,0.6,A2540882R,0.8,A2540891T
2023-Q2,0.5,A2540882R,0.6,A2540891T
2023-Q3,6.4,A2540882R,7.4,A2540891T
2023-Q4,5.2,A2540882R,6,A2540891T
2024-Q1,0.1,A2540882R,0.1,A2540891T
2024-Q3,2.7,A2540882R,3.1,A2540891T
2025-Q1,0.6,A2540882R,0.7,A2540891T
2025-Q4,12.9,A2540882R,14.2,A2540891T
2026-Q1,0.6,A2540882R,0.6,A2540891T
