reference_quarter,measure,breakdown_1,breakdown_2,unit,series_id,value
2004-Q3,Number of Disputes,Over 1 day and up to including 2 days,,Number,A2540965W,39
2004-Q3,Number of Disputes,Over 2 and less than 5 days,,Number,A2540956V,33
2004-Q3,Number of Disputes,5 and less than 10 days,,Number,A2540968C,7
2004-Q3,Number of Disputes,10 days and over,,Number,A2540959A,4
2004-Q3,Number of Disputes,Total (Av working days lost per employee),,Number,A2540962R,187
2004-Q3,Employees Involved,Up to and including 1 day,,000,A2540954R,39.7
2004-Q3,Employees Involved,Over 1 day and up to including 2 days,,000,A2540966X,8.9
2004-Q3,Employees Involved,Over 2 and less than 5 days,,000,A2540957W,10.4
2004-Q3,Employees Involved,5 and less than 10 days,,000,A2540969F,1.1
2004-Q3,Employees Involved,10 days and over,,000,A2540960K,0.3
2004-Q3,Employees Involved,Total (Av working days lost per employee),,000,A2540963T,60.3
2004-Q3,Working days Lost,Up to and including 1 day,,000,A2540955T,26.7
2004-Q3,Working days Lost,Over 1 day and up to including 2 days,,000,A2540967A,12.8
2004-Q3,Working days Lost,Over 2 and less than 5 days,,000,A2540958X,36.6
2004-Q3,Working days Lost,5 and less than 10 days,,000,A2540970R,7.3
2004-Q3,Working days Lost,10 days and over,,000,A2540961L,12.1
2004-Q3,Working days Lost,Total (Av working days lost per employee),,000,A2540964V,95.5
2004-Q4,Number of Disputes,Up to and including 1 day,,Number,A2540953L,90
2004-Q4,Number of Disputes,Over 1 day and up to including 2 days,,Number,A2540965W,26
2004-Q4,Number of Disputes,Over 2 and less than 5 days,,Number,A2540956V,14
2004-Q4,Number of Disputes,5 and less than 10 days,,Number,A2540968C,5
2004-Q4,Number of Disputes,10 days and over,,Number,A2540959A,4
2004-Q4,Number of Disputes,Total (Av working days lost per employee),,Number,A2540962R,139
2004-Q4,Employees Involved,Up to and including 1 day,,000,A2540954R,19.4
2004-Q4,Employees Involved,Over 1 day and up to including 2 days,,000,A2540966X,5.5
2004-Q4,Employees Involved,Over 2 and less than 5 days,,000,A2540957W,2.9
2004-Q4,Employees Involved,5 and less than 10 days,,000,A2540969F,1.2
2004-Q4,Employees Involved,10 days and over,,000,A2540960K,0.7
2004-Q4,Employees Involved,Total (Av working days lost per employee),,000,A2540963T,29.7
2004-Q4,Working days Lost,Up to and including 1 day,,000,A2540955T,11.3
2004-Q4,Working days Lost,Over 1 day and up to including 2 days,,000,A2540967A,8.2
2004-Q4,Working days Lost,Over 2 and less than 5 days,,000,A2540958X,9.6
2004-Q4,Working days Lost,5 and less than 10 days,,000,A2540970R,6.2
2004-Q4,Working days Lost,10 days and over,,000,A2540961L,9.3
2004-Q4,Working days Lost,Total (Av working days lost per employee),,000,A2540964V,44.5
2005-Q1,Number of Disputes,Up to and including 1 day,,Number,A2540953L,56
2005-Q1,Number of Disputes,Over 1 day and up to including 2 days,,Number,A2540965W,21
2005-Q1,Number of Disputes,Over 2 and less than 5 days,,Number,A2540956V,17
2005-Q1,Number of Disputes,5 and less than 10 days,,Number,A2540968C,6
2005-Q1,Number of Disputes,10 days and over,,Number,A2540959A,6
2005-Q1,Number of Disputes,Total (Av working days lost per employee),,Number,A2540962R,106
2005-Q1,Employees Involved,Up to and including 1 day,,000,A2540954R,9.8
2005-Q1,Employees Involved,Over 1 day and up to including 2 days,,000,A2540966X,2.8
2005-Q1,Employees Involved,Over 2 and less than 5 days,,000,A2540957W,2.8
2005-Q1,Employees Involved,5 and less than 10 days,,000,A2540969F,2.8
2005-Q1,Employees Involved,10 days and over,,000,A2540960K,0.7
2005-Q1,Employees Involved,Total (Av working days lost per employee),,000,A2540963T,18.9
2005-Q1,Working days Lost,Up to and including 1 day,,000,A2540955T,6.8
2005-Q1,Working days Lost,Over 1 day and up to including 2 days,,000,A2540967A,4
2005-Q1,Working days Lost,Over 2 and less than 5 days,,000,A2540958X,9.4
2005-Q1,Working days Lost,5 and less than 10 days,,000,A2540970R,16.5
2005-Q1,Working days Lost,10 days and over,,000,A2540961L,14.5
2005-Q1,Working days Lost,Total (Av working days lost per employee),,000,A2540964V,51.3
2005-Q2,Number of Disputes,Up to and including 1 day,,Number,A2540953L,78
2005-Q2,Number of Disputes,Over 1 day and up to including 2 days,,Number,A2540965W,33
2005-Q2,Number of Disputes,Over 2 and less than 5 days,,Number,A2540956V,16
2005-Q2,Number of Disputes,Total (Av working days lost per employee),,Number,A2540962R,132
2005-Q2,Employees Involved,Up to and including 1 day,,000,A2540954R,21.1
