reference_quarter,measure,breakdown_1,breakdown_2,unit,series_id,value
2003-Q4,Number of Disputes,Non-Enterprise Bargaining related,Union issues,Number,A2540917C,10
2003-Q4,Number of Disputes,Non-Enterprise Bargaining related,Other,Number,A2540902L,18
2003-Q4,Number of Disputes,Total disputes,,Number,A2540914W,177
2003-Q4,Employees Involved,Enterprise Bargaining related,Remuneration,000,A2540894X,16.4
2003-Q4,Employees Involved,Enterprise Bargaining related,Employment conditions,000,A2540924A,9.1
2003-Q4,Employees Involved,Enterprise Bargaining related,Other,000,A2540897F,2.3
2003-Q4,Employees Involved,Non-Enterprise Bargaining related,Remuneration,000,A2540921V,1.5
2003-Q4,Employees Involved,Non-Enterprise Bargaining related,Employment conditions,000,A2540912T,1.6
2003-Q4,Employees Involved,Non-Enterprise Bargaining related,Health and safety,000,A2540900J,9.2
2003-Q4,Employees Involved,Non-Enterprise Bargaining related,Job security,000,A2540909C,1.7
2003-Q4,Employees Involved,Non-Enterprise Bargaining related,Managerial policy,000,A2540906W,6.6
2003-Q4,Employees Involved,Non-Enterprise Bargaining related,Union issues,000,A2540918F,1.4
2003-Q4,Employees Involved,Non-Enterprise Bargaining related,Other,000,A2540903R,69.3
2003-Q4,Employees Involved,Total disputes,,000,A2540915X,119.2
2003-Q4,Working days Lost,Enterprise Bargaining related,Remuneration,000,A2540895A,34.3
2003-Q4,Working days Lost,Enterprise Bargaining related,Employment conditions,000,A2540925C,44.3
2003-Q4,Working days Lost,Enterprise Bargaining related,Other,000,A2540898J,5.2
2003-Q4,Working days Lost,Non-Enterprise Bargaining related,Remuneration,000,A2540922W,2.5
2003-Q4,Working days Lost,Non-Enterprise Bargaining related,Employment conditions,000,A2540913V,0.9
2003-Q4,Working days Lost,Non-Enterprise Bargaining related,Health and safety,000,A2540901K,11.9
2003-Q4,Working days Lost,Non-Enterprise Bargaining related,Job security,000,A2540910L,15.6
2003-Q4,Working days Lost,Non-Enterprise Bargaining related,Managerial policy,000,A2540907X,15.8
2003-Q4,Working days Lost,Non-Enterprise Bargaining related,Union issues,000,A2540919J,0.9
2003-Q4,Working days Lost,Non-Enterprise Bargaining related,Other,000,A2540904T,54.8
2003-Q4,Working days Lost,Total disputes,,000,A2540916A,186.4
2004-Q1,Number of Disputes,Enterprise Bargaining related,Remuneration,Number,A2540893W,10
2004-Q1,Number of Disputes,Enterprise Bargaining related,Employment conditions,Number,A2540923X,9
2004-Q1,Number of Disputes,Enterprise Bargaining related,Other,Number,A2540896C,6
2004-Q1,Number of Disputes,Non-Enterprise Bargaining related,Remuneration,Number,A2540920T,12
2004-Q1,Number of Disputes,Non-Enterprise Bargaining related,Employment conditions,Number,A2540911R,6
2004-Q1,Number of Disputes,Non-Enterprise Bargaining related,Health and safety,Number,A2540899K,60
2004-Q1,Number of Disputes,Non-Enterprise Bargaining related,Job security,Number,A2540908A,13
2004-Q1,Number of Disputes,Non-Enterprise Bargaining related,Managerial policy,Number,A2540905V,35
