Equal Opportunity SA (EOSA) Annual Report Data 2023-24,,,,,,,,,,
,,,,,,,,,,
"Equal Opportunity SA is a business unit of the Attorney-General's Department (AGD). Information on corporate and financial performance, risk management (including fraud detected and public interest disclosure), public complaints and audited financial statements can be found in the 2023-24 Annual Report for AGD.",,,,,,,,,,
,,,,,,,,,,
"* Refers to complaints of victimisation under the Whistleblowers Protection Act 1993 (SA), the Public Interest Disclosure Act 2018 (SA) or the Independent Commissioner for Corruption Act 2012 (SA). Note: there may be more than one ground and area per complaint. Domestic Abuse protections commenced from 1 September 2023.",,,,,,,,,,
,,,,,,,,,,
"Note due to low or zero numbers annually, a separate table of data is not supplied for advertising complaints.",,,,,,,,,,
,,,,,,,,,,
Table 16: Outcomes of enquiries,2019-20 ,,2020-21 ,,2021-22,,2022-23,,2023-24,
,No.,%,No.,%,No.,%,No.,%,No.,%
General information provided,165,27%,347,47%,337,53%,174,31%,407,65%
No action required,49,8%,84,11%,79,12%,102,18%,94,15%
Referred elsewhere (out of EOSA jurisdiction),98,16%,96,13%,95,15%,109,20%,68,11%
Referred to advocate (to assist with EO/other Issue),6,1%,3,0%,26,4%,28,5%,27,4%
Complaint form and information package sent,14,2%,53,7%,38,6%,65,12%,13,2%
Referred to Australian Human Rights Commission,6,1%,1,0%,16,3%,12,2%,10,2%
Referred to EOSA electronic complaint form,39,6%,25,3%,31,5%,49,9%,5,1%
Referred to EOSA Website,226,37%,120,16%,9,1%,10,2%,4,1%
Media response provided/Presentation requested/Other,0,0%,0,0%,6,1%,3,1%,3,0%
Appointment made for interview with EOSA enquiry officer,0,0%,2,0%,1,0%,1,0%,0,0%
Total,603,100%,731,100%,638,100%,553,100%,631,100%
,,,,,,,,,,
Table 17: Complaint finalisation,2019-20,2020-21,2021-22,2022-23,2023-24,,,,,
Finalised complaints,176,235,218,182,127,,,,,
Average no. months to finalise all complaints,2.6,2.5,2.3,2.8,2,,,,,
Median no. months to finalise all complaints,2.3,2,1.7,1,1.2,,,,,
,,,,,,,,,,
Table 18: Outcomes of accepted complaints finalised during 2023-24,2019-20,2020-21,2021-22,2022-23,2023-24,,,,,
Resolved by conciliation#,57,48,24,25,11,,,,,
Expedited conciliation,*,*,*,14,7,,,,,
Conciliation by conference,*,*,*,11,4,,,,,
Declined by Commissioner,*,*,*,22,14,,,,,
No conciliation attempted,*,*,*,20,10,,,,,
After attempting conciliation,*,*,*,2,4,,,,,
Withdrawn by complainant,*,*,*,7,8,,,,,
No conciliation attempted,*,*,*,5,8,,,,,
After attempting conciliation,*,*,*,2,0,,,,,
Referred to tribunal by Commissioner,26,31,34,17,4,,,,,
No conciliation attempted,*,*,*,4,2,,,,,
After attempting conciliation,*,*,*,13,2,,,,,
Total no. accepted complaints finalised ,114,126,80,71,37,,,,,
"# - Out of 17 attempted (7 attempted by conference, 10 attempted by expedited conciliation). * - Improved data reporting at 2022/23. Some data not available from previous years. Note - Of the 14 complaints declined by the Commissioner, 2 were referred to tribunal at the request of the complainant.",,,,,,,,,,
,,,,,,,,,,
Table 19: Outcomes from conciliations,2019-20,2020-21,2021-22,2022-23,2023-24,,,,,
Financial compensation,25,20,7,12,6,,,,,
Apology,31,21,14,13,3,,,,,
Policy change/change in practice,14,11,9,8,2,,,,,
Complainant satisfied with response,0,0,2,6,2,,,,,
Reasonable adjustment,5,5,1,1,2,,,,,
Staff training/development program,18,7,2,0,2,,,,,
Other,11,13,3,4,1,,,,,
Reference provided,2,5,0,1,1,,,,,
Provision of goods/services/facilities,2,1,0,1,1,,,,,
Private agreement,13,7,0,0,1,,,,,
Access to/provision of accommodation ,2,0,0,0,1,,,,,
Employment options improved (e.g. job offer),4,4,0,2,0,,,,,
Other access achieved (e.g. mobility),6,0,0,1,0,,,,,
Undertaking to cease an action,3,0,1,0,0,,,,,
Access to education/training,2,0,1,0,0,,,,,
Access to club membership/benefits,0,0,0,0,0,,,,,
Note: there may be more than one outcome per conciliation agreement.,,,,,,,,,,
,,,,,,,,,,
Table 20: Financial compensation agreements from conciliations,2019-20,2020-21,2021-22,2022-23,2023-24,,,,,
Total financial compensation payments,"$173,114","$150,842","$44,000","$158,950","$89,513",,,,,
Average financial compensation payments,"$6,925","$9,428","$6,285","$15,895","$14,919",,,,,
"Note: Individual agreements for financial compensation ranged from $500 to $40,000 in 2023-24.",,,,,,,,,,
,,,,,,,,,,
Table 21: Gender identity of enquirers and complainants,2023-24,,,,,,,,,
,Enquiries,Complaints,,,,,,,,
Undisclosed,273,28,,,,,,,,
Female,176,64,,,,,,,,
Male,119,53,,,,,,,,
Non-binary,0,1,,,,,,,,
Transgender,0,2,,,,,,,,
Intersex,0,0,,,,,,,,
Total,568,148,,,,,,,,
,,,,,,,,,,
Table 22: Age distribution of complainants (accepted complaints),2019-20,2020-21,2021-22,2022-23,2023-24,,,,,
0 - 9 years,2%,3%,2%,1%,0%,,,,,
10 - 19 years,6%,6%,4%,1%,19%,,,,,
20 - 29 years ,24%,16%,9%,13%,14%,,,,,
30 - 39 years ,27%,21%,15%,15%,24%,,,,,
40 - 49 years,13%,15%,17%,14%,22%,,,,,
50 - 59 years,13%,14%,14%,10%,11%,,,,,
60 - 69 years,6%,9%,4%,7%,8%,,,,,
70 - 79 years,2%,1%,5%,6%,0%,,,,,
80 + years,0%,2%,0%,1%,0%,,,,,
Unknown age,7%,14%,31%,31%,1%,,,,,
Total,100%,100%,100%,100%,100%,,,,,
