Community,EPBC Status,ID,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Profile,Date extracted
King Island scrub complex,Endangered,184,-,-,-,-,-,Yes,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=184,2026-Mar-20
Kurri sand swamp woodland of the Sydney Basin bioregion,Endangered,183,-,Yes,-,-,-,-,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=183,2026-Mar-20
Littoral Rainforest and Coastal Vine Thickets of Eastern Australia,Critically Endangered,76,-,Yes,-,Yes,-,-,Yes,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=76,2026-Mar-20
Lowland Grassy Woodland in the South East Corner Bioregion,Critically Endangered,82,-,Yes,-,-,-,-,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=82,2026-Mar-20
Lowland Native Grasslands of Tasmania,Critically Endangered,74,-,-,-,-,-,Yes,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=74,2026-Mar-20
Lowland Rainforest of Subtropical Australia,Critically Endangered,101,-,Yes,-,Yes,-,-,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=101,2026-Mar-20
Lowland tropical rainforest of the Wet Tropics,Endangered,170,-,-,-,Yes,-,-,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=170,2026-Mar-20
Mabi Forest (Complex Notophyll Vine Forest 5b),Critically Endangered,30,-,-,-,Yes,-,-,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=30,2026-Mar-20
Mallee Bird Community of the Murray Darling Depression Bioregion,Endangered,151,-,Yes,-,-,Yes,-,Yes,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=151,2026-Mar-20
Monsoon vine thickets on the coastal sand dunes of Dampier Peninsula,Endangered,105,-,-,-,-,-,-,-,Yes,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=105,2026-Mar-20
Mount Kaputar land snail and slug community,Endangered,180,-,Yes,-,-,-,-,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=180,2026-Mar-20
Natural Damp Grassland of the Victorian Coastal Plains,Critically Endangered,133,-,-,-,-,-,-,Yes,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=133,2026-Mar-20
Natural Grasslands of the Murray Valley Plains,Critically Endangered,117,-,Yes,-,-,-,-,Yes,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=117,2026-Mar-20
Natural Grasslands of the Queensland Central Highlands and northern Fitzroy Basin,Endangered,99,-,-,-,Yes,-,-,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=99,2026-Mar-20
Natural grasslands on basalt and fine-textured alluvial plains of northern New South Wales and southern Queensland,Critically Endangered,88,-,Yes,-,Yes,-,-,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=88,2026-Mar-20
Natural Temperate Grassland of the South Eastern Highlands,Critically Endangered,152,Yes,Yes,-,-,-,-,Yes,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=152,2026-Mar-20
Natural Temperate Grassland of the Victorian Volcanic Plain,Critically Endangered,42,-,-,-,-,-,-,Yes,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=42,2026-Mar-20
New England Peppermint (Eucalyptus nova-anglica) Grassy Woodlands,Critically Endangered,83,-,Yes,-,Yes,-,-,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=83,2026-Mar-20
Peppermint Box (Eucalyptus odorata) Grassy Woodland of South Australia,Critically Endangered,36,-,-,-,-,Yes,-,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=36,2026-Mar-20
Perched Wetlands of the Wheatbelt region with extensive stands of living sheoak and paperbark across the lake floor (Toolibin Lake),Endangered,15,-,-,-,-,-,-,-,Yes,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=15,2026-Mar-20
Pinkwood cool temperate rainforests of south east New South Wales and far east Victoria,Endangered,187,-,Yes,-,-,-,-,Yes,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=187,2026-Mar-20
"Plains mallee box woodlands of the Murray Darling Depression, Riverina and Naracoorte Coastal Plain Bioregions",Critically Endangered,150,-,Yes,-,-,Yes,-,Yes,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=150,2026-Mar-20
Poplar Box Grassy Woodland on Alluvial Plains,Endangered,141,-,Yes,-,Yes,-,-,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=141,2026-Mar-20
Posidonia australis seagrass meadows of the Manning-Hawkesbury ecoregion,Endangered,127,-,Yes,-,-,-,-,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=127,2026-Mar-20
Proteaceae Dominated Kwongkan Shrublands of the Southeast Coastal Floristic Province of Western Australia,Endangered,126,-,-,-,-,-,-,-,Yes,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=126,2026-Mar-20
"River Murray downstream of the Darling River, and associated aquatic and floodplain systems",Critically Endangered,92,-,Yes,-,-,Yes,-,Yes,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=92,2026-Mar-20
River-flat eucalypt forest on coastal floodplains of southern New South Wales and eastern Victoria,Critically Endangered,154,-,Yes,-,-,-,-,Yes,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=154,2026-Mar-20
Robertson Rainforest in the Sydney Basin Bioregion,Critically Endangered,61,-,Yes,-,-,-,-,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=61,2026-Mar-20
Scott River Ironstone Association,Endangered,123,-,-,-,-,-,-,-,Yes,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=123,2026-Mar-20
Seasonal Herbaceous Wetlands (Freshwater) of the Temperate Lowland Plains,Critically Endangered,97,-,Yes,-,-,Yes,-,Yes,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=97,2026-Mar-20
Sedgelands in Holocene dune swales of the southern Swan Coastal Plain,Endangered,19,-,-,-,-,-,-,-,Yes,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=19,2026-Mar-20
Semi-evergreen vine thickets of the Brigalow Belt (North and South) and Nandewar Bioregions,Endangered,24,-,Yes,-,Yes,-,-,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=24,2026-Mar-20
Shale Sandstone Transition Forest of the Sydney Basin Bioregion,Critically Endangered,146,-,Yes,-,-,-,-,-,-,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=146,2026-Mar-20
Shrublands and Woodlands of the eastern Swan Coastal Plain,Endangered,20,-,-,-,-,-,-,-,Yes,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=20,2026-Mar-20
Shrublands and Woodlands on Muchea Limestone of the Swan Coastal Plain,Endangered,21,-,-,-,-,-,-,-,Yes,http://www.environment.gov.au/cgi-bin/sprat/public/publicshowcommunity.pl?id=21,2026-Mar-20
