date,state_code,state_name,registration_type,sex,registrations
2007-04-01,WA,Western Australia,Consent,Male,54759
2007-04-01,ACT,Australian Capital Territory,Consent,Total,15563
2007-04-01,NSW,New South Wales,Consent,Total,222722
2007-04-01,NT,Northern Territory,Consent,Total,5048
2007-04-01,QLD,Queensland,Consent,Total,194105
2007-04-01,SA,South Australia,Consent,Total,85193
2007-04-01,TAS,Tasmania,Consent,Total,22956
2007-04-01,VIC,Victoria,Consent,Total,217080
2007-04-01,WA,Western Australia,Consent,Total,136389
2007-04-01,ACT,Australian Capital Territory,Intent,Female,18301
2007-04-01,NSW,New South Wales,Intent,Female,1094147
2007-04-01,NT,Northern Territory,Intent,Female,6125
2007-04-01,QLD,Queensland,Intent,Female,345173
2007-04-01,SA,South Australia,Intent,Female,304769
2007-04-01,TAS,Tasmania,Intent,Female,87682
2007-04-01,VIC,Victoria,Intent,Female,291080
2007-04-01,WA,Western Australia,Intent,Female,288659
2007-04-01,ACT,Australian Capital Territory,Intent,Male,12734
2007-04-01,NSW,New South Wales,Intent,Male,1112708
2007-04-01,NT,Northern Territory,Intent,Male,4290
2007-04-01,QLD,Queensland,Intent,Male,356892
2007-04-01,SA,South Australia,Intent,Male,289063
2007-04-01,TAS,Tasmania,Intent,Male,85771
2007-04-01,VIC,Victoria,Intent,Male,206796
2007-04-01,WA,Western Australia,Intent,Male,268395
2007-04-01,ACT,Australian Capital Territory,Intent,Total,31035
2007-04-01,NSW,New South Wales,Intent,Total,2206892
2007-04-01,NT,Northern Territory,Intent,Total,10417
2007-04-01,QLD,Queensland,Intent,Total,702067
2007-04-01,SA,South Australia,Intent,Total,594192
2007-04-01,TAS,Tasmania,Intent,Total,173453
2007-04-01,VIC,Victoria,Intent,Total,502115
2007-04-01,WA,Western Australia,Intent,Total,558516
2007-05-01,ACT,Australian Capital Territory,Consent,Female,9882
2007-05-01,NSW,New South Wales,Consent,Female,131970
2007-05-01,NT,Northern Territory,Consent,Female,3189
2007-05-01,QLD,Queensland,Consent,Female,120577
2007-05-01,SA,South Australia,Consent,Female,51613
2007-05-01,TAS,Tasmania,Consent,Female,14418
2007-05-01,VIC,Victoria,Consent,Female,134593
2007-05-01,WA,Western Australia,Consent,Female,85547
2007-05-01,ACT,Australian Capital Territory,Consent,Male,6444
2007-05-01,NSW,New South Wales,Consent,Male,97190
2007-05-01,NT,Northern Territory,Consent,Male,2120
