snapshot_date,registration_type,state_code,state_name,sex,age_group,registrations,pct_of_national_registrations,pct_of_abs_population
2026-05-31,Consent,ACT,Australian Capital Territory,Female,55-64,6947,,
2026-05-31,Consent,ACT,Australian Capital Territory,Female,65+,9049,,
2026-05-31,Consent,ACT,Australian Capital Territory,Female,All ages,48443,,23.8%
2026-05-31,Consent,NSW,New South Wales,Male,16-17,157,,
2026-05-31,Consent,NSW,New South Wales,Male,18-24,6812,,
2026-05-31,Consent,NSW,New South Wales,Male,25-34,40929,,
2026-05-31,Consent,NSW,New South Wales,Male,35-44,64841,,
2026-05-31,Consent,NSW,New South Wales,Male,45-54,69060,,
2026-05-31,Consent,NSW,New South Wales,Male,55-64,72333,,
2026-05-31,Consent,NSW,New South Wales,Male,65+,119570,,
2026-05-31,Consent,NSW,New South Wales,Male,All ages,373702,,10.8%
2026-05-31,Consent,VIC,Victoria,Male,16-17,125,,
2026-05-31,Consent,VIC,Victoria,Male,18-24,6142,,
2026-05-31,Consent,VIC,Victoria,Male,25-34,38211,,
2026-05-31,Consent,VIC,Victoria,Male,35-44,67507,,
2026-05-31,Consent,VIC,Victoria,Male,45-54,62390,,
2026-05-31,Consent,VIC,Victoria,Male,55-64,56200,,
2026-05-31,Consent,VIC,Victoria,Male,65+,88672,,
2026-05-31,Consent,VIC,Victoria,Male,All ages,319247,,11.3%
2026-05-31,Consent,QLD,Queensland,Male,16-17,142,,
2026-05-31,Consent,QLD,Queensland,Male,18-24,5028,,
2026-05-31,Consent,QLD,Queensland,Male,25-34,28672,,
2026-05-31,Consent,QLD,Queensland,Male,35-44,49726,,
2026-05-31,Consent,QLD,Queensland,Male,45-54,52494,,
2026-05-31,Consent,QLD,Queensland,Male,55-64,53051,,
2026-05-31,Consent,QLD,Queensland,Male,65+,85920,,
2026-05-31,Consent,QLD,Queensland,Male,All ages,275033,,12.2%
2026-05-31,Consent,SA,South Australia,Male,16-17,2026,,
2026-05-31,Consent,SA,South Australia,Male,18-24,3318,,
2026-05-31,Consent,SA,South Australia,Male,25-34,18642,,
2026-05-31,Consent,SA,South Australia,Male,35-44,23988,,
2026-05-31,Consent,SA,South Australia,Male,45-54,21583,,
2026-05-31,Consent,SA,South Australia,Male,55-64,23225,,
2026-05-31,Consent,SA,South Australia,Male,65+,43944,,
2026-05-31,Consent,SA,South Australia,Male,All ages,136726,,17.8%
2026-05-31,Consent,WA,Western Australia,Male,16-17,80,,
2026-05-31,Consent,WA,Western Australia,Male,18-24,2225,,
2026-05-31,Consent,WA,Western Australia,Male,25-34,14850,,
2026-05-31,Consent,WA,Western Australia,Male,35-44,33067,,
2026-05-31,Consent,WA,Western Australia,Male,45-54,32644,,
2026-05-31,Consent,WA,Western Australia,Male,55-64,31802,,
2026-05-31,Consent,WA,Western Australia,Male,65+,49137,,
2026-05-31,Consent,WA,Western Australia,Male,All ages,163805,,13.3%
2026-05-31,Consent,TAS,Tasmania,Male,16-17,9,,
2026-05-31,Consent,TAS,Tasmania,Male,18-24,600,,
2026-05-31,Consent,TAS,Tasmania,Male,25-34,3189,,
2026-05-31,Consent,TAS,Tasmania,Male,35-44,5971,,
2026-05-31,Consent,TAS,Tasmania,Male,45-54,6071,,
2026-05-31,Consent,TAS,Tasmania,Male,55-64,6657,,
2026-05-31,Consent,TAS,Tasmania,Male,65+,12133,,
2026-05-31,Consent,TAS,Tasmania,Male,All ages,34630,,14.8%
2026-05-31,Consent,NT,Northern Territory,Male,16-17,5,,
2026-05-31,Consent,NT,Northern Territory,Male,18-24,142,,
2026-05-31,Consent,NT,Northern Territory,Male,25-34,1017,,
2026-05-31,Consent,NT,Northern Territory,Male,35-44,1854,,
2026-05-31,Consent,NT,Northern Territory,Male,45-54,1735,,
2026-05-31,Consent,NT,Northern Territory,Male,55-64,1584,,
2026-05-31,Consent,NT,Northern Territory,Male,65+,1759,,
2026-05-31,Consent,NT,Northern Territory,Male,All ages,8096,,7.6%
2026-05-31,Consent,ACT,Australian Capital Territory,Male,16-17,27,,
2026-05-31,Consent,ACT,Australian Capital Territory,Male,18-24,812,,
2026-05-31,Consent,ACT,Australian Capital Territory,Male,25-34,4391,,
2026-05-31,Consent,ACT,Australian Capital Territory,Male,35-44,7172,,
2026-05-31,Consent,ACT,Australian Capital Territory,Male,45-54,6517,,
2026-05-31,Consent,ACT,Australian Capital Territory,Male,55-64,5202,,
2026-05-31,Consent,ACT,Australian Capital Territory,Male,65+,6918,,
2026-05-31,Consent,ACT,Australian Capital Territory,Male,All ages,31039,,16.2%
2026-05-31,Intent,NSW,New South Wales,Total,All ages,1826023,41.82%,
2026-05-31,Intent,VIC,Victoria,Total,All ages,455195,10.43%,
2026-05-31,Intent,QLD,Queensland,Total,All ages,641894,14.70%,
2026-05-31,Intent,SA,South Australia,Total,All ages,823638,18.87%,
2026-05-31,Intent,WA,Western Australia,Total,All ages,444058,10.17%,
2026-05-31,Intent,TAS,Tasmania,Total,All ages,136527,3.13%,
2026-05-31,Intent,NT,Northern Territory,Total,All ages,8267,0.19%,
2026-05-31,Intent,ACT,Australian Capital Territory,Total,All ages,30332,0.69%,
2026-05-31,Intent,NSW,New South Wales,Female,18-24,8062,,
2026-05-31,Intent,NSW,New South Wales,Female,25-34,21647,,
2026-05-31,Intent,NSW,New South Wales,Female,35-44,102595,,
2026-05-31,Intent,NSW,New South Wales,Female,45-54,194120,,
2026-05-31,Intent,NSW,New South Wales,Female,55-64,198148,,
2026-05-31,Intent,NSW,New South Wales,Female,65+,359663,,
2026-05-31,Intent,NSW,New South Wales,Female,All ages,884235,,25.0%
2026-05-31,Intent,VIC,Victoria,Female,18-24,8285,,
2026-05-31,Intent,VIC,Victoria,Female,25-34,26407,,
2026-05-31,Intent,VIC,Victoria,Female,35-44,36144,,
2026-05-31,Intent,VIC,Victoria,Female,45-54,60905,,
2026-05-31,Intent,VIC,Victoria,Female,55-64,50104,,
2026-05-31,Intent,VIC,Victoria,Female,65+,78599,,
2026-05-31,Intent,VIC,Victoria,Female,All ages,260444,,8.8%
2026-05-31,Intent,QLD,Queensland,Female,18-24,7173,,
2026-05-31,Intent,QLD,Queensland,Female,25-34,21827,,
2026-05-31,Intent,QLD,Queensland,Female,35-44,69989,,
2026-05-31,Intent,QLD,Queensland,Female,45-54,78144,,
2026-05-31,Intent,QLD,Queensland,Female,55-64,65038,,
2026-05-31,Intent,QLD,Queensland,Female,65+,73598,,
2026-05-31,Intent,QLD,Queensland,Female,All ages,315769,,13.5%
2026-05-31,Intent,SA,South Australia,Female,18-24,33306,,
2026-05-31,Intent,SA,South Australia,Female,25-34,58890,,
2026-05-31,Intent,SA,South Australia,Female,35-44,66753,,
2026-05-31,Intent,SA,South Australia,Female,45-54,62055,,
2026-05-31,Intent,SA,South Australia,Female,55-64,58839,,
2026-05-31,Intent,SA,South Australia,Female,65+,105876,,
2026-05-31,Intent,SA,South Australia,Female,All ages,385719,,48.3%
2026-05-31,Intent,WA,Western Australia,Female,18-24,3581,,
2026-05-31,Intent,WA,Western Australia,Female,25-34,9639,,
2026-05-31,Intent,WA,Western Australia,Female,35-44,16201,,
2026-05-31,Intent,WA,Western Australia,Female,45-54,46507,,
2026-05-31,Intent,WA,Western Australia,Female,55-64,53231,,
2026-05-31,Intent,WA,Western Australia,Female,65+,93538,,
2026-05-31,Intent,WA,Western Australia,Female,All ages,222697,,18.1%
2026-05-31,Intent,TAS,Tasmania,Female,18-24,741,,
2026-05-31,Intent,TAS,Tasmania,Female,25-34,2388,,
2026-05-31,Intent,TAS,Tasmania,Female,35-44,3991,,
2026-05-31,Intent,TAS,Tasmania,Female,45-54,13428,,
2026-05-31,Intent,TAS,Tasmania,Female,55-64,15650,,
2026-05-31,Intent,TAS,Tasmania,Female,65+,31264,,
2026-05-31,Intent,TAS,Tasmania,Female,All ages,67462,,27.8%
2026-05-31,Intent,NT,Northern Territory,Female,18-24,216,,
2026-05-31,Intent,NT,Northern Territory,Female,25-34,794,,
2026-05-31,Intent,NT,Northern Territory,Female,35-44,772,,
2026-05-31,Intent,NT,Northern Territory,Female,45-54,990,,
2026-05-31,Intent,NT,Northern Territory,Female,55-64,984,,
2026-05-31,Intent,NT,Northern Territory,Female,65+,866,,
2026-05-31,Intent,NT,Northern Territory,Female,All ages,4622,,4.6%
2026-05-31,Intent,ACT,Australian Capital Territory,Female,18-24,946,,
2026-05-31,Intent,ACT,Australian Capital Territory,Female,25-34,2802,,
2026-05-31,Intent,ACT,Australian Capital Territory,Female,35-44,2826,,
2026-05-31,Intent,ACT,Australian Capital Territory,Female,45-54,3839,,
2026-05-31,Intent,ACT,Australian Capital Territory,Female,55-64,3267,,
2026-05-31,Intent,ACT,Australian Capital Territory,Female,65+,4172,,
2026-05-31,Intent,ACT,Australian Capital Territory,Female,All ages,17852,,8.8%
2026-05-31,Intent,NSW,New South Wales,Male,18-24,2665,,
2026-05-31,Intent,NSW,New South Wales,Male,25-34,8362,,
2026-05-31,Intent,NSW,New South Wales,Male,35-44,104902,,
2026-05-31,Intent,NSW,New South Wales,Male,45-54,200598,,
2026-05-31,Intent,NSW,New South Wales,Male,55-64,209669,,
2026-05-31,Intent,NSW,New South Wales,Male,65+,415528,,
2026-05-31,Intent,NSW,New South Wales,Male,All ages,941724,,27.3%
2026-05-31,Intent,VIC,Victoria,Male,18-24,2814,,
2026-05-31,Intent,VIC,Victoria,Male,25-34,11454,,
2026-05-31,Intent,VIC,Victoria,Male,35-44,26976,,
2026-05-31,Intent,VIC,Victoria,Male,45-54,44737,,
2026-05-31,Intent,VIC,Victoria,Male,55-64,39440,,
2026-05-31,Intent,VIC,Victoria,Male,65+,65602,,
2026-05-31,Intent,VIC,Victoria,Male,All ages,191023,,6.8%
2026-05-31,Intent,QLD,Queensland,Male,18-24,2274,,
2026-05-31,Intent,QLD,Queensland,Male,25-34,7929,,
2026-05-31,Intent,QLD,Queensland,Male,35-44,74235,,
2026-05-31,Intent,QLD,Queensland,Male,45-54,89144,,
2026-05-31,Intent,QLD,Queensland,Male,55-64,70313,,
2026-05-31,Intent,QLD,Queensland,Male,65+,82203,,
2026-05-31,Intent,QLD,Queensland,Male,All ages,326098,,14.5%
2026-05-31,Intent,SA,South Australia,Male,18-24,31671,,
2026-05-31,Intent,SA,South Australia,Male,25-34,67877,,
2026-05-31,Intent,SA,South Australia,Male,35-44,78777,,
2026-05-31,Intent,SA,South Australia,Male,45-54,71927,,
2026-05-31,Intent,SA,South Australia,Male,55-64,65794,,
2026-05-31,Intent,SA,South Australia,Male,65+,121787,,
2026-05-31,Intent,SA,South Australia,Male,All ages,437833,,56.8%
2026-05-31,Intent,WA,Western Australia,Male,18-24,1204,,
2026-05-31,Intent,WA,Western Australia,Male,25-34,3657,,
2026-05-31,Intent,WA,Western Australia,Male,35-44,13703,,
2026-05-31,Intent,WA,Western Australia,Male,45-54,45962,,
2026-05-31,Intent,WA,Western Australia,Male,55-64,54062,,
2026-05-31,Intent,WA,Western Australia,Male,65+,101478,,
2026-05-31,Intent,WA,Western Australia,Male,All ages,220066,,17.9%
2026-05-31,Intent,TAS,Tasmania,Male,18-24,217,,
2026-05-31,Intent,TAS,Tasmania,Male,25-34,854,,
2026-05-31,Intent,TAS,Tasmania,Male,35-44,3338,,
2026-05-31,Intent,TAS,Tasmania,Male,45-54,13725,,
2026-05-31,Intent,TAS,Tasmania,Male,55-64,16156,,
2026-05-31,Intent,TAS,Tasmania,Male,65+,34767,,
2026-05-31,Intent,TAS,Tasmania,Male,All ages,69057,,29.4%
2026-05-31,Intent,NT,Northern Territory,Male,18-24,92,,
2026-05-31,Intent,NT,Northern Territory,Male,25-34,321,,
2026-05-31,Intent,NT,Northern Territory,Male,35-44,503,,
2026-05-31,Intent,NT,Northern Territory,Male,45-54,772,,
2026-05-31,Intent,NT,Northern Territory,Male,55-64,966,,
2026-05-31,Intent,NT,Northern Territory,Male,65+,989,,
2026-05-31,Intent,NT,Northern Territory,Male,All ages,3643,,3.4%
2026-05-31,Intent,ACT,Australian Capital Territory,Male,18-24,364,,
2026-05-31,Intent,ACT,Australian Capital Territory,Male,25-34,1340,,
2026-05-31,Intent,ACT,Australian Capital Territory,Male,35-44,1817,,
2026-05-31,Intent,ACT,Australian Capital Territory,Male,45-54,2714,,
2026-05-31,Intent,ACT,Australian Capital Territory,Male,55-64,2673,,
2026-05-31,Intent,ACT,Australian Capital Territory,Male,65+,3568,,
2026-05-31,Intent,ACT,Australian Capital Territory,Male,All ages,12476,,6.5%
