edition,extract_date,council,animal_species,gender,registration_status,microchipped,desexed,count
2021-22,2022-05-30,ADELAIDE HILLS COUNCIL,Cat,Female,Unregistered,Yes,Yes,86
2021-22,2022-05-30,ADELAIDE HILLS COUNCIL,Cat,Male,Registered,No,No,6
2021-22,2022-05-30,ADELAIDE HILLS COUNCIL,Cat,Male,Registered,No,Yes,9
2021-22,2022-05-30,ADELAIDE HILLS COUNCIL,Cat,Male,Registered,Yes,No,48
2021-22,2022-05-30,ADELAIDE HILLS COUNCIL,Cat,Male,Registered,Yes,Yes,556
2021-22,2022-05-30,ADELAIDE HILLS COUNCIL,Cat,Male,Unregistered,Yes,No,16
2021-22,2022-05-30,ADELAIDE HILLS COUNCIL,Cat,Male,Unregistered,Yes,Yes,90
2021-22,2022-05-30,ADELAIDE HILLS COUNCIL,Dog,Female,Registered,No,No,61
2021-22,2022-05-30,ADELAIDE HILLS COUNCIL,Dog,Female,Registered,No,Yes,46
2021-22,2022-05-30,ADELAIDE HILLS COUNCIL,Dog,Female,Registered,Yes,No,741
2021-22,2022-05-30,ADELAIDE HILLS COUNCIL,Dog,Female,Registered,Yes,Yes,3486
2021-22,2022-05-30,ADELAIDE HILLS COUNCIL,Dog,Female,Unregistered,No,No,28
2021-22,2022-05-30,ADELAIDE HILLS COUNCIL,Dog,Female,Unregistered,No,Yes,18
2021-22,2022-05-30,ADELAIDE HILLS COUNCIL,Dog,Female,Unregistered,Yes,No,75
2021-22,2022-05-30,ADELAIDE HILLS COUNCIL,Dog,Female,Unregistered,Yes,Yes,196
2021-22,2022-05-30,ADELAIDE HILLS COUNCIL,Dog,Male,Registered,No,No,89
2021-22,2022-05-30,ADELAIDE HILLS COUNCIL,Dog,Male,Registered,No,Yes,48
2021-22,2022-05-30,ADELAIDE HILLS COUNCIL,Dog,Male,Registered,Yes,No,721
2021-22,2022-05-30,ADELAIDE HILLS COUNCIL,Dog,Male,Registered,Yes,Yes,3440
2021-22,2022-05-30,ADELAIDE HILLS COUNCIL,Dog,Male,Unregistered,No,No,35
2021-22,2022-05-30,ADELAIDE HILLS COUNCIL,Dog,Male,Unregistered,No,Yes,17
2021-22,2022-05-30,ADELAIDE HILLS COUNCIL,Dog,Male,Unregistered,Yes,No,80
2021-22,2022-05-30,ADELAIDE HILLS COUNCIL,Dog,Male,Unregistered,Yes,Yes,241
2021-22,2022-05-30,ADELAIDE HILLS COUNCIL,Dog,Unknown,Registered,No,No,2
2021-22,2022-05-30,ADELAIDE HILLS COUNCIL,Dog,Unknown,Registered,Yes,No,1
2021-22,2022-05-30,ADELAIDE HILLS COUNCIL,Dog,Unknown,Registered,Yes,Yes,4
2021-22,2022-05-30,ADELAIDE PLAINS COUNCIL,Cat,Female,Registered,No,No,1
2021-22,2022-05-30,ADELAIDE PLAINS COUNCIL,Cat,Female,Registered,No,Yes,11
2021-22,2022-05-30,ADELAIDE PLAINS COUNCIL,Cat,Female,Registered,Yes,No,45
2021-22,2022-05-30,ADELAIDE PLAINS COUNCIL,Cat,Female,Registered,Yes,Yes,199
2021-22,2022-05-30,ADELAIDE PLAINS COUNCIL,Cat,Female,Unregistered,No,Yes,19
2021-22,2022-05-30,ADELAIDE PLAINS COUNCIL,Cat,Female,Unregistered,Yes,No,11
2021-22,2022-05-30,ADELAIDE PLAINS COUNCIL,Cat,Female,Unregistered,Yes,Yes,68
2021-22,2022-05-30,ADELAIDE PLAINS COUNCIL,Cat,Male,Registered,No,No,5
2021-22,2022-05-30,ADELAIDE PLAINS COUNCIL,Cat,Male,Registered,No,Yes,14
2021-22,2022-05-30,ADELAIDE PLAINS COUNCIL,Cat,Male,Registered,Yes,No,32
2021-22,2022-05-30,ADELAIDE PLAINS COUNCIL,Cat,Male,Registered,Yes,Yes,185
2021-22,2022-05-30,ADELAIDE PLAINS COUNCIL,Cat,Male,Unregistered,No,Yes,9
2021-22,2022-05-30,ADELAIDE PLAINS COUNCIL,Cat,Male,Unregistered,Yes,No,18
2021-22,2022-05-30,ADELAIDE PLAINS COUNCIL,Cat,Male,Unregistered,Yes,Yes,67
2021-22,2022-05-30,ADELAIDE PLAINS COUNCIL,Dog,Female,Registered,No,No,69
2021-22,2022-05-30,ADELAIDE PLAINS COUNCIL,Dog,Female,Registered,No,Yes,25
2021-22,2022-05-30,ADELAIDE PLAINS COUNCIL,Dog,Female,Registered,Yes,No,1530
2021-22,2022-05-30,ADELAIDE PLAINS COUNCIL,Dog,Female,Registered,Yes,Yes,1169
2021-22,2022-05-30,ADELAIDE PLAINS COUNCIL,Dog,Female,Unregistered,No,No,19
2021-22,2022-05-30,ADELAIDE PLAINS COUNCIL,Dog,Female,Unregistered,No,Yes,5
2021-22,2022-05-30,ADELAIDE PLAINS COUNCIL,Dog,Female,Unregistered,Yes,No,124
2021-22,2022-05-30,ADELAIDE PLAINS COUNCIL,Dog,Female,Unregistered,Yes,Yes,44
2021-22,2022-05-30,ADELAIDE PLAINS COUNCIL,Dog,Male,Registered,No,No,89
2021-22,2022-05-30,ADELAIDE PLAINS COUNCIL,Dog,Male,Registered,No,Yes,15
2021-22,2022-05-30,ADELAIDE PLAINS COUNCIL,Dog,Male,Registered,Yes,No,1018
2021-22,2022-05-30,ADELAIDE PLAINS COUNCIL,Dog,Male,Registered,Yes,Yes,1113
2021-22,2022-05-30,ADELAIDE PLAINS COUNCIL,Dog,Male,Unregistered,No,No,22
2021-22,2022-05-30,ADELAIDE PLAINS COUNCIL,Dog,Male,Unregistered,No,Yes,6
2021-22,2022-05-30,ADELAIDE PLAINS COUNCIL,Dog,Male,Unregistered,Yes,No,76
2021-22,2022-05-30,ADELAIDE PLAINS COUNCIL,Dog,Male,Unregistered,Yes,Yes,51
2021-22,2022-05-30,ADELAIDE PLAINS COUNCIL,Dog,Unknown,Registered,Yes,Yes,1
2021-22,2022-05-30,ALEXANDRINA COUNCIL,Cat,Female,Registered,No,No,2
2021-22,2022-05-30,ALEXANDRINA COUNCIL,Cat,Female,Registered,No,Yes,10
2021-22,2022-05-30,ALEXANDRINA COUNCIL,Cat,Female,Registered,Yes,No,65
2021-22,2022-05-30,ALEXANDRINA COUNCIL,Cat,Female,Registered,Yes,Yes,436
2021-22,2022-05-30,ALEXANDRINA COUNCIL,Cat,Female,Unregistered,No,Yes,1
2021-22,2022-05-30,ALEXANDRINA COUNCIL,Cat,Female,Unregistered,Yes,No,9
2021-22,2022-05-30,ALEXANDRINA COUNCIL,Cat,Female,Unregistered,Yes,Yes,69
2021-22,2022-05-30,ALEXANDRINA COUNCIL,Cat,Male,Registered,No,No,9
2021-22,2022-05-30,ALEXANDRINA COUNCIL,Cat,Male,Registered,No,Yes,4
2021-22,2022-05-30,ALEXANDRINA COUNCIL,Cat,Male,Registered,Yes,No,53
2021-22,2022-05-30,ALEXANDRINA COUNCIL,Cat,Male,Registered,Yes,Yes,391
2021-22,2022-05-30,ALEXANDRINA COUNCIL,Cat,Male,Unregistered,No,Yes,2
2021-22,2022-05-30,ALEXANDRINA COUNCIL,Cat,Male,Unregistered,Yes,No,11
2021-22,2022-05-30,ALEXANDRINA COUNCIL,Cat,Male,Unregistered,Yes,Yes,71
2021-22,2022-05-30,ALEXANDRINA COUNCIL,Dog,Female,Registered,No,No,47
2021-22,2022-05-30,ALEXANDRINA COUNCIL,Dog,Female,Registered,No,Yes,16
2021-22,2022-05-30,ALEXANDRINA COUNCIL,Dog,Female,Registered,Yes,No,1059
2021-22,2022-05-30,ALEXANDRINA COUNCIL,Dog,Female,Registered,Yes,Yes,2927
2021-22,2022-05-30,ALEXANDRINA COUNCIL,Dog,Female,Unregistered,No,No,13
2021-22,2022-05-30,ALEXANDRINA COUNCIL,Dog,Female,Unregistered,No,Yes,2
2021-22,2022-05-30,ALEXANDRINA COUNCIL,Dog,Female,Unregistered,Yes,No,74
2021-22,2022-05-30,ALEXANDRINA COUNCIL,Dog,Female,Unregistered,Yes,Yes,72
2021-22,2022-05-30,ALEXANDRINA COUNCIL,Dog,Male,Registered,No,No,41
2021-22,2022-05-30,ALEXANDRINA COUNCIL,Dog,Male,Registered,No,Yes,13
2021-22,2022-05-30,ALEXANDRINA COUNCIL,Dog,Male,Registered,Yes,No,884
2021-22,2022-05-30,ALEXANDRINA COUNCIL,Dog,Male,Registered,Yes,Yes,2641
2021-22,2022-05-30,ALEXANDRINA COUNCIL,Dog,Male,Unregistered,No,No,12
2021-22,2022-05-30,ALEXANDRINA COUNCIL,Dog,Male,Unregistered,No,Yes,4
2021-22,2022-05-30,ALEXANDRINA COUNCIL,Dog,Male,Unregistered,Yes,No,63
2021-22,2022-05-30,ALEXANDRINA COUNCIL,Dog,Male,Unregistered,Yes,Yes,94
2021-22,2022-05-30,BARUNGA WEST COUNCIL,Cat,Female,Registered,Yes,No,10
2021-22,2022-05-30,BARUNGA WEST COUNCIL,Cat,Female,Registered,Yes,Yes,49
2021-22,2022-05-30,BARUNGA WEST COUNCIL,Cat,Male,Registered,Yes,No,7
2021-22,2022-05-30,BARUNGA WEST COUNCIL,Cat,Male,Registered,Yes,Yes,64
2021-22,2022-05-30,BARUNGA WEST COUNCIL,Dog,Female,Registered,No,No,1
2021-22,2022-05-30,BARUNGA WEST COUNCIL,Dog,Female,Registered,Yes,No,106
2021-22,2022-05-30,BARUNGA WEST COUNCIL,Dog,Female,Registered,Yes,Yes,234
2021-22,2022-05-30,BARUNGA WEST COUNCIL,Dog,Female,Unregistered,Yes,No,3
2021-22,2022-05-30,BARUNGA WEST COUNCIL,Dog,Male,Registered,No,No,1
2021-22,2022-05-30,BARUNGA WEST COUNCIL,Dog,Male,Registered,No,Yes,1
2021-22,2022-05-30,BARUNGA WEST COUNCIL,Dog,Male,Registered,Yes,No,117
2021-22,2022-05-30,BARUNGA WEST COUNCIL,Dog,Male,Registered,Yes,Yes,214
2021-22,2022-05-30,BARUNGA WEST COUNCIL,Dog,Male,Unregistered,No,No,1
2021-22,2022-05-30,BARUNGA WEST COUNCIL,Dog,Male,Unregistered,Yes,No,2
2021-22,2022-05-30,BARUNGA WEST COUNCIL,Dog,Male,Unregistered,Yes,Yes,3
2021-22,2022-05-30,BARUNGA WEST COUNCIL,Dog,Unknown,Registered,Yes,Yes,1
2021-22,2022-05-30,CAMPBELLTOWN CITY COUNCIL,Cat,Female,Registered,No,No,4
2021-22,2022-05-30,CAMPBELLTOWN CITY COUNCIL,Cat,Female,Registered,No,Yes,14
2021-22,2022-05-30,CAMPBELLTOWN CITY COUNCIL,Cat,Female,Registered,Yes,No,88
2021-22,2022-05-30,CAMPBELLTOWN CITY COUNCIL,Cat,Female,Registered,Yes,Yes,584
2021-22,2022-05-30,CAMPBELLTOWN CITY COUNCIL,Cat,Female,Unregistered,No,Yes,5
2021-22,2022-05-30,CAMPBELLTOWN CITY COUNCIL,Cat,Female,Unregistered,Yes,No,65
2021-22,2022-05-30,CAMPBELLTOWN CITY COUNCIL,Cat,Female,Unregistered,Yes,Yes,163
2021-22,2022-05-30,CAMPBELLTOWN CITY COUNCIL,Cat,Male,Registered,No,Yes,8
2021-22,2022-05-30,CAMPBELLTOWN CITY COUNCIL,Cat,Male,Registered,Yes,No,89
2021-22,2022-05-30,CAMPBELLTOWN CITY COUNCIL,Cat,Male,Registered,Yes,Yes,572
2021-22,2022-05-30,CAMPBELLTOWN CITY COUNCIL,Cat,Male,Unregistered,No,No,1
2021-22,2022-05-30,CAMPBELLTOWN CITY COUNCIL,Cat,Male,Unregistered,No,Yes,4
2021-22,2022-05-30,CAMPBELLTOWN CITY COUNCIL,Cat,Male,Unregistered,Yes,No,32
2021-22,2022-05-30,CAMPBELLTOWN CITY COUNCIL,Cat,Male,Unregistered,Yes,Yes,187
2021-22,2022-05-30,CAMPBELLTOWN CITY COUNCIL,Dog,Female,Registered,No,No,71
2021-22,2022-05-30,CAMPBELLTOWN CITY COUNCIL,Dog,Female,Registered,No,Yes,83
2021-22,2022-05-30,CAMPBELLTOWN CITY COUNCIL,Dog,Female,Registered,Yes,No,418
2021-22,2022-05-30,CAMPBELLTOWN CITY COUNCIL,Dog,Female,Registered,Yes,Yes,2033
2021-22,2022-05-30,CAMPBELLTOWN CITY COUNCIL,Dog,Female,Unregistered,No,No,9
2021-22,2022-05-30,CAMPBELLTOWN CITY COUNCIL,Dog,Female,Unregistered,No,Yes,7
2021-22,2022-05-30,CAMPBELLTOWN CITY COUNCIL,Dog,Female,Unregistered,Yes,No,20
2021-22,2022-05-30,CAMPBELLTOWN CITY COUNCIL,Dog,Female,Unregistered,Yes,Yes,26
2021-22,2022-05-30,CAMPBELLTOWN CITY COUNCIL,Dog,Male,Registered,No,No,102
2021-22,2022-05-30,CAMPBELLTOWN CITY COUNCIL,Dog,Male,Registered,No,Yes,82
2021-22,2022-05-30,CAMPBELLTOWN CITY COUNCIL,Dog,Male,Registered,Yes,No,552
2021-22,2022-05-30,CAMPBELLTOWN CITY COUNCIL,Dog,Male,Registered,Yes,Yes,2248
2021-22,2022-05-30,CAMPBELLTOWN CITY COUNCIL,Dog,Male,Unregistered,No,No,21
2021-22,2022-05-30,CAMPBELLTOWN CITY COUNCIL,Dog,Male,Unregistered,No,Yes,3
2021-22,2022-05-30,CAMPBELLTOWN CITY COUNCIL,Dog,Male,Unregistered,Yes,No,35
2021-22,2022-05-30,CAMPBELLTOWN CITY COUNCIL,Dog,Male,Unregistered,Yes,Yes,44
2021-22,2022-05-30,CAMPBELLTOWN CITY COUNCIL,Dog,Unknown,Registered,No,No,1
2021-22,2022-05-30,CAMPBELLTOWN CITY COUNCIL,Dog,Unknown,Registered,Yes,No,2
2021-22,2022-05-30,CAMPBELLTOWN CITY COUNCIL,Dog,Unknown,Registered,Yes,Yes,5
2021-22,2022-05-30,CITY OF BURNSIDE,Cat,Female,Registered,No,No,5
2021-22,2022-05-30,CITY OF BURNSIDE,Cat,Female,Registered,No,Yes,31
2021-22,2022-05-30,CITY OF BURNSIDE,Cat,Female,Registered,Yes,No,94
2021-22,2022-05-30,CITY OF BURNSIDE,Cat,Female,Registered,Yes,Yes,646
2021-22,2022-05-30,CITY OF BURNSIDE,Cat,Female,Unregistered,Yes,Yes,2
2021-22,2022-05-30,CITY OF BURNSIDE,Cat,Male,Registered,No,No,3
2021-22,2022-05-30,CITY OF BURNSIDE,Cat,Male,Registered,No,Yes,19
2021-22,2022-05-30,CITY OF BURNSIDE,Cat,Male,Registered,Yes,No,82
2021-22,2022-05-30,CITY OF BURNSIDE,Cat,Male,Registered,Yes,Yes,621
2021-22,2022-05-30,CITY OF BURNSIDE,Cat,Male,Unregistered,Yes,Yes,2
2021-22,2022-05-30,CITY OF BURNSIDE,Dog,Female,Registered,No,No,11
2021-22,2022-05-30,CITY OF BURNSIDE,Dog,Female,Registered,No,Yes,5
2021-22,2022-05-30,CITY OF BURNSIDE,Dog,Female,Registered,Yes,No,339
2021-22,2022-05-30,CITY OF BURNSIDE,Dog,Female,Registered,Yes,Yes,2322
2021-22,2022-05-30,CITY OF BURNSIDE,Dog,Female,Unregistered,Yes,No,2
2021-22,2022-05-30,CITY OF BURNSIDE,Dog,Female,Unregistered,Yes,Yes,5
2021-22,2022-05-30,CITY OF BURNSIDE,Dog,Male,Registered,No,No,13
2021-22,2022-05-30,CITY OF BURNSIDE,Dog,Male,Registered,No,Yes,3
2021-22,2022-05-30,CITY OF BURNSIDE,Dog,Male,Registered,Yes,No,445
2021-22,2022-05-30,CITY OF BURNSIDE,Dog,Male,Registered,Yes,Yes,2502
2021-22,2022-05-30,CITY OF BURNSIDE,Dog,Male,Unregistered,Yes,No,8
2021-22,2022-05-30,CITY OF BURNSIDE,Dog,Male,Unregistered,Yes,Yes,6
2021-22,2022-05-30,CITY OF BURNSIDE,Dog,Unknown,Registered,Yes,No,1
2021-22,2022-05-30,CITY OF CHARLES STURT,Cat,Female,Registered,No,No,15
2021-22,2022-05-30,CITY OF CHARLES STURT,Cat,Female,Registered,No,Yes,11
2021-22,2022-05-30,CITY OF CHARLES STURT,Cat,Female,Registered,Yes,No,186
2021-22,2022-05-30,CITY OF CHARLES STURT,Cat,Female,Registered,Yes,Yes,1321
2021-22,2022-05-30,CITY OF CHARLES STURT,Cat,Female,Unregistered,No,No,17
2021-22,2022-05-30,CITY OF CHARLES STURT,Cat,Female,Unregistered,No,Yes,13
2021-22,2022-05-30,CITY OF CHARLES STURT,Cat,Female,Unregistered,Yes,No,87
2021-22,2022-05-30,CITY OF CHARLES STURT,Cat,Female,Unregistered,Yes,Yes,502
2021-22,2022-05-30,CITY OF CHARLES STURT,Cat,Male,Registered,No,No,6
2021-22,2022-05-30,CITY OF CHARLES STURT,Cat,Male,Registered,No,Yes,7
2021-22,2022-05-30,CITY OF CHARLES STURT,Cat,Male,Registered,Yes,No,144
2021-22,2022-05-30,CITY OF CHARLES STURT,Cat,Male,Registered,Yes,Yes,1164
2021-22,2022-05-30,CITY OF CHARLES STURT,Cat,Male,Unregistered,No,No,10
2021-22,2022-05-30,CITY OF CHARLES STURT,Cat,Male,Unregistered,No,Yes,12
2021-22,2022-05-30,CITY OF CHARLES STURT,Cat,Male,Unregistered,Yes,No,86
2021-22,2022-05-30,CITY OF CHARLES STURT,Cat,Male,Unregistered,Yes,Yes,459
2021-22,2022-05-30,CITY OF CHARLES STURT,Dog,Female,Registered,No,No,62
2021-22,2022-05-30,CITY OF CHARLES STURT,Dog,Female,Registered,No,Yes,16
2021-22,2022-05-30,CITY OF CHARLES STURT,Dog,Female,Registered,Yes,No,1428
2021-22,2022-05-30,CITY OF CHARLES STURT,Dog,Female,Registered,Yes,Yes,6335
2021-22,2022-05-30,CITY OF CHARLES STURT,Dog,Female,Unregistered,Yes,No,8
2021-22,2022-05-30,CITY OF CHARLES STURT,Dog,Female,Unregistered,Yes,Yes,2
2021-22,2022-05-30,CITY OF CHARLES STURT,Dog,Male,Registered,No,No,72
2021-22,2022-05-30,CITY OF CHARLES STURT,Dog,Male,Registered,No,Yes,11
2021-22,2022-05-30,CITY OF CHARLES STURT,Dog,Male,Registered,Yes,No,1909
2021-22,2022-05-30,CITY OF CHARLES STURT,Dog,Male,Registered,Yes,Yes,6584
2021-22,2022-05-30,CITY OF CHARLES STURT,Dog,Male,Unregistered,No,No,3
2021-22,2022-05-30,CITY OF CHARLES STURT,Dog,Male,Unregistered,Yes,No,4
2021-22,2022-05-30,CITY OF CHARLES STURT,Dog,Male,Unregistered,Yes,Yes,3
2021-22,2022-05-30,CITY OF CHARLES STURT,Dog,Unknown,Registered,Yes,No,3
2021-22,2022-05-30,CITY OF CHARLES STURT,Dog,Unknown,Registered,Yes,Yes,10
2021-22,2022-05-30,CITY OF HOLDFAST BAY,Cat,Female,Registered,No,No,1
2021-22,2022-05-30,CITY OF HOLDFAST BAY,Cat,Female,Registered,No,Yes,4
2021-22,2022-05-30,CITY OF HOLDFAST BAY,Cat,Female,Registered,Yes,No,15
2021-22,2022-05-30,CITY OF HOLDFAST BAY,Cat,Female,Registered,Yes,Yes,281
2021-22,2022-05-30,CITY OF HOLDFAST BAY,Cat,Female,Unregistered,No,Yes,2
2021-22,2022-05-30,CITY OF HOLDFAST BAY,Cat,Female,Unregistered,Yes,No,22
2021-22,2022-05-30,CITY OF HOLDFAST BAY,Cat,Female,Unregistered,Yes,Yes,135
2021-22,2022-05-30,CITY OF HOLDFAST BAY,Cat,Male,Registered,Yes,No,25
2021-22,2022-05-30,CITY OF HOLDFAST BAY,Cat,Male,Registered,Yes,Yes,259
2021-22,2022-05-30,CITY OF HOLDFAST BAY,Cat,Male,Unregistered,No,Yes,5
2021-22,2022-05-30,CITY OF HOLDFAST BAY,Cat,Male,Unregistered,Yes,No,25
2021-22,2022-05-30,CITY OF HOLDFAST BAY,Cat,Male,Unregistered,Yes,Yes,153
2021-22,2022-05-30,CITY OF HOLDFAST BAY,Dog,Female,Registered,No,No,21
2021-22,2022-05-30,CITY OF HOLDFAST BAY,Dog,Female,Registered,No,Yes,46
2021-22,2022-05-30,CITY OF HOLDFAST BAY,Dog,Female,Registered,Yes,No,275
2021-22,2022-05-30,CITY OF HOLDFAST BAY,Dog,Female,Registered,Yes,Yes,2080
2021-22,2022-05-30,CITY OF HOLDFAST BAY,Dog,Female,Unregistered,No,No,7
2021-22,2022-05-30,CITY OF HOLDFAST BAY,Dog,Female,Unregistered,No,Yes,12
2021-22,2022-05-30,CITY OF HOLDFAST BAY,Dog,Female,Unregistered,Yes,No,32
2021-22,2022-05-30,CITY OF HOLDFAST BAY,Dog,Female,Unregistered,Yes,Yes,159
2021-22,2022-05-30,CITY OF HOLDFAST BAY,Dog,Male,Registered,No,No,28
2021-22,2022-05-30,CITY OF HOLDFAST BAY,Dog,Male,Registered,No,Yes,47
2021-22,2022-05-30,CITY OF HOLDFAST BAY,Dog,Male,Registered,Yes,No,332
2021-22,2022-05-30,CITY OF HOLDFAST BAY,Dog,Male,Registered,Yes,Yes,2131
2021-22,2022-05-30,CITY OF HOLDFAST BAY,Dog,Male,Unregistered,No,No,12
2021-22,2022-05-30,CITY OF HOLDFAST BAY,Dog,Male,Unregistered,No,Yes,14
2021-22,2022-05-30,CITY OF HOLDFAST BAY,Dog,Male,Unregistered,Yes,No,37
2021-22,2022-05-30,CITY OF HOLDFAST BAY,Dog,Male,Unregistered,Yes,Yes,193
2021-22,2022-05-30,CITY OF HOLDFAST BAY,Dog,Unknown,Registered,No,No,1
2021-22,2022-05-30,CITY OF HOLDFAST BAY,Dog,Unknown,Registered,Yes,Yes,7
2021-22,2022-05-30,CITY OF HOLDFAST BAY,Dog,Unknown,Unregistered,Yes,Yes,1
2021-22,2022-05-30,CITY OF MARION,Cat,Female,Registered,No,No,10
2021-22,2022-05-30,CITY OF MARION,Cat,Female,Registered,No,Yes,10
2021-22,2022-05-30,CITY OF MARION,Cat,Female,Registered,Yes,No,78
2021-22,2022-05-30,CITY OF MARION,Cat,Female,Registered,Yes,Yes,918
2021-22,2022-05-30,CITY OF MARION,Cat,Female,Unregistered,No,No,5
2021-22,2022-05-30,CITY OF MARION,Cat,Female,Unregistered,No,Yes,9
2021-22,2022-05-30,CITY OF MARION,Cat,Female,Unregistered,Yes,No,77
2021-22,2022-05-30,CITY OF MARION,Cat,Female,Unregistered,Yes,Yes,506
2021-22,2022-05-30,CITY OF MARION,Cat,Male,Registered,No,No,7
2021-22,2022-05-30,CITY OF MARION,Cat,Male,Registered,No,Yes,12
2021-22,2022-05-30,CITY OF MARION,Cat,Male,Registered,Yes,No,57
2021-22,2022-05-30,CITY OF MARION,Cat,Male,Registered,Yes,Yes,832
2021-22,2022-05-30,CITY OF MARION,Cat,Male,Unregistered,No,No,5
2021-22,2022-05-30,CITY OF MARION,Cat,Male,Unregistered,No,Yes,4
2021-22,2022-05-30,CITY OF MARION,Cat,Male,Unregistered,Yes,No,58
2021-22,2022-05-30,CITY OF MARION,Cat,Male,Unregistered,Yes,Yes,473
2021-22,2022-05-30,CITY OF MARION,Cat,Unknown,Registered,Yes,Yes,1
2021-22,2022-05-30,CITY OF MARION,Dog,Female,Registered,No,No,74
2021-22,2022-05-30,CITY OF MARION,Dog,Female,Registered,No,Yes,32
2021-22,2022-05-30,CITY OF MARION,Dog,Female,Registered,Yes,No,838
2021-22,2022-05-30,CITY OF MARION,Dog,Female,Registered,Yes,Yes,5512
2021-22,2022-05-30,CITY OF MARION,Dog,Female,Unregistered,No,No,29
2021-22,2022-05-30,CITY OF MARION,Dog,Female,Unregistered,No,Yes,16
2021-22,2022-05-30,CITY OF MARION,Dog,Female,Unregistered,Yes,No,115
2021-22,2022-05-30,CITY OF MARION,Dog,Female,Unregistered,Yes,Yes,143
2021-22,2022-05-30,CITY OF MARION,Dog,Male,Registered,No,No,94
2021-22,2022-05-30,CITY OF MARION,Dog,Male,Registered,No,Yes,47
2021-22,2022-05-30,CITY OF MARION,Dog,Male,Registered,Yes,No,1178
2021-22,2022-05-30,CITY OF MARION,Dog,Male,Registered,Yes,Yes,5878
2021-22,2022-05-30,CITY OF MARION,Dog,Male,Unregistered,No,No,41
2021-22,2022-05-30,CITY OF MARION,Dog,Male,Unregistered,No,Yes,15
2021-22,2022-05-30,CITY OF MARION,Dog,Male,Unregistered,Yes,No,118
2021-22,2022-05-30,CITY OF MARION,Dog,Male,Unregistered,Yes,Yes,185
2021-22,2022-05-30,CITY OF MARION,Dog,Unknown,Registered,Yes,Yes,4
2021-22,2022-05-30,CITY OF MARION,Dog,Unknown,Unregistered,Yes,Yes,2
2021-22,2022-05-30,CITY OF MITCHAM,Cat,Female,Registered,No,No,10
