edition,extract_date,council,rank,breed
2021-22,2022-05-30,WUDINNA DISTRICT COUNCIL,1,Australian Kelpie
2021-22,2022-05-30,WUDINNA DISTRICT COUNCIL,2,Border Collie
2021-22,2022-05-30,WUDINNA DISTRICT COUNCIL,3,Jack Russell Terrier
2021-22,2022-05-30,WUDINNA DISTRICT COUNCIL,4,Australian Cattle Dog
2021-22,2022-05-30,WUDINNA DISTRICT COUNCIL,5,Australian Kelpie/Cross Breed
2021-22,2022-05-30,YORKE PENINSULA COUNCIL,1,Australian Kelpie
2021-22,2022-05-30,YORKE PENINSULA COUNCIL,2,Border Collie
2021-22,2022-05-30,YORKE PENINSULA COUNCIL,3,Jack Russell Terrier
2021-22,2022-05-30,YORKE PENINSULA COUNCIL,4,Labrador Retriever
2021-22,2022-05-30,YORKE PENINSULA COUNCIL,5,Australian Cattle Dog
2022-23,2023-05-30,ADELAIDE CITY COUNCIL,1,Labrador Retriever
2022-23,2023-05-30,ADELAIDE CITY COUNCIL,2,Schnauzer (Miniature)
2022-23,2023-05-30,ADELAIDE CITY COUNCIL,3,Greyhound
2022-23,2023-05-30,ADELAIDE CITY COUNCIL,4,Maltese/Shih Tzu
2022-23,2023-05-30,ADELAIDE CITY COUNCIL,5,French Bulldog
2022-23,2023-05-30,ADELAIDE HILLS COUNCIL,1,Border Collie
2022-23,2023-05-30,ADELAIDE HILLS COUNCIL,2,Labrador Retriever
2022-23,2023-05-30,ADELAIDE HILLS COUNCIL,3,Australian Kelpie
2022-23,2023-05-30,ADELAIDE HILLS COUNCIL,4,Golden Retriever
2022-23,2023-05-30,ADELAIDE HILLS COUNCIL,5,Jack Russell Terrier
2022-23,2023-05-30,ADELAIDE PLAINS COUNCIL,1,Greyhound
2022-23,2023-05-30,ADELAIDE PLAINS COUNCIL,2,Australian Kelpie
2022-23,2023-05-30,ADELAIDE PLAINS COUNCIL,3,German Shepherd Dog
2022-23,2023-05-30,ADELAIDE PLAINS COUNCIL,4,Border Collie
2022-23,2023-05-30,ADELAIDE PLAINS COUNCIL,5,American Staffordshire Terrier
2022-23,2023-05-30,ALEXANDRINA COUNCIL,1,Border Collie
2022-23,2023-05-30,ALEXANDRINA COUNCIL,2,Australian Kelpie
2022-23,2023-05-30,ALEXANDRINA COUNCIL,3,Labrador Retriever
2022-23,2023-05-30,ALEXANDRINA COUNCIL,4,Maltese/Cross Breed
2022-23,2023-05-30,ALEXANDRINA COUNCIL,5,Jack Russell Terrier
2022-23,2023-05-30,BARUNGA WEST COUNCIL,1,Border Collie
2022-23,2023-05-30,BARUNGA WEST COUNCIL,2,Australian Kelpie
2022-23,2023-05-30,BARUNGA WEST COUNCIL,3,Maltese
2022-23,2023-05-30,BARUNGA WEST COUNCIL,4,Jack Russell Terrier
2022-23,2023-05-30,BARUNGA WEST COUNCIL,5,Australian Cattle Dog
2022-23,2023-05-30,CAMPBELLTOWN CITY COUNCIL,1,Maltese/Cross Breed
2022-23,2023-05-30,CAMPBELLTOWN CITY COUNCIL,2,Labrador Retriever
2022-23,2023-05-30,CAMPBELLTOWN CITY COUNCIL,3,Border Collie
2022-23,2023-05-30,CAMPBELLTOWN CITY COUNCIL,4,Poodle (Toy)
2022-23,2023-05-30,CAMPBELLTOWN CITY COUNCIL,5,Cavalier King Charles Spaniel/Poodle (Toy)
2022-23,2023-05-30,CITY OF BURNSIDE,1,Labrador Retriever
2022-23,2023-05-30,CITY OF BURNSIDE,2,Border Collie
2022-23,2023-05-30,CITY OF BURNSIDE,3,Golden Retriever
2022-23,2023-05-30,CITY OF BURNSIDE,4,Maltese/Cross Breed
2022-23,2023-05-30,CITY OF BURNSIDE,5,Cavalier King Charles Spaniel/Cross Breed
2022-23,2023-05-30,CITY OF CHARLES STURT,1,Maltese/Shih Tzu
2022-23,2023-05-30,CITY OF CHARLES STURT,2,Labrador Retriever
2022-23,2023-05-30,CITY OF CHARLES STURT,3,Border Collie
2022-23,2023-05-30,CITY OF CHARLES STURT,4,Staffordshire Bull Terrier
2022-23,2023-05-30,CITY OF CHARLES STURT,5,Golden Retriever
2022-23,2023-05-30,CITY OF HOLDFAST BAY,1,Border Collie
2022-23,2023-05-30,CITY OF HOLDFAST BAY,2,Labrador Retriever
2022-23,2023-05-30,CITY OF HOLDFAST BAY,3,Golden Retriever
2022-23,2023-05-30,CITY OF HOLDFAST BAY,4,Poodle
2022-23,2023-05-30,CITY OF HOLDFAST BAY,5,Cavalier King Charles Spaniel/Poodle (Toy)
2022-23,2023-05-30,CITY OF MARION,1,Border Collie
2022-23,2023-05-30,CITY OF MARION,2,Labrador Retriever
2022-23,2023-05-30,CITY OF MARION,3,Maltese/Shih Tzu
2022-23,2023-05-30,CITY OF MARION,4,Golden Retriever
2022-23,2023-05-30,CITY OF MARION,5,Staffordshire Bull Terrier
2022-23,2023-05-30,CITY OF MITCHAM,1,Labrador Retriever
2022-23,2023-05-30,CITY OF MITCHAM,2,Border Collie
2022-23,2023-05-30,CITY OF MITCHAM,3,Golden Retriever
2022-23,2023-05-30,CITY OF MITCHAM,4,Australian Kelpie
2022-23,2023-05-30,CITY OF MITCHAM,5,Maltese
2022-23,2023-05-30,CITY OF MOUNT GAMBIER,1,Labrador Retriever
2022-23,2023-05-30,CITY OF MOUNT GAMBIER,2,Jack Russell Terrier
2022-23,2023-05-30,CITY OF MOUNT GAMBIER,3,Border Collie
2022-23,2023-05-30,CITY OF MOUNT GAMBIER,4,Maltese/Shih Tzu
2022-23,2023-05-30,CITY OF MOUNT GAMBIER,5,Golden Retriever
2022-23,2023-05-30,CITY OF ONKAPARINGA,1,Maltese/Cross Breed
2022-23,2023-05-30,CITY OF ONKAPARINGA,2,Border Collie
2022-23,2023-05-30,CITY OF ONKAPARINGA,3,Labrador Retriever
2022-23,2023-05-30,CITY OF ONKAPARINGA,4,Staffordshire Bull Terrier
2022-23,2023-05-30,CITY OF ONKAPARINGA,5,Australian Kelpie
2022-23,2023-05-30,CITY OF PLAYFORD,1,Maltese/Cross Breed
2022-23,2023-05-30,CITY OF PLAYFORD,2,American Staffordshire Terrier
2022-23,2023-05-30,CITY OF PLAYFORD,3,Staffordshire Bull Terrier
2022-23,2023-05-30,CITY OF PLAYFORD,4,German Shepherd Dog
2022-23,2023-05-30,CITY OF PLAYFORD,5,Staffordshire Bull Terrier/Cross Breed
2022-23,2023-05-30,CITY OF PORT ADELAIDE ENFIELD,1,Maltese
2022-23,2023-05-30,CITY OF PORT ADELAIDE ENFIELD,2,Staffordshire Bull Terrier
2022-23,2023-05-30,CITY OF PORT ADELAIDE ENFIELD,3,Labrador Retriever
2022-23,2023-05-30,CITY OF PORT ADELAIDE ENFIELD,4,American Staffordshire Terrier
2022-23,2023-05-30,CITY OF PORT ADELAIDE ENFIELD,5,Poodle (Toy)
2022-23,2023-05-30,CITY OF PORT LINCOLN,1,Border Collie
2022-23,2023-05-30,CITY OF PORT LINCOLN,2,Australian Kelpie
2022-23,2023-05-30,CITY OF PORT LINCOLN,3,Staffordshire Bull Terrier
2022-23,2023-05-30,CITY OF PORT LINCOLN,4,Maltese/Cross Breed
2022-23,2023-05-30,CITY OF PORT LINCOLN,5,Staffordshire Bull Terrier/Cross Breed
2022-23,2023-05-30,CITY OF PROSPECT,1,Labrador Retriever
2022-23,2023-05-30,CITY OF PROSPECT,2,Border Collie
2022-23,2023-05-30,CITY OF PROSPECT,3,Maltese/Shih Tzu
2022-23,2023-05-30,CITY OF PROSPECT,4,Golden Retriever
2022-23,2023-05-30,CITY OF PROSPECT,5,Cavalier King Charles Spaniel/Poodle (Standard)
2022-23,2023-05-30,CITY OF SALISBURY,1,Maltese/Cross Breed
2022-23,2023-05-30,CITY OF SALISBURY,2,American Staffordshire Terrier
2022-23,2023-05-30,CITY OF SALISBURY,3,Staffordshire Bull Terrier
2022-23,2023-05-30,CITY OF SALISBURY,4,German Shepherd Dog
2022-23,2023-05-30,CITY OF SALISBURY,5,Staffordshire Bull Terrier/Cross Breed
2022-23,2023-05-30,CITY OF TEA TREE GULLY,1,Maltese/Shih Tzu
2022-23,2023-05-30,CITY OF TEA TREE GULLY,2,Border Collie
2022-23,2023-05-30,CITY OF TEA TREE GULLY,3,Labrador Retriever
2022-23,2023-05-30,CITY OF TEA TREE GULLY,4,Staffordshire Bull Terrier
2022-23,2023-05-30,CITY OF TEA TREE GULLY,5,American Staffordshire Terrier
2022-23,2023-05-30,CITY OF UNLEY,1,Labrador Retriever
2022-23,2023-05-30,CITY OF UNLEY,2,Golden Retriever
2022-23,2023-05-30,CITY OF UNLEY,3,Cavalier King Charles Spaniel
2022-23,2023-05-30,CITY OF UNLEY,4,Border Collie
2022-23,2023-05-30,CITY OF UNLEY,5,Maltese
2022-23,2023-05-30,CITY OF VICTOR HARBOR,1,Border Collie
2022-23,2023-05-30,CITY OF VICTOR HARBOR,2,Australian Kelpie
2022-23,2023-05-30,CITY OF VICTOR HARBOR,3,Maltese/Cross Breed
2022-23,2023-05-30,CITY OF VICTOR HARBOR,4,Jack Russell Terrier
2022-23,2023-05-30,CITY OF VICTOR HARBOR,5,Labrador Retriever
2022-23,2023-05-30,CITY OF WEST TORRENS,1,Maltese/Cross Breed
2022-23,2023-05-30,CITY OF WEST TORRENS,2,Labrador Retriever
2022-23,2023-05-30,CITY OF WEST TORRENS,3,Border Collie
2022-23,2023-05-30,CITY OF WEST TORRENS,4,Golden Retriever
2022-23,2023-05-30,CITY OF WEST TORRENS,5,Staffordshire Bull Terrier
2022-23,2023-05-30,CLARE AND GILBERT VALLEYS COUNCIL,1,Australian Kelpie
2022-23,2023-05-30,CLARE AND GILBERT VALLEYS COUNCIL,2,Border Collie
2022-23,2023-05-30,CLARE AND GILBERT VALLEYS COUNCIL,3,Jack Russell Terrier
2022-23,2023-05-30,CLARE AND GILBERT VALLEYS COUNCIL,4,Labrador Retriever
2022-23,2023-05-30,CLARE AND GILBERT VALLEYS COUNCIL,5,Maltese/Cross Breed
2022-23,2023-05-30,COORONG DISTRICT COUNCIL,1,Australian Kelpie
2022-23,2023-05-30,COORONG DISTRICT COUNCIL,2,Border Collie
2022-23,2023-05-30,COORONG DISTRICT COUNCIL,3,Jack Russell Terrier
2022-23,2023-05-30,COORONG DISTRICT COUNCIL,4,Greyhound
2022-23,2023-05-30,COORONG DISTRICT COUNCIL,5,Labrador Retriever
2022-23,2023-05-30,COPPER COAST COUNCIL,1,Border Collie
2022-23,2023-05-30,COPPER COAST COUNCIL,2,Maltese/Cross Breed
2022-23,2023-05-30,COPPER COAST COUNCIL,3,Australian Kelpie
2022-23,2023-05-30,COPPER COAST COUNCIL,4,Staffordshire Bull Terrier
2022-23,2023-05-30,COPPER COAST COUNCIL,5,Labrador Retriever
2022-23,2023-05-30,DC OF ELLISTON,1,Australian Kelpie
2022-23,2023-05-30,DC OF ELLISTON,2,Border Collie
2022-23,2023-05-30,DC OF ELLISTON,3,Jack Russell Terrier
2022-23,2023-05-30,DC OF ELLISTON,4,Labrador Retriever
2022-23,2023-05-30,DC OF ELLISTON,5,Australian Kelpie/Cross Breed
2022-23,2023-05-30,DC OF ROBE,1,Australian Kelpie
2022-23,2023-05-30,DC OF ROBE,2,Labrador Retriever
2022-23,2023-05-30,DC OF ROBE,3,Jack Russell Terrier
2022-23,2023-05-30,DC OF ROBE,4,Border Collie
2022-23,2023-05-30,DC OF ROBE,5,Australian Kelpie/Cross Breed
2022-23,2023-05-30,DISTRICT COUNCIL OF CLEVE,1,Australian Kelpie
2022-23,2023-05-30,DISTRICT COUNCIL OF CLEVE,2,Border Collie
2022-23,2023-05-30,DISTRICT COUNCIL OF CLEVE,3,Jack Russell Terrier
2022-23,2023-05-30,DISTRICT COUNCIL OF CLEVE,4,Maltese/Cross Breed
2022-23,2023-05-30,DISTRICT COUNCIL OF CLEVE,5,Labrador Retriever
2022-23,2023-05-30,INTERSTATE COUNCIL,1,Border Collie
2022-23,2023-05-30,INTERSTATE COUNCIL,2,Australian Kelpie
2022-23,2023-05-30,INTERSTATE COUNCIL,3,Labrador Retriever
2022-23,2023-05-30,INTERSTATE COUNCIL,4,Italian Greyhound
2022-23,2023-05-30,INTERSTATE COUNCIL,5,German Shepherd Dog
2022-23,2023-05-30,KANGAROO ISLAND COUNCIL,1,Australian Kelpie
2022-23,2023-05-30,KANGAROO ISLAND COUNCIL,2,Border Collie
2022-23,2023-05-30,KANGAROO ISLAND COUNCIL,3,Australian Kelpie/Cross Breed
2022-23,2023-05-30,KANGAROO ISLAND COUNCIL,4,Jack Russell Terrier
2022-23,2023-05-30,KANGAROO ISLAND COUNCIL,5,Maltese/Cross Breed
2022-23,2023-05-30,KINGSTON DC,1,Australian Kelpie
2022-23,2023-05-30,KINGSTON DC,2,Jack Russell Terrier
2022-23,2023-05-30,KINGSTON DC,3,Border Collie
2022-23,2023-05-30,KINGSTON DC,4,Labrador Retriever
2022-23,2023-05-30,KINGSTON DC,5,Staffordshire Bull Terrier
2022-23,2023-05-30,LIGHT REGIONAL COUNCIL,1,Australian Kelpie
2022-23,2023-05-30,LIGHT REGIONAL COUNCIL,2,Border Collie
2022-23,2023-05-30,LIGHT REGIONAL COUNCIL,3,Labrador Retriever
2022-23,2023-05-30,LIGHT REGIONAL COUNCIL,4,Staffordshire Bull Terrier
2022-23,2023-05-30,LIGHT REGIONAL COUNCIL,5,Jack Russell Terrier
2022-23,2023-05-30,MID MURRAY COUNCIL,1,Australian Kelpie
2022-23,2023-05-30,MID MURRAY COUNCIL,2,Border Collie
2022-23,2023-05-30,MID MURRAY COUNCIL,3,American Staffordshire Terrier
2022-23,2023-05-30,MID MURRAY COUNCIL,4,Australian Cattle Dog
2022-23,2023-05-30,MID MURRAY COUNCIL,5,Jack Russell Terrier
2022-23,2023-05-30,MOUNT BARKER DISTRICT COUNCIL,1,Australian Kelpie
2022-23,2023-05-30,MOUNT BARKER DISTRICT COUNCIL,2,Border Collie
2022-23,2023-05-30,MOUNT BARKER DISTRICT COUNCIL,3,Labrador Retriever
2022-23,2023-05-30,MOUNT BARKER DISTRICT COUNCIL,4,Jack Russell Terrier
2022-23,2023-05-30,MOUNT BARKER DISTRICT COUNCIL,5,Staffordshire Bull Terrier
2022-23,2023-05-30,MUNICIPAL COUNCIL OF ROXBY DOWNS,1,Staffordshire Bull Terrier
2022-23,2023-05-30,MUNICIPAL COUNCIL OF ROXBY DOWNS,2,Border Collie
2022-23,2023-05-30,MUNICIPAL COUNCIL OF ROXBY DOWNS,3,American Staffordshire Terrier
2022-23,2023-05-30,MUNICIPAL COUNCIL OF ROXBY DOWNS,4,Labrador Retriever
2022-23,2023-05-30,MUNICIPAL COUNCIL OF ROXBY DOWNS,5,Australian Cattle Dog
2022-23,2023-05-30,NARACOORTE LUCINDALE COUNCIL,1,Australian Kelpie
2022-23,2023-05-30,NARACOORTE LUCINDALE COUNCIL,2,Jack Russell Terrier
2022-23,2023-05-30,NARACOORTE LUCINDALE COUNCIL,3,Border Collie
2022-23,2023-05-30,NARACOORTE LUCINDALE COUNCIL,4,Labrador Retriever
2022-23,2023-05-30,NARACOORTE LUCINDALE COUNCIL,5,Australian Kelpie/Cross Breed
2022-23,2023-05-30,NORTHERN AREAS COUNCIL,1,Australian Kelpie
2022-23,2023-05-30,NORTHERN AREAS COUNCIL,2,Border Collie
2022-23,2023-05-30,NORTHERN AREAS COUNCIL,3,Jack Russell Terrier
2022-23,2023-05-30,NORTHERN AREAS COUNCIL,4,Labrador Retriever
2022-23,2023-05-30,NORTHERN AREAS COUNCIL,5,Australian Cattle Dog
2022-23,2023-05-30,OUTBACK COMMUNITIES AUTHORITY,1,Australian Kelpie
2022-23,2023-05-30,OUTBACK COMMUNITIES AUTHORITY,2,Australian Cattle Dog
2022-23,2023-05-30,OUTBACK COMMUNITIES AUTHORITY,3,Border Collie
2022-23,2023-05-30,OUTBACK COMMUNITIES AUTHORITY,4,Cross Breed
2022-23,2023-05-30,OUTBACK COMMUNITIES AUTHORITY,5,Jack Russell Terrier
2022-23,2023-05-30,PORT AUGUSTA CITY COUNCIL,1,Australian Cattle Dog
2022-23,2023-05-30,PORT AUGUSTA CITY COUNCIL,2,Maltese/Shih Tzu
2022-23,2023-05-30,PORT AUGUSTA CITY COUNCIL,3,Staffordshire Bull Terrier
2022-23,2023-05-30,PORT AUGUSTA CITY COUNCIL,4,Australian Kelpie
2022-23,2023-05-30,PORT AUGUSTA CITY COUNCIL,5,American Staffordshire Terrier
2022-23,2023-05-30,PORT PIRIE REGIONAL COUNCIL,1,Maltese/Cross Breed
2022-23,2023-05-30,PORT PIRIE REGIONAL COUNCIL,2,Australian Kelpie
2022-23,2023-05-30,PORT PIRIE REGIONAL COUNCIL,3,Staffordshire Bull Terrier
2022-23,2023-05-30,PORT PIRIE REGIONAL COUNCIL,4,Border Collie
2022-23,2023-05-30,PORT PIRIE REGIONAL COUNCIL,5,American Staffordshire Terrier
2022-23,2023-05-30,RENMARK PARINGA COUNCIL,1,Border Collie
2022-23,2023-05-30,RENMARK PARINGA COUNCIL,2,American Staffordshire Terrier
2022-23,2023-05-30,RENMARK PARINGA COUNCIL,3,Australian Kelpie
2022-23,2023-05-30,RENMARK PARINGA COUNCIL,4,Staffordshire Bull Terrier
2022-23,2023-05-30,RENMARK PARINGA COUNCIL,5,Maltese/Cross Breed
2022-23,2023-05-30,SOUTHERN MALLEE DC,1,Australian Kelpie
2022-23,2023-05-30,SOUTHERN MALLEE DC,2,Border Collie
2022-23,2023-05-30,SOUTHERN MALLEE DC,3,Jack Russell Terrier
2022-23,2023-05-30,SOUTHERN MALLEE DC,4,Australian Kelpie/Border Collie
2022-23,2023-05-30,SOUTHERN MALLEE DC,5,Maltese/Cross Breed
2022-23,2023-05-30,TATIARA DC,1,Australian Kelpie
2022-23,2023-05-30,TATIARA DC,2,Border Collie
2022-23,2023-05-30,TATIARA DC,3,Jack Russell Terrier
2022-23,2023-05-30,TATIARA DC,4,Labrador Retriever
2022-23,2023-05-30,TATIARA DC,5,Golden Retriever
2022-23,2023-05-30,THE BAROSSA COUNCIL,1,Australian Kelpie
2022-23,2023-05-30,THE BAROSSA COUNCIL,2,Border Collie
2022-23,2023-05-30,THE BAROSSA COUNCIL,3,Labrador Retriever
2022-23,2023-05-30,THE BAROSSA COUNCIL,4,Maltese/Cross Breed
2022-23,2023-05-30,THE BAROSSA COUNCIL,5,Jack Russell Terrier
2022-23,2023-05-30,THE BERRI BARMERA COUNCIL,1,Maltese/Cross Breed
2022-23,2023-05-30,THE BERRI BARMERA COUNCIL,2,Border Collie
2022-23,2023-05-30,THE BERRI BARMERA COUNCIL,3,Australian Kelpie
2022-23,2023-05-30,THE BERRI BARMERA COUNCIL,4,Australian Cattle Dog
2022-23,2023-05-30,THE BERRI BARMERA COUNCIL,5,Jack Russell Terrier
2022-23,2023-05-30,THE CITY OF NORWOOD PAYNEHAM AND ST PETERS,1,Labrador Retriever
2022-23,2023-05-30,THE CITY OF NORWOOD PAYNEHAM AND ST PETERS,2,Maltese
2022-23,2023-05-30,THE CITY OF NORWOOD PAYNEHAM AND ST PETERS,3,Border Collie
2022-23,2023-05-30,THE CITY OF NORWOOD PAYNEHAM AND ST PETERS,4,Cavalier King Charles Spaniel
2022-23,2023-05-30,THE CITY OF NORWOOD PAYNEHAM AND ST PETERS,5,Golden Retriever
2022-23,2023-05-30,THE CORPORATION OF THE CITY OF WHYALLA,1,Maltese/Cross Breed
2022-23,2023-05-30,THE CORPORATION OF THE CITY OF WHYALLA,2,Staffordshire Bull Terrier
2022-23,2023-05-30,THE CORPORATION OF THE CITY OF WHYALLA,3,American Staffordshire Terrier
2022-23,2023-05-30,THE CORPORATION OF THE CITY OF WHYALLA,4,Staffordshire Bull Terrier/Cross Breed
2022-23,2023-05-30,THE CORPORATION OF THE CITY OF WHYALLA,5,Australian Kelpie
2022-23,2023-05-30,THE CORPORATION OF THE TOWN OF WALKERVILLE,1,Labrador Retriever
2022-23,2023-05-30,THE CORPORATION OF THE TOWN OF WALKERVILLE,2,Golden Retriever
2022-23,2023-05-30,THE CORPORATION OF THE TOWN OF WALKERVILLE,3,Maltese/Cross Breed
2022-23,2023-05-30,THE CORPORATION OF THE TOWN OF WALKERVILLE,4,Labrador Retriever/Poodle (Standard)
2022-23,2023-05-30,THE CORPORATION OF THE TOWN OF WALKERVILLE,5,Border Collie
2022-23,2023-05-30,THE DC OF CEDUNA,1,Australian Kelpie
2022-23,2023-05-30,THE DC OF CEDUNA,2,Border Collie
2022-23,2023-05-30,THE DC OF CEDUNA,3,Jack Russell Terrier
2022-23,2023-05-30,THE DC OF CEDUNA,4,Labrador Retriever
2022-23,2023-05-30,THE DC OF CEDUNA,5,Staffordshire Bull Terrier
2022-23,2023-05-30,THE DC OF COOBER PEDY,1,Cross Breed
2022-23,2023-05-30,THE DC OF COOBER PEDY,2,Australian Cattle Dog
2022-23,2023-05-30,THE DC OF COOBER PEDY,3,Staffordshire Bull Terrier
2022-23,2023-05-30,THE DC OF COOBER PEDY,4,Australian Kelpie
2022-23,2023-05-30,THE DC OF COOBER PEDY,5,Australian Kelpie/Cross Breed
2022-23,2023-05-30,THE DC OF FRANKLIN HARBOUR,1,Australian Kelpie
2022-23,2023-05-30,THE DC OF FRANKLIN HARBOUR,2,Border Collie
2022-23,2023-05-30,THE DC OF FRANKLIN HARBOUR,3,Australian Cattle Dog
2022-23,2023-05-30,THE DC OF FRANKLIN HARBOUR,4,Staffordshire Bull Terrier
2022-23,2023-05-30,THE DC OF FRANKLIN HARBOUR,5,Jack Russell Terrier
2022-23,2023-05-30,THE DC OF GRANT,1,Australian Kelpie
2022-23,2023-05-30,THE DC OF GRANT,2,Border Collie
2022-23,2023-05-30,THE DC OF GRANT,3,Labrador Retriever
2022-23,2023-05-30,THE DC OF GRANT,4,Jack Russell Terrier
2022-23,2023-05-30,THE DC OF GRANT,5,Australian Kelpie/Cross Breed
2022-23,2023-05-30,THE DC OF KAROONDA EAST MURRAY,1,Australian Kelpie
2022-23,2023-05-30,THE DC OF KAROONDA EAST MURRAY,2,Border Collie
2022-23,2023-05-30,THE DC OF KAROONDA EAST MURRAY,3,Jack Russell Terrier
2022-23,2023-05-30,THE DC OF KAROONDA EAST MURRAY,4,Australian Kelpie/Border Collie
2022-23,2023-05-30,THE DC OF KAROONDA EAST MURRAY,5,Maremma Sheepdog
2022-23,2023-05-30,THE DC OF KIMBA,1,Australian Kelpie
2022-23,2023-05-30,THE DC OF KIMBA,2,Border Collie
2022-23,2023-05-30,THE DC OF KIMBA,3,Jack Russell Terrier
2022-23,2023-05-30,THE DC OF KIMBA,4,Labrador Retriever
2022-23,2023-05-30,THE DC OF KIMBA,5,Maltese/Shih Tzu
2022-23,2023-05-30,THE DC OF LOWER EYRE PENINSULA,1,Australian Kelpie
2022-23,2023-05-30,THE DC OF LOWER EYRE PENINSULA,2,Border Collie
2022-23,2023-05-30,THE DC OF LOWER EYRE PENINSULA,3,Labrador Retriever
2022-23,2023-05-30,THE DC OF LOWER EYRE PENINSULA,4,Australian Kelpie/Border Collie
2022-23,2023-05-30,THE DC OF LOWER EYRE PENINSULA,5,Australian Cattle Dog
2022-23,2023-05-30,THE DC OF LOXTON WAIKERIE,1,Australian Kelpie
2022-23,2023-05-30,THE DC OF LOXTON WAIKERIE,2,Border Collie
2022-23,2023-05-30,THE DC OF LOXTON WAIKERIE,3,Labrador Retriever
2022-23,2023-05-30,THE DC OF LOXTON WAIKERIE,4,Australian Cattle Dog
2022-23,2023-05-30,THE DC OF LOXTON WAIKERIE,5,Staffordshire Bull Terrier
2022-23,2023-05-30,THE DC OF MOUNT REMARKABLE,1,Australian Kelpie
2022-23,2023-05-30,THE DC OF MOUNT REMARKABLE,2,Border Collie
2022-23,2023-05-30,THE DC OF MOUNT REMARKABLE,3,Jack Russell Terrier
2022-23,2023-05-30,THE DC OF MOUNT REMARKABLE,4,Australian Cattle Dog
2022-23,2023-05-30,THE DC OF MOUNT REMARKABLE,5,Maltese
2022-23,2023-05-30,THE DC OF ORROROO CARRIETON,1,Australian Kelpie
2022-23,2023-05-30,THE DC OF ORROROO CARRIETON,2,Border Collie
2022-23,2023-05-30,THE DC OF ORROROO CARRIETON,3,Jack Russell Terrier
2022-23,2023-05-30,THE DC OF ORROROO CARRIETON,4,Staffordshire Bull Terrier
2022-23,2023-05-30,THE DC OF ORROROO CARRIETON,5,German Shepherd Dog
2022-23,2023-05-30,THE DC OF PETERBOROUGH,1,Australian Kelpie
2022-23,2023-05-30,THE DC OF PETERBOROUGH,2,Australian Cattle Dog
2022-23,2023-05-30,THE DC OF PETERBOROUGH,3,American Staffordshire Terrier
2022-23,2023-05-30,THE DC OF PETERBOROUGH,4,Staffordshire Bull Terrier
2022-23,2023-05-30,THE DC OF PETERBOROUGH,5,Australian Kelpie/Cross Breed
2022-23,2023-05-30,THE DC OF STREAKY BAY,1,Australian Kelpie
2022-23,2023-05-30,THE DC OF STREAKY BAY,2,Border Collie
2022-23,2023-05-30,THE DC OF STREAKY BAY,3,Jack Russell Terrier
2022-23,2023-05-30,THE DC OF STREAKY BAY,4,Staffordshire Bull Terrier
2022-23,2023-05-30,THE DC OF STREAKY BAY,5,Australian Kelpie/Border Collie
2022-23,2023-05-30,THE DC OF TUMBY BAY,1,Australian Kelpie
2022-23,2023-05-30,THE DC OF TUMBY BAY,2,Border Collie
2022-23,2023-05-30,THE DC OF TUMBY BAY,3,Maltese
2022-23,2023-05-30,THE DC OF TUMBY BAY,4,Jack Russell Terrier
2022-23,2023-05-30,THE DC OF TUMBY BAY,5,Labrador Retriever
2022-23,2023-05-30,THE DC OF YANKALILLA,1,Australian Kelpie
2022-23,2023-05-30,THE DC OF YANKALILLA,2,Border Collie
2022-23,2023-05-30,THE DC OF YANKALILLA,3,Jack Russell Terrier
2022-23,2023-05-30,THE DC OF YANKALILLA,4,Labrador Retriever
2022-23,2023-05-30,THE DC OF YANKALILLA,5,American Staffordshire Terrier
2022-23,2023-05-30,THE FLINDERS RANGES COUNCIL,1,Australian Kelpie
2022-23,2023-05-30,THE FLINDERS RANGES COUNCIL,2,Australian Cattle Dog
2022-23,2023-05-30,THE FLINDERS RANGES COUNCIL,3,Border Collie
2022-23,2023-05-30,THE FLINDERS RANGES COUNCIL,4,Jack Russell Terrier
2022-23,2023-05-30,THE FLINDERS RANGES COUNCIL,5,Staffordshire Bull Terrier
2022-23,2023-05-30,THE REGIONAL COUNCIL OF GOYDER,1,Australian Kelpie
2022-23,2023-05-30,THE REGIONAL COUNCIL OF GOYDER,2,Border Collie
2022-23,2023-05-30,THE REGIONAL COUNCIL OF GOYDER,3,Jack Russell Terrier
2022-23,2023-05-30,THE REGIONAL COUNCIL OF GOYDER,4,Australian Cattle Dog
2022-23,2023-05-30,THE REGIONAL COUNCIL OF GOYDER,5,Australian Kelpie/Cross Breed
2022-23,2023-05-30,THE RURAL CITY OF MURRAY BRIDGE,1,Australian Kelpie
2022-23,2023-05-30,THE RURAL CITY OF MURRAY BRIDGE,2,Border Collie
2022-23,2023-05-30,THE RURAL CITY OF MURRAY BRIDGE,3,American Staffordshire Terrier
2022-23,2023-05-30,THE RURAL CITY OF MURRAY BRIDGE,4,Maltese/Shih Tzu
2022-23,2023-05-30,THE RURAL CITY OF MURRAY BRIDGE,5,Jack Russell Terrier
2022-23,2023-05-30,TOWN OF GAWLER,1,Maltese/Shih Tzu
2022-23,2023-05-30,TOWN OF GAWLER,2,Border Collie
2022-23,2023-05-30,TOWN OF GAWLER,3,American Staffordshire Terrier
2022-23,2023-05-30,TOWN OF GAWLER,4,Staffordshire Bull Terrier
2022-23,2023-05-30,TOWN OF GAWLER,5,Labrador Retriever
2022-23,2023-05-30,WAKEFIELD REGIONAL COUNCIL,1,Australian Kelpie
