table,table_title,reference_month,geography_level,geography,dwelling_type,series_type,unit,series_id,value
40,Value of residential building approved - states and territories,1974-01,state,Victoria,Total Residential,Seasonally Adjusted,$'000,A420026L,63278
40,Value of residential building approved - states and territories,1974-01,state,Queensland,Total Residential,Seasonally Adjusted,$'000,A420110C,35706
40,Value of residential building approved - states and territories,1974-01,state,South Australia,Total Residential,Seasonally Adjusted,$'000,A420197F,16764
40,Value of residential building approved - states and territories,1974-01,state,Western Australia,Total Residential,Seasonally Adjusted,$'000,A420281W,18371
40,Value of residential building approved - states and territories,1974-01,state,Australia,Total Residential,Seasonally Adjusted,$'000,A419853V,224036
40,Value of residential building approved - states and territories,1974-01,state,New South Wales,Total Residential,Trend,$'000,A419945C,74577
40,Value of residential building approved - states and territories,1974-01,state,Victoria,Total Residential,Trend,$'000,A420029V,55545
40,Value of residential building approved - states and territories,1974-01,state,Queensland,Total Residential,Trend,$'000,A420113K,39808
40,Value of residential building approved - states and territories,1974-01,state,South Australia,Total Residential,Trend,$'000,A420200J,19918
40,Value of residential building approved - states and territories,1974-01,state,Western Australia,Total Residential,Trend,$'000,A420284C,17645
40,Value of residential building approved - states and territories,1974-01,state,Australia,Total Residential,Trend,$'000,A419856A,223214
40,Value of residential building approved - states and territories,1974-02,state,New South Wales,Total Residential,Original,$'000,A419939J,64183
40,Value of residential building approved - states and territories,1974-02,state,Victoria,Total Residential,Original,$'000,A420023F,48268
40,Value of residential building approved - states and territories,1974-02,state,Queensland,Total Residential,Original,$'000,A420107R,33065
40,Value of residential building approved - states and territories,1974-02,state,South Australia,Total Residential,Original,$'000,A420194X,14342
40,Value of residential building approved - states and territories,1974-02,state,Western Australia,Total Residential,Original,$'000,A420278J,16610
40,Value of residential building approved - states and territories,1974-02,state,Tasmania,Total Residential,Original,$'000,A420356C,4675
40,Value of residential building approved - states and territories,1974-02,state,Northern Territory,Total Residential,Original,$'000,A420442X,2128
40,Value of residential building approved - states and territories,1974-02,state,Australian Capital Territory,Total Residential,Original,$'000,A420515A,8386
40,Value of residential building approved - states and territories,1974-02,state,Australia,Total Residential,Original,$'000,A419850L,191657
40,Value of residential building approved - states and territories,1974-02,state,New South Wales,Total Residential,Seasonally Adjusted,$'000,A419942W,75373
40,Value of residential building approved - states and territories,1974-02,state,Victoria,Total Residential,Seasonally Adjusted,$'000,A420026L,53330
40,Value of residential building approved - states and territories,1974-02,state,Queensland,Total Residential,Seasonally Adjusted,$'000,A420110C,37308
40,Value of residential building approved - states and territories,1974-02,state,South Australia,Total Residential,Seasonally Adjusted,$'000,A420197F,17916
40,Value of residential building approved - states and territories,1974-02,state,Western Australia,Total Residential,Seasonally Adjusted,$'000,A420281W,17963
40,Value of residential building approved - states and territories,1974-02,state,Australia,Total Residential,Seasonally Adjusted,$'000,A419853V,216913
40,Value of residential building approved - states and territories,1974-02,state,New South Wales,Total Residential,Trend,$'000,A419945C,73046
40,Value of residential building approved - states and territories,1974-02,state,Victoria,Total Residential,Trend,$'000,A420029V,53697
40,Value of residential building approved - states and territories,1974-02,state,Queensland,Total Residential,Trend,$'000,A420113K,39116
40,Value of residential building approved - states and territories,1974-02,state,South Australia,Total Residential,Trend,$'000,A420200J,18904
40,Value of residential building approved - states and territories,1974-02,state,Western Australia,Total Residential,Trend,$'000,A420284C,17184
40,Value of residential building approved - states and territories,1974-02,state,Australia,Total Residential,Trend,$'000,A419856A,219426
40,Value of residential building approved - states and territories,1974-03,state,New South Wales,Total Residential,Original,$'000,A419939J,68172
40,Value of residential building approved - states and territories,1974-03,state,Victoria,Total Residential,Original,$'000,A420023F,46907
40,Value of residential building approved - states and territories,1974-03,state,Queensland,Total Residential,Original,$'000,A420107R,47367
40,Value of residential building approved - states and territories,1974-03,state,South Australia,Total Residential,Original,$'000,A420194X,19049
40,Value of residential building approved - states and territories,1974-03,state,Western Australia,Total Residential,Original,$'000,A420278J,15318
40,Value of residential building approved - states and territories,1974-03,state,Tasmania,Total Residential,Original,$'000,A420356C,5617
40,Value of residential building approved - states and territories,1974-03,state,Northern Territory,Total Residential,Original,$'000,A420442X,4055
40,Value of residential building approved - states and territories,1974-03,state,Australian Capital Territory,Total Residential,Original,$'000,A420515A,7899
40,Value of residential building approved - states and territories,1974-03,state,Australia,Total Residential,Original,$'000,A419850L,214384
40,Value of residential building approved - states and territories,1974-03,state,New South Wales,Total Residential,Seasonally Adjusted,$'000,A419942W,69249
40,Value of residential building approved - states and territories,1974-03,state,Victoria,Total Residential,Seasonally Adjusted,$'000,A420026L,44548
40,Value of residential building approved - states and territories,1974-03,state,Queensland,Total Residential,Seasonally Adjusted,$'000,A420110C,43950
40,Value of residential building approved - states and territories,1974-03,state,South Australia,Total Residential,Seasonally Adjusted,$'000,A420197F,20213
40,Value of residential building approved - states and territories,1974-03,state,Western Australia,Total Residential,Seasonally Adjusted,$'000,A420281W,15035
40,Value of residential building approved - states and territories,1974-03,state,Australia,Total Residential,Seasonally Adjusted,$'000,A419853V,210479
40,Value of residential building approved - states and territories,1974-03,state,New South Wales,Total Residential,Trend,$'000,A419945C,72549
40,Value of residential building approved - states and territories,1974-03,state,Victoria,Total Residential,Trend,$'000,A420029V,52191
40,Value of residential building approved - states and territories,1974-03,state,Queensland,Total Residential,Trend,$'000,A420113K,38652
40,Value of residential building approved - states and territories,1974-03,state,South Australia,Total Residential,Trend,$'000,A420200J,17900
40,Value of residential building approved - states and territories,1974-03,state,Western Australia,Total Residential,Trend,$'000,A420284C,17087
40,Value of residential building approved - states and territories,1974-03,state,Australia,Total Residential,Trend,$'000,A419856A,217331
40,Value of residential building approved - states and territories,1974-04,state,New South Wales,Total Residential,Original,$'000,A419939J,70267
40,Value of residential building approved - states and territories,1974-04,state,Victoria,Total Residential,Original,$'000,A420023F,49330
40,Value of residential building approved - states and territories,1974-04,state,Queensland,Total Residential,Original,$'000,A420107R,34853
40,Value of residential building approved - states and territories,1974-04,state,South Australia,Total Residential,Original,$'000,A420194X,16975
40,Value of residential building approved - states and territories,1974-04,state,Western Australia,Total Residential,Original,$'000,A420278J,24063
40,Value of residential building approved - states and territories,1974-04,state,Tasmania,Total Residential,Original,$'000,A420356C,5028
40,Value of residential building approved - states and territories,1974-04,state,Northern Territory,Total Residential,Original,$'000,A420442X,2927
40,Value of residential building approved - states and territories,1974-04,state,Australian Capital Territory,Total Residential,Original,$'000,A420515A,8417
40,Value of residential building approved - states and territories,1974-04,state,Australia,Total Residential,Original,$'000,A419850L,211860
40,Value of residential building approved - states and territories,1974-04,state,New South Wales,Total Residential,Seasonally Adjusted,$'000,A419942W,72727
40,Value of residential building approved - states and territories,1974-04,state,Victoria,Total Residential,Seasonally Adjusted,$'000,A420026L,50554
40,Value of residential building approved - states and territories,1974-04,state,Queensland,Total Residential,Seasonally Adjusted,$'000,A420110C,35929
40,Value of residential building approved - states and territories,1974-04,state,South Australia,Total Residential,Seasonally Adjusted,$'000,A420197F,18031
40,Value of residential building approved - states and territories,1974-04,state,Western Australia,Total Residential,Seasonally Adjusted,$'000,A420281W,25938
40,Value of residential building approved - states and territories,1974-04,state,Australia,Total Residential,Seasonally Adjusted,$'000,A419853V,219530
40,Value of residential building approved - states and territories,1974-04,state,New South Wales,Total Residential,Trend,$'000,A419945C,72196
40,Value of residential building approved - states and territories,1974-04,state,Victoria,Total Residential,Trend,$'000,A420029V,51134
40,Value of residential building approved - states and territories,1974-04,state,Queensland,Total Residential,Trend,$'000,A420113K,37836
40,Value of residential building approved - states and territories,1974-04,state,South Australia,Total Residential,Trend,$'000,A420200J,17181
40,Value of residential building approved - states and territories,1974-04,state,Western Australia,Total Residential,Trend,$'000,A420284C,17123
40,Value of residential building approved - states and territories,1974-04,state,Australia,Total Residential,Trend,$'000,A419856A,215003
40,Value of residential building approved - states and territories,1974-05,state,New South Wales,Total Residential,Original,$'000,A419939J,81437
40,Value of residential building approved - states and territories,1974-05,state,Victoria,Total Residential,Original,$'000,A420023F,57924
40,Value of residential building approved - states and territories,1974-05,state,Queensland,Total Residential,Original,$'000,A420107R,42231
40,Value of residential building approved - states and territories,1974-05,state,South Australia,Total Residential,Original,$'000,A420194X,13339
40,Value of residential building approved - states and territories,1974-05,state,Western Australia,Total Residential,Original,$'000,A420278J,22936
40,Value of residential building approved - states and territories,1974-05,state,Tasmania,Total Residential,Original,$'000,A420356C,5709
40,Value of residential building approved - states and territories,1974-05,state,Northern Territory,Total Residential,Original,$'000,A420442X,6516
40,Value of residential building approved - states and territories,1974-05,state,Australian Capital Territory,Total Residential,Original,$'000,A420515A,8216
40,Value of residential building approved - states and territories,1974-05,state,Australia,Total Residential,Original,$'000,A419850L,238308
40,Value of residential building approved - states and territories,1974-05,state,New South Wales,Total Residential,Seasonally Adjusted,$'000,A419942W,72857
40,Value of residential building approved - states and territories,1974-05,state,Victoria,Total Residential,Seasonally Adjusted,$'000,A420026L,50951
40,Value of residential building approved - states and territories,1974-05,state,Queensland,Total Residential,Seasonally Adjusted,$'000,A420110C,38336
40,Value of residential building approved - states and territories,1974-05,state,South Australia,Total Residential,Seasonally Adjusted,$'000,A420197F,13205
40,Value of residential building approved - states and territories,1974-05,state,Western Australia,Total Residential,Seasonally Adjusted,$'000,A420281W,18669
40,Value of residential building approved - states and territories,1974-05,state,Australia,Total Residential,Seasonally Adjusted,$'000,A419853V,213547
40,Value of residential building approved - states and territories,1974-05,state,New South Wales,Total Residential,Trend,$'000,A419945C,71109
40,Value of residential building approved - states and territories,1974-05,state,Victoria,Total Residential,Trend,$'000,A420029V,50427
40,Value of residential building approved - states and territories,1974-05,state,Queensland,Total Residential,Trend,$'000,A420113K,36032
40,Value of residential building approved - states and territories,1974-05,state,South Australia,Total Residential,Trend,$'000,A420200J,16738
40,Value of residential building approved - states and territories,1974-05,state,Western Australia,Total Residential,Trend,$'000,A420284C,17013
40,Value of residential building approved - states and territories,1974-05,state,Australia,Total Residential,Trend,$'000,A419856A,210285
40,Value of residential building approved - states and territories,1974-06,state,New South Wales,Total Residential,Original,$'000,A419939J,69954
40,Value of residential building approved - states and territories,1974-06,state,Victoria,Total Residential,Original,$'000,A420023F,54238
40,Value of residential building approved - states and territories,1974-06,state,Queensland,Total Residential,Original,$'000,A420107R,32949
40,Value of residential building approved - states and territories,1974-06,state,South Australia,Total Residential,Original,$'000,A420194X,21161
40,Value of residential building approved - states and territories,1974-06,state,Western Australia,Total Residential,Original,$'000,A420278J,17974
40,Value of residential building approved - states and territories,1974-06,state,Tasmania,Total Residential,Original,$'000,A420356C,4795
40,Value of residential building approved - states and territories,1974-06,state,Northern Territory,Total Residential,Original,$'000,A420442X,4978
40,Value of residential building approved - states and territories,1974-06,state,Australian Capital Territory,Total Residential,Original,$'000,A420515A,6612
40,Value of residential building approved - states and territories,1974-06,state,Australia,Total Residential,Original,$'000,A419850L,212661
40,Value of residential building approved - states and territories,1974-06,state,New South Wales,Total Residential,Seasonally Adjusted,$'000,A419942W,64513
40,Value of residential building approved - states and territories,1974-06,state,Victoria,Total Residential,Seasonally Adjusted,$'000,A420026L,55262
40,Value of residential building approved - states and territories,1974-06,state,Queensland,Total Residential,Seasonally Adjusted,$'000,A420110C,32064
40,Value of residential building approved - states and territories,1974-06,state,South Australia,Total Residential,Seasonally Adjusted,$'000,A420197F,16990
