table,table_title,reference_month,geography_level,geography,dwelling_type,series_type,unit,series_id,value
07,Total number of dwelling units approved - states and territories,1983-11,state,Tasmania,,Trend,Number,A422675X,293
07,Total number of dwelling units approved - states and territories,1983-11,state,Northern Territory,,Trend,Number,A422775J,187
07,Total number of dwelling units approved - states and territories,1983-11,state,Australian Capital Territory,,Trend,Number,A422872K,159
07,Total number of dwelling units approved - states and territories,1983-12,state,New South Wales,,Original,Number,A422166A,3762
07,Total number of dwelling units approved - states and territories,1983-12,state,Victoria,,Original,Number,A422266K,2825
07,Total number of dwelling units approved - states and territories,1983-12,state,Queensland,,Original,Number,A422366V,2328
07,Total number of dwelling units approved - states and territories,1983-12,state,South Australia,,Original,Number,A422466C,1062
07,Total number of dwelling units approved - states and territories,1983-12,state,Western Australia,,Original,Number,A422566L,1415
07,Total number of dwelling units approved - states and territories,1983-12,state,Tasmania,,Original,Number,A422666W,282
07,Total number of dwelling units approved - states and territories,1983-12,state,Northern Territory,,Original,Number,A422766F,214
07,Total number of dwelling units approved - states and territories,1983-12,state,Australian Capital Territory,,Original,Number,A422863J,160
07,Total number of dwelling units approved - states and territories,1983-12,state,New South Wales,,Seasonally Adjusted,Number,A422172W,4244
07,Total number of dwelling units approved - states and territories,1983-12,state,Victoria,,Seasonally Adjusted,Number,A422272F,2960
07,Total number of dwelling units approved - states and territories,1983-12,state,Queensland,,Seasonally Adjusted,Number,A422372R,2438
07,Total number of dwelling units approved - states and territories,1983-12,state,South Australia,,Seasonally Adjusted,Number,A422472X,1021
07,Total number of dwelling units approved - states and territories,1983-12,state,Western Australia,,Seasonally Adjusted,Number,A422572J,1482
07,Total number of dwelling units approved - states and territories,1983-12,state,Tasmania,,Seasonally Adjusted,Number,A422672T,315
07,Total number of dwelling units approved - states and territories,1983-12,state,New South Wales,,Trend,Number,A422174A,3700
07,Total number of dwelling units approved - states and territories,1983-12,state,Victoria,,Trend,Number,A422274K,2909
07,Total number of dwelling units approved - states and territories,1983-12,state,Queensland,,Trend,Number,A422374V,2833
07,Total number of dwelling units approved - states and territories,1983-12,state,South Australia,,Trend,Number,A422474C,1079
07,Total number of dwelling units approved - states and territories,1983-12,state,Western Australia,,Trend,Number,A422574L,1420
07,Total number of dwelling units approved - states and territories,1983-12,state,Tasmania,,Trend,Number,A422675X,299
07,Total number of dwelling units approved - states and territories,1983-12,state,Northern Territory,,Trend,Number,A422775J,193
07,Total number of dwelling units approved - states and territories,1983-12,state,Australian Capital Territory,,Trend,Number,A422872K,172
07,Total number of dwelling units approved - states and territories,1984-01,state,New South Wales,,Original,Number,A422166A,2921
07,Total number of dwelling units approved - states and territories,1984-01,state,Victoria,,Original,Number,A422266K,2258
07,Total number of dwelling units approved - states and territories,1984-01,state,Queensland,,Original,Number,A422366V,2327
07,Total number of dwelling units approved - states and territories,1984-01,state,South Australia,,Original,Number,A422466C,910
07,Total number of dwelling units approved - states and territories,1984-01,state,Western Australia,,Original,Number,A422566L,1059
07,Total number of dwelling units approved - states and territories,1984-01,state,Tasmania,,Original,Number,A422666W,183
07,Total number of dwelling units approved - states and territories,1984-01,state,Northern Territory,,Original,Number,A422766F,155
07,Total number of dwelling units approved - states and territories,1984-01,state,Australian Capital Territory,,Original,Number,A422863J,111
07,Total number of dwelling units approved - states and territories,1984-01,state,New South Wales,,Seasonally Adjusted,Number,A422172W,3633
07,Total number of dwelling units approved - states and territories,1984-01,state,Victoria,,Seasonally Adjusted,Number,A422272F,2732
07,Total number of dwelling units approved - states and territories,1984-01,state,Queensland,,Seasonally Adjusted,Number,A422372R,2659
07,Total number of dwelling units approved - states and territories,1984-01,state,South Australia,,Seasonally Adjusted,Number,A422472X,1031
07,Total number of dwelling units approved - states and territories,1984-01,state,Western Australia,,Seasonally Adjusted,Number,A422572J,1289
07,Total number of dwelling units approved - states and territories,1984-01,state,Tasmania,,Seasonally Adjusted,Number,A422672T,218
07,Total number of dwelling units approved - states and territories,1984-01,state,New South Wales,,Trend,Number,A422174A,3729
07,Total number of dwelling units approved - states and territories,1984-01,state,Victoria,,Trend,Number,A422274K,2950
07,Total number of dwelling units approved - states and territories,1984-01,state,Queensland,,Trend,Number,A422374V,2953
