table,table_title,reference_month,geography_level,geography,dwelling_type,series_type,unit,series_id,value
07,Total number of dwelling units approved - states and territories,1987-06,state,South Australia,,Seasonally Adjusted,Number,A422472X,698
07,Total number of dwelling units approved - states and territories,1987-06,state,South Australia,,Trend,Number,A422474C,704
07,Total number of dwelling units approved - states and territories,1987-07,state,South Australia,,Original,Number,A422466C,762
07,Total number of dwelling units approved - states and territories,1987-07,state,South Australia,,Seasonally Adjusted,Number,A422472X,745
07,Total number of dwelling units approved - states and territories,1987-07,state,South Australia,,Trend,Number,A422474C,714
07,Total number of dwelling units approved - states and territories,1987-08,state,South Australia,,Original,Number,A422466C,769
07,Total number of dwelling units approved - states and territories,1987-08,state,South Australia,,Seasonally Adjusted,Number,A422472X,778
07,Total number of dwelling units approved - states and territories,1987-08,state,South Australia,,Trend,Number,A422474C,710
07,Total number of dwelling units approved - states and territories,1987-09,state,South Australia,,Original,Number,A422466C,728
07,Total number of dwelling units approved - states and territories,1987-09,state,South Australia,,Seasonally Adjusted,Number,A422472X,705
07,Total number of dwelling units approved - states and territories,1987-09,state,South Australia,,Trend,Number,A422474C,703
07,Total number of dwelling units approved - states and territories,1987-10,state,South Australia,,Original,Number,A422466C,587
07,Total number of dwelling units approved - states and territories,1987-10,state,South Australia,,Seasonally Adjusted,Number,A422472X,607
07,Total number of dwelling units approved - states and territories,1987-10,state,South Australia,,Trend,Number,A422474C,698
07,Total number of dwelling units approved - states and territories,1987-11,state,South Australia,,Original,Number,A422466C,754
07,Total number of dwelling units approved - states and territories,1987-11,state,South Australia,,Seasonally Adjusted,Number,A422472X,719
07,Total number of dwelling units approved - states and territories,1987-11,state,South Australia,,Trend,Number,A422474C,703
07,Total number of dwelling units approved - states and territories,1987-12,state,South Australia,,Original,Number,A422466C,693
07,Total number of dwelling units approved - states and territories,1987-12,state,South Australia,,Seasonally Adjusted,Number,A422472X,674
07,Total number of dwelling units approved - states and territories,1987-12,state,South Australia,,Trend,Number,A422474C,721
07,Total number of dwelling units approved - states and territories,1988-01,state,South Australia,,Original,Number,A422466C,618
07,Total number of dwelling units approved - states and territories,1988-01,state,South Australia,,Seasonally Adjusted,Number,A422472X,800
07,Total number of dwelling units approved - states and territories,1988-01,state,South Australia,,Trend,Number,A422474C,747
07,Total number of dwelling units approved - states and territories,1988-02,state,South Australia,,Original,Number,A422466C,710
07,Total number of dwelling units approved - states and territories,1988-02,state,South Australia,,Seasonally Adjusted,Number,A422472X,811
07,Total number of dwelling units approved - states and territories,1988-02,state,South Australia,,Trend,Number,A422474C,771
07,Total number of dwelling units approved - states and territories,1988-03,state,South Australia,,Original,Number,A422466C,837
07,Total number of dwelling units approved - states and territories,1988-03,state,South Australia,,Seasonally Adjusted,Number,A422472X,752
07,Total number of dwelling units approved - states and territories,1988-03,state,South Australia,,Trend,Number,A422474C,786
07,Total number of dwelling units approved - states and territories,1988-04,state,South Australia,,Original,Number,A422466C,819
07,Total number of dwelling units approved - states and territories,1988-04,state,South Australia,,Seasonally Adjusted,Number,A422472X,848
07,Total number of dwelling units approved - states and territories,1988-04,state,South Australia,,Trend,Number,A422474C,796
07,Total number of dwelling units approved - states and territories,1988-05,state,South Australia,,Original,Number,A422466C,808
07,Total number of dwelling units approved - states and territories,1988-05,state,South Australia,,Seasonally Adjusted,Number,A422472X,764
07,Total number of dwelling units approved - states and territories,1988-05,state,South Australia,,Trend,Number,A422474C,811
07,Total number of dwelling units approved - states and territories,1988-06,state,South Australia,,Original,Number,A422466C,924
07,Total number of dwelling units approved - states and territories,1988-06,state,South Australia,,Seasonally Adjusted,Number,A422472X,786
07,Total number of dwelling units approved - states and territories,1988-06,state,South Australia,,Trend,Number,A422474C,839
07,Total number of dwelling units approved - states and territories,1988-07,state,South Australia,,Original,Number,A422466C,666
07,Total number of dwelling units approved - states and territories,1988-07,state,South Australia,,Seasonally Adjusted,Number,A422472X,694
07,Total number of dwelling units approved - states and territories,1988-07,state,South Australia,,Trend,Number,A422474C,880
07,Total number of dwelling units approved - states and territories,1988-08,state,South Australia,,Original,Number,A422466C,998
07,Total number of dwelling units approved - states and territories,1988-08,state,South Australia,,Seasonally Adjusted,Number,A422472X,956
07,Total number of dwelling units approved - states and territories,1988-08,state,South Australia,,Trend,Number,A422474C,923
07,Total number of dwelling units approved - states and territories,1988-09,state,South Australia,,Original,Number,A422466C,1011
07,Total number of dwelling units approved - states and territories,1988-09,state,South Australia,,Seasonally Adjusted,Number,A422472X,972
07,Total number of dwelling units approved - states and territories,1988-09,state,South Australia,,Trend,Number,A422474C,960
07,Total number of dwelling units approved - states and territories,1988-10,state,South Australia,,Original,Number,A422466C,941
07,Total number of dwelling units approved - states and territories,1988-10,state,South Australia,,Seasonally Adjusted,Number,A422472X,982
07,Total number of dwelling units approved - states and territories,1988-10,state,South Australia,,Trend,Number,A422474C,982
07,Total number of dwelling units approved - states and territories,1988-11,state,South Australia,,Original,Number,A422466C,1067
07,Total number of dwelling units approved - states and territories,1988-11,state,South Australia,,Seasonally Adjusted,Number,A422472X,1006
07,Total number of dwelling units approved - states and territories,1988-11,state,South Australia,,Trend,Number,A422474C,984
07,Total number of dwelling units approved - states and territories,1988-12,state,South Australia,,Original,Number,A422466C,938
07,Total number of dwelling units approved - states and territories,1988-12,state,South Australia,,Seasonally Adjusted,Number,A422472X,965
07,Total number of dwelling units approved - states and territories,1988-12,state,South Australia,,Trend,Number,A422474C,968
07,Total number of dwelling units approved - states and territories,1989-01,state,South Australia,,Original,Number,A422466C,745
07,Total number of dwelling units approved - states and territories,1989-01,state,South Australia,,Seasonally Adjusted,Number,A422472X,910
07,Total number of dwelling units approved - states and territories,1989-01,state,South Australia,,Trend,Number,A422474C,946
07,Total number of dwelling units approved - states and territories,1989-02,state,South Australia,,Original,Number,A422466C,874
07,Total number of dwelling units approved - states and territories,1989-02,state,South Australia,,Seasonally Adjusted,Number,A422472X,1032
07,Total number of dwelling units approved - states and territories,1989-02,state,South Australia,,Trend,Number,A422474C,934
07,Total number of dwelling units approved - states and territories,1989-03,state,South Australia,,Original,Number,A422466C,845
07,Total number of dwelling units approved - states and territories,1989-03,state,South Australia,,Seasonally Adjusted,Number,A422472X,790
07,Total number of dwelling units approved - states and territories,1989-03,state,South Australia,,Trend,Number,A422474C,936
07,Total number of dwelling units approved - states and territories,1989-04,state,South Australia,,Original,Number,A422466C,947
07,Total number of dwelling units approved - states and territories,1989-04,state,South Australia,,Seasonally Adjusted,Number,A422472X,985
07,Total number of dwelling units approved - states and territories,1989-04,state,South Australia,,Trend,Number,A422474C,950
07,Total number of dwelling units approved - states and territories,1989-05,state,South Australia,,Original,Number,A422466C,1030
07,Total number of dwelling units approved - states and territories,1989-05,state,South Australia,,Seasonally Adjusted,Number,A422472X,939
07,Total number of dwelling units approved - states and territories,1989-05,state,South Australia,,Trend,Number,A422474C,970
07,Total number of dwelling units approved - states and territories,1989-06,state,South Australia,,Original,Number,A422466C,1176
07,Total number of dwelling units approved - states and territories,1989-06,state,South Australia,,Seasonally Adjusted,Number,A422472X,1049
07,Total number of dwelling units approved - states and territories,1989-06,state,South Australia,,Trend,Number,A422474C,987
07,Total number of dwelling units approved - states and territories,1989-07,state,South Australia,,Original,Number,A422466C,1088
07,Total number of dwelling units approved - states and territories,1989-07,state,South Australia,,Seasonally Adjusted,Number,A422472X,1074
07,Total number of dwelling units approved - states and territories,1989-07,state,South Australia,,Trend,Number,A422474C,1000
07,Total number of dwelling units approved - states and territories,1989-08,state,South Australia,,Original,Number,A422466C,970
07,Total number of dwelling units approved - states and territories,1989-08,state,South Australia,,Seasonally Adjusted,Number,A422472X,915
07,Total number of dwelling units approved - states and territories,1989-08,state,South Australia,,Trend,Number,A422474C,1002
07,Total number of dwelling units approved - states and territories,1989-09,state,South Australia,,Original,Number,A422466C,952
07,Total number of dwelling units approved - states and territories,1989-09,state,South Australia,,Seasonally Adjusted,Number,A422472X,971
07,Total number of dwelling units approved - states and territories,1989-09,state,South Australia,,Trend,Number,A422474C,993
07,Total number of dwelling units approved - states and territories,1989-10,state,South Australia,,Original,Number,A422466C,959
07,Total number of dwelling units approved - states and territories,1989-10,state,South Australia,,Seasonally Adjusted,Number,A422472X,1000
07,Total number of dwelling units approved - states and territories,1989-10,state,South Australia,,Trend,Number,A422474C,981
07,Total number of dwelling units approved - states and territories,1989-11,state,South Australia,,Original,Number,A422466C,1071
07,Total number of dwelling units approved - states and territories,1989-11,state,South Australia,,Seasonally Adjusted,Number,A422472X,1013
07,Total number of dwelling units approved - states and territories,1989-11,state,South Australia,,Trend,Number,A422474C,972
07,Total number of dwelling units approved - states and territories,1989-12,state,South Australia,,Original,Number,A422466C,923
07,Total number of dwelling units approved - states and territories,1989-12,state,South Australia,,Seasonally Adjusted,Number,A422472X,996
07,Total number of dwelling units approved - states and territories,1989-12,state,South Australia,,Trend,Number,A422474C,962
