table,table_title,reference_month,geography_level,geography,dwelling_type,series_type,unit,series_id,value
41,Value of non-residential building approved - states and territories,1971-01,state,New South Wales,Total Non-residential,Seasonally Adjusted,$'000,A420673J,35838
41,Value of non-residential building approved - states and territories,1971-01,state,Victoria,Total Non-residential,Seasonally Adjusted,$'000,A420749T,22782
41,Value of non-residential building approved - states and territories,1971-01,state,Queensland,Total Non-residential,Seasonally Adjusted,$'000,A420822A,13993
41,Value of non-residential building approved - states and territories,1971-01,state,South Australia,Total Non-residential,Seasonally Adjusted,$'000,A420895R,10142
41,Value of non-residential building approved - states and territories,1971-01,state,Western Australia,Total Non-residential,Seasonally Adjusted,$'000,A420968T,9955
41,Value of non-residential building approved - states and territories,1971-01,state,New South Wales,Total Non-residential,Trend,$'000,A420674K,35044
41,Value of non-residential building approved - states and territories,1971-01,state,Victoria,Total Non-residential,Trend,$'000,A420750A,27391
41,Value of non-residential building approved - states and territories,1971-01,state,Queensland,Total Non-residential,Trend,$'000,A420823C,16240
41,Value of non-residential building approved - states and territories,1971-01,state,South Australia,Total Non-residential,Trend,$'000,A420896T,6410
41,Value of non-residential building approved - states and territories,1971-01,state,Western Australia,Total Non-residential,Trend,$'000,A420969V,14232
41,Value of non-residential building approved - states and territories,1971-02,state,New South Wales,Total Non-residential,Original,$'000,A420670A,24066
41,Value of non-residential building approved - states and territories,1971-02,state,Victoria,Total Non-residential,Original,$'000,A420746K,38828
41,Value of non-residential building approved - states and territories,1971-02,state,Queensland,Total Non-residential,Original,$'000,A420819L,19875
41,Value of non-residential building approved - states and territories,1971-02,state,South Australia,Total Non-residential,Original,$'000,A420892J,5164
41,Value of non-residential building approved - states and territories,1971-02,state,Western Australia,Total Non-residential,Original,$'000,A420965K,17084
41,Value of non-residential building approved - states and territories,1971-02,state,Tasmania,Total Non-residential,Original,$'000,A421038R,2092
41,Value of non-residential building approved - states and territories,1971-02,state,Northern Territory,Total Non-residential,Original,$'000,A421108K,1073
41,Value of non-residential building approved - states and territories,1971-02,state,Australian Capital Territory,Total Non-residential,Original,$'000,A421178T,841
41,Value of non-residential building approved - states and territories,1971-02,state,New South Wales,Total Non-residential,Seasonally Adjusted,$'000,A420673J,24066
41,Value of non-residential building approved - states and territories,1971-02,state,Victoria,Total Non-residential,Seasonally Adjusted,$'000,A420749T,42208
41,Value of non-residential building approved - states and territories,1971-02,state,Queensland,Total Non-residential,Seasonally Adjusted,$'000,A420822A,19875
41,Value of non-residential building approved - states and territories,1971-02,state,South Australia,Total Non-residential,Seasonally Adjusted,$'000,A420895R,5614
41,Value of non-residential building approved - states and territories,1971-02,state,Western Australia,Total Non-residential,Seasonally Adjusted,$'000,A420968T,18571
41,Value of non-residential building approved - states and territories,1971-02,state,New South Wales,Total Non-residential,Trend,$'000,A420674K,35275
41,Value of non-residential building approved - states and territories,1971-02,state,Victoria,Total Non-residential,Trend,$'000,A420750A,27652
41,Value of non-residential building approved - states and territories,1971-02,state,Queensland,Total Non-residential,Trend,$'000,A420823C,14964
41,Value of non-residential building approved - states and territories,1971-02,state,South Australia,Total Non-residential,Trend,$'000,A420896T,7126
41,Value of non-residential building approved - states and territories,1971-02,state,Western Australia,Total Non-residential,Trend,$'000,A420969V,13404
41,Value of non-residential building approved - states and territories,1971-03,state,New South Wales,Total Non-residential,Original,$'000,A420670A,38084
