disease_condition,week_ending,notification_count
Leprosy,2026-05-30,0
Leprosy,2026-06-06,0
Leprosy,2026-06-13,0
Leprosy,2026-06-20,0
Leprosy,2026-06-27,0
Leprosy,2026-07-04,0
Leptospirosis,2026-05-16,0
Leptospirosis,2026-05-23,0
Leptospirosis,2026-05-30,1
Leptospirosis,2026-06-06,0
Leptospirosis,2026-06-13,0
Leptospirosis,2026-06-20,0
Leptospirosis,2026-06-27,0
Leptospirosis,2026-07-04,0
Listeria,2026-05-16,0
Listeria,2026-05-23,0
Listeria,2026-05-30,0
Listeria,2026-06-06,0
Listeria,2026-06-13,0
Listeria,2026-06-20,0
Listeria,2026-06-27,0
Listeria,2026-07-04,0
Malaria,2026-05-16,0
Malaria,2026-05-23,0
Malaria,2026-05-30,1
Malaria,2026-06-06,2
Malaria,2026-06-13,0
Malaria,2026-06-20,0
Malaria,2026-06-27,0
Malaria,2026-07-04,0
Measles,2026-05-16,0
Measles,2026-05-23,0
Measles,2026-05-30,0
Measles,2026-06-06,0
Measles,2026-06-13,0
Measles,2026-06-20,0
Measles,2026-06-27,0
Measles,2026-07-04,0
"Meningococcal disease, Invasive",2026-05-16,1
"Meningococcal disease, Invasive",2026-05-23,0
"Meningococcal disease, Invasive",2026-05-30,0
"Meningococcal disease, Invasive",2026-06-06,0
"Meningococcal disease, Invasive",2026-06-13,0
"Meningococcal disease, Invasive",2026-06-20,1
"Meningococcal disease, Invasive",2026-06-27,1
"Meningococcal disease, Invasive",2026-07-04,0
Mpox,2026-05-16,1
Mpox,2026-05-23,2
Mpox,2026-05-30,0
Mpox,2026-06-06,1
Mpox,2026-06-13,0
Mpox,2026-06-20,0
Mpox,2026-06-27,0
Mpox,2026-07-04,0
Mumps,2026-05-16,0
Mumps,2026-05-23,0
Mumps,2026-05-30,0
Mumps,2026-06-06,0
Mumps,2026-06-13,1
Mumps,2026-06-20,0
Mumps,2026-06-27,0
Mumps,2026-07-04,0
Murray Valley encephalitis,2026-05-16,0
Murray Valley encephalitis,2026-05-23,0
Murray Valley encephalitis,2026-05-30,0
Murray Valley encephalitis,2026-06-06,0
Murray Valley encephalitis,2026-06-13,0
Murray Valley encephalitis,2026-06-20,0
Murray Valley encephalitis,2026-06-27,0
Murray Valley encephalitis,2026-07-04,0
Paratyphoid,2026-05-16,0
Paratyphoid,2026-05-23,0
Paratyphoid,2026-05-30,0
Paratyphoid,2026-06-06,0
Paratyphoid,2026-06-13,0
Paratyphoid,2026-06-20,0
Paratyphoid,2026-06-27,0
Paratyphoid,2026-07-04,0
Pertussis,2026-05-16,32
Pertussis,2026-05-23,22
Pertussis,2026-05-30,27
Pertussis,2026-06-06,27
Pertussis,2026-06-13,18
Pertussis,2026-06-20,30
Pertussis,2026-06-27,20
Pertussis,2026-07-04,24
"Pneumococcal, Invasive",2026-05-16,3
"Pneumococcal, Invasive",2026-05-23,3
"Pneumococcal, Invasive",2026-05-30,4
"Pneumococcal, Invasive",2026-06-06,5
"Pneumococcal, Invasive",2026-06-13,4
"Pneumococcal, Invasive",2026-06-20,5
"Pneumococcal, Invasive",2026-06-27,3
"Pneumococcal, Invasive",2026-07-04,9
Psittacosis/Ornithosis,2026-05-16,0
Psittacosis/Ornithosis,2026-05-23,0
Psittacosis/Ornithosis,2026-05-30,0
Psittacosis/Ornithosis,2026-06-06,0
Psittacosis/Ornithosis,2026-06-13,0
Psittacosis/Ornithosis,2026-06-20,0
Psittacosis/Ornithosis,2026-06-27,0
Psittacosis/Ornithosis,2026-07-04,0
Q Fever,2026-05-16,0
Q Fever,2026-05-23,0
Q Fever,2026-05-30,0
Q Fever,2026-06-06,0
