table_code,table_title,source_file,workbook_label,sheet,n_rows,dimension_columns,value_columns,notes
S6a,"Young people aged 10–17 under supervision on an average day by age, sex and Indigenous status, Australia, 2024–25 (rate)",s1-s33.xlsx,Characteristics of young people under supervision,Table S6,9,sex; indigenous_status,10; 11; 12; 13; 14; 15; 16; 17,
S6b,"Young people aged 10–17 under supervision during the year by age, sex and Indigenous status, Australia, 2024–25 (rate)",s1-s33.xlsx,Characteristics of young people under supervision,Table S6,9,sex; indigenous_status,10_11; 12; 13; 14; 15; 16; 17,
S7a,"Young people under supervision on an average day(a) by Indigenous status and age, states and territories, 2024–25",s1-s33.xlsx,Characteristics of young people under supervision,Table S7,16,indigenous_status; age_group,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S7b,"Young people under supervision during the year by Indigenous status and age, states and territories, 2024–25",s1-s33.xlsx,Characteristics of young people under supervision,Table S7,16,indigenous_status; age_group,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S7c,"Young people under supervision on an average day(a) by Indigenous status and age, states and territories, 2024–25 (rate)",s1-s33.xlsx,Characteristics of young people under supervision,Table S7,9,indigenous_status; age_group,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S7d,"Young people under supervision during the year by Indigenous status and age, states and territories, 2024–25 (rate)",s1-s33.xlsx,Characteristics of young people under supervision,Table S7,9,indigenous_status; age_group,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S8a,"Young people aged 10–17 under supervision on an average day(a) by sex and age, Australia(b), 2020–21 to 2024–25",s1-s33.xlsx,Characteristics of young people under supervision,Table S8,20,sex; year,10; 11; 12; 13; 14; 15; 16; 17; 10_17,
S8b,"Young people aged 10–17 under supervision during the year by sex and age, Australia, 2020–21 to 2024–25",s1-s33.xlsx,Characteristics of young people under supervision,Table S8,20,sex; year,10; 11; 12; 13; 14; 15; 16; 17; 10_17,
S9a,"Young people aged 10–17 under supervision on an average day by age and sex, Australia(a), 2020–21 to 2024–25 (rate)",s1-s33.xlsx,Characteristics of young people under supervision,Table S9,15,sex; year,10; 11; 12; 13; 14; 15; 16; 17; 10_17,
S9b,"Young people aged 10–17 under supervision during the year by age and sex, Australia, 2020–21 to 2024–25 (rate)",s1-s33.xlsx,Characteristics of young people under supervision,Table S9,15,sex; year,10; 11; 12; 13; 14; 15; 16; 17; 10_17,
S10a,"Young people aged 10–17 under supervision on an average day(a) by Indigenous status, states and territories, 2015-16 to 2024–25",s1-s33.xlsx,Characteristics of young people under supervision,Table S10,40,year; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia_excl_nt; australia,
S10b,"Young people aged 10–17 under supervision during the year by Indigenous status, states and territories, 2015-16 to 2024–25",s1-s33.xlsx,Characteristics of young people under supervision,Table S10,40,year; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S11a,"Young people under supervision on an average day(a) by Indigenous status, states and territories, 2015–16 to 2024–25",s1-s33.xlsx,Characteristics of young people under supervision,Table S11,40,year; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia_excl_nt; australia,
S11b,"Young people under supervision during the year by Indigenous status, states and territories, 2015–16 to 2024–25",s1-s33.xlsx,Characteristics of young people under supervision,Table S11,40,year; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S12a,"Young people aged 10–17 under supervision on an average day by Indigenous status, states and territories, 2016–17 to 2024–25 (rate)",s1-s33.xlsx,Characteristics of young people under supervision,Table S12,27,year; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia_excl_nt; australia,
S12b,"Young people aged 10–17 under supervision during the year by Indigenous status, states and territories, 2016–17 to 2024–25 (rate)",s1-s33.xlsx,Characteristics of young people under supervision,Table S12,27,year; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S13a,"Young people aged 10–17 under supervision on an average day(a) by sex, states and territories, 2015-16 to 2024–25",s1-s33.xlsx,Characteristics of young people under supervision,Table S13,40,year; sex,nsw; vic; qld; wa; sa; tas; act; nt; australia_excl_nt; australia,
S13b,"Young people aged 10–17 under supervision during the year by sex, states and territories, 2015-16 to 2024–25",s1-s33.xlsx,Characteristics of young people under supervision,Table S13,40,year; sex,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S14a,"Young people under supervision on an average day(a) by sex, states and territories, 2015-16 to 2024–25",s1-s33.xlsx,Characteristics of young people under supervision,Table S14,40,year; sex,nsw; vic; qld; wa; sa; tas; act; nt; australia_excl_nt; australia,
S14b,"Young people under supervision during the year by sex, states and territories, 2015-16 to 2024–25",s1-s33.xlsx,Characteristics of young people under supervision,Table S14,40,year; sex,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S15a,"Young people aged 10–17 under supervision on an average day by sex, states and territories, 2015-16 to 2024–25 (rate)",s1-s33.xlsx,Characteristics of young people under supervision,Table S15,30,year; sex,nsw; vic; qld; wa; sa; tas; act; nt; australia_excl_nt; australia,
S15b,"Young people aged 10–17 under supervision during the year by sex, states and territories, 2015-16 to 2024–25 (rate)",s1-s33.xlsx,Characteristics of young people under supervision,Table S15,30,year; sex,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S16,"Young people under supervision during the year by first supervision, states and territories, 2020–21 to 2024–25",s1-s33.xlsx,Characteristics of young people under supervision,Table S16,15,year; supervision,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S17,"Young people under supervision during the year by first supervision and Indigenous status, Australia 2020–21 to 2024–25",s1-s33.xlsx,Characteristics of young people under supervision,Table S17,15,year; supervision; first_nations; non_indigenous; not_stated,total,
S18,"Young people under supervision during the year by sex, Indigenous status and age at first supervision, Australia, 2024–245",s1-s33.xlsx,Characteristics of young people under supervision,Table S18,16,sex; indigenous_status,10; 11; 12; 13; 14; 15; 16; 17; 10_17; 18plus; total,
S19,"Young people under supervision during the year by Indigenous status and age at first supervision, states and territories, 2024–25",s1-s33.xlsx,Characteristics of young people under supervision,Table S19,16,indigenous_status; age_group,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S20,"Young people under supervision during the year by age at first supervision and type of first supervision, 2024–25",s1-s33.xlsx,Characteristics of young people under supervision,Table S20,11,first_supervision_type; 10_13_years; 14_17_years; 18plus_years,total,
S21a,"Young people under supervision on an average day(a) by Indigenous status, sex and remoteness of usual residence(b), Australia, 2024–25",s1-s33.xlsx,Characteristics of young people under supervision,Table S21,21,sex; remoteness_area; first_nations; non_indigenous; not_stated,total,
S21b,"Young people under supervision during the year by Indigenous status, sex and remoteness of usual residence(a), Australia, 2024–25",s1-s33.xlsx,Characteristics of young people under supervision,Table S21,21,sex; remoteness_area; first_nations; non_indigenous; not_stated,total,
S22a,"Young people aged 10–17 under supervision on an average day(a) by remoteness of usual residence(b), states and territories,  2024–25",s1-s33.xlsx,Characteristics of young people under supervision,Table S22,6,remoteness_area,nsw; vic; qld; wa; sa; tas; act; nt; australia,"(a) Number of young people on an average day may not sum to total due to rounding. | (b) Address data for young people known to Youth Justice in Tasmania is affected by data quality issues. Usual residence data should be interpreted with caution. | – represents zero or rounded to zero | Notes | 1. Some young people excluded due to missing or invalid postcodes or because the postcode was not listed in the Remoteness areas correspondence file. | 2. Some remoteness areas are not found in all states and territories. | 3. Age on an average day is calculated based on the age a young person is each day that they are under supervision. If a young person changes age during a period of supervision, the average daily number under supervision will reflect this. Average daily data broken down by age will not be comparable with data in Youth justice in Australia releases before 2019–20. | 4. Number of young people on an average day not available for the Northern Territory in 2024-25. | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25."
S22b,"Young people aged 10–17 under supervision during the year by remoteness of usual residence(a), states and territories, 2024–25",s1-s33.xlsx,Characteristics of young people under supervision,Table S22,6,section; remoteness_area,nsw; vic; qld; wa; sa; tas; act; nt; australia,"(a) Address data for young people known to Youth Justice in Tasmania is affected by data quality issues. Usual residence data should be interpreted with caution. | Notes | 1. Some young people excluded due to missing or invalid postcodes or because the postcode was not listed in the Remoteness areas correspondence file. | 2. Some remoteness areas are not found in all states and territories. | 3. Age calculated as at start of financial year if first period of supervision in the relevant year began before the start of the financial year, otherwise age calculated as at start of first period of supervision in the relevant year. | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25."
S22c,"Young people aged 10–17 under supervision on an average day(a) by remoteness of usual residence(b), states and territories, 2024–25 (rate)",s1-s33.xlsx,Characteristics of young people under supervision,Table S22,5,remoteness_area,nsw; vic; qld; wa; sa; tas; act; nt; australia,"(a) Number of young people on an average day may not sum to total due to rounding. | (b) Address data for young people known to Youth Justice in Tasmania is affected by data quality issues. Usual residence data should be interpreted with caution. | – represents zero or rounded to zero | Notes | 1. Some young people excluded due to missing or invalid postcodes or because the postcode was not listed in the Remoteness areas correspondence file. | 2. Some remoteness areas are not found in all states and territories. | 3. Age on an average day is calculated based on the age a young person is each day that they are under supervision. If a young person changes age during a period of supervision, the average daily number under supervision will reflect this. Average daily data broken down by age will not be comparable with data in Youth justice in Australia releases before 2019–20. | 4. Rates are number of young people per 10,000 relevant population. | 5. Number of young people on an average day not available for the Northern Territory in 2024-25. | 6. In November 2023, the Australian Capital Territory raised the minimum age of criminal responsibility from 10 to 12. The rates for the Australian Capital Territory from 2023-24 are for young people aged 12-17. | Source: Tables S22a and S148"
S22d,"Young people aged 10–17 under supervision during the year by remoteness of usual residence(a), states and territories, 2024–25 (rate)",s1-s33.xlsx,Characteristics of young people under supervision,Table S22,5,section; remoteness_area,nsw; vic; qld; wa; sa; tas; act; nt; australia,"(a)  Address data for young people known to Youth Justice in Tasmania is affected by data quality issues. Usual residence data should be interpreted with caution. | Notes | 1. Some young people excluded due to missing or invalid postcodes or because the postcode was not listed in the Remoteness areas correspondence file. | 2. Some remoteness areas are not found in all states and territories. | 4. Rates are number of young people per 10,000 relevant population. | 5. Rates are not published where there were fewer than five young people. | 6. In November 2023, the Australian Capital Territory raised the minimum age of criminal responsibility from 10 to 12. The rates for the Australian Capital Territory from 2023-24 are for young people aged 12-17. | Source: Tables S22b and S148 | ."
S23a,"Young people under supervision on an average day(a) by sex, Indigenous status and socioeconomic position of usual residence(b), Australia, 2024–25",s1-s33.xlsx,Characteristics of young people under supervision,Table S23,21,sex; socioeconomic_areas; first_nations; non_indigenous; not_stated,total,
S23b,"Young people under supervision during the year by sex, Indigenous status and socioeconomic position of usual residence(a), Australia,  2024–25",s1-s33.xlsx,Characteristics of young people under supervision,Table S23,21,sex; socioeconomic_areas; first_nations; non_indigenous; not_stated,total,
S24a,"Young people aged 10–17 under supervision on an average day(a) by socioeconomic position of usual residence(b), states and territories, 2024-25",s1-s33.xlsx,Characteristics of young people under supervision,Table S24,6,socioeconomic_areas,nsw; vic; qld; wa; sa; tas; act; nt; australia,"(a) Number of young people on an average day may not sum to total due to rounding. | (b) Address data for young people known to Youth Justice in Tasmania is affected by data quality issues. Usual residence data should be interpreted with caution. | – represents zero or rounded to zero | Notes | 1. Some young people excluded due to missing or invalid postcodes or because the postcode was not listed in the SEIFA file. | 2. The ACT has highly diverse suburbs with advantaged households in close proximity to disadvantaged households. It has a high proportion of the most relatively disadvantaged persons residing in areas classified by SEIFA as being less disadvantaged. In this respect, the ACT is unique and comparisons with other jurisdictions should be made with caution. | 3. SEIFA quintiles are calculated based on postcodes across the whole of Australia, and therefore some socioeconomic areas are not found in all states and territories. | 4. Number of young people on an average day not available for the Northern Territory in 2024-25. | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25."
S24b,"Young people aged 10–17 under supervision during the year by socioeconomic position of usual residence(a), states and territories, 2024–25",s1-s33.xlsx,Characteristics of young people under supervision,Table S24,6,section; socioeconomic_areas,nsw; vic; qld; wa; sa; tas; act; nt; australia,"(a) Address data for young people known to Youth Justice in Tasmania is affected by data quality issues. Usual residence data should be interpreted with caution. | Notes | 1. Some young people excluded due to missing or invalid postcodes or because the postcode was not listed in the SEIFA file. | 2. Age calculated as at start of financial year if first period of supervision in the relevant year began before the start of the financial year, otherwise age calculated as at start of first period of supervision in the relevant year. | 3. The ACT has highly diverse suburbs with advantaged households in close proximity to disadvantaged households. It has a high proportion of the most relatively disadvantaged persons residing in areas classified by SEIFA as being less disadvantaged. In this respect, the ACT is unique and comparisons with other jurisdictions should be made with caution. | 4. SEIFA quintiles are calculated based on postcodes across the whole of Australia, and therefore some socioeconomic areas are not found in all states and territories. | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25."
S24c,"Young people aged 10–17 under supervision on an average day by socioeconomic position of usual residence(a), states and territories, 2024–25 (rate)",s1-s33.xlsx,Characteristics of young people under supervision,Table S24,5,socioeconomic_areas,nsw; vic; qld; wa; sa; tas; act; nt; australia,"(a) Address data for young people known to Youth Justice in Tasmania is affected by data quality issues. Usual residence data should be interpreted with caution. | Notes | 1. Some young people excluded due to missing or invalid postcodes or because the postcode was not listed in the SEIFA file. | 2. Rates are number of young people per 10,000 relevant population. | 3. Rate ratio calculated by dividing the rate for the lowest level of socioeconomic areas (1) by the highest level of socioeconomic areas (5). | 4. The ACT has highly diverse suburbs with advantaged households in close proximity to disadvantaged households. It has a high proportion of the most relatively disadvantaged persons residing in areas classified by SEIFA as being less disadvantaged. In this respect, the ACT is unique and comparisons with other jurisdictions should be made with caution. | 5. SEIFA quintiles are calculated based on postcodes across the whole of Australia, and therefore some socioeconomic areas are not found in all states and territories. | 6. Age on an average day is calculated based on the age a young person is each day that they are under supervision. If a young person changes age during a period of supervision, the average daily number under supervision will reflect this. Average daily data broken down by age will not be comparable with data in Youth justice in Australia releases before 2019–20. | 7. Number of young people on an average day not available for the Northern Territory in 2024-25. | 8. In November 2023, the Australian Capital Territory raised the minimum age of criminal responsibility from 10 to 12. The rates for the Australian Capital Territory from 2023-24 are for young people aged 12-17. | Source: Tables S24a and S149"
S24d,"Young people aged 10–17 under supervision during the year by socioeconomic position of usual residence(a), states and territories, 2024–25 (rate)",s1-s33.xlsx,Characteristics of young people under supervision,Table S24,5,section; socioeconomic_areas,nsw; vic; qld; wa; sa; tas; act; nt; australia,"(a) Address data for young people known to Youth Justice in Tasmania is affected by data quality issues. Usual residence data should be interpreted with caution. | Notes | 1. Some young people excluded due to missing or invalid postcodes or because the postcode was not listed in the SEIFA file. | 2. Rates are number of young people per 10,000 relevant population. | 3. Rates are not published where there were fewer than five young people. | 4. Rate ratio calculated by dividing the rate for the lowest level of socioeconomic areas (1) by the highest level of socioeconomic areas (5). | 5. The ACT has highly diverse suburbs with advantaged households in close proximity to disadvantaged households. It has a high proportion of the most relatively disadvantaged persons residing in areas classified by SEIFA as being less disadvantaged. In this respect, the ACT is unique and comparisons with other jurisdictions should be made with caution. | 6. SEIFA quintiles are calculated based on postcodes across the whole of Australia, and therefore some socioeconomic areas are not found in all states and territories. | 7. Age calculated as at start of financial year if first period of supervision in the relevant year began before the start of the financial year, otherwise age calculated as at start of first period of supervision in the relevant year. | 8. In November 2023, the Australian Capital Territory raised the minimum age of criminal responsibility from 10 to 12. The rates for the Australian Capital Territory from 2023-24 are for young people aged 12-17. | Source: Tables S24a and S149"
S25,"Orders by order type, states and territories, 2020–21 to 2024–25",s1-s33.xlsx,Characteristics of young people under supervision,Table S25,95,year; order_type,nsw; vic; qld; wa; sa; tas; act; nt; australia_excl_nt; australia,
S26a,"Young people by Indigenous status and number of community-based supervised orders, states and territories, 2024–25",s1-s33.xlsx,Characteristics of young people under supervision,Table S26,7,number_of_orders; first_nations; non_indigenous; not_stated,total,
S26b,"Young people by Indigenous status and number of detention orders, states and territories, 2024–25",s1-s33.xlsx,Characteristics of young people under supervision,Table S26,7,number_of_orders; first_nations; non_indigenous; not_stated,total,
S26c,"Young people by Indigenous status and number of supervised orders, states and territories, 2024–25",s1-s33.xlsx,Characteristics of young people under supervision,Table S26,7,number_of_orders; first_nations; non_indigenous; not_stated,total,
S27,"Completed supervision periods, states and territories, 2024–25",s1-s33.xlsx,Characteristics of young people under supervision,Table S27,3,supervision_periods,nsw; vic; qld; wa; sa; tas; act; nt; australia,Notes: | 1. Total excludes young people with missing order data. | 2. Completed supervision periods not available for the Northern Territory in 2024-25. | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25.
S28,"Young people who completed a period of supervision during the year by number of periods completed and Indigenous status, Australia, 2024–25",s1-s33.xlsx,Characteristics of young people under supervision,Table S28,7,no_of_completed_supervision_periods; first_nations; non_indigenous; not_stated,total,
S29,"Number and median length of completed periods of supervision by Indigenous status, states and territories, 2024–25",s1-s33.xlsx,Characteristics of young people under supervision,Table S29,16,indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,"Notes | 1. Median lengths were not calculated where there were fewer than five periods. | 2. Time under supervision calculated for 2023–24, from 1 July 2023. | 3. In Tasmania sentenced community supervision orders are generally specified by the courts to default to 12 months in length, which has the effect of increasing the length of supervision for Tasmania. | 4. Completed supervision periods not available for the Northern Territory in 2024-25. | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25."
S30,"Average length of time spent under supervision during the year by Indigenous status and sex, states and territories, 2020–21 to 2024–25 (days)",s1-s33.xlsx,Characteristics of young people under supervision,Table S30,45,year; indigenous_status; sex,nsw; vic; qld; wa; sa; tas; act; nt; australia_excl_nt; australia,
S31,"Young people by number of completed supervision periods, states and territories, 2020–21 to 2024–25",s1-s33.xlsx,Characteristics of young people under supervision,Table S31,35,year; no_completed_supervision_periods,nsw; vic; qld; wa; sa; tas; act; nt; australia_excl_nt; australia,
S32,"Orders ended by duration and Indigenous status, states and territories, 2024–25",s1-s33.xlsx,Characteristics of young people under supervision,Table S32,28,indigenous_status; duration,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S33a,"Young people under supervision during the year by supervision history, sex and Indigenous status, states and territories, 2024–25: Young people under supervision during the year with a supervision history containing unsentenced community-based supervision",s1-s33.xlsx,Characteristics of young people under supervision,Table S33,12,sex; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S33b,"Young people under supervision during the year by supervision history, sex and Indigenous status, states and territories, 2024–25: Young people under supervision during the year with a supervision history containing sentenced community-based supervision",s1-s33.xlsx,Characteristics of young people under supervision,Table S33,12,sex; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S33c,"Young people under supervision during the year by supervision history, sex and Indigenous status, states and territories, 2024–25: Young people under supervision during the year with a supervision history containing any community-based supervision",s1-s33.xlsx,Characteristics of young people under supervision,Table S33,12,sex; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S33d,"Young people under supervision during the year by supervision history, sex and Indigenous status, states and territories, 2024–25: Young people under supervision during the year with a supervision history containing police-referred detention",s1-s33.xlsx,Characteristics of young people under supervision,Table S33,12,sex; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S33e,"Young people under supervision during the year by supervision history, sex and Indigenous status, states and territories, 2024–25: Young people under supervision during the year with a supervision history containing remand",s1-s33.xlsx,Characteristics of young people under supervision,Table S33,12,sex; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S33f,"Young people under supervision during the year by supervision history, sex and Indigenous status, states and territories, 2024–25: Young people under supervision during the year with a supervision history containing sentenced detention",s1-s33.xlsx,Characteristics of young people under supervision,Table S33,12,sex; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S33g,"Young people under supervision during the year by supervision history, sex and Indigenous status, states and territories, 2024–25: Young people under supervision during the year with a supervision history containing any type of detention",s1-s33.xlsx,Characteristics of young people under supervision,Table S33,12,sex; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S33h,"Young people under supervision during the year by supervision history, sex and Indigenous status, states and territories, 2024–25: Young people under supervision during the year with a supervision history comprising only unsentenced community-based supervision",s1-s33.xlsx,Characteristics of young people under supervision,Table S33,12,sex; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S33i,"Young people under supervision during the year by supervision history, sex and Indigenous status, states and territories, 2024–25: Young people under supervision during the year with a supervision history comprising only sentenced community-based supervision",s1-s33.xlsx,Characteristics of young people under supervision,Table S33,12,sex; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S33j,"Young people under supervision during the year by supervision history, sex and Indigenous status, states and territories, 2024–25: Young people under supervision during the year with a supervision history comprising only probation or similar",s1-s33.xlsx,Characteristics of young people under supervision,Table S33,12,sex; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S33k,"Young people under supervision during the year by supervision history, sex and Indigenous status, states and territories, 2024–25: Young people under supervision during the year with a supervision history comprising only community-based supervision",s1-s33.xlsx,Characteristics of young people under supervision,Table S33,12,sex; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S33l,"Young people under supervision during the year by supervision history, sex and Indigenous status, states and territories, 2024–25: Young people under supervision during the year with a supervision history comprising only remand",s1-s33.xlsx,Characteristics of young people under supervision,Table S33,12,sex; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S33m,"Young people under supervision during the year by supervision history, sex and Indigenous status, states and territories, 2024–25: Young people under supervision during the year with a supervision history comprising only unsentenced detention",s1-s33.xlsx,Characteristics of young people under supervision,Table S33,12,sex; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S33n,"Young people under supervision during the year by supervision history, sex and Indigenous status, states and territories, 2024–25: Young people under supervision during the year with a supervision history comprising only sentenced detention",s1-s33.xlsx,Characteristics of young people under supervision,Table S33,12,sex; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S33o,"Young people under supervision during the year by supervision history, sex and Indigenous status, states and territories, 2024–25: Young people under supervision during the year with a supervision history comprising only detention",s1-s33.xlsx,Characteristics of young people under supervision,Table S33,12,sex; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S34a,"Young people under community-based supervision on an average day(a), by age, states and territories, 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S34,11,age,nsw; vic; qld; wa; sa; tas; act; nt; australia,"(a) Number of young people on an average day may not sum to total due to rounding. | — represents zero or rounded to zero | Notes: | 1. Age on an average day is calculated based on the age a young person is each day that they are under supervision. If a young person changes age during a period of supervision, the average daily number under supervision will reflect this. Average daily data broken down by age will not be comparable with data in Youth justice in Australia releases before 2019–20. | 2. Number of young people on an average day not available for the Northern Territory in 2024-25. | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25"
S34b,"Young people under community-based supervision during the year by age, states and territories, 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S34,8,age,nsw; vic; qld; wa; sa; tas; act; nt; australia,"Notes: | 1. Age calculated as at start of financial year if first period of community—based supervision in the relevant year began before the start of the financial year, otherwise age calculated as at start of first period of community—based supervision in the relevant year. | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25."
S35a,"Young people under community–based supervision on an average day(a) by sex and Indigenous status, states and territories, 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S35,16,sex; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S35b,"Young people under community–based supervision during the year by sex and Indigenous status, states and territories, 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S35,16,sex; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S36a,"Young people aged 10–17 under community-based supervision on an average day(a) by sex and Indigenous status, states and territories, 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S36,16,sex; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S36b,"Young people aged 10–17 under community-based supervision during the year by sex and Indigenous status, states and territories, 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S36,16,sex; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S37a,"Young people aged 10–17 under community–based supervision on an average day by sex and Indigenous status, states and territories, 2024–25 (rate)",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S37,9,sex; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S37b,"Young people aged 10–17 under community–based supervision during the year by sex and Indigenous status, states and territories, 2024–25 (rate)",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S37,9,sex; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S38a,"Young people under community-based supervision on an average day(a) by age, sex and Indigenous, Australia, 2024–25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S38,16,sex; indigenous_status,10; 11; 12; 13; 14; 15; 16; 17; 10_17; 18plus; total,
S38b,"Young people under community-based supervision during the year by age, sex and Indigenous, Australia, 2024-25",s34-s71.xlsx,Characteristics of young people under community-based supervision,Table S38,16,sex; indigenous_status,10_11; 12; 13; 14; 15; 16; 17; 10_17; 18plus; total,
