Employment Category,Role,Full-time/Part-time,fin_year,Headcount
Education & Children's Services Act,School services officers providing administrative and teaching support in South Australian Government schools,Full-time,2025,1801
Education & Children's Services Act,School services officers providing administrative and teaching support in South Australian Government schools,Part-time,2021,7090
Education & Children's Services Act,School services officers providing administrative and teaching support in South Australian Government schools,Part-time,2022,6875
Education & Children's Services Act,School services officers providing administrative and teaching support in South Australian Government schools,Part-time,2023,7196
Education & Children's Services Act,School services officers providing administrative and teaching support in South Australian Government schools,Part-time,2024,7535
Education & Children's Services Act,School services officers providing administrative and teaching support in South Australian Government schools,Part-time,2025,7916
Education & Children's Services Act,School teachers in SA Government Schools,Full-time,2021,8609
Education & Children's Services Act,School teachers in SA Government Schools,Full-time,2022,8812
Education & Children's Services Act,School teachers in SA Government Schools,Full-time,2023,8588
Education & Children's Services Act,School teachers in SA Government Schools,Full-time,2024,8510
Education & Children's Services Act,School teachers in SA Government Schools,Full-time,2025,8431
Education & Children's Services Act,School teachers in SA Government Schools,Part-time,2021,6610
Education & Children's Services Act,School teachers in SA Government Schools,Part-time,2022,6167
Education & Children's Services Act,School teachers in SA Government Schools,Part-time,2023,6286
Education & Children's Services Act,School teachers in SA Government Schools,Part-time,2024,6559
Education Act,Aboriginal community education officers supporting Aboriginal programs and services,Full-time,2014,100
Education Act,Aboriginal community education officers supporting Aboriginal programs and services,Full-time,2015,101
Education Act,Aboriginal community education officers supporting Aboriginal programs and services,Full-time,2016,110
Education Act,Aboriginal community education officers supporting Aboriginal programs and services,Full-time,2017,114
Education Act,Aboriginal community education officers supporting Aboriginal programs and services,Full-time,2018,123
Education Act,Aboriginal community education officers supporting Aboriginal programs and services,Full-time,2019,121
Education Act,Aboriginal community education officers supporting Aboriginal programs and services,Full-time,2020,119
Education Act,Aboriginal community education officers supporting Aboriginal programs and services,Part-time,2014,199
Education Act,Aboriginal community education officers supporting Aboriginal programs and services,Part-time,2015,199
Education Act,Aboriginal community education officers supporting Aboriginal programs and services,Part-time,2016,231
Education Act,Aboriginal community education officers supporting Aboriginal programs and services,Part-time,2017,226
Education Act,Aboriginal community education officers supporting Aboriginal programs and services,Part-time,2018,224
Education Act,Aboriginal community education officers supporting Aboriginal programs and services,Part-time,2019,223
Education Act,Aboriginal community education officers supporting Aboriginal programs and services,Part-time,2020,217
Education Act,"School Principals, Deputy Principals, Leaders or Seniors",Full-time,2014,2839
Education Act,"School Principals, Deputy Principals, Leaders or Seniors",Full-time,2015,2732
Education Act,"School Principals, Deputy Principals, Leaders or Seniors",Full-time,2016,2669
Education Act,"School Principals, Deputy Principals, Leaders or Seniors",Full-time,2017,2675
Education Act,"School Principals, Deputy Principals, Leaders or Seniors",Full-time,2018,2726
Education Act,"School Principals, Deputy Principals, Leaders or Seniors",Full-time,2019,2727
Education Act,"School Principals, Deputy Principals, Leaders or Seniors",Full-time,2020,2753
Education Act,"School Principals, Deputy Principals, Leaders or Seniors",Part-time,2014,228
Education Act,"School Principals, Deputy Principals, Leaders or Seniors",Part-time,2015,225
Education Act,"School Principals, Deputy Principals, Leaders or Seniors",Part-time,2016,213
Education Act,"School Principals, Deputy Principals, Leaders or Seniors",Part-time,2017,200
Education Act,"School Principals, Deputy Principals, Leaders or Seniors",Part-time,2018,233
Education Act,"School Principals, Deputy Principals, Leaders or Seniors",Part-time,2019,255
Education Act,"School Principals, Deputy Principals, Leaders or Seniors",Part-time,2020,271
Education Act,School services officers providing administrative and teaching support in South Australian Government schools,Full-time,2014,1332
Education Act,School services officers providing administrative and teaching support in South Australian Government schools,Full-time,2015,1296
Education Act,School services officers providing administrative and teaching support in South Australian Government schools,Full-time,2016,1353
Education Act,School services officers providing administrative and teaching support in South Australian Government schools,Full-time,2017,1396
Education Act,School services officers providing administrative and teaching support in South Australian Government schools,Full-time,2018,1429
Education Act,School services officers providing administrative and teaching support in South Australian Government schools,Full-time,2019,1517
Education Act,School services officers providing administrative and teaching support in South Australian Government schools,Full-time,2020,1522
Education Act,School services officers providing administrative and teaching support in South Australian Government schools,Part-time,2014,4863
Education Act,School services officers providing administrative and teaching support in South Australian Government schools,Part-time,2015,5189
Education Act,School services officers providing administrative and teaching support in South Australian Government schools,Part-time,2016,5486
Education Act,School services officers providing administrative and teaching support in South Australian Government schools,Part-time,2017,5821
Education Act,School services officers providing administrative and teaching support in South Australian Government schools,Part-time,2018,6256
Education Act,School services officers providing administrative and teaching support in South Australian Government schools,Part-time,2019,6729
Education Act,School services officers providing administrative and teaching support in South Australian Government schools,Part-time,2020,7024
Education Act,School teachers in SA Government Schools,Full-time,2014,8034
Education Act,School teachers in SA Government Schools,Full-time,2015,8157
Education Act,School teachers in SA Government Schools,Full-time,2016,8311
Education Act,School teachers in SA Government Schools,Full-time,2017,8417
Education Act,School teachers in SA Government Schools,Full-time,2018,8584
Education Act,School teachers in SA Government Schools,Full-time,2019,8764
Education Act,School teachers in SA Government Schools,Full-time,2020,8881
Education Act,School teachers in SA Government Schools,Part-time,2014,5946
Education Act,School teachers in SA Government Schools,Part-time,2015,6134
Education Act,School teachers in SA Government Schools,Part-time,2016,6118
Education Act,School teachers in SA Government Schools,Part-time,2017,6226
Education Act,School teachers in SA Government Schools,Part-time,2018,6255
Education Act,School teachers in SA Government Schools,Part-time,2019,6456
Education Act,School teachers in SA Government Schools,Part-time,2020,6175
Education & Children's Services Act,School teachers in SA Government Schools,Part-time,2025,6649
Other,Bus drivers,Full-time,2016,4
Other,Bus drivers,Full-time,2017,2
Other,Bus drivers,Full-time,2018,2
Other,Bus drivers,Full-time,2020,2
Other,Bus drivers,Full-time,2021,1
Other,Bus drivers,Full-time,2022,1
Other,Bus drivers,Full-time,2023,1
Other,Bus drivers,Full-time,2024,1
Other,Bus drivers,Full-time,2025,2
Other,Bus drivers,Part-time,2014,182
Other,Bus drivers,Part-time,2015,183
Other,Bus drivers,Part-time,2016,167
Other,Bus drivers,Part-time,2017,166
Other,Bus drivers,Part-time,2018,154
Other,Bus drivers,Part-time,2019,144
Other,Bus drivers,Part-time,2020,127
Other,Bus drivers,Part-time,2021,146
Other,Bus drivers,Part-time,2022,130
Other,Bus drivers,Part-time,2023,120
Other,Bus drivers,Part-time,2024,109
Other,Bus drivers,Part-time,2025,116
Other,Families SA staff operating in the Department for Education. Ceased in 2016,Full-time,2014,2
Other,Families SA staff operating in the Department for Education. Ceased in 2016,Full-time,2015,2
Other,Families SA staff operating in the Department for Education. Ceased in 2016,Part-time,2014,4
Other,Families SA staff operating in the Department for Education. Ceased in 2016,Part-time,2015,2
Other,Families SA staff operating in the Department for Education. Ceased in 2016,Part-time,2016,3
Other,Groundspeople employed at South Australian Government schools and preschools,Full-time,2014,144
Other,Groundspeople employed at South Australian Government schools and preschools,Full-time,2015,142
Other,Groundspeople employed at South Australian Government schools and preschools,Full-time,2016,148
Other,Groundspeople employed at South Australian Government schools and preschools,Full-time,2017,155
Other,Groundspeople employed at South Australian Government schools and preschools,Full-time,2018,155
Other,Groundspeople employed at South Australian Government schools and preschools,Full-time,2019,155
Other,Groundspeople employed at South Australian Government schools and preschools,Full-time,2020,155
Other,Groundspeople employed at South Australian Government schools and preschools,Full-time,2021,152
Other,Groundspeople employed at South Australian Government schools and preschools,Full-time,2022,159
Other,Groundspeople employed at South Australian Government schools and preschools,Full-time,2023,165
Other,Groundspeople employed at South Australian Government schools and preschools,Full-time,2024,161
Other,Groundspeople employed at South Australian Government schools and preschools,Full-time,2025,163
Other,Groundspeople employed at South Australian Government schools and preschools,Part-time,2014,290
Other,Groundspeople employed at South Australian Government schools and preschools,Part-time,2015,289
Other,Groundspeople employed at South Australian Government schools and preschools,Part-time,2016,289
Other,Groundspeople employed at South Australian Government schools and preschools,Part-time,2017,288
Other,Groundspeople employed at South Australian Government schools and preschools,Part-time,2018,285
Other,Groundspeople employed at South Australian Government schools and preschools,Part-time,2019,286
Other,Groundspeople employed at South Australian Government schools and preschools,Part-time,2020,291
Other,Groundspeople employed at South Australian Government schools and preschools,Part-time,2021,303
Other,Groundspeople employed at South Australian Government schools and preschools,Part-time,2022,296
Other,Groundspeople employed at South Australian Government schools and preschools,Part-time,2023,312
Other,Groundspeople employed at South Australian Government schools and preschools,Part-time,2024,312
Other,Groundspeople employed at South Australian Government schools and preschools,Part-time,2025,319
Public Sector Act,Corporate employees in the Department for Education,Full-time,2014,2418
Public Sector Act,Corporate employees in the Department for Education,Full-time,2015,2488
Public Sector Act,Corporate employees in the Department for Education,Full-time,2016,2415
Public Sector Act,Corporate employees in the Department for Education,Full-time,2017,1162
Public Sector Act,Corporate employees in the Department for Education,Full-time,2018,1270
Public Sector Act,Corporate employees in the Department for Education,Full-time,2019,1270
Public Sector Act,Corporate employees in the Department for Education,Full-time,2020,1142
Public Sector Act,Corporate employees in the Department for Education,Full-time,2021,1296
Public Sector Act,Corporate employees in the Department for Education,Full-time,2022,1325
Public Sector Act,Corporate employees in the Department for Education,Full-time,2023,1592
Public Sector Act,Corporate employees in the Department for Education,Full-time,2024,1686
Public Sector Act,Corporate employees in the Department for Education,Full-time,2025,1632
Public Sector Act,Corporate employees in the Department for Education,Part-time,2014,652
Public Sector Act,Corporate employees in the Department for Education,Part-time,2015,690
Public Sector Act,Corporate employees in the Department for Education,Part-time,2016,752
Public Sector Act,Corporate employees in the Department for Education,Part-time,2017,439
Public Sector Act,Corporate employees in the Department for Education,Part-time,2018,468
Public Sector Act,Corporate employees in the Department for Education,Part-time,2019,468
Public Sector Act,Corporate employees in the Department for Education,Part-time,2020,404
Public Sector Act,Corporate employees in the Department for Education,Part-time,2021,455
Public Sector Act,Corporate employees in the Department for Education,Part-time,2022,466
Public Sector Act,Corporate employees in the Department for Education,Part-time,2023,552
Public Sector Act,Corporate employees in the Department for Education,Part-time,2024,637
Public Sector Act,Corporate employees in the Department for Education,Part-time,2025,607
