table,title,category,jurisdiction,financial_year,value
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,TAS,2023-24p,10.779170627559425
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,NT,2018-19,5.354619035779
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,NT,2019-20,5.250876057904037
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,NT,2020-21,5.290768788089084
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,NT,2021-22,4.871669295951423
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,NT,2022-23,4.324271012180321
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,NT,2023-24p,3.4615543471036183
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,ACT,2018-19,6.631494124663734
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,ACT,2019-20,6.1073861994520815
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,ACT,2020-21,6.098481252094865
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,ACT,2021-22,5.745574349770861
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,ACT,2022-23,5.67310165415785
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,ACT,2023-24p,6.2192614483300455
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,Aus Gov,2018-19,2.6260115860708617
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,Aus Gov,2019-20,2.6864293970500963
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,Aus Gov,2020-21,2.8084765716799938
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,Aus Gov,2021-22,2.4047003139271252
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,Aus Gov,2022-23,2.236928019403779
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,Aus Gov,2023-24p,2.2565284441909674
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,AUST Total,2018-19,5.869266326310054
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,AUST Total,2019-20,6.173924989600146
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,AUST Total,2020-21,6.611738393066385
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,AUST Total,2021-22,6.8310052959923615
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,AUST Total,2022-23,6.875848087579538
Table 1.2,"Table 1.2. Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",,AUST Total,2023-24p,6.800147512605367
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,NSW,2018-19,3.7137390875609717
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,NSW,2019-20,4.13842152748288
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,NSW,2020-21,4.59449481999562
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,NSW,2021-22,4.503504512873662
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,NSW,2022-23,4.844893296676462
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,NSW,2023-24p,4.789331891392246
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,VIC,2018-19,3.6525437582434437
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,VIC,2019-20,3.8950287720493524
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,VIC,2020-21,4.2421799575770205
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,VIC,2021-22,4.2861108447258935
