table,title,category,jurisdiction,financial_year,value
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",R Arts and recreation services,TAS,2023-24p,11.55195663328742
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",R Arts and recreation services,NT,2018-19,5.185230594582749
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",R Arts and recreation services,NT,2019-20,3.374308152555249
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",R Arts and recreation services,NT,2020-21,4.84131905049515
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",R Arts and recreation services,NT,2021-22,3.474106290014486
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",R Arts and recreation services,NT,2022-23,3.5019642738711836
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",R Arts and recreation services,NT,2023-24p,0.951298913458357
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",R Arts and recreation services,ACT,2018-19,6.973712454226003
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",R Arts and recreation services,ACT,2019-20,6.746877154595046
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",R Arts and recreation services,ACT,2020-21,3.125556572335375
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",R Arts and recreation services,ACT,2021-22,3.40247504165556
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",R Arts and recreation services,ACT,2022-23,4.475397145219179
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",R Arts and recreation services,ACT,2023-24p,5.603875106469899
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",R Arts and recreation services,Aus Gov,2018-19,2.9397894227255446
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",R Arts and recreation services,Aus Gov,2019-20,4.0137768668990566
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",R Arts and recreation services,Aus Gov,2020-21,NP
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",R Arts and recreation services,Aus Gov,2021-22,NP
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",R Arts and recreation services,Aus Gov,2022-23,NP
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",R Arts and recreation services,Aus Gov,2023-24p,NP
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,AUST,2018-19,4.34236577881718
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,AUST,2019-20,5.23360753444967
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,AUST,2020-21,5.568445929502332
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,AUST,2021-22,5.279651642507242
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,AUST,2022-23,5.738328699609773
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,AUST,2023-24p,6.304260488598821
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,NSW,2018-19,4.403932686958289
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,NSW,2019-20,6.166693087330887
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,NSW,2020-21,7.343130721463638
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,NSW,2021-22,6.7184806456776505
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,NSW,2022-23,8.318972153317363
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,NSW,2023-24p,8.332423992925532
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,VIC,2018-19,2.8872817674612654
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,VIC,2019-20,3.7282115833723983
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,VIC,2020-21,3.4163190497042777
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,VIC,2021-22,3.5041721164904
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,VIC,2022-23,3.883487710796415
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,VIC,2023-24p,4.188663930222037
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,QLD,2018-19,5.9099814721140245
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,QLD,2019-20,5.8962220453880345
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,QLD,2020-21,6.247886223710605
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,QLD,2021-22,5.849457896079591
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,QLD,2022-23,5.934348330133982
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,QLD,2023-24p,7.316941560988771
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,SA,2018-19,4.185430330217584
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,SA,2019-20,5.055174078323386
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,SA,2020-21,4.236523300506165
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,SA,2021-22,3.9815515838268523
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,SA,2022-23,3.687432719374562
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,SA,2023-24p,3.637932731309605
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,WA,2018-19,4.9818730811511
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,WA,2019-20,4.2685948924328985
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,WA,2020-21,4.9297074061889665
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,WA,2021-22,4.5315346230025115
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,WA,2022-23,4.245815910443825
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,WA,2023-24p,5.211087070620502
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,TAS,2018-19,7.184890728964408
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,TAS,2019-20,9.23521246208689
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,TAS,2020-21,8.390771540658378
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,TAS,2021-22,7.20832610727065
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,TAS,2022-23,9.0496192277245
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,TAS,2023-24p,9.640583343520511
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,NT,2018-19,3.296819020790471
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,NT,2019-20,3.7213370300167044
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,NT,2020-21,2.7154700065379664
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,NT,2021-22,3.488334055952634
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,NT,2022-23,2.571802476721908
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,NT,2023-24p,1.1151681739150439
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,ACT,2018-19,3.1926726990696848
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,ACT,2019-20,4.692215147953031
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,ACT,2020-21,3.813903522710798
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,ACT,2021-22,5.010854256119771
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,ACT,2022-23,3.7972410891629793
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,ACT,2023-24p,4.992025669108001
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,Aus Gov,2018-19,NP
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,Aus Gov,2019-20,NP
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,Aus Gov,2020-21,27.374422229832042
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,Aus Gov,2021-22,NP
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,Aus Gov,2022-23,NP
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",S Other services,Aus Gov,2023-24p,NP
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)","AUST, All industries Total",AUST,2018-19,5.869266326310054
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)","AUST, All industries Total",AUST,2019-20,6.173924989600146
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)","AUST, All industries Total",AUST,2020-21,6.611738393066385
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)","AUST, All industries Total",AUST,2021-22,6.8310052959923615
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)","AUST, All industries Total",AUST,2022-23,6.875848087579538
Table 1.12,"Table 1.12. Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)","AUST, All industries Total",AUST,2023-24p,6.800147512605367
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,NSW,2019-20,22629
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,NSW,2020-21,27202
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,NSW,2021-22,37172
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,NSW,2022-23,22970
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,NSW,2023-24,23366
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,VIC,2019-20,23861
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,VIC,2020-21,17629
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,VIC,2021-22,16300
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,VIC,2022-23,19228
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,VIC,2023-24,19457
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,QLD,2019-20,24225
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,QLD,2020-21,19150
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,QLD,2021-22,13208
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,QLD,2022-23,11698
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,QLD,2023-24,11411
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,SA,2019-20,2071
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,SA,2020-21,2016
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,SA,2021-22,1311
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,SA,2022-23,1882
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,SA,2023-24,2751
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,WA,2019-20,4475
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,WA,2020-21,6027
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,WA,2021-22,4208
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,WA,2022-23,2528
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,WA,2023-24,2254
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,TAS,2019-20,2137
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,TAS,2020-21,3444
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,TAS,2021-22,4198
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,TAS,2022-23,2700
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,TAS,2023-24,1997
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,NT,2019-20,556
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,NT,2020-21,848
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,NT,2021-22,1908
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,NT,2022-23,1667
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,NT,2023-24,2124
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,ACT,2019-20,1480
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,ACT,2020-21,1531
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,ACT,2021-22,2477
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,ACT,2022-23,2765
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,ACT,2023-24,1926
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,Aus Gov,2019-20,3053
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,Aus Gov,2020-21,2696
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,Aus Gov,2021-22,1943
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,Aus Gov,2022-23,1171
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,Aus Gov,2023-24,1426
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,Seacare,2019-20,102
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,Seacare,2020-21,110
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,Seacare,2021-22,82
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,Seacare,2022-23,127
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,Seacare,2023-24,92
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,AUST,2019-20,84589
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,AUST,2020-21,80653
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,AUST,2021-22,82807
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,AUST,2022-23,66736
Table 2.1,"Table 2.1. Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",,AUST,2023-24,66804
Table 2.2,"Table 2.2. Number of workshops, presentations and seminars (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_b)",,NSW,2019-20,837
Table 2.2,"Table 2.2. Number of workshops, presentations and seminars (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_b)",,NSW,2020-21,579
Table 2.2,"Table 2.2. Number of workshops, presentations and seminars (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_b)",,NSW,2021-22,874
Table 2.2,"Table 2.2. Number of workshops, presentations and seminars (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_b)",,NSW,2022-23,1049
Table 2.2,"Table 2.2. Number of workshops, presentations and seminars (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_b)",,NSW,2023-24,781
Table 2.2,"Table 2.2. Number of workshops, presentations and seminars (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_b)",,VIC,2019-20,0
Table 2.2,"Table 2.2. Number of workshops, presentations and seminars (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_b)",,VIC,2020-21,0
Table 2.2,"Table 2.2. Number of workshops, presentations and seminars (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_b)",,VIC,2021-22,0
Table 2.2,"Table 2.2. Number of workshops, presentations and seminars (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_b)",,VIC,2022-23,0
Table 2.2,"Table 2.2. Number of workshops, presentations and seminars (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_b)",,VIC,2023-24,0
Table 2.2,"Table 2.2. Number of workshops, presentations and seminars (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_b)",,QLD,2019-20,2445
Table 2.2,"Table 2.2. Number of workshops, presentations and seminars (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_b)",,QLD,2020-21,1270
Table 2.2,"Table 2.2. Number of workshops, presentations and seminars (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_b)",,QLD,2021-22,992
Table 2.2,"Table 2.2. Number of workshops, presentations and seminars (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_b)",,QLD,2022-23,825
Table 2.2,"Table 2.2. Number of workshops, presentations and seminars (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_b)",,QLD,2023-24,637
Table 2.2,"Table 2.2. Number of workshops, presentations and seminars (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_b)",,SA,2019-20,145
Table 2.2,"Table 2.2. Number of workshops, presentations and seminars (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_b)",,SA,2020-21,119
Table 2.2,"Table 2.2. Number of workshops, presentations and seminars (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_b)",,SA,2021-22,145
Table 2.2,"Table 2.2. Number of workshops, presentations and seminars (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_b)",,SA,2022-23,184
Table 2.2,"Table 2.2. Number of workshops, presentations and seminars (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_b)",,SA,2023-24,334
Table 2.2,"Table 2.2. Number of workshops, presentations and seminars (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_b)",,WA,2019-20,206
Table 2.2,"Table 2.2. Number of workshops, presentations and seminars (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_b)",,WA,2020-21,157
Table 2.2,"Table 2.2. Number of workshops, presentations and seminars (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_b)",,WA,2021-22,143
Table 2.2,"Table 2.2. Number of workshops, presentations and seminars (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_b)",,WA,2022-23,199
Table 2.2,"Table 2.2. Number of workshops, presentations and seminars (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_b)",,WA,2023-24,119
Table 2.2,"Table 2.2. Number of workshops, presentations and seminars (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_b)",,TAS,2019-20,83
Table 2.2,"Table 2.2. Number of workshops, presentations and seminars (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_b)",,TAS,2020-21,55
Table 2.2,"Table 2.2. Number of workshops, presentations and seminars (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_b)",,TAS,2021-22,70
Table 2.2,"Table 2.2. Number of workshops, presentations and seminars (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_b)",,TAS,2022-23,81
Table 2.2,"Table 2.2. Number of workshops, presentations and seminars (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_b)",,TAS,2023-24,51
Table 2.2,"Table 2.2. Number of workshops, presentations and seminars (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_b)",,NT,2019-20,351
Table 2.2,"Table 2.2. Number of workshops, presentations and seminars (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_b)",,NT,2020-21,243
Table 2.2,"Table 2.2. Number of workshops, presentations and seminars (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_b)",,NT,2021-22,100
Table 2.2,"Table 2.2. Number of workshops, presentations and seminars (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_b)",,NT,2022-23,118
Table 2.2,"Table 2.2. Number of workshops, presentations and seminars (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_b)",,NT,2023-24,99
