financial_year,financial_year_total,financial_year_total_resolved,financial_year_percentage_resolved,stream,stream_total,stream_total_resolved,stream_percentage_resolved,act,act_total,act_total_resolved,act_percentage_resolved,application,application_total,application_total_resolved,application_percentage_resolved,count,resolved_at_conference
2020-21,1944,1443,74.20%,Community,8,1,12.50%,Guardianship and Administration,5,1,20.00%,Administration and/or Guardianship Order with/without Special Powers,5,1,20.00%,4,N
2020-21,1944,1443,74.20%,Community,8,1,12.50%,Guardianship and Administration,5,1,20.00%,Administration and/or Guardianship Order with/without Special Powers,5,1,20.00%,1,Y
2020-21,1944,1443,74.20%,Community,8,1,12.50%,Review - Automatic,1,0,0.00%,Review of Special Powers,1,0,0.00%,1,N
2020-21,1944,1443,74.20%,Federal Diversity Jurisdiction,7,4,57.10%,Residential Tenancy,7,4,57.10%,Compensation or bond claim MAG,7,4,57.10%,3,N
2020-21,1944,1443,74.20%,Federal Diversity Jurisdiction,7,4,57.10%,Residential Tenancy,7,4,57.10%,Compensation or bond claim MAG,7,4,57.10%,4,Y
2020-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Housing Improvement Act (H&C),3,2,66.70%,Compensation,2,1,50.00%,1,N
2020-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Housing Improvement Act (H&C),3,2,66.70%,Compensation,2,1,50.00%,1,Y
2020-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Housing Improvement Act (H&C),3,2,66.70%,Exemption from the Act,1,1,100.00%,1,Y
2020-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Residential Parks,2,0,0.00%,Compensation or bond claim (Residential parks),2,0,0.00%,2,N
2020-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Residential Tenancy,1765,1319,74.70%,Bond Dispute Referral,1,1,100.00%,1,Y
2020-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Residential Tenancy,1765,1319,74.70%,Compensation or bond claim,1672,1245,74.50%,427,N
2020-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Residential Tenancy,1765,1319,74.70%,Compensation or bond claim,1672,1245,74.50%,1245,Y
2020-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Residential Tenancy,1765,1319,74.70%,Domestic Violence,3,2,66.70%,1,N
2020-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Residential Tenancy,1765,1319,74.70%,Domestic Violence,3,2,66.70%,2,Y
2020-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Residential Tenancy,1765,1319,74.70%,Frustration,4,4,100.00%,4,Y
2020-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Residential Tenancy,1765,1319,74.70%,Hardship or domestic violence,10,4,40.00%,6,N
2020-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Residential Tenancy,1765,1319,74.70%,Hardship or domestic violence,10,4,40.00%,4,Y
2020-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Residential Tenancy,1765,1319,74.70%,"HIA order, exemption from the Act, database (eg TICA) or mortgage in possession",3,3,100.00%,3,Y
2020-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Residential Tenancy,1765,1319,74.70%,Return of goods,1,0,0.00%,1,N
2020-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Residential Tenancy,1765,1319,74.70%,"Termination and/or possession (conduct, illegal use of premises or abandonment)",25,23,92.00%,2,N
2020-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Residential Tenancy,1765,1319,74.70%,"Termination and/or possession (conduct, illegal use of premises or abandonment)",25,23,92.00%,23,Y
2020-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Residential Tenancy,1765,1319,74.70%,"Vacant possession (breach, end of lease or non-compliance)",46,37,80.40%,9,N
2020-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Residential Tenancy,1765,1319,74.70%,"Vacant possession (breach, end of lease or non-compliance)",46,37,80.40%,37,Y
2020-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Retirement Villages,12,8,66.70%,Resolution of dispute between resident and administering authority,10,8,80.00%,2,N
2020-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Retirement Villages,12,8,66.70%,Resolution of dispute between resident and administering authority,10,8,80.00%,8,Y
2020-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Retirement Villages,12,8,66.70%,Review of fees and charges,1,0,0.00%,1,N
2020-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Retirement Villages,12,8,66.70%,Termination and/or possession,1,0,0.00%,1,N
2020-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Rooming House,36,33,91.70%,Compensation or bond claim (Rooming House),35,32,91.40%,3,N
2020-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Rooming House,36,33,91.70%,Compensation or bond claim (Rooming House),35,32,91.40%,32,Y
2020-21,1944,1443,74.20%,Housing & Civil,1818,1362,74.90%,Rooming House,36,33,91.70%,"Vacant possession (breach, end of lease or frustration)",1,1,100.00%,1,Y
2021-22,1753,1236,70.5%,Community,3,0,0.0%,Advance Care Directives,1,0,0.0%,Revoke an Advance Care Directive,1,0,0.0%,1,N
2021-22,1753,1236,70.5%,Community,3,0,0.0%,Guardianship and Administration,2,0,0.0%,Administration and/or Guardianship Order with/without Special Powers,2,0,0.0%,2,N
2021-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Housing Improvement Act (H&C),3,2,66.7%,Compensation,3,2,66.7%,1,N
2021-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Housing Improvement Act (H&C),3,2,66.7%,Compensation,3,2,66.7%,2,Y
2021-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Residential Parks,2,2,100.0%,Compensation or bond claim (Residential parks),1,1,100.0%,1,Y
2021-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Residential Parks,2,2,100.0%,"Termination and/or possession (conduct, illegal use of premises or abandonment)",1,1,100.0%,1,Y
2021-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Residential Tenancy,1671,1176,70.4%,Compensation or bond claim,1563,1092,69.9%,471,N
2021-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Residential Tenancy,1671,1176,70.4%,Compensation or bond claim,1563,1092,69.9%,1092,Y
2021-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Residential Tenancy,1671,1176,70.4%,Domestic Violence,1,1,100.0%,1,Y
2021-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Residential Tenancy,1671,1176,70.4%,Frustration,8,5,62.5%,3,N
2021-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Residential Tenancy,1671,1176,70.4%,Frustration,8,5,62.5%,5,Y
2021-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Residential Tenancy,1671,1176,70.4%,Hardship or domestic violence,12,6,50.0%,6,N
2021-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Residential Tenancy,1671,1176,70.4%,Hardship or domestic violence,12,6,50.0%,6,Y
2021-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Residential Tenancy,1671,1176,70.4%,"HIA order, exemption from the Act, database (eg TICA) or mortgage in possession",2,1,50.0%,1,N
2021-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Residential Tenancy,1671,1176,70.4%,"HIA order, exemption from the Act, database (eg TICA) or mortgage in possession",2,1,50.0%,1,Y
2021-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Residential Tenancy,1671,1176,70.4%,"Termination and/or possession (conduct, illegal use of premises or abandonment)",29,26,89.7%,3,N
2021-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Residential Tenancy,1671,1176,70.4%,"Termination and/or possession (conduct, illegal use of premises or abandonment)",29,26,89.7%,26,Y
2021-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Residential Tenancy,1671,1176,70.4%,"Vacant possession (breach, end of lease or non-compliance)",56,45,80.4%,11,N
2021-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Residential Tenancy,1671,1176,70.4%,"Vacant possession (breach, end of lease or non-compliance)",56,45,80.4%,45,Y
2021-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Retirement Villages,7,2,28.6%,Resolution of dispute between resident and administering authority,3,0,0.0%,3,N
2021-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Retirement Villages,7,2,28.6%,Termination and/or possession,3,1,33.3%,2,N
2021-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Retirement Villages,7,2,28.6%,Termination and/or possession,3,1,33.3%,1,Y
2021-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Retirement Villages,7,2,28.6%,Vary or set aside a previous order,1,1,100.0%,1,Y
2021-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Rooming House,67,54,80.6%,Compensation or bond claim (Rooming House),60,48,80.0%,12,N
2021-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Rooming House,67,54,80.6%,Compensation or bond claim (Rooming House),60,48,80.0%,48,Y
2021-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Rooming House,67,54,80.6%,"Termination and/or possession (conduct, illegal use of premises, hardship or abandonment)",4,4,100.0%,4,Y
2021-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Rooming House,67,54,80.6%,"Vacant possession (breach, end of lease or frustration)",3,2,66.7%,1,N
2021-22,1753,1236,70.5%,Housing & Civil,1750,1236,70.6%,Rooming House,67,54,80.6%,"Vacant possession (breach, end of lease or frustration)",3,2,66.7%,2,Y
2022-23,1728,1219,70.5%,Administrative and Disciplinary,3,1,33.3%,Community Housing Act,1,1,100.0%,Review of Community Housing Provider decision,1,1,100.0%,1,Y
2022-23,1728,1219,70.5%,Administrative and Disciplinary,3,1,33.3%,Equal Opportunity Act,1,0,0.0%,Complaint (Equal Opportunity Act),1,0,0.0%,1,N
2022-23,1728,1219,70.5%,Administrative and Disciplinary,3,1,33.3%,Valuation of Land Act,1,0,0.0%,Land valuation review,1,0,0.0%,1,N
2022-23,1728,1219,70.5%,Community,5,0,0.0%,Guardianship (existing orders),1,0,0.0%,Request for variation or revocation of Guardianship Order,1,0,0.0%,1,N
2022-23,1728,1219,70.5%,Community,5,0,0.0%,Guardianship and Administration,1,0,0.0%,Administration and/or Guardianship Order with/without Special Powers,1,0,0.0%,1,N
2022-23,1728,1219,70.5%,Community,5,0,0.0%,Review - Automatic,3,0,0.0%,"Review of Administration, Guardianship and Special Powers",1,0,0.0%,1,N
2022-23,1728,1219,70.5%,Community,5,0,0.0%,Review - Automatic,3,0,0.0%,Review of Guardianship and Special Powers,1,0,0.0%,1,N
2022-23,1728,1219,70.5%,Community,5,0,0.0%,Review - Automatic,3,0,0.0%,Review of Special Powers,1,0,0.0%,1,N
2022-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Housing Improvement Act (H&C),2,1,50.0%,Compensation,2,1,50.0%,1,N
2022-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Housing Improvement Act (H&C),2,1,50.0%,Compensation,2,1,50.0%,1,Y
2022-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Residential Parks,8,7,87.5%,Compensation or bond claim (Residential parks),5,5,100.0%,5,Y
2022-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Residential Parks,8,7,87.5%,Hardship (Parks),3,2,66.7%,1,N
2022-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Residential Parks,8,7,87.5%,Hardship (Parks),3,2,66.7%,2,Y
2022-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Residential Tenancy,1653,1169,70.7%,Bond Dispute Referral,1,1,100.0%,1,Y
2022-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Residential Tenancy,1653,1169,70.7%,Compensation or bond claim,1554,1102,70.9%,452,N
2022-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Residential Tenancy,1653,1169,70.7%,Compensation or bond claim,1554,1102,70.9%,1102,Y
2022-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Residential Tenancy,1653,1169,70.7%,Domestic Violence,1,1,100.0%,1,Y
2022-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Residential Tenancy,1653,1169,70.7%,Frustration,6,1,16.7%,5,N
2022-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Residential Tenancy,1653,1169,70.7%,Frustration,6,1,16.7%,1,Y
2022-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Residential Tenancy,1653,1169,70.7%,Hardship or domestic violence,13,8,61.5%,5,N
2022-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Residential Tenancy,1653,1169,70.7%,Hardship or domestic violence,13,8,61.5%,8,Y
2022-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Residential Tenancy,1653,1169,70.7%,"HIA order, exemption from the Act, database (eg TICA) or mortgage in possession",2,2,100.0%,2,Y
2022-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Residential Tenancy,1653,1169,70.7%,Return of goods,1,1,100.0%,1,Y
2022-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Residential Tenancy,1653,1169,70.7%,"Termination and/or possession (conduct, illegal use of premises or abandonment)",32,22,68.8%,10,N
2022-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Residential Tenancy,1653,1169,70.7%,"Termination and/or possession (conduct, illegal use of premises or abandonment)",32,22,68.8%,22,Y
2022-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Residential Tenancy,1653,1169,70.7%,"Vacant possession (breach, end of lease or non-compliance)",43,31,72.1%,12,N
2022-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Residential Tenancy,1653,1169,70.7%,"Vacant possession (breach, end of lease or non-compliance)",43,31,72.1%,31,Y
2022-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Retirement Villages,12,6,50.0%,Resolution of dispute between resident and administering authority,9,3,33.3%,6,N
2022-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Retirement Villages,12,6,50.0%,Resolution of dispute between resident and administering authority,9,3,33.3%,3,Y
2022-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Retirement Villages,12,6,50.0%,Retirement Village Rules,1,1,100.0%,1,Y
2022-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Retirement Villages,12,6,50.0%,Termination and/or possession,2,2,100.0%,2,Y
2022-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Rooming House,43,33,76.7%,Compensation or bond claim (Rooming House),43,33,76.7%,10,N
2022-23,1728,1219,70.5%,Housing & Civil,1718,1216,70.8%,Rooming House,43,33,76.7%,Compensation or bond claim (Rooming House),43,33,76.7%,33,Y
2022-23,1728,1219,70.5%,Procedural,1,1,100.0%,Procedural,1,1,100.0%,Procedural (other),1,1,100.0%,1,Y
2022-23,1728,1219,70.5%,SACAT Internal Review,1,1,100.0%,Internal Review Housing & Civil,1,1,100.0%,Internal Review of Decision (Housing & Civil),1,1,100.0%,1,Y
