Postcode,Age,Sex,Total
5000,41,Male,89
5000,42,Female,72
5000,42,Male,72
5000,42,Not listed,1
5000,43,Female,51
5000,43,Male,90
5000,44,Female,59
5000,44,Male,85
5000,45,Female,61
5000,45,Male,88
5000,46,Female,56
5000,46,Male,82
5000,47,Female,55
5000,47,Male,86
5000,48,Female,58
5000,48,Male,101
5000,49,Female,52
5000,49,Male,68
5000,50,Female,41
5000,50,Male,94
5000,51,Female,44
5000,51,Male,61
5000,52,Female,61
5000,52,Male,77
5000,53,Female,69
5000,53,Male,56
5000,54,Female,65
5000,54,Male,77
5000,55,Female,71
5000,55,Male,91
5000,56,Female,47
5000,56,Male,97
5000,57,Female,72
5000,57,Male,104
5000,58,Female,63
5000,58,Male,76
5000,59,Female,57
5000,59,Male,83
5000,60,Female,65
5000,60,Male,84
5000,61,Female,50
5000,61,Male,77
5000,62,Female,76
5000,62,Male,66
5000,63,Female,51
5000,63,Male,68
5000,64,Female,49
5000,64,Male,64
5000,65,Female,49
5000,65,Male,80
5000,66,Female,50
5000,66,Male,43
5000,67,Female,55
5000,67,Male,56
5000,68,Female,43
5000,68,Male,56
5000,69,Female,51
5000,69,Male,68
5000,70,Female,50
5000,70,Male,57
5000,71,Female,60
5000,71,Male,49
5000,72,Female,58
5000,72,Male,54
5000,73,Female,38
5000,73,Male,39
5000,74,Female,41
5000,74,Male,47
5000,75,Female,35
5000,75,Male,41
5000,76,Female,18
5000,76,Male,31
5000,77,Female,21
5000,77,Male,22
5000,78,Female,14
5000,78,Male,25
5000,79,Female,19
5000,79,Male,21
5000,80,Female,9
5000,80,Male,15
5000,81,Female,9
5000,81,Male,14
5000,82,Female,12
5000,82,Male,10
5000,83,Female,4
5000,83,Male,14
5000,84,Male,7
5000,85,Female,2
5000,85,Male,7
5000,86,Female,4
5000,86,Male,3
5000,87,Female,7
5000,87,Male,1
5000,88,Female,1
5000,88,Male,3
5000,89,Female,2
5000,89,Male,3
5000,90,Female,2
5000,90,Male,6
5000,91,Female,1
5000,91,Male,1
5000,92,Female,1
5000,92,Male,1
5000,93,Male,2
5000,94,Female,1
5000,101,Male,1
5001,16,Female,1
5001,16,Male,1
5001,17,Male,1
5001,18,Female,2
5001,18,Male,1
5001,19,Female,3
5001,19,Male,2
5001,20,Female,5
5001,20,Male,1
5001,21,Male,4
5001,22,Female,5
5001,22,Male,1
5001,23,Female,2
5001,23,Male,3
5001,24,Female,2
5001,24,Male,2
5001,25,Male,4
5001,26,Female,1
5001,26,Male,1
5001,27,Female,2
5001,28,Female,1
5001,28,Male,5
5001,29,Female,4
5001,29,Male,3
5001,30,Female,1
5001,30,Male,3
5001,31,Female,6
5001,31,Male,1
5001,32,Female,5
5001,32,Male,4
5001,33,Female,2
5001,33,Male,5
5001,34,Female,6
5001,34,Male,7
5001,35,Female,3
5001,35,Male,5
5001,36,Female,1
5001,36,Male,7
5001,37,Female,5
5001,37,Male,5
5001,38,Female,7
5001,38,Male,6
5001,39,Female,2
5001,39,Male,10
5001,40,Female,9
5001,40,Male,1
5001,41,Female,10
5001,41,Male,5
5001,42,Female,6
5001,42,Male,8
5001,43,Female,2
5001,43,Male,12
5001,44,Female,1
5001,44,Male,7
5001,45,Female,5
5001,45,Male,7
5001,46,Female,5
5001,46,Male,11
5001,47,Female,1
5001,47,Male,13
5001,48,Female,4
5001,48,Male,14
5001,49,Female,9
5001,49,Male,11
5001,50,Female,4
5001,50,Male,5
5001,51,Female,4
5001,51,Male,8
5001,52,Female,8
5001,52,Male,9
5001,53,Female,6
5001,53,Male,10
5001,54,Female,4
5001,54,Male,6
5001,55,Female,3
5001,55,Male,8
5001,56,Female,7
5001,56,Male,16
5001,57,Female,7
5001,57,Male,9
5001,58,Female,3
5001,58,Male,13
5001,59,Female,3
5001,59,Male,11
5001,60,Female,6
5001,60,Male,4
5001,61,Female,5
5001,61,Male,12
5001,62,Female,11
5001,62,Male,10
5001,63,Female,6
5001,63,Male,11
5001,64,Female,5
5001,64,Male,6
5001,65,Female,2
5001,65,Male,13
5001,66,Female,5
5001,66,Male,15
5001,67,Female,7
5001,67,Male,10
5001,68,Female,5
5001,68,Male,13
5001,69,Female,6
5001,69,Male,5
5001,70,Female,2
5001,70,Male,5
5001,71,Male,6
5001,72,Female,3
5001,72,Male,5
5001,73,Female,2
5001,73,Male,4
5001,74,Female,1
5001,74,Male,4
5001,75,Female,3
5001,75,Male,2
5001,76,Male,5
5001,77,Female,2
5001,77,Male,3
5001,78,Male,2
5001,79,Male,2
5001,80,Female,1
5001,80,Male,1
5001,81,Male,2
5001,82,Female,2
5001,83,Male,1
5001,84,Male,1
5001,85,Male,2
5001,86,Female,2
5001,86,Male,1
5001,87,Male,1
5005,34,Male,1
5005,35,Male,1
5005,41,Female,1
5005,48,Male,1
5005,60,Male,1
5006,16,Female,12
5006,16,Male,13
5006,17,Female,15
5006,17,Male,8
5006,18,Female,17
5006,18,Male,22
5006,19,Female,26
5006,19,Male,26
5006,20,Female,30
5006,20,Male,27
5006,21,Female,34
5006,21,Male,32
5006,22,Female,42
5006,22,Male,30
5006,23,Female,38
5006,23,Male,34
5006,23,Not listed,1
5006,24,Female,32
5006,24,Male,34
5006,25,Female,48
5006,25,Male,38
5006,26,Female,33
5006,26,Male,50
5006,27,Female,43
5006,27,Male,40
5006,28,Female,27
5006,28,Male,54
5006,29,Female,48
5006,29,Male,34
5006,30,Female,43
5006,30,Male,40
5006,31,Female,49
5006,31,Male,38
5006,31,Not listed,1
5006,32,Female,40
5006,32,Male,48
5006,32,Not listed,1
5006,33,Female,39
5006,33,Male,33
5006,34,Female,54
5006,34,Male,56
5006,35,Female,50
5006,35,Male,45
5006,36,Female,38
5006,36,Male,43
5006,37,Female,38
5006,37,Male,33
5006,38,Female,42
5006,38,Male,45
5006,39,Female,32
5006,39,Gender X,1
5006,39,Male,37
5006,40,Female,34
5006,40,Male,36
5006,41,Female,33
5006,41,Male,37
5006,42,Female,21
5006,42,Male,41
5006,43,Female,29
5006,43,Male,30
5006,44,Female,25
5006,44,Male,30
5006,45,Female,26
5006,45,Male,24
5006,46,Female,40
5006,46,Male,42
5006,47,Female,36
5006,47,Male,50
5006,48,Female,31
5006,48,Male,39
5006,49,Female,42
5006,49,Male,41
5006,50,Female,31
5006,50,Male,30
5006,51,Female,33
5006,51,Male,31
5006,52,Female,35
5006,52,Male,41
5006,53,Female,37
5006,53,Male,25
5006,54,Female,40
5006,54,Male,36
5006,55,Female,44
5006,55,Male,40
5006,56,Female,49
5006,56,Male,47
5006,57,Female,51
5006,57,Male,46
5006,58,Female,44
5006,58,Male,46
5006,59,Female,32
5006,59,Male,42
5006,60,Female,39
5006,60,Male,44
5006,61,Female,36
5006,61,Male,29
5006,62,Female,33
5006,62,Male,61
5006,63,Female,48
5006,63,Male,34
5006,64,Female,38
5006,64,Male,48
5006,65,Female,41
5006,65,Male,43
5006,66,Female,40
5006,66,Male,43
5006,67,Female,45
5006,67,Male,50
5006,68,Female,48
5006,68,Male,46
5006,69,Female,53
5006,69,Male,45
5006,70,Female,39
5006,70,Male,52
5006,71,Female,36
5006,71,Male,46
5006,72,Female,37
5006,72,Male,51
5006,73,Female,36
5006,73,Male,45
5006,74,Female,42
5006,74,Male,26
5006,75,Female,31
5006,75,Male,33
5006,76,Female,24
5006,76,Male,30
5006,77,Female,27
5006,77,Male,15
5006,78,Female,18
5006,78,Male,22
5006,79,Female,22
5006,79,Male,19
5006,80,Female,17
5006,80,Male,25
5006,81,Female,16
5006,81,Male,12
5006,82,Female,17
5006,82,Male,17
5006,83,Female,7
5006,83,Male,12
5006,84,Female,4
5006,84,Male,10
5006,85,Female,6
5006,85,Male,6
5006,86,Female,8
5006,86,Male,5
5006,87,Female,1
5006,87,Male,5
5006,88,Female,6
5006,88,Male,2
5006,89,Female,2
5006,89,Male,2
5006,90,Male,5
5006,91,Female,3
5006,91,Male,3
5006,92,Female,1
5006,92,Male,2
5006,93,Female,2
5006,93,Male,3
5006,95,Female,2
5006,98,Male,1
5007,16,Female,17
5007,16,Male,16
5007,17,Female,19
5007,17,Male,11
5007,18,Female,28
5007,18,Male,24
5007,19,Female,31
5007,19,Male,30
5007,20,Female,37
5007,20,Male,28
5007,21,Female,49
5007,21,Male,47
5007,22,Female,60
5007,22,Male,32
5007,23,Female,54
5007,23,Male,55
5007,24,Female,52
5007,24,Male,78
5007,25,Female,58
5007,25,Male,77
5007,26,Female,70
5007,26,Male,87
5007,27,Female,80
5007,27,Gender X,1
5007,27,Male,84
5007,28,Female,68
5007,28,Male,85
5007,29,Female,75
5007,29,Male,91
5007,30,Female,74
5007,30,Male,72
5007,31,Female,64
5007,31,Male,90
5007,32,Female,74
5007,32,Male,83
5007,32,Not listed,1
5007,33,Female,63
5007,33,Male,78
5007,34,Female,53
5007,34,Male,59
5007,34,Not listed,1
5007,35,Female,62
5007,35,Male,83
5007,36,Female,55
5007,36,Male,67
5007,37,Female,54
5007,37,Male,77
5007,38,Female,62
5007,38,Male,39
5007,39,Female,51
5007,39,Male,46
5007,40,Female,51
5007,40,Male,47
5007,41,Female,35
5007,41,Male,59
5007,42,Female,43
5007,42,Male,48
5007,43,Female,44
5007,43,Male,51
5007,44,Female,36
5007,44,Male,58
5007,45,Female,38
5007,45,Male,36
5007,46,Female,44
5007,46,Male,54
5007,47,Female,46
5007,47,Male,57
5007,48,Female,49
5007,48,Male,43
5007,49,Female,43
5007,49,Male,41
5007,50,Female,42
5007,50,Male,56
5007,51,Female,45
5007,51,Male,51
5007,52,Female,42
5007,52,Male,52
5007,53,Female,41
5007,53,Male,41
5007,54,Female,49
5007,54,Male,35
5007,55,Female,50
5007,55,Male,41
5007,56,Female,41
5007,56,Male,52
5007,57,Female,47
5007,57,Male,39
5007,58,Female,40
5007,58,Male,39
5007,59,Female,37
5007,59,Male,49
5007,60,Female,42
5007,60,Male,43
5007,60,Not listed,1
5007,61,Female,39
5007,61,Male,36
5007,62,Female,35
5007,62,Male,26
5007,63,Female,28
5007,63,Male,40
5007,64,Female,34
5007,64,Male,43
5007,65,Female,36
5007,65,Male,28
5007,66,Female,25
5007,66,Male,28
5007,67,Female,27
5007,67,Male,33
5007,68,Female,23
5007,68,Male,31
5007,69,Female,21
5007,69,Male,24
5007,70,Female,20
5007,70,Male,22
5007,71,Female,16
5007,71,Male,20
5007,72,Female,10
5007,72,Male,28
5007,73,Female,12
5007,73,Male,23
5007,74,Female,15
5007,74,Male,14
5007,75,Female,8
5007,75,Male,13
5007,76,Female,10
5007,76,Male,15
5007,77,Female,6
5007,77,Male,14
5007,78,Female,13
5007,78,Male,7
5007,79,Female,7
5007,79,Male,10
5007,80,Female,8
5007,80,Male,14
5007,81,Female,7
5007,81,Male,9
5007,82,Female,3
5007,82,Male,4
5007,83,Female,3
5007,83,Male,5
5007,84,Female,5
5007,84,Male,4
5007,85,Male,4
5007,86,Female,1
5007,86,Male,5
5007,87,Male,5
5007,88,Female,1
5007,88,Male,1
5007,89,Male,2
5007,90,Female,1
5007,90,Male,5
5007,91,Male,2
5007,92,Male,2
5007,93,Female,1
5008,16,Female,27
5008,16,Male,44
5008,17,Female,52
5008,17,Male,56
5008,18,Female,51
5008,18,Male,52
5008,19,Female,54
5008,19,Male,58
5008,20,Female,65
5008,20,Gender X,1
5008,20,Male,86
5008,21,Female,64
5008,21,Male,80
5008,22,Female,78
5008,22,Male,92
5008,23,Female,102
5008,23,Male,82
5008,24,Female,94
5008,24,Male,86
5008,25,Female,109
5008,25,Male,113
5008,26,Female,110
5008,26,Male,100
5008,26,Not listed,1
5008,27,Female,103
5008,27,Male,111
5008,28,Female,103
5008,28,Male,105
5008,29,Female,90
5008,29,Male,106
5008,30,Female,99
5008,30,Male,116
5008,31,Female,111
5008,31,Male,142
5008,32,Female,103
5008,32,Male,121
5008,33,Female,98
5008,33,Gender X,1
5008,33,Male,117
5008,34,Female,105
5008,34,Male,114
5008,35,Female,94
5008,35,Male,113
5008,36,Female,94
5008,36,Male,108
5008,37,Female,86
5008,37,Male,109
5008,38,Female,92
5008,38,Male,79
5008,39,Female,85
5008,39,Male,86
5008,40,Female,53
5008,40,Male,86
5008,41,Female,68
5008,41,Male,89
5008,42,Female,60
5008,42,Male,82
5008,43,Female,68
5008,43,Male,80
5008,44,Female,64
5008,44,Male,89
5008,45,Female,73
5008,45,Male,75
5008,46,Female,81
5008,46,Male,76
5008,47,Female,88
5008,47,Male,94
5008,48,Female,95
5008,48,Male,76
5008,48,Not listed,1
5008,49,Female,75
5008,49,Male,80
5008,50,Female,88
5008,50,Male,85
5008,51,Female,80
5008,51,Male,102
5008,52,Female,68
5008,52,Male,83
5008,53,Female,71
5008,53,Male,78
5008,54,Female,78
5008,54,Male,87
5008,55,Female,72
5008,55,Male,84
5008,56,Female,77
5008,56,Male,79
5008,57,Female,55
5008,57,Male,78
5008,58,Female,82
5008,58,Male,72
5008,59,Female,70
5008,59,Male,71
5008,60,Female,73
5008,60,Male,79
5008,61,Female,44
5008,61,Male,77
5008,62,Female,63
5008,62,Male,62
5008,63,Female,65
5008,63,Male,82
5008,64,Female,51
5008,64,Male,58
5008,65,Female,47
5008,65,Male,65
5008,66,Female,56
5008,66,Male,60
5008,67,Female,44
5008,67,Male,56
5008,68,Female,46
5008,68,Male,46
5008,69,Female,36
5008,69,Male,58
5008,70,Female,37
5008,70,Male,46
5008,71,Female,35
5008,71,Male,39
5008,72,Female,40
5008,72,Male,39
5008,73,Female,25
5008,73,Male,46
5008,74,Female,25
5008,74,Male,26
5008,75,Female,30
5008,75,Male,35
5008,76,Female,17
5008,76,Male,19
5008,77,Female,12
5008,77,Male,20
5008,78,Female,11
5008,78,Male,19
5008,79,Female,11
5008,79,Male,21
5008,80,Female,17
5008,80,Male,26
5008,81,Female,14
5008,81,Male,27
5008,82,Female,11
5008,82,Male,27
5008,83,Female,10
5008,83,Male,17
5008,84,Female,7
5008,84,Male,5
5008,85,Female,7
5008,85,Male,14
5008,86,Female,3
5008,86,Male,10
5008,87,Female,3
5008,87,Male,9
5008,88,Female,4
5008,88,Male,8
5008,89,Female,5
5008,89,Male,9
5008,90,Female,1
5008,90,Male,3
5008,91,Female,2
5008,91,Male,4
5008,92,Female,3
5008,92,Male,1
5008,93,Female,2
5008,93,Male,1
5008,94,Male,3
5008,95,Male,1
5008,96,Female,1
5009,16,Female,23
5009,16,Male,16
5009,17,Female,20
5009,17,Male,26
5009,18,Female,30
5009,18,Male,20
5009,19,Female,22
5009,19,Male,32
5009,20,Female,26
5009,20,Gender X,1
5009,20,Male,21
5009,21,Female,25
5009,21,Male,26
5009,22,Female,26
5009,22,Male,39
5009,23,Female,30
5009,23,Male,30
5009,24,Female,43
5009,24,Male,38
5009,25,Female,37
5009,25,Male,47
5009,26,Female,34
5009,26,Male,44
5009,27,Female,27
5009,27,Male,35
5009,28,Female,33
5009,28,Male,38
5009,29,Female,45
5009,29,Male,49
5009,30,Female,31
5009,30,Male,35
5009,31,Female,38
5009,31,Male,40
5009,32,Female,37
5009,32,Male,30
5009,33,Female,26
5009,33,Male,46
5009,34,Female,40
5009,34,Male,39
5009,35,Female,41
5009,35,Male,33
5009,36,Female,43
5009,36,Male,36
5009,37,Female,42
5009,37,Male,42
5009,38,Female,42
5009,38,Male,41
5009,38,Not listed,1
5009,39,Female,24
5009,39,Male,35
5009,40,Female,29
5009,40,Male,35
5009,41,Female,36
5009,41,Male,26
5009,42,Female,18
5009,42,Male,35
5009,43,Female,34
5009,43,Male,37
5009,44,Female,42
5009,44,Male,32
5009,45,Female,30
5009,45,Male,30
5009,46,Female,41
5009,46,Male,39
5009,47,Female,36
5009,47,Male,36
5009,48,Female,42
5009,48,Male,37
5009,49,Female,34
5009,49,Male,50
5009,50,Female,45
5009,50,Male,43
5009,51,Female,52
5009,51,Male,38
5009,52,Female,31
5009,52,Male,56
5009,53,Female,24
5009,53,Male,38
5009,54,Female,32
5009,54,Male,33
5009,55,Female,33
5009,55,Male,43
5009,56,Female,30
5009,56,Male,34
5009,57,Female,37
5009,57,Male,37
5009,58,Female,30
5009,58,Male,35
5009,59,Female,35
5009,59,Male,38
5009,60,Female,23
5009,60,Male,25
5009,61,Female,37
5009,61,Male,38
5009,62,Female,23
5009,62,Male,34
5009,63,Female,22
5009,63,Male,30
5009,64,Female,26
5009,64,Male,29
5009,65,Female,25
5009,65,Male,35
5009,66,Female,18
5009,66,Male,24
5009,67,Female,25
5009,67,Male,26
5009,68,Female,16
5009,68,Male,25
5009,69,Female,18
5009,69,Male,18
5009,70,Female,20
5009,70,Male,17
5009,71,Female,17
5009,71,Male,23
5009,72,Female,21
5009,72,Male,15
5009,73,Female,12
5009,73,Male,20
5009,74,Female,15
5009,74,Male,14
5009,75,Female,8
5009,75,Male,9
5009,76,Female,12
5009,76,Male,14
5009,77,Female,7
5009,77,Male,7
5009,78,Female,7
5009,78,Male,11
5009,79,Female,14
5009,79,Male,14
5009,80,Female,9
5009,80,Male,13
5009,81,Female,5
5009,81,Male,11
5009,82,Female,7
5009,82,Male,6
5009,83,Female,3
5009,83,Male,4
5009,84,Female,6
5009,84,Male,7
5009,85,Female,5
5009,85,Male,13
5009,86,Female,3
5009,86,Male,1
5009,87,Female,1
5009,87,Male,3
5009,88,Female,1
5009,88,Male,2
5009,89,Female,2
5009,89,Male,1
5009,90,Female,1
5009,90,Male,2
5009,91,Male,2
5009,93,Male,1
5009,94,Male,1
5010,16,Female,17
5010,16,Male,16
5010,17,Female,31
5010,17,Male,18
5010,18,Female,30
5010,18,Male,34
5010,19,Female,29
5010,19,Male,32
5010,20,Female,22
5010,20,Male,40
5010,21,Female,34
5010,21,Male,32
5010,22,Female,28
5010,22,Male,40
5010,23,Female,40
5010,23,Gender X,1
5010,23,Male,36
5010,23,Not listed,1
5010,24,Female,37
5010,24,Male,43
5010,25,Female,35
5010,25,Male,42
5010,26,Female,39
5010,26,Male,40
5010,27,Female,28
5010,27,Male,45
5010,28,Female,28
5010,28,Male,42
5010,29,Female,42
5010,29,Male,39
5010,30,Female,46
5010,30,Male,44
5010,31,Female,40
5010,31,Male,44
5010,32,Female,40
5010,32,Male,46
5010,33,Female,40
5010,33,Male,30
5010,34,Female,37
5010,34,Male,49
5010,35,Female,40
5010,35,Male,37
5010,36,Female,36
5010,36,Male,41
5010,37,Female,39
5010,37,Male,35
5010,38,Female,46
5010,38,Male,36
5010,38,Not listed,1
5010,39,Female,37
5010,39,Male,40
5010,40,Female,26
5010,40,Male,48
5010,41,Female,47
5010,41,Male,31
5010,42,Female,27
5010,42,Male,27
5010,43,Female,35
5010,43,Male,37
5010,44,Female,34
5010,44,Male,39
5010,45,Female,48
5010,45,Male,31
5010,46,Female,40
5010,46,Male,44
5010,47,Female,45
5010,47,Male,41
5010,48,Female,43
5010,48,Male,37
5010,49,Female,39
5010,49,Male,34
5010,50,Female,31
5010,50,Male,39
5010,51,Female,35
5010,51,Male,33
5010,52,Female,45
5010,52,Male,50
5010,53,Female,25
5010,53,Male,41
5010,54,Female,31
5010,54,Male,36
5010,55,Female,26
5010,55,Male,27
5010,56,Female,24
5010,56,Male,33
5010,57,Female,28
5010,57,Male,32
5010,58,Female,27
5010,58,Male,35
5010,59,Female,40
5010,59,Male,39
5010,60,Female,31
5010,60,Male,29
5010,61,Female,27
5010,61,Male,26
5010,62,Female,12
5010,62,Male,33
5010,63,Female,19
5010,63,Male,26
5010,64,Female,20
5010,64,Male,18
5010,65,Female,27
5010,65,Male,30
5010,66,Female,15
5010,66,Male,23
5010,67,Female,16
5010,67,Male,19
5010,68,Female,20
5010,68,Male,20
5010,69,Female,8
5010,69,Male,20
5010,70,Female,14
5010,70,Male,12
5010,71,Female,12
5010,71,Male,24
5010,72,Female,22
5010,72,Male,19
5010,73,Female,14
5010,73,Male,15
5010,74,Female,9
5010,74,Male,9
5010,75,Female,2
5010,75,Male,9
5010,76,Female,6
5010,76,Male,13
5010,77,Female,2
5010,77,Male,8
5010,78,Female,6
5010,78,Male,14
5010,79,Female,3
5010,79,Male,10
5010,80,Female,4
5010,80,Male,7
5010,81,Female,3
5010,81,Male,7
5010,82,Female,3
5010,82,Male,3
5010,83,Female,1
5010,83,Male,7
5010,84,Female,2
5010,84,Male,6
5010,85,Female,2
5010,85,Male,6
5010,86,Male,1
5010,87,Female,2
5010,87,Male,5
5010,88,Male,2
5010,89,Female,1
5010,89,Male,3
5010,90,Male,1
5010,93,Male,1
5011,16,Female,30
5011,16,Male,40
5011,17,Female,55
5011,17,Male,53
5011,18,Female,53
5011,18,Male,56
5011,19,Female,64
5011,19,Male,72
5011,20,Female,64
5011,20,Male,78
5011,21,Female,74
5011,21,Male,90
5011,22,Female,76
5011,22,Male,72
5011,23,Female,96
5011,23,Male,84
5011,24,Female,88
5011,24,Male,92
5011,25,Female,84
5011,25,Male,118
5011,26,Female,107
5011,26,Male,93
5011,27,Female,103
5011,27,Male,108
5011,28,Female,112
5011,28,Male,118
5011,29,Female,107
5011,29,Male,125
5011,30,Female,134
5011,30,Male,138
5011,31,Female,101
5011,31,Male,104
5011,32,Female,109
5011,32,Male,114
5011,33,Female,93
5011,33,Male,134
5011,34,Female,111
5011,34,Male,109
5011,35,Female,100
5011,35,Male,105
5011,36,Female,98
5011,36,Male,98
5011,37,Female,93
5011,37,Male,106
5011,38,Female,78
5011,38,Male,95
5011,39,Female,72
5011,39,Male,77
5011,40,Female,77
5011,40,Male,84
5011,41,Female,94
5011,41,Male,88
5011,42,Female,74
5011,42,Male,65
5011,43,Female,82
5011,43,Male,84
5011,44,Female,79
5011,44,Male,84
5011,45,Female,83
5011,45,Male,78
5011,46,Female,66
5011,46,Male,73
5011,47,Female,64
5011,47,Male,99
5011,48,Female,76
5011,48,Male,78
5011,49,Female,82
5011,49,Male,78
5011,50,Female,92
5011,50,Male,78
5011,51,Female,68
5011,51,Male,80
5011,52,Female,71
5011,52,Male,88
5011,53,Female,83
5011,53,Male,82
5011,54,Female,66
5011,54,Male,87
5011,55,Female,91
5011,55,Male,78
5011,56,Female,65
5011,56,Male,84
5011,57,Female,87
5011,57,Male,71
5011,58,Female,68
5011,58,Male,70
5011,59,Female,63
5011,59,Male,85
5011,60,Female,66
5011,60,Male,65
5011,61,Female,68
5011,61,Male,56
5011,62,Female,66
5011,62,Male,75
5011,63,Female,57
5011,63,Male,61
5011,64,Female,72
5011,64,Male,57
5011,65,Female,51
5011,65,Male,49
5011,66,Female,52
5011,66,Male,46
5011,67,Female,55
5011,67,Male,74
5011,68,Female,44
5011,68,Male,34
5011,69,Female,44
5011,69,Male,52
5011,70,Female,44
5011,70,Male,41
5011,71,Female,35
5011,71,Male,41
5011,72,Female,26
5011,72,Male,46
5011,73,Female,28
5011,73,Male,41
5011,74,Female,25
5011,74,Male,29
5011,75,Female,20
5011,75,Male,25
5011,76,Female,25
5011,76,Male,19
5011,77,Female,20
5011,77,Male,16
5011,78,Female,10
5011,78,Male,22
5011,79,Female,9
5011,79,Male,16
5011,80,Female,10
5011,80,Male,12
5011,81,Female,2
5011,81,Male,15
5011,82,Female,7
5011,82,Male,8
5011,83,Female,8
5011,83,Male,7
5011,84,Female,4
5011,84,Male,13
5011,85,Female,3
5011,85,Male,12
5011,86,Female,7
5011,86,Male,5
5011,87,Female,4
5011,87,Male,6
5011,88,Female,1
5011,88,Male,4
5011,89,Female,6
5011,89,Male,4
