state_territory,data_type,sex,fy_2011-12,fy_2012-13,fy_2013-14,fy_2014-15,fy_2015-16,fy_2016-17,fy_2017-18,fy_2018-19,fy_2019-20,fy_2020-21,fy_2021-22,fy_2022-23,fy_2023-24,fy_2024-25,avg_annual_change_pct__average_annual_change_per_cent_2011_12_to_2024_25
Tasmania,Clients (number),All clients,1251,1235,1410,1734,2173,2271,1822,1752,1775,1697,1741,1794,1778,1642,2.1
Tasmania,Support periods (number),Males,551,584,628,861,1545,1519,946,956,865,842,963,1015,960,590,0.5
Tasmania,Support periods (number),Females,1554,1428,2062,2683,3371,3594,3040,3051,3096,2990,3110,3393,3449,2494,3.7
Tasmania,Support periods (number),All clients,2105,2013,2690,3544,4916,5113,3986,4007,3961,3832,4073,4408,4409,3084,3
Tasmania,"Clients (per 10,000 ERP)",Males,14.2,14.4,14.3,19.2,28.6,27.5,17.4,17.1,15,15.4,15.9,15.7,15,12.6,-0.9
Tasmania,"Clients (per 10,000 ERP)",Females,34.7,33.9,40.6,48.1,55.5,60,51.5,47.8,49.4,45.2,45.3,46.8,46.8,44.3,1.9
Tasmania,"Clients (per 10,000 ERP)",All clients,24.5,24.1,27.5,33.8,42.2,43.9,34.6,32.6,32.4,30.4,30.7,31.3,31,28.6,1.2
Australian Capital Territory,Clients (number),Males,479,518,542,551,453,448,433,343,473,437,382,359,404,499,0.3
Australian Capital Territory,Clients (number),Females,924,921,984,998,1144,1137,1050,931,1143,1186,1123,1119,1196,1348,2.9
Australian Capital Territory,Clients (number),All clients,1403,1440,1526,1549,1597,1585,1483,1274,1616,1623,1505,1478,1600,1847,2.1
Australian Capital Territory,Support periods (number),Males,763,726,828,826,733,640,614,469,678,640,554,508,559,717,-0.5
Australian Capital Territory,Support periods (number),Females,1505,1552,1588,1734,2041,1989,1824,1551,1933,1932,1774,1817,1874,2308,3.3
Australian Capital Territory,Support periods (number),All clients,2268,2278,2416,2560,2774,2628,2438,2020,2611,2572,2328,2325,2433,3025,2.2
Australian Capital Territory,"Clients (per 10,000 ERP)",Males,26.1,27.7,28.5,28.6,23.1,22.4,21.1,16.3,22,19.9,17.1,15.8,17.4,21.2,-1.6
Australian Capital Territory,"Clients (per 10,000 ERP)",Females,50,48.7,51,50.9,57.3,55.9,50.1,43.2,51.8,52.6,49,48,50.1,55.5,0.8
Australian Capital Territory,"Clients (per 10,000 ERP)",All clients,38.1,38.2,39.8,39.8,40.3,39.3,35.7,29.9,37.1,36.5,33.3,32,33.9,38.6,0.1
Northern Territory,Clients (number),Males,604,587,601,755,880,1141,1198,1053,988,1072,970,964,975,1019,4.1
Northern Territory,Clients (number),Females,2190,2205,2127,2518,2653,3502,3643,3597,3524,3879,3814,4152,4320,4504,5.7
Northern Territory,Clients (number),All clients,2794,2792,2727,3273,3533,4643,4841,4650,4512,4951,4784,5116,5295,5523,5.4
Northern Territory,Support periods (number),Males,736,826,901,1033,1248,1698,1890,1604,1436,1637,1449,1494,1388,1440,5.3
Northern Territory,Support periods (number),Females,3187,3507,3669,4268,4259,5806,6337,6320,6078,7221,6993,7762,7665,8122,7.5
Northern Territory,Support periods (number),All clients,3923,4333,4570,5301,5507,7504,8227,7924,7514,8858,8442,9256,9053,9562,7.1
Northern Territory,"Clients (per 10,000 ERP)",Males,49.7,47.5,47.4,59.4,68.8,89.4,93.5,82.8,78.2,85.1,76.9,74.7,73.9,76.1,3.3
Northern Territory,"Clients (per 10,000 ERP)",Females,199.4,196.2,185.1,217.4,227.1,296.8,305.3,300.1,293,319.5,312.7,334.9,343.9,355,4.5
Northern Territory,"Clients (per 10,000 ERP)",All clients,120.8,118.3,112.8,134.8,144.4,189,195.7,188.2,183,200.1,192.8,202.1,205.6,211.7,4.4
