state_territory,data_type,remoteness_area,sex,fy_2011-12,fy_2012-13,fy_2013-14,fy_2014-15,fy_2015-16,fy_2016-17,fy_2017-18,fy_2018-19,fy_2019-20,fy_2020-21,fy_2021-22,fy_2022-23,fy_2023-24,fy_2024-25,avg_annual_change_pct__average_annual_change_per_cent_2011_12_to_2024_25
Victoria,Support periods (number),Major cities,Females,54366,74409,81947,88388,94570,102801,116244,108658,116054,109077,101571,89809,91729,92382,4.2
Victoria,Support periods (number),Major cities,All clients,91088,129093,140200,147181,155105,165648,180958,176892,190166,184173,172401,157870,158168,159156,4.4
Victoria,Support periods (number),Inner regional,Males,11278,13519,14022,13673,14355,14609,14970,15562,15537,15347,14269,13979,15441,16067,2.8
Victoria,Support periods (number),Inner regional,Females,21189,23758,24167,23597,24431,25634,29125,29351,29538,27977,24489,23044,24690,26186,1.6
Victoria,Support periods (number),Inner regional,All clients,32467,37277,38189,37270,38786,40244,44095,44913,45075,43324,38758,37023,40131,42253,2
Victoria,Support periods (number),Outer regional,Males,2805,2661,2822,3044,3153,2861,3279,3222,3843,3561,3480,3636,3529,3486,1.7
Victoria,Support periods (number),Outer regional,Females,3957,3892,3924,4391,4512,4764,5577,5691,6345,6148,6705,6146,6160,6535,3.9
Victoria,Support periods (number),Outer regional,All clients,6762,6553,6746,7435,7664,7625,8856,8913,10188,9709,10185,9782,9689,10021,3.1
Victoria,Support periods (number),Remote and very remote,Males,17,65,21,30,25,30,18,10,5,13,18,9,61,7,-6.5
Victoria,Support periods (number),Remote and very remote,Females,6,41,49,35,48,51,23,31,15,18,45,26,57,65,19.8
Victoria,Support periods (number),Remote and very remote,All clients,23,107,70,65,73,81,41,41,20,31,63,35,118,72,9.2
Victoria,"Clients (per 10,000 ERP)",Major cities,Males,109.2,125.9,134.4,133,131,129.7,129.2,131.7,134.5,119.9,121.6,122.4,119.4,121.7,0.8
Victoria,"Clients (per 10,000 ERP)",Major cities,Females,177.3,182,196.6,205.3,207.3,213.5,226.5,199.8,199.3,182.4,175,157.2,158.3,164.5,-0.6
Victoria,"Clients (per 10,000 ERP)",Major cities,All clients,143.7,154.3,165.9,169.6,169.6,172.2,178.5,166.2,167.2,151.5,148.6,140,139.1,143.3,0
Victoria,"Clients (per 10,000 ERP)",Inner regional,Males,145.4,152.6,155.6,149.9,152.3,154.3,154.1,158.1,149.2,136.3,131.5,132.1,145.2,149.7,0.2
Victoria,"Clients (per 10,000 ERP)",Inner regional,Females,252.8,253.7,257,242.5,243.3,251.4,270.9,265.7,260.1,230.6,209,202.6,215.5,226,-0.9
Victoria,"Clients (per 10,000 ERP)",Inner regional,All clients,199.3,203.4,206.6,196.5,198.2,203.3,213,212.4,205.2,183.9,170.7,167.8,180.8,188.4,-0.4
Victoria,"Clients (per 10,000 ERP)",Outer regional,Males,146.8,129.6,128.4,136.9,138.3,145.1,159.1,153.7,182.1,162.5,162.2,175.6,167.3,161.6,0.7
Victoria,"Clients (per 10,000 ERP)",Outer regional,Females,206.2,185.8,186.2,196.6,201.4,212.9,237.1,248.1,275.2,253,269.3,269,267.5,270.2,2.1
Victoria,"Clients (per 10,000 ERP)",Outer regional,All clients,176.3,157.5,157.1,166.6,169.7,178.9,198,200.7,228.5,207.6,215.7,222.3,217.4,215.9,1.6
Victoria,"Clients (per 10,000 ERP)",Remote and very remote,Males,55.6,126.4,33.1,39.3,39.3,72.8,67.5,45.2,17,34.5,28.7,28.7,75.7,34.9,-3.5
Victoria,"Clients (per 10,000 ERP)",Remote and very remote,Females,29.1,81.6,108.6,97,142,94.3,83.1,76.9,50.7,44.7,103.7,77.9,124,104.4,10.3
Victoria,"Clients (per 10,000 ERP)",Remote and very remote,All clients,42.7,104.6,69.2,67.1,88.2,82.9,74.8,60.1,33,39.3,63.9,51.8,98.5,67.7,3.6
Queensland,Clients (number),Major cities,Males,9656,10112,9859,10080,8997,8790,8414,8741,8199,8018,7769,9099,10958,12597,2.1
Queensland,Clients (number),Major cities,Females,10263,11036,11091,11456,11053,11320,11261,12199,13068,10835,11148,12771,15166,17415,4.2
Queensland,Clients (number),Major cities,All clients,19919,21147,20950,21536,20050,20110,19675,20940,21267,18853,18917,21870,26124,30012,3.2
Queensland,Clients (number),Inner regional,Males,3790,3715,4323,4327,3939,4010,4165,4338,4060,4014,4109,4763,4505,5097,2.3
Queensland,Clients (number),Inner regional,Females,5075,4826,5266,5104,4481,4481,4790,5109,4858,5170,5350,6341,6226,6433,1.8
Queensland,Clients (number),Inner regional,All clients,8865,8542,9590,9431,8421,8490,8955,9447,8918,9184,9459,11104,10731,11530,2
Queensland,Clients (number),Outer regional,Males,5403,5175,4977,4634,4944,4564,4572,4746,4717,4499,4393,4112,3652,4214,-1.9
Queensland,Clients (number),Outer regional,Females,6492,6345,6202,5914,6375,6284,6151,6285,6660,6714,6689,6395,6025,6628,0.2
Queensland,Clients (number),Outer regional,All clients,11895,11520,11179,10548,11320,10849,10723,11031,11377,11213,11082,10507,9677,10842,-0.7
Queensland,Clients (number),Remote and very remote,Males,695,551,613,1023,1210,933,655,590,453,706,776,721,888,875,1.8
Queensland,Clients (number),Remote and very remote,Females,1114,1241,1419,1675,1543,1057,1110,1079,1079,1271,1353,1267,1398,1441,2
Queensland,Clients (number),Remote and very remote,All clients,1809,1792,2032,2698,2753,1990,1765,1669,1532,1977,2129,1988,2286,2316,1.9
Queensland,Support periods (number),Major cities,Males,13276,14087,13445,13685,12056,12001,11461,11717,10961,11148,10463,12192,14532,16954,1.9
Queensland,Support periods (number),Major cities,Females,12640,13810,14185,14914,14607,15677,15785,16955,17069,14752,15286,17558,20923,24337,5.2
Queensland,Support periods (number),Major cities,All clients,25916,27897,27630,28600,26663,27678,27246,28672,28030,25900,25749,29750,35455,41291,3.6
Queensland,Support periods (number),Inner regional,Males,4893,4711,5501,5524,5081,5206,5650,5796,5283,5476,5477,6298,6067,7244,3.1
Queensland,Support periods (number),Inner regional,Females,5986,5876,6479,6336,5574,5508,6366,6565,6200,6892,6996,8505,8383,8910,3.1
Queensland,Support periods (number),Inner regional,All clients,10879,10587,11980,11860,10655,10713,12016,12361,11483,12368,12473,14803,14450,16154,3.1
Queensland,Support periods (number),Outer regional,Males,7640,7309,7027,6706,7007,6641,6712,6999,7191,6819,6412,6010,5105,6033,-1.8
Queensland,Support periods (number),Outer regional,Females,9067,8795,8810,8603,9340,9357,9661,10045,11241,11454,11032,10364,9213,10640,1.2
Queensland,Support periods (number),Outer regional,All clients,16707,16104,15836,15309,16347,15998,16373,17044,18432,18273,17444,16374,14318,16673,0
Queensland,Support periods (number),Remote and very remote,Males,980,761,874,1394,1775,1414,1009,858,673,1113,1255,1053,1194,1280,2.1
Queensland,Support periods (number),Remote and very remote,Females,1429,1506,1873,2405,2275,1693,1780,1740,1750,2389,2319,2069,2119,2217,3.4
Queensland,Support periods (number),Remote and very remote,All clients,2409,2267,2747,3799,4050,3106,2789,2598,2423,3502,3574,3122,3313,3497,2.9
Queensland,"Clients (per 10,000 ERP)",Major cities,Males,69.8,71.4,68.2,68.5,60.2,57.8,54.1,55.2,50.7,48.7,46.7,53.5,62.5,71.8,0.2
Queensland,"Clients (per 10,000 ERP)",Major cities,Females,72.7,76.4,75.1,76.1,72,72.2,70.3,74.5,78.2,63.7,64.9,72.7,83.8,96.3,2.2
Queensland,"Clients (per 10,000 ERP)",Major cities,All clients,71.3,73.9,71.7,72.4,66.2,65.1,62.3,65,64.7,56.3,55.9,63.2,73.3,84.2,1.3
Queensland,"Clients (per 10,000 ERP)",Inner regional,Males,84.3,81.4,93.3,92.5,83.9,84.9,87.2,89.8,83,81.1,81.9,93.2,86.5,97.9,1.2
Queensland,"Clients (per 10,000 ERP)",Inner regional,Females,112.8,105.4,113.1,108.4,94.5,93.8,99.2,104.4,98,103.1,105.4,122.2,117.4,121.3,0.6
Queensland,"Clients (per 10,000 ERP)",Inner regional,All clients,98.5,93.4,103.2,100.5,89.2,89.4,93.2,97.1,90.5,92.1,93.7,107.8,102.1,109.7,0.8
Queensland,"Clients (per 10,000 ERP)",Outer regional,Males,163.8,154.7,147,136,144.7,133.2,132.5,136.8,135.1,128,124.5,115,100.4,115.9,-2.6
Queensland,"Clients (per 10,000 ERP)",Outer regional,Females,204.2,196.2,189.1,178.6,191.6,187.8,182.6,185.6,195.8,195.9,194.3,183,169.4,186.4,-0.7
Queensland,"Clients (per 10,000 ERP)",Outer regional,All clients,183.6,175.1,167.7,157,167.8,160.2,157.2,160.9,165.1,161.5,158.9,148.6,134.5,150.7,-1.5
Queensland,"Clients (per 10,000 ERP)",Remote and very remote,Males,96.9,76.8,85.8,145.3,175.8,139.1,98.6,89.5,68.9,107.5,118,109.6,134.1,132.1,2.4
Queensland,"Clients (per 10,000 ERP)",Remote and very remote,Females,175.6,195.7,224.6,267.7,249.5,173.4,183,178.2,178.7,210.3,224.1,208.6,228.6,235.6,2.3
Queensland,"Clients (per 10,000 ERP)",Remote and very remote,All clients,133.8,132.6,150.9,202.9,210.7,155.4,138.9,131.9,121.5,156.7,168.8,157.2,179.4,181.8,2.4
Western Australia,Clients (number),Major cities,Males,5670,5111,5179,5527,5402,5441,5248,5124,4794,4520,4567,4721,4839,5034,-0.9
Western Australia,Clients (number),Major cities,Females,6479,6764,6746,7433,7909,7933,7806,7465,6924,6932,7424,7276,7989,8463,2.1
Western Australia,Clients (number),Major cities,All clients,12149,11875,11925,12960,13311,13374,13054,12589,11718,11452,11991,11997,12828,13497,0.8
Western Australia,Clients (number),Inner regional,Males,1545,1188,1104,1113,1126,1333,1237,1386,1294,1123,947,833,665,634,-6.6
Western Australia,Clients (number),Inner regional,Females,2638,2302,2173,2069,2296,2700,2362,2916,2551,2218,2196,1873,1804,1682,-3.4
Western Australia,Clients (number),Inner regional,All clients,4183,3490,3277,3182,3422,4033,3599,4302,3845,3341,3143,2706,2469,2316,-4.4
Western Australia,Clients (number),Outer regional,Males,645,812,944,809,938,953,934,802,854,904,927,985,837,1129,4.4
Western Australia,Clients (number),Outer regional,Females,1248,1427,1776,1877,1812,1760,1733,1665,1832,2153,2115,2337,2239,2597,5.8
Western Australia,Clients (number),Outer regional,All clients,1893,2239,2720,2686,2750,2713,2667,2467,2686,3057,3042,3322,3076,3726,5.3
Western Australia,Clients (number),Remote and very remote,Males,736,1214,1008,1347,1505,1448,1477,1914,2548,2437,2328,2176,2185,2050,8.2
Western Australia,Clients (number),Remote and very remote,Females,2229,2600,2507,2846,3215,3059,2942,3599,4159,4183,4203,4265,4435,4323,5.2
Western Australia,Clients (number),Remote and very remote,All clients,2965,3814,3515,4192,4720,4506,4419,5513,6707,6620,6531,6441,6620,6373,6.1
Western Australia,Support periods (number),Major cities,Males,8191,7291,7263,8311,7913,8035,7910,7651,7001,6731,6840,6945,7017,6835,-1.4
Western Australia,Support periods (number),Major cities,Females,8216,8564,8734,10412,11085,11653,11481,11061,10070,10398,11314,10813,11692,12148,3.1
Western Australia,Support periods (number),Major cities,All clients,16407,15856,15997,18723,18998,19688,19391,18712,17071,17129,18154,17758,18709,18983,1.1
Western Australia,Support periods (number),Inner regional,Males,1739,1601,1578,1442,1463,1655,1622,1777,1618,1389,1170,1011,811,806,-5.7
