state_territory,data_type,sex,fy_2011-12,fy_2012-13,fy_2013-14,fy_2014-15,fy_2015-16,fy_2016-17,fy_2017-18,fy_2018-19,fy_2019-20,fy_2020-21,fy_2021-22,fy_2022-23,fy_2023-24,fy_2024-25,avg_annual_change_pct__average_annual_change_per_cent_2011_12_to_2023_24
Western Australia,Support periods (number),Males,1386,1410,1435,1464,1330,1384,1348,1334,1246,1151,1023,890,760,916,-4.9
Western Australia,Support periods (number),Females,2546,2844,2993,3067,2890,2892,2975,3011,2739,2870,2897,2642,2701,3032,0.5
Western Australia,Support periods (number),All clients,3931,4254,4428,4531,4221,4276,4323,4345,3985,4021,3920,3532,3461,3948,-1.1
Western Australia,"Clients (per 10,000 ERP)",Males,63.2,59.3,59.6,60.9,55.6,59.8,60.6,58.4,55.2,51.7,45.8,41.1,33.7,28.9,-5.1
Western Australia,"Clients (per 10,000 ERP)",Females,125.3,125.2,127.5,129.3,124.1,124.5,128.4,131.1,124,126.5,126.5,112.9,107.9,92.3,-1.2
Western Australia,"Clients (per 10,000 ERP)",All clients,93.3,91.2,92.6,94.2,88.9,91.2,93.6,93.7,88.6,87.9,84.9,75.8,69.4,59.4,-2.4
South Australia,Clients (number),Males,1526,1909,2016,1874,1643,1532,1419,1298,1284,1156,1022,1054,934,926,-4
South Australia,Clients (number),Females,2661,3209,3408,3305,2887,2672,2399,2240,2263,2162,2034,1982,1715,1784,-3.6
South Australia,Clients (number),All clients,4187,5118,5424,5179,4531,4205,3818,3538,3547,3318,3056,3036,2649,2710,-3.7
South Australia,Support periods (number),Males,2279,2784,3364,3288,2876,2710,2505,2261,2147,1948,1886,1959,1802,1886,-1.9
South Australia,Support periods (number),Females,4212,5035,6263,6457,5639,5278,4738,4312,4320,3877,3995,4071,3699,3824,-1.1
South Australia,Support periods (number),All clients,6491,7819,9627,9745,8515,7988,7243,6573,6467,5825,5881,6030,5501,5710,-1.4
South Australia,"Clients (per 10,000 ERP)",Males,134.6,168.4,178.1,165.8,145.4,136.1,126.2,115.4,113.5,102.9,92.8,94.2,80.6,60.8,-4.2
South Australia,"Clients (per 10,000 ERP)",Females,247.7,298.7,318.4,307.9,269.5,249.7,224.6,210.2,212.7,205.4,197.3,189.5,159.1,125.4,-3.6
South Australia,"Clients (per 10,000 ERP)",All clients,189.6,231.8,246.3,235,205.8,191.4,174.1,161.5,161.6,152.5,143.3,140.2,118.4,92,-3.8
Tasmania,Clients (number),Males,536,517,578,559,541,569,562,580,560,549,497,495,541,517,0.1
Tasmania,Clients (number),Females,729,767,891,821,682,673,798,872,904,921,902,938,923,891,2
Tasmania,Clients (number),All clients,1265,1284,1469,1379,1222,1242,1360,1452,1464,1470,1399,1433,1464,1408,1.2
Tasmania,Support periods (number),Males,859,794,1031,1111,1250,1304,1223,1237,1197,1136,1057,1110,1194,868,2.8
Tasmania,Support periods (number),Females,1123,1132,1500,1586,1453,1399,1709,1958,1888,1986,2017,2070,1975,1474,4.8
Tasmania,Support periods (number),All clients,1982,1926,2531,2697,2703,2703,2932,3195,3085,3122,3074,3180,3169,2342,4
Tasmania,"Clients (per 10,000 ERP)",Males,156.5,152.6,172.4,167.7,163,172.4,167.8,172.6,168.2,168.2,152.8,151.9,165.6,119.2,0.5
Tasmania,"Clients (per 10,000 ERP)",Females,227.8,243.3,287.5,266.2,222.3,221.2,258.8,280.3,290.4,300.2,298,310.4,305.1,222.9,2.5
Tasmania,"Clients (per 10,000 ERP)",All clients,190.9,196.3,227.7,215.1,191.5,195.8,211.4,224.3,227.2,232.2,222.8,228.2,232.7,168.9,1.7
Australian Capital Territory,Clients (number),Males,574,525,492,454,333,363,299,296,271,247,220,215,212,211,-8
Australian Capital Territory,Clients (number),Females,1055,912,780,741,644,613,516,480,501,510,496,467,459,472,-6.7
Australian Capital Territory,Clients (number),All clients,1629,1436,1272,1195,977,976,815,776,772,757,716,682,671,683,-7.1
Australian Capital Territory,Support periods (number),Males,691,722,717,684,615,677,489,440,421,448,362,330,336,324,-5.8
Australian Capital Territory,Support periods (number),Females,1535,1478,1303,1392,1297,1198,947,848,924,902,810,791,752,769,-5.8
Australian Capital Territory,Support periods (number),All clients,2226,2200,2021,2076,1912,1874,1436,1288,1345,1350,1172,1121,1088,1093,-5.8
Australian Capital Territory,"Clients (per 10,000 ERP)",Males,191.9,176.3,167.4,155.3,114.9,124.5,99.7,96.1,87.5,81.2,71.6,66.8,62.5,48.9,-8.9
Australian Capital Territory,"Clients (per 10,000 ERP)",Females,369.3,320.6,276,263.2,228.2,216.1,174.7,157.9,165.1,171.6,163.6,148.1,138.4,111.2,-7.9
Australian Capital Territory,"Clients (per 10,000 ERP)",All clients,278.6,246.8,220.6,208.2,170.8,169.6,136.9,126.8,125.9,125.9,117.3,107,100,79.8,-8.2
Northern Territory,Clients (number),Males,244,287,248,268,373,362,349,455,671,481,432,298,303,278,1.8
Northern Territory,Clients (number),Females,732,799,688,647,699,767,743,912,1106,984,982,909,872,974,1.5
Northern Territory,Clients (number),All clients,976,1086,936,915,1073,1129,1092,1367,1777,1465,1414,1207,1175,1252,1.6
Northern Territory,Support periods (number),Males,306,338,317,328,536,526,488,579,896,648,571,394,397,362,2.2
Northern Territory,Support periods (number),Females,963,1112,961,914,1084,1185,1195,1403,1676,1653,1636,1507,1460,1512,3.5
Northern Territory,Support periods (number),All clients,1269,1450,1277,1242,1620,1711,1683,1982,2572,2301,2207,1901,1857,1874,3.2
Northern Territory,"Clients (per 10,000 ERP)",Males,127.8,150,127.9,144.3,202.4,203.4,198.7,260.4,385.3,281.1,254.7,169.2,165,114.7,2.2
Northern Territory,"Clients (per 10,000 ERP)",Females,447.4,484.8,412.6,392.9,435.8,490.4,477.8,588.2,718.3,635.9,640.6,590.1,558.9,471.4,1.9
Northern Territory,"Clients (per 10,000 ERP)",All clients,275.2,305.1,259.6,261.1,311,337.7,329.8,414.5,541.5,449.6,437.9,365.5,345.9,278.8,1.9
