state_territory,data_type,sex,fy_2011-12,fy_2012-13,fy_2013-14,fy_2014-15,fy_2015-16,fy_2016-17,fy_2017-18,fy_2018-19,fy_2019-20,fy_2020-21,fy_2021-22,fy_2022-23,fy_2023-24,fy_2024-25,avg_annual_change_pct__average_annual_change_per_cent_2011_12_to_2024_25
New South Wales,"Clients (per 10,000 ERP)",Males,19.1,19.3,20.5,19.7,27.5,29.3,28.5,29.3,28,28,25.7,25.5,25.2,24.1,1.8
New South Wales,"Clients (per 10,000 ERP)",Females,24.4,24.5,27.9,27.9,39.4,42.5,41.6,43.3,43.9,46.4,46.3,45,42.9,43.1,4.5
New South Wales,"Clients (per 10,000 ERP)",All clients,21.8,21.9,24.3,23.9,33.5,36,35.1,36.4,36,37.3,36.1,35.4,34.1,33.7,3.4
Victoria,Clients (number),Males,6289,7476,8972,10546,11444,11926,12618,13670,14156,13312,12458,12872,13484,12748,5.6
Victoria,Clients (number),Females,8521,9901,12454,14569,15618,17457,19403,20786,21031,20068,19642,19263,20031,19745,6.7
Victoria,Clients (number),All clients,14809,17377,21426,25115,27062,29382,32021,34456,35187,33380,32100,32135,33515,32493,6.2
Victoria,Support periods (number),Males,17299,24701,28036,31133,34351,35731,37141,40105,44699,47473,40068,39337,38776,37320,6.1
Victoria,Support periods (number),Females,22116,30139,36681,43011,47642,54202,62077,65688,67917,68108,62516,58090,58941,58070,7.7
Victoria,Support periods (number),All clients,39415,54840,64716,74144,81993,89932,99218,105793,112616,115581,102584,97427,97717,95390,7
Victoria,"Clients (per 10,000 ERP)",Males,26.3,30.7,36.1,41.6,44.3,45.1,46.6,49.5,50.2,46.5,44,45,45.7,42.2,3.7
Victoria,"Clients (per 10,000 ERP)",Females,34.6,39.4,48.6,55.7,58.4,63.7,69.3,72.8,72.3,68,67.2,65.1,65.7,63.1,4.7
Victoria,"Clients (per 10,000 ERP)",All clients,30.5,35.1,42.5,48.8,51.5,54.6,58.2,61.3,61.4,57.5,55.8,55.2,55.8,52.8,4.3
Queensland,Clients (number),Males,3935,4195,4142,4660,4474,4323,4701,4861,4681,4677,4282,4508,5138,5921,3.2
Queensland,Clients (number),Females,3869,4199,4718,5340,5463,5668,6123,6653,7001,6958,6823,7402,8217,9056,6.8
Queensland,Clients (number),All clients,7804,8394,8860,9999,9937,9990,10824,11514,11682,11635,11105,11910,13355,14977,5.1
Queensland,Support periods (number),Males,7541,8357,7703,8316,7849,7527,8256,8286,7911,8268,7196,7400,8348,9982,2.2
Queensland,Support periods (number),Females,6320,6975,7690,8747,9005,9529,10537,11321,11503,11913,11376,12402,13525,15592,7.2
Queensland,Support periods (number),All clients,13862,15333,15394,17063,16854,17056,18793,19607,19414,20181,18572,19802,21873,25574,4.8
Queensland,"Clients (per 10,000 ERP)",Males,20.4,21.4,20.7,23,21.9,20.9,22.3,22.6,21.4,21,19,19.6,21.7,24.4,1.4
Queensland,"Clients (per 10,000 ERP)",Females,19.8,21.1,23.3,25.9,26.1,26.7,28.3,30.1,31.1,30.3,29.4,31.2,33.7,36.2,4.8
Queensland,"Clients (per 10,000 ERP)",All clients,20.1,21.2,22,24.5,24,23.8,25.3,26.4,26.3,25.7,24.3,25.5,27.8,30.4,3.2
Western Australia,Clients (number),Males,1742,1754,1639,1964,1958,1997,1944,2057,2086,2070,1856,1792,1761,1704,-0.2
Western Australia,Clients (number),Females,2143,2222,2320,2818,3075,3421,3599,3970,4043,4066,4119,3976,4451,4440,5.8
Western Australia,Clients (number),All clients,3885,3976,3959,4782,5033,5418,5543,6027,6129,6136,5975,5768,6212,6144,3.6
Western Australia,Support periods (number),Males,3121,3386,2916,3730,3675,3730,3598,3635,3609,3597,3264,3154,2989,2761,-0.9
Western Australia,Support periods (number),Females,3566,3888,3939,5106,5632,6364,6684,7334,7237,7679,7870,7507,8109,8024,6.4
Western Australia,Support periods (number),All clients,6688,7274,6854,8836,9307,10094,10282,10969,10846,11276,11134,10661,11098,10785,3.7
Western Australia,"Clients (per 10,000 ERP)",Males,16.9,16.5,15.1,17.9,17.8,18,17.4,18.2,18.1,17.6,15.5,14.7,13.9,13,-2
Western Australia,"Clients (per 10,000 ERP)",Females,21,21.2,21.6,25.9,28,30.9,32.1,34.9,34.9,34.3,34.2,32.5,35.1,33.9,3.8
Western Australia,"Clients (per 10,000 ERP)",All clients,19,18.8,18.3,21.9,22.9,24.5,24.7,26.5,26.5,26,24.9,23.6,24.5,23.4,1.6
South Australia,Clients (number),Males,1099,1237,1575,1770,1917,2008,2032,2218,2301,2270,2084,2165,2055,2155,5.3
South Australia,Clients (number),Females,1404,1581,2093,2584,2721,3054,3252,3529,3655,3729,3607,3650,3579,3630,7.6
South Australia,Clients (number),All clients,2502,2818,3668,4354,4638,5061,5284,5747,5956,5999,5691,5815,5634,5785,6.7
South Australia,Support periods (number),Males,1894,2309,3219,3619,3746,3970,3780,4123,3964,3958,4491,4403,4438,4594,7.1
South Australia,Support periods (number),Females,2576,3047,4564,5869,6088,6904,7128,7717,7463,7572,8419,8175,8354,8281,9.4
South Australia,Support periods (number),All clients,4470,5356,7783,9488,9834,10873,10908,11840,11427,11530,12910,12578,12792,12875,8.5
South Australia,"Clients (per 10,000 ERP)",Males,15.4,17.2,21.7,24.2,26,27.1,27.2,29.3,30,29.1,26.5,27.1,25.2,26,4.1
South Australia,"Clients (per 10,000 ERP)",Females,19.1,21.4,28,34.3,35.8,39.9,42,45.1,46,46.3,44.4,44.3,42.6,42.6,6.4
South Australia,"Clients (per 10,000 ERP)",All clients,17.3,19.3,24.9,29.3,31,33.6,34.7,37.3,38.1,37.8,35.6,35.8,34,34.4,5.4
Tasmania,Clients (number),Males,723,741,947,1044,1312,1337,1323,1371,1391,1384,1431,1368,1349,1148,3.6
Tasmania,Clients (number),Females,765,833,1167,1403,1448,1543,1595,1790,1885,1982,2088,2021,1977,1662,6.2
Tasmania,Clients (number),All clients,1488,1574,2114,2447,2760,2880,2918,3161,3276,3366,3519,3389,3326,2810,5
Tasmania,Support periods (number),Males,1307,1245,1829,2336,3278,3266,3213,3144,3223,3144,3481,3575,3524,2197,4.1
Tasmania,Support periods (number),Females,1397,1394,2335,3170,3654,3695,3763,4252,4346,4676,4959,5039,5025,3247,6.7
Tasmania,Support periods (number),All clients,2704,2638,4163,5506,6932,6961,6976,7396,7569,7820,8440,8614,8549,5444,5.5
Tasmania,"Clients (per 10,000 ERP)",Males,32.6,33.3,42.6,46.9,58.8,59.7,57.9,58.6,58.1,56.7,57.3,54.1,53.2,45.1,2.5
Tasmania,"Clients (per 10,000 ERP)",Females,33.8,36.7,51.4,61.5,63.1,66.8,67.6,74.2,76.4,78.8,81.6,78.2,76.1,63.7,5
Tasmania,"Clients (per 10,000 ERP)",All clients,33.2,35.1,47,54.3,61,63.3,62.8,66.5,67.4,67.9,69.6,66.3,64.8,54.5,3.9
Australian Capital Territory,Clients (number),Males,629,763,823,804,705,579,590,578,672,721,646,662,778,784,1.7
Australian Capital Territory,Clients (number),Females,758,879,917,1023,1081,1072,997,946,1072,1122,1074,1081,1152,1290,4.2
Australian Capital Territory,Clients (number),All clients,1387,1643,1741,1828,1786,1651,1587,1524,1744,1843,1720,1743,1930,2074,3.1
Australian Capital Territory,Support periods (number),Males,1030,1189,1349,1324,1307,1094,981,938,1129,1235,1154,1053,1253,1238,1.4
Australian Capital Territory,Support periods (number),Females,1371,1559,1568,1918,2080,2030,1866,1717,1950,1969,1837,1823,1881,2245,3.9
Australian Capital Territory,Support periods (number),All clients,2401,2748,2917,3242,3387,3124,2847,2655,3079,3204,2991,2876,3134,3483,2.9
Australian Capital Territory,"Clients (per 10,000 ERP)",Males,39.5,47,50,48.3,41.7,33.7,33.4,31.8,36.1,37.9,33.2,33.2,38.1,37.7,-0.4
Australian Capital Territory,"Clients (per 10,000 ERP)",Females,46.5,52.9,54.3,59.7,62,60.4,54.5,50.2,55.5,56.8,53.2,52.4,54.4,59.6,1.9
Australian Capital Territory,"Clients (per 10,000 ERP)",All clients,43,50,52.1,54.1,52,47.3,44.1,41.2,46,47.5,43.4,43,46.4,48.9,1
Northern Territory,Clients (number),Males,319,334,282,313,408,414,408,372,367,346,296,299,302,306,-0.3
Northern Territory,Clients (number),Females,515,449,376,467,619,671,721,674,705,703,674,667,720,809,3.5
Northern Territory,Clients (number),All clients,834,783,657,781,1027,1085,1129,1046,1072,1049,970,966,1022,1115,2.3
Northern Territory,Support periods (number),Males,419,449,379,442,622,645,590,527,508,486,419,407,414,439,0.4
Northern Territory,Support periods (number),Females,843,777,746,1021,1200,1323,1522,1399,1400,1579,1485,1424,1515,1659,5.3
Northern Territory,Support periods (number),All clients,1261,1226,1125,1463,1822,1968,2112,1926,1908,2065,1904,1831,1929,2098,4
Northern Territory,"Clients (per 10,000 ERP)",Males,31,31.9,26.1,29,37.5,38.1,37.5,34.4,34.1,32.2,27.5,27,26.6,26.5,-1.2
Northern Territory,"Clients (per 10,000 ERP)",Females,55.7,47.4,38.7,47.8,62.7,67.4,71.4,66.1,68.7,67.6,64.4,62.6,66.4,73.7,2.2
Northern Territory,"Clients (per 10,000 ERP)",All clients,42.7,39.3,32.1,37.9,49.5,52.1,53.8,49.8,51,49.6,45.7,44.5,46.1,49.5,1.1
