state_territory,data_type,sex,fy_2015-16,fy_2016-17,fy_2017-18,fy_2018-19,fy_2019-20,fy_2020-21,fy_2021-22,fy_2022-23,fy_2023-24,fy_2024-25,avg_annual_change_pct__average_annual_change_per_cent_2015_16_to_2024_25
Australian Capital Territory,Support periods (number),Males,90,96,57,68,72,56,54,41,51,89,-0.1
Australian Capital Territory,Support periods (number),Females,152,151,99,80,56,94,57,72,67,80,-6.9
Australian Capital Territory,Support periods (number),All clients,241,247,156,148,128,150,111,113,118,169,-3.9
Australian Capital Territory,"Clients (per 10,000 ERP)",Males,15,16,11.2,12.3,10.6,9,8.7,6.3,9.4,14.7,-0.2
Australian Capital Territory,"Clients (per 10,000 ERP)",Females,22.5,21,14.1,15.3,9.7,15.3,10.1,9.8,11,11.2,-7.5
Australian Capital Territory,"Clients (per 10,000 ERP)",All clients,18.6,18.4,12.6,13.8,10.1,12,9.4,8,10.2,13,-3.9
Northern Territory,Clients (number),Males,271,273,264,214,161,136,147,103,91,74,-13.4
Northern Territory,Clients (number),Females,261,229,277,200,181,171,170,129,102,81,-12.2
Northern Territory,Clients (number),All clients,532,502,541,414,342,307,317,232,193,155,-12.8
Northern Territory,Support periods (number),Males,452,436,439,350,273,264,261,156,152,104,-15.1
Northern Territory,Support periods (number),Females,425,382,479,309,337,334,311,212,157,128,-12.5
Northern Territory,Support periods (number),All clients,877,818,918,659,610,598,572,368,309,232,-13.7
Northern Territory,"Clients (per 10,000 ERP)",Males,84.1,84.7,81.2,66.1,50.1,42.4,45.9,32,28.2,22.8,-13.5
Northern Territory,"Clients (per 10,000 ERP)",Females,86.6,75.2,90.6,65.7,59.9,56.7,56.8,42.5,33.5,26.6,-12.3
Northern Territory,"Clients (per 10,000 ERP)",All clients,85.3,80.1,85.8,65.9,54.9,49.3,51.2,37.1,30.8,24.6,-12.9
