state_territory,data_type,indigenous_status,sex,fy_2011-12,fy_2012-13,fy_2013-14,fy_2014-15,fy_2015-16,fy_2016-17,fy_2017-18,fy_2018-19,fy_2019-20,fy_2020-21,fy_2021-22,fy_2022-23,fy_2023-24,fy_2024-25,avg_annual_change_pct__average_annual_change_per_cent_2011_12_to_2024_25
Queensland,"Clients (per 10,000 ERP)",Non-Indigenous clients,Females,66.5,64.9,65.5,69,64.4,61.3,62.2,64.7,66.4,62,62.8,68.5,73.3,80.2,1.4
Queensland,"Clients (per 10,000 ERP)",Non-Indigenous clients,All clients,62.8,61.7,61.6,64.3,59.4,56.5,56.1,58,57.6,54.4,53.9,59.4,63.3,70.1,0.9
Queensland,"Clients (per 10,000 ERP)",Rate ratio,Males,6.8,6.9,7.2,7.5,8.4,8.2,8.3,8.1,8.3,9.3,9.3,8.6,8.3,8.3,1.5
Queensland,"Clients (per 10,000 ERP)",Rate ratio,Females,8.1,8.9,9.2,9.1,9.8,10.1,10.1,10,10,10.7,10.5,10.1,9.8,9.8,1.5
Queensland,"Clients (per 10,000 ERP)",Rate ratio,All clients,7.5,8,8.2,8.4,9.1,9.3,9.3,9.2,9.3,10.1,10,9.4,9.2,9.2,1.6
,,,,,,,,,,,,,,,,,,
Western Australia,Clients (number),Indigenous clients,Males,2229,2150,2313,2748,3192,3160,3255,3693,4455,4420,4294,4200,4058,4269,5.1
Western Australia,Clients (number),Indigenous clients,Females,4456,4626,4869,5674,6273,6310,6325,7010,7655,7948,7926,8061,8327,8517,5.1
Western Australia,Clients (number),Indigenous clients,All clients,6685,6775,7182,8422,9465,9470,9580,10703,12110,12368,12220,12261,12385,12786,5.1
Western Australia,Clients (number),Non-Indigenous clients,Males,5525,5373,5002,5310,5151,5533,5196,5206,4948,4485,4413,4457,4368,4506,-1.6
Western Australia,Clients (number),Non-Indigenous clients,Females,7097,7149,6711,7274,7734,8266,8048,8153,7681,7451,7938,7632,7954,8298,1.2
Western Australia,Clients (number),Non-Indigenous clients,All clients,12622,12522,11712,12584,12885,13799,13244,13359,12629,11936,12351,12089,12322,12804,0.1
Western Australia,Clients (number),Not stated,Males,842,802,921,738,628,481,445,327,87,79,62,58,100,72,-17.2
Western Australia,Clients (number),Not stated,Females,1042,1319,1621,1277,1225,876,470,482,130,87,74,58,186,250,-10.4
Western Australia,Clients (number),Not stated,All clients,1883,2120,2542,2015,1853,1357,915,809,217,166,136,116,286,322,-12.7
Western Australia,Support periods (number),Indigenous clients,Males,3099,2956,3151,3933,4759,4596,4892,5590,6752,6696,6631,6539,6312,6150,5.4
Western Australia,Support periods (number),Indigenous clients,Females,6536,7053,7379,9098,10615,10465,10703,12175,13453,13987,14225,14239,14906,14685,6.4
Western Australia,Support periods (number),Indigenous clients,All clients,9634,10008,10530,13030,15374,15061,15595,17765,20205,20683,20856,20778,21218,20835,6.1
Western Australia,Support periods (number),Non-Indigenous clients,Males,7836,7972,7174,7815,7449,7936,7455,7464,6930,6394,6258,6261,6092,6014,-2
Western Australia,Support periods (number),Non-Indigenous clients,Females,8861,9630,9117,9780,10401,11260,11001,11088,10150,10255,11165,10662,10921,11435,2
Western Australia,Support periods (number),Non-Indigenous clients,All clients,16697,17602,16291,17595,17850,19196,18456,18552,17080,16649,17423,16923,17013,17449,0.3
Western Australia,Support periods (number),Not stated,Males,813,796,955,863,697,613,536,383,99,89,62,58,104,75,-16.7
Western Australia,Support periods (number),Not stated,Females,1014,1349,1743,1453,1410,1043,585,582,140,89,74,59,192,263,-9.9
Western Australia,Support periods (number),Not stated,All clients,1827,2145,2698,2316,2107,1656,1121,965,239,178,136,117,296,338,-12.2
Western Australia,"Clients (per 10,000 ERP)",Indigenous clients,Males,353.4,365.7,386.6,460.9,523.9,510.8,518.6,587.6,710.7,686.2,676.7,646.2,621.2,644.9,4.7
Western Australia,"Clients (per 10,000 ERP)",Indigenous clients,Females,827.5,880.2,907.8,1044.9,1142,1136.3,1130.1,1230,1337,1371.6,1364.5,1376.9,1401.5,1407.9,4.2
Western Australia,"Clients (per 10,000 ERP)",Indigenous clients,All clients,582.1,614.5,637.5,741.1,821.4,812.7,813.7,897.6,1013.7,1018.4,1009.2,1002.8,1001.2,1015.7,4.4
Western Australia,"Clients (per 10,000 ERP)",Non-Indigenous clients,Males,49.5,46.2,42,44.2,42.9,46,42.8,42.5,40,35.7,34.5,34.2,32.7,33.9,-2.9
Western Australia,"Clients (per 10,000 ERP)",Non-Indigenous clients,Females,65.6,63.8,58.3,62.3,65.8,70.2,67.7,67.9,63.5,60.8,63.9,60.7,61.2,64.2,-0.2
Western Australia,"Clients (per 10,000 ERP)",Non-Indigenous clients,All clients,57.3,54.8,49.9,53.1,54.1,57.9,55.1,55.1,51.7,48.2,49.1,47.3,46.8,49,-1.2
Western Australia,"Clients (per 10,000 ERP)",Rate ratio,Males,7.1,7.9,9.2,10.4,12.2,11.1,12.1,13.8,17.8,19.2,19.6,18.9,19,19,7.8
Western Australia,"Clients (per 10,000 ERP)",Rate ratio,Females,12.6,13.8,15.6,16.8,17.4,16.2,16.7,18.1,21.1,22.6,21.4,22.7,22.9,21.9,4.4
Western Australia,"Clients (per 10,000 ERP)",Rate ratio,All clients,10.2,11.2,12.8,14,15.2,14,14.8,16.3,19.6,21.1,20.5,21.2,21.4,20.7,5.6
,,,,,,,,,,,,,,,,,,
South Australia,Clients (number),Indigenous clients,Males,1451,1744,1994,1978,1982,1874,1819,1873,1924,1960,1802,1823,1878,1752,1.5
South Australia,Clients (number),Indigenous clients,Females,2136,2571,2870,2999,2969,2916,2922,2877,2900,2855,2685,2708,2875,2723,1.9
