section,category,subcategory,unit,financial_year,state,measure,value
Tourism characteristic industries,Tourism GVA,Other road transport,,2023-24,Vic,%,23.35993904439102
Tourism characteristic industries,Tourism GVA,Other road transport,,2023-24,Qld,$m,220.3284
Tourism characteristic industries,Tourism GVA,Other road transport,,2023-24,Qld,%,23.29053100322738
Tourism characteristic industries,Tourism GVA,Other road transport,,2023-24,SA,$m,58.3872
Tourism characteristic industries,Tourism GVA,Other road transport,,2023-24,SA,%,6.1720091090918725
Tourism characteristic industries,Tourism GVA,Other road transport,,2023-24,WA,$m,97.3385
Tourism characteristic industries,Tourism GVA,Other road transport,,2023-24,WA,%,10.289483117281513
Tourism characteristic industries,Tourism GVA,Other road transport,,2023-24,Tas,$m,25.5495
Tourism characteristic industries,Tourism GVA,Other road transport,,2023-24,Tas,%,2.7007930973354224
Tourism characteristic industries,Tourism GVA,Other road transport,,2023-24,NT,$m,17.7183
Tourism characteristic industries,Tourism GVA,Other road transport,,2023-24,NT,%,1.8729705996797672
Tourism characteristic industries,Tourism GVA,Other road transport,,2023-24,ACT,$m,28.3639
Tourism characteristic industries,Tourism GVA,Other road transport,,2023-24,ACT,%,2.99829841419645
Tourism characteristic industries,Tourism GVA,Other road transport,,2023-24,Total(a),$m,945.9999
Tourism characteristic industries,Tourism GVA,"Air, water and other transport",,2023-24,NSW,$m,1999.0647
Tourism characteristic industries,Tourism GVA,"Air, water and other transport",,2023-24,NSW,%,24.396690827192394
Tourism characteristic industries,Tourism GVA,"Air, water and other transport",,2023-24,Vic,$m,1678.7489
Tourism characteristic industries,Tourism GVA,"Air, water and other transport",,2023-24,Vic,%,20.487539942948985
Tourism characteristic industries,Tourism GVA,"Air, water and other transport",,2023-24,Qld,$m,2138.1606
Tourism characteristic industries,Tourism GVA,"Air, water and other transport",,2023-24,Qld,%,26.09422451263543
Tourism characteristic industries,Tourism GVA,"Air, water and other transport",,2023-24,SA,$m,520.1282
Tourism characteristic industries,Tourism GVA,"Air, water and other transport",,2023-24,SA,%,6.347671931730919
Tourism characteristic industries,Tourism GVA,"Air, water and other transport",,2023-24,WA,$m,1088.8961
Tourism characteristic industries,Tourism GVA,"Air, water and other transport",,2023-24,WA,%,13.288945322597897
Tourism characteristic industries,Tourism GVA,"Air, water and other transport",,2023-24,Tas,$m,300.0973
Tourism characteristic industries,Tourism GVA,"Air, water and other transport",,2023-24,Tas,%,3.6624032459655784
Tourism characteristic industries,Tourism GVA,"Air, water and other transport",,2023-24,NT,$m,275.9553
Tourism characteristic industries,Tourism GVA,"Air, water and other transport",,2023-24,NT,%,3.3677730071593612
Tourism characteristic industries,Tourism GVA,"Air, water and other transport",,2023-24,ACT,$m,192.9483
Tourism characteristic industries,Tourism GVA,"Air, water and other transport",,2023-24,ACT,%,2.3547512097694314
Tourism characteristic industries,Tourism GVA,"Air, water and other transport",,2023-24,Total(a),$m,8193.9994
Tourism characteristic industries,Tourism GVA,Motor vehicle hiring,,2023-24,NSW,$m,290.2694
Tourism characteristic industries,Tourism GVA,Motor vehicle hiring,,2023-24,NSW,%,27.22977485928706
Tourism characteristic industries,Tourism GVA,Motor vehicle hiring,,2023-24,Vic,$m,223.1927
Tourism characteristic industries,Tourism GVA,Motor vehicle hiring,,2023-24,Vic,%,20.937401500938087
Tourism characteristic industries,Tourism GVA,Motor vehicle hiring,,2023-24,Qld,$m,283.552
Tourism characteristic industries,Tourism GVA,Motor vehicle hiring,,2023-24,Qld,%,26.599624765478424
Tourism characteristic industries,Tourism GVA,Motor vehicle hiring,,2023-24,SA,$m,62.7876
Tourism characteristic industries,Tourism GVA,Motor vehicle hiring,,2023-24,SA,%,5.890018761726079
Tourism characteristic industries,Tourism GVA,Motor vehicle hiring,,2023-24,WA,$m,122.0226
Tourism characteristic industries,Tourism GVA,Motor vehicle hiring,,2023-24,WA,%,11.446772983114446
Tourism characteristic industries,Tourism GVA,Motor vehicle hiring,,2023-24,Tas,$m,31.6402
Tourism characteristic industries,Tourism GVA,Motor vehicle hiring,,2023-24,Tas,%,2.96812382739212
Tourism characteristic industries,Tourism GVA,Motor vehicle hiring,,2023-24,NT,$m,38.9068
Tourism characteristic industries,Tourism GVA,Motor vehicle hiring,,2023-24,NT,%,3.649793621013133
Tourism characteristic industries,Tourism GVA,Motor vehicle hiring,,2023-24,ACT,$m,13.6286
Tourism characteristic industries,Tourism GVA,Motor vehicle hiring,,2023-24,ACT,%,1.2784803001876175
Tourism characteristic industries,Tourism GVA,Motor vehicle hiring,,2023-24,Total(a),$m,1066
Tourism characteristic industries,Tourism GVA,Travel agency and tour operator services,,2023-24,NSW,$m,1608.0378
Tourism characteristic industries,Tourism GVA,Travel agency and tour operator services,,2023-24,NSW,%,30.78762897903998
Tourism characteristic industries,Tourism GVA,Travel agency and tour operator services,,2023-24,Vic,$m,1151.9457
Tourism characteristic industries,Tourism GVA,Travel agency and tour operator services,,2023-24,Vic,%,22.05525070094776
Tourism characteristic industries,Tourism GVA,Travel agency and tour operator services,,2023-24,Qld,$m,1496.8324
Tourism characteristic industries,Tourism GVA,Travel agency and tour operator services,,2023-24,Qld,%,28.65848089827612
Tourism characteristic industries,Tourism GVA,Travel agency and tour operator services,,2023-24,SA,$m,190.5787
Tourism characteristic industries,Tourism GVA,Travel agency and tour operator services,,2023-24,SA,%,3.648836057776606
Tourism characteristic industries,Tourism GVA,Travel agency and tour operator services,,2023-24,WA,$m,476.0462
Tourism characteristic industries,Tourism GVA,Travel agency and tour operator services,,2023-24,WA,%,9.114421179951032
Tourism characteristic industries,Tourism GVA,Travel agency and tour operator services,,2023-24,Tas,$m,108.2841
Tourism characteristic industries,Tourism GVA,Travel agency and tour operator services,,2023-24,Tas,%,2.0732166216050785
Tourism characteristic industries,Tourism GVA,Travel agency and tour operator services,,2023-24,NT,$m,126.6874
Tourism characteristic industries,Tourism GVA,Travel agency and tour operator services,,2023-24,NT,%,2.4255677742894037
Tourism characteristic industries,Tourism GVA,Travel agency and tour operator services,,2023-24,ACT,$m,64.5875
Tourism characteristic industries,Tourism GVA,Travel agency and tour operator services,,2023-24,ACT,%,1.2365977881140262
Tourism characteristic industries,Tourism GVA,Travel agency and tour operator services,,2023-24,Total(a),$m,5222.9998
Tourism characteristic industries,Tourism GVA,Cultural services,,2023-24,NSW,$m,304.1728
Tourism characteristic industries,Tourism GVA,Cultural services,,2023-24,NSW,%,26.38098872506505
Tourism characteristic industries,Tourism GVA,Cultural services,,2023-24,Vic,$m,289.192
Tourism characteristic industries,Tourism GVA,Cultural services,,2023-24,Vic,%,25.08169991326973
Tourism characteristic industries,Tourism GVA,Cultural services,,2023-24,Qld,$m,317.9447
Tourism characteristic industries,Tourism GVA,Cultural services,,2023-24,Qld,%,27.575429314830878
Tourism characteristic industries,Tourism GVA,Cultural services,,2023-24,SA,$m,50.2665
Tourism characteristic industries,Tourism GVA,Cultural services,,2023-24,SA,%,4.359627059843885
Tourism characteristic industries,Tourism GVA,Cultural services,,2023-24,WA,$m,101.7432
Tourism characteristic industries,Tourism GVA,Cultural services,,2023-24,WA,%,8.824215091066781
Tourism characteristic industries,Tourism GVA,Cultural services,,2023-24,Tas,$m,43.3766
Tourism characteristic industries,Tourism GVA,Cultural services,,2023-24,Tas,%,3.76206418039896
Tourism characteristic industries,Tourism GVA,Cultural services,,2023-24,NT,$m,29.003
Tourism characteristic industries,Tourism GVA,Cultural services,,2023-24,NT,%,2.5154379878577626
Tourism characteristic industries,Tourism GVA,Cultural services,,2023-24,ACT,$m,17.3012
