table,row_order,line_item,is_total_row,year,value_million_aud
operating_statement,25,GFS NET LENDING(+)/BORROWING(-),True,2023-24,-274
operating_statement,25,GFS NET LENDING(+)/BORROWING(-),True,2024-25,81
cash_flow_statement,1,Cash receipts from operating activities,False,2015-16,2185
cash_flow_statement,1,Cash receipts from operating activities,False,2016-17,2436
cash_flow_statement,1,Cash receipts from operating activities,False,2017-18,2483
cash_flow_statement,1,Cash receipts from operating activities,False,2018-19,2494
cash_flow_statement,1,Cash receipts from operating activities,False,2019-20,2573
cash_flow_statement,1,Cash receipts from operating activities,False,2020-21,2683
cash_flow_statement,1,Cash receipts from operating activities,False,2021-22,2832
cash_flow_statement,1,Cash receipts from operating activities,False,2022-23,2915
cash_flow_statement,1,Cash receipts from operating activities,False,2023-24,3001
cash_flow_statement,1,Cash receipts from operating activities,False,2024-25,3605
cash_flow_statement,2,Cash payments from operating activities,False,2015-16,-1589
cash_flow_statement,2,Cash payments from operating activities,False,2016-17,-1649
cash_flow_statement,2,Cash payments from operating activities,False,2017-18,-1662
cash_flow_statement,2,Cash payments from operating activities,False,2018-19,-1712
cash_flow_statement,2,Cash payments from operating activities,False,2019-20,-1787
cash_flow_statement,2,Cash payments from operating activities,False,2020-21,-1790
cash_flow_statement,2,Cash payments from operating activities,False,2021-22,-1813
cash_flow_statement,2,Cash payments from operating activities,False,2022-23,-2047
cash_flow_statement,2,Cash payments from operating activities,False,2023-24,-2151
cash_flow_statement,2,Cash payments from operating activities,False,2024-25,-2265
cash_flow_statement,3,Total net cash flows from operating activities,True,2015-16,596
cash_flow_statement,3,Total net cash flows from operating activities,True,2016-17,786
cash_flow_statement,3,Total net cash flows from operating activities,True,2017-18,821
cash_flow_statement,3,Total net cash flows from operating activities,True,2018-19,782
cash_flow_statement,3,Total net cash flows from operating activities,True,2019-20,786
cash_flow_statement,3,Total net cash flows from operating activities,True,2020-21,893
cash_flow_statement,3,Total net cash flows from operating activities,True,2021-22,1020
cash_flow_statement,3,Total net cash flows from operating activities,True,2022-23,868
cash_flow_statement,3,Total net cash flows from operating activities,True,2023-24,850
cash_flow_statement,3,Total net cash flows from operating activities,True,2024-25,1340
cash_flow_statement,4,Total net cash flows from transactions in non-financial assets,True,2015-16,-589
cash_flow_statement,4,Total net cash flows from transactions in non-financial assets,True,2016-17,-631
cash_flow_statement,4,Total net cash flows from transactions in non-financial assets,True,2017-18,-783
cash_flow_statement,4,Total net cash flows from transactions in non-financial assets,True,2018-19,-836
cash_flow_statement,4,Total net cash flows from transactions in non-financial assets,True,2019-20,-794
cash_flow_statement,4,Total net cash flows from transactions in non-financial assets,True,2020-21,-760
cash_flow_statement,4,Total net cash flows from transactions in non-financial assets,True,2021-22,-804
cash_flow_statement,4,Total net cash flows from transactions in non-financial assets,True,2022-23,-868
cash_flow_statement,4,Total net cash flows from transactions in non-financial assets,True,2023-24,-1028
cash_flow_statement,4,Total net cash flows from transactions in non-financial assets,True,2024-25,-1141
cash_flow_statement,5,GFS CASH SURPLUS (+) / DEFICIT (-),True,2015-16,7
cash_flow_statement,5,GFS CASH SURPLUS (+) / DEFICIT (-),True,2016-17,155
cash_flow_statement,5,GFS CASH SURPLUS (+) / DEFICIT (-),True,2017-18,38
cash_flow_statement,5,GFS CASH SURPLUS (+) / DEFICIT (-),True,2018-19,-54
cash_flow_statement,5,GFS CASH SURPLUS (+) / DEFICIT (-),True,2019-20,-9
cash_flow_statement,5,GFS CASH SURPLUS (+) / DEFICIT (-),True,2020-21,133
cash_flow_statement,5,GFS CASH SURPLUS (+) / DEFICIT (-),True,2021-22,216
cash_flow_statement,5,GFS CASH SURPLUS (+) / DEFICIT (-),True,2022-23,0
cash_flow_statement,5,GFS CASH SURPLUS (+) / DEFICIT (-),True,2023-24,-178
cash_flow_statement,5,GFS CASH SURPLUS (+) / DEFICIT (-),True,2024-25,199
cash_flow_statement,6,Total net cash flows from investments in financial assets for policy purposes,True,2015-16,0
cash_flow_statement,6,Total net cash flows from investments in financial assets for policy purposes,True,2016-17,-1
cash_flow_statement,6,Total net cash flows from investments in financial assets for policy purposes,True,2017-18,-2
cash_flow_statement,6,Total net cash flows from investments in financial assets for policy purposes,True,2018-19,1
cash_flow_statement,6,Total net cash flows from investments in financial assets for policy purposes,True,2019-20,1
cash_flow_statement,6,Total net cash flows from investments in financial assets for policy purposes,True,2020-21,1
cash_flow_statement,6,Total net cash flows from investments in financial assets for policy purposes,True,2021-22,1
cash_flow_statement,6,Total net cash flows from investments in financial assets for policy purposes,True,2022-23,-1
cash_flow_statement,6,Total net cash flows from investments in financial assets for policy purposes,True,2023-24,3
cash_flow_statement,6,Total net cash flows from investments in financial assets for policy purposes,True,2024-25,-1
cash_flow_statement,7,Total net cash flows from investments in financial assets for liquidity purposes,True,2015-16,10
cash_flow_statement,7,Total net cash flows from investments in financial assets for liquidity purposes,True,2016-17,16
cash_flow_statement,7,Total net cash flows from investments in financial assets for liquidity purposes,True,2017-18,-29
cash_flow_statement,7,Total net cash flows from investments in financial assets for liquidity purposes,True,2018-19,13
cash_flow_statement,7,Total net cash flows from investments in financial assets for liquidity purposes,True,2019-20,-26
cash_flow_statement,7,Total net cash flows from investments in financial assets for liquidity purposes,True,2020-21,30
cash_flow_statement,7,Total net cash flows from investments in financial assets for liquidity purposes,True,2021-22,-30
cash_flow_statement,7,Total net cash flows from investments in financial assets for liquidity purposes,True,2022-23,1
cash_flow_statement,7,Total net cash flows from investments in financial assets for liquidity purposes,True,2023-24,-16
cash_flow_statement,7,Total net cash flows from investments in financial assets for liquidity purposes,True,2024-25,-52
cash_flow_statement,8,Total net cash flows from financing activities,True,2015-16,-24
cash_flow_statement,8,Total net cash flows from financing activities,True,2016-17,-137
cash_flow_statement,8,Total net cash flows from financing activities,True,2017-18,-16
cash_flow_statement,8,Total net cash flows from financing activities,True,2018-19,1
cash_flow_statement,8,Total net cash flows from financing activities,True,2019-20,6
cash_flow_statement,8,Total net cash flows from financing activities,True,2020-21,-149
cash_flow_statement,8,Total net cash flows from financing activities,True,2021-22,-191
cash_flow_statement,8,Total net cash flows from financing activities,True,2022-23,9
cash_flow_statement,8,Total net cash flows from financing activities,True,2023-24,330
cash_flow_statement,8,Total net cash flows from financing activities,True,2024-25,-321
cash_flow_statement,9,NET CHANGE IN THE STOCK OF CASH,True,2015-16,-7
cash_flow_statement,9,NET CHANGE IN THE STOCK OF CASH,True,2016-17,33
cash_flow_statement,9,NET CHANGE IN THE STOCK OF CASH,True,2017-18,-10
cash_flow_statement,9,NET CHANGE IN THE STOCK OF CASH,True,2018-19,-39
cash_flow_statement,9,NET CHANGE IN THE STOCK OF CASH,True,2019-20,-27
cash_flow_statement,9,NET CHANGE IN THE STOCK OF CASH,True,2020-21,15
cash_flow_statement,9,NET CHANGE IN THE STOCK OF CASH,True,2021-22,-5
cash_flow_statement,9,NET CHANGE IN THE STOCK OF CASH,True,2022-23,9
cash_flow_statement,9,NET CHANGE IN THE STOCK OF CASH,True,2023-24,139
cash_flow_statement,9,NET CHANGE IN THE STOCK OF CASH,True,2024-25,-175
cash_flow_statement,10,GFS Cash Surplus (+) / Deficit (-),True,2015-16,7
cash_flow_statement,10,GFS Cash Surplus (+) / Deficit (-),True,2016-17,155
cash_flow_statement,10,GFS Cash Surplus (+) / Deficit (-),True,2017-18,38
cash_flow_statement,10,GFS Cash Surplus (+) / Deficit (-),True,2018-19,-54
cash_flow_statement,10,GFS Cash Surplus (+) / Deficit (-),True,2019-20,-9
cash_flow_statement,10,GFS Cash Surplus (+) / Deficit (-),True,2020-21,133
cash_flow_statement,10,GFS Cash Surplus (+) / Deficit (-),True,2021-22,216
cash_flow_statement,10,GFS Cash Surplus (+) / Deficit (-),True,2022-23,0
cash_flow_statement,10,GFS Cash Surplus (+) / Deficit (-),True,2023-24,-178
cash_flow_statement,10,GFS Cash Surplus (+) / Deficit (-),True,2024-25,199
cash_flow_statement,11,Acquisitions of non-financial assets under new finance leases,False,2015-16,0
cash_flow_statement,11,Acquisitions of non-financial assets under new finance leases,False,2016-17,0
cash_flow_statement,11,Acquisitions of non-financial assets under new finance leases,False,2017-18,0
cash_flow_statement,11,Acquisitions of non-financial assets under new finance leases,False,2018-19,0
cash_flow_statement,11,Acquisitions of non-financial assets under new finance leases,False,2019-20,0
cash_flow_statement,11,Acquisitions of non-financial assets under new finance leases,False,2020-21,0
cash_flow_statement,11,Acquisitions of non-financial assets under new finance leases,False,2021-22,0
