Agency,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12
Office of the Minister for PIRD and Forest Ind,,,,5,,,,,,,,,
"Office of the Minister for Police, Emergency Service & Corrections",,,,6,,,,,,,,,
Office of the Minister for Trade and Investment,,,,3,,,,,,,,,
"Office of the Minister for Transport, Infrastructure and Local Government",,,,,7,50,,,,,,,
Office of the National Rail Safety Regulator,11,0,0,1,7,10,4,4,11,3,1,0,
Office of the Premier - Hon Jay Weatherill MP,,,,,,,,39,31,59,101,106,68
Office of the Premier - Hon Steven Marshall MP,,,,31,46,42,69,,,,,,
Office of the Public Advocate,2,2,2,2,4,3,7,3,5,0,3,1,4
Office of the Small Business Commissioner,,,,,0,0,2,3,3,,,,
Office of the Training Advocate,,,,,0,0,0,0,0,0,0,0,0
Office of the Treasurer – Hon Jay Weatherill MP,,,,,,,,,,,,40,
Office of the Treasurer - Hon Robert Lucas MLC,,,,14,76,105,189,,,,,,
Office of the Treasurer - Hon Tom Koutsantonis MP,,,,,,,,23,15,31,36,36,25
Outback Communities Authority,,,,,0,0,0,0,0,0,0,0,0
Premier's Delivery Unit,1,10,11,,,,,,,,,,
Rail Commissioner,,,,,0,0,0,0,0,0,2,59,83
Regional Development Australia Barossa,,,,,0,0,0,0,0,0,0,0,0
Renewal SA Urban Renewal Authority,17,28,18,1,4,4,3,50,49,48,30,30,11
Residential Tenancies Tribunal,,,,,0,0,0,0,0,0,0,0,5
ReturnToWorkSA,142,162,162,246,198,388,298,334,371,,,,
Riverland Mallee Coorong Local Health Network,143,116,168,96,63,5,,,,,,,
SA Ambulance Service,414,348,234,,181,178,180,181,135,142,152,214,198
SA Arid Lands Landscape Board,1,1,,,0,0,0,0,0,0,1,0,1
SA Fire and Emergency Services Commission,6,5,1,7,0,9,4,35,36,73,24,30,18
SA Housing Trust (formerly SA Housing Authority),135,130,125,86,115,78,152,,,,,,
SA Lotteries Commission,1,0,0,,0,0,0,1,0,0,0,2,20
