sex,year,age_group,unit,value
Males,2010,45–54 years,"Victimisation rate (number per 100,000)",7.1
Males,2010,55–64 years,"Victimisation rate (number per 100,000)",2.8
Males,2010,65 years and over,"Victimisation rate (number per 100,000)",1.0
Males,2010,Total,"Victimisation rate (number per 100,000)",26.1
Persons,2010,0–9 years,"Victimisation rate (number per 100,000)",91.4
Persons,2010,10–17 years,"Victimisation rate (number per 100,000)",365.2
Persons,2010,18–24 years,"Victimisation rate (number per 100,000)",145.8
Persons,2010,25–34 years,"Victimisation rate (number per 100,000)",68.8
Persons,2010,35–44 years,"Victimisation rate (number per 100,000)",45.1
Persons,2010,45–54 years,"Victimisation rate (number per 100,000)",23.9
Persons,2010,55–64 years,"Victimisation rate (number per 100,000)",10.1
Persons,2010,65 years and over,"Victimisation rate (number per 100,000)",6.2
Persons,2010,Total,"Victimisation rate (number per 100,000)",85.6
Females,2011,0–9 years,"Victimisation rate (number per 100,000)",121.2
Females,2011,10–17 years,"Victimisation rate (number per 100,000)",616.8
Females,2011,18–24 years,"Victimisation rate (number per 100,000)",273.4
Females,2011,25–34 years,"Victimisation rate (number per 100,000)",129.9
Females,2011,35–44 years,"Victimisation rate (number per 100,000)",78.5
Females,2011,45–54 years,"Victimisation rate (number per 100,000)",40.9
Females,2011,55–64 years,"Victimisation rate (number per 100,000)",16.5
Females,2011,65 years and over,"Victimisation rate (number per 100,000)",7.9
Females,2011,Total,"Victimisation rate (number per 100,000)",140.1
Males,2011,0–9 years,"Victimisation rate (number per 100,000)",58.1
Males,2011,10–17 years,"Victimisation rate (number per 100,000)",92.4
Males,2011,18–24 years,"Victimisation rate (number per 100,000)",24.8
Males,2011,25–34 years,"Victimisation rate (number per 100,000)",14.5
Males,2011,35–44 years,"Victimisation rate (number per 100,000)",13.4
Males,2011,45–54 years,"Victimisation rate (number per 100,000)",7.6
Males,2011,55–64 years,"Victimisation rate (number per 100,000)",2.8
Males,2011,65 years and over,"Victimisation rate (number per 100,000)",1.8
Males,2011,Total,"Victimisation rate (number per 100,000)",25.5
Persons,2011,0–9 years,"Victimisation rate (number per 100,000)",89.1
Persons,2011,10–17 years,"Victimisation rate (number per 100,000)",347.7
Persons,2011,18–24 years,"Victimisation rate (number per 100,000)",146.6
Persons,2011,25–34 years,"Victimisation rate (number per 100,000)",71.9
Persons,2011,35–44 years,"Victimisation rate (number per 100,000)",46.2
Persons,2011,45–54 years,"Victimisation rate (number per 100,000)",24.4
Persons,2011,55–64 years,"Victimisation rate (number per 100,000)",9.6
Persons,2011,65 years and over,"Victimisation rate (number per 100,000)",5.1
Persons,2011,Total,"Victimisation rate (number per 100,000)",83.3
Females,2012,0–9 years,"Victimisation rate (number per 100,000)",123.2
Females,2012,10–17 years,"Victimisation rate (number per 100,000)",633.0
Females,2012,18–24 years,"Victimisation rate (number per 100,000)",272.6
Females,2012,25–34 years,"Victimisation rate (number per 100,000)",126.1
Females,2012,35–44 years,"Victimisation rate (number per 100,000)",80.4
Females,2012,45–54 years,"Victimisation rate (number per 100,000)",43.9
Females,2012,55–64 years,"Victimisation rate (number per 100,000)",17.3
Females,2012,65 years and over,"Victimisation rate (number per 100,000)",8.8
Females,2012,Total,"Victimisation rate (number per 100,000)",141.2
Males,2012,0–9 years,"Victimisation rate (number per 100,000)",70.6
Males,2012,10–17 years,"Victimisation rate (number per 100,000)",96.7
Males,2012,18–24 years,"Victimisation rate (number per 100,000)",27.1
Males,2012,25–34 years,"Victimisation rate (number per 100,000)",17.2
Males,2012,35–44 years,"Victimisation rate (number per 100,000)",14.2
Males,2012,45–54 years,"Victimisation rate (number per 100,000)",9.4
Males,2012,55–64 years,"Victimisation rate (number per 100,000)",5.3
Males,2012,65 years and over,"Victimisation rate (number per 100,000)",2.2
Males,2012,Total,"Victimisation rate (number per 100,000)",28.8
Persons,2012,0–9 years,"Victimisation rate (number per 100,000)",96.3
Persons,2012,10–17 years,"Victimisation rate (number per 100,000)",357.9
Persons,2012,18–24 years,"Victimisation rate (number per 100,000)",147.2
Persons,2012,25–34 years,"Victimisation rate (number per 100,000)",71.4
Persons,2012,35–44 years,"Victimisation rate (number per 100,000)",47.7
Persons,2012,45–54 years,"Victimisation rate (number per 100,000)",26.8
Persons,2012,55–64 years,"Victimisation rate (number per 100,000)",11.6
Persons,2012,65 years and over,"Victimisation rate (number per 100,000)",5.8
Persons,2012,Total,"Victimisation rate (number per 100,000)",85.6
Females,2013,0–9 years,"Victimisation rate (number per 100,000)",129.2
Females,2013,10–17 years,"Victimisation rate (number per 100,000)",629.9
Females,2013,18–24 years,"Victimisation rate (number per 100,000)",274.1
Females,2013,25–34 years,"Victimisation rate (number per 100,000)",131.3
Females,2013,35–44 years,"Victimisation rate (number per 100,000)",87.5
Females,2013,45–54 years,"Victimisation rate (number per 100,000)",45.1
Females,2013,55–64 years,"Victimisation rate (number per 100,000)",16.4
Females,2013,65 years and over,"Victimisation rate (number per 100,000)",9.7
Females,2013,Total,"Victimisation rate (number per 100,000)",142.5
Males,2013,0–9 years,"Victimisation rate (number per 100,000)",62.5
Males,2013,10–17 years,"Victimisation rate (number per 100,000)",106.5
Males,2013,18–24 years,"Victimisation rate (number per 100,000)",27.4
Males,2013,25–34 years,"Victimisation rate (number per 100,000)",16.0
