sex,year,experience_of_violence,sex_of_perpetrator,relationship_with_perpetrator,disability_status_type,unit,value,rse,95_moe,lower_ci,upper_ci,data_flag
Persons,2016,Experienced violence since age 15,By a person,Parent,With disability,Number,301.3,n.a.,n.a.,n.a.,n.a.,
Persons,2016,Experienced violence since age 15,By a person,Parent,Without disability,Number,382.3,n.a.,n.a.,n.a.,n.a.,
Persons,2016,Experienced violence since age 15,By a person,Child,With disability— other disability status,Number,36.3,n.a.,n.a.,n.a.,n.a.,
Persons,2016,Experienced violence since age 15,By a person,Child,With disability— severe or profound,Number,9,n.a.,n.a.,n.a.,n.a.,**
Persons,2016,Experienced violence since age 15,By a person,Child,With disability,Number,45.3,n.a.,n.a.,n.a.,n.a.,
Persons,2016,Experienced violence since age 15,By a person,Child,Without disability,Number,20.2,n.a.,n.a.,n.a.,n.a.,*
Persons,2016,Experienced violence since age 15,By a person,Sibling,With disability— other disability status,Number,120.7,n.a.,n.a.,n.a.,n.a.,
Persons,2016,Experienced violence since age 15,By a person,Sibling,With disability— severe or profound,Number,22.4,n.a.,n.a.,n.a.,n.a.,
Persons,2016,Experienced violence since age 15,By a person,Sibling,With disability,Number,143.1,n.a.,n.a.,n.a.,n.a.,
Persons,2016,Experienced violence since age 15,By a person,Sibling,Without disability,Number,135,n.a.,n.a.,n.a.,n.a.,
Persons,2016,Have experienced emotional abuse by a partner since age 15,By a person,Partner - current or previous,"With disability — Sight, hearing, speech",Number,527.6,n.a.,n.a.,n.a.,n.a.,
Persons,2016,Have experienced emotional abuse by a partner since age 15,By a person,Partner - current or previous,With disability — Physical,Number,1080.5,n.a.,n.a.,n.a.,n.a.,
Persons,2016,Have experienced emotional abuse by a partner since age 15,By a person,Partner - current or previous,With disability — Intellectual,Number,145.5,n.a.,n.a.,n.a.,n.a.,
Persons,2016,Have experienced emotional abuse by a partner since age 15,By a person,Partner - current or previous,With disability — Psychological,Number,372.1,n.a.,n.a.,n.a.,n.a.,
Persons,2016,Have experienced emotional abuse by a partner since age 15,By a person,Partner - current or previous,"With disability — Head injury, stroke or brain damage",Number,64.4,n.a.,n.a.,n.a.,n.a.,
Persons,2016,Have experienced emotional abuse by a partner since age 15,By a person,Partner - current or previous,With disability — Type not specified,Number,526.5,n.a.,n.a.,n.a.,n.a.,
Persons,2016,Have not experienced intimate partner violence since age 15,By a person,Intimate partner,With disability,Number,4555,n.a.,n.a.,n.a.,n.a.,
Persons,2016,Have not experienced intimate partner violence since age 15,By a person,Intimate partner,"With disability — Sight, hearing, speech",Number,1825.3,n.a.,n.a.,n.a.,n.a.,
Persons,2016,Have not experienced intimate partner violence since age 15,By a person,Intimate partner,With disability — Physical,Number,3072.1,n.a.,n.a.,n.a.,n.a.,
Persons,2016,Have not experienced intimate partner violence since age 15,By a person,Intimate partner,With disability — Intellectual,Number,344.5,n.a.,n.a.,n.a.,n.a.,
Persons,2016,Have not experienced intimate partner violence since age 15,By a person,Intimate partner,With disability — Psychological,Number,551.3,n.a.,n.a.,n.a.,n.a.,
Persons,2016,Have not experienced intimate partner violence since age 15,By a person,Intimate partner,"With disability — Head injury, stroke or brain damage",Number,128.1,n.a.,n.a.,n.a.,n.a.,
Persons,2016,Have not experienced intimate partner violence since age 15,By a person,Intimate partner,With disability — Type not specified,Number,1406.6,n.a.,n.a.,n.a.,n.a.,
Persons,2016,Have not experienced intimate partner violence since age 15,By a person,Intimate partner,Without disability,Number,10985,n.a.,n.a.,n.a.,n.a.,
Persons,2016,Have not experienced sexual violence since age 15,By a person,Any person - all relationships,With disability,Number,4815.2,n.a.,n.a.,n.a.,n.a.,
Persons,2016,Have not experienced sexual violence since age 15,By a person,Any person - all relationships,"With disability — Sight, hearing, speech",Number,1934.1,n.a.,n.a.,n.a.,n.a.,
Persons,2016,Have not experienced sexual violence since age 15,By a person,Any person - all relationships,With disability — Physical,Number,3227.9,n.a.,n.a.,n.a.,n.a.,
Persons,2016,Have not experienced sexual violence since age 15,By a person,Any person - all relationships,With disability — Intellectual,Number,367.2,n.a.,n.a.,n.a.,n.a.,
Persons,2016,Have not experienced sexual violence since age 15,By a person,Any person - all relationships,With disability — Psychological,Number,586.2,n.a.,n.a.,n.a.,n.a.,
Persons,2016,Have not experienced sexual violence since age 15,By a person,Any person - all relationships,"With disability — Head injury, stroke or brain damage",Number,146.7,n.a.,n.a.,n.a.,n.a.,
Persons,2016,Have not experienced sexual violence since age 15,By a person,Any person - all relationships,With disability — Type not specified,Number,1491.8,n.a.,n.a.,n.a.,n.a.,
Persons,2016,Have not experienced sexual violence since age 15,By a person,Any person - all relationships,Without disability,Number,11432.2,n.a.,n.a.,n.a.,n.a.,
Females,2021-22,Experienced sexual assault in the last 2 years,By a person,Any person - all relationships,With disability,Proportion,3.2,12.7,0.8,2.4,4.0,
Females,2021-22,Experienced sexual assault in the last 2 years,By a person,Any person - all relationships,With disability - Sensory and speech,Proportion,1.9,32.2,1.2,0.7,3.1,*
Females,2021-22,Experienced sexual assault in the last 2 years,By a person,Any person - all relationships,With disability - Learning and understanding,Proportion,6.6,29.4,3.8,2.8,10.4,*
Females,2021-22,Experienced sexual assault in the last 2 years,By a person,Any person - all relationships,With disability - Physical restriction,Proportion,2.1,15.9,0.7,1.4,2.8,
Females,2021-22,Experienced sexual assault in the last 2 years,By a person,Any person - all relationships,With disability - Psychosocial,Proportion,9.3,17.7,3.2,6.1,12.5,
Females,2021-22,Experienced sexual assault in the last 2 years,By a person,Any person - all relationships,"With disability - Head injury, stroke or acquired brain injury",Proportion,8.1,n.p.,n.a.,n.a.,n.a.,**
Females,2021-22,Experienced sexual assault in the last 2 years,By a person,Any person - all relationships,With disability - Other,Proportion,3.5,24.1,1.7,1.8,5.2,
Females,2021-22,Experienced sexual assault in the last 2 years,By a person,Any person - all relationships,Without disability,Proportion,2.2,12.2,0.5,1.7,2.7,
Females,2021-22,Experienced sexual harassment in the last 12 months,By a person,Any person - all relationships,With disability - Sensory and speech,Proportion,7.7,15.3,2.3,5.4,10.0,
Females,2021-22,Experienced sexual harassment in the last 12 months,By a person,Any person - all relationships,With disability - Learning and understanding,Proportion,18.5,18.5,6.7,11.8,25.2,
Females,2021-22,Experienced sexual harassment in the last 12 months,By a person,Any person - all relationships,With disability - Physical restriction,Proportion,13.2,8.8,2.3,10.9,15.5,
Females,2021-22,Experienced sexual harassment in the last 12 months,By a person,Any person - all relationships,With disability - Psychosocial,Proportion,32.7,9.4,6.0,26.7,38.7,
Females,2021-22,Experienced sexual harassment in the last 12 months,By a person,Any person - all relationships,"With disability - Head injury, stroke or acquired brain injury",Proportion,20.7,34.8,14.1,6.6,34.8,*
Females,2021-22,Experienced sexual harassment in the last 12 months,By a person,Any person - all relationships,With disability - Other,Proportion,16.1,14.1,4.4,11.7,20.5,
Females,2021-22,Experienced sexual harassment in the last 12 months,By a person,Any person - all relationships,Without disability,Proportion,11.8,3.9,0.9,10.9,12.7,
Females,2021-22,Experienced sexual violence in the last 2 years,By a person,Any person - all relationships,With disability,Proportion,4,11,0.9,3.1,4.9,
Females,2021-22,Experienced sexual violence in the last 2 years,By a person,Any person - all relationships,With disability - Sensory and speech,Proportion,3.2,25.7,1.6,1.6,4.8,*
Females,2021-22,Experienced sexual violence in the last 2 years,By a person,Any person - all relationships,With disability - Learning and understanding,Proportion,7.9,29.8,4.6,3.3,12.5,*
Females,2021-22,Experienced sexual violence in the last 2 years,By a person,Any person - all relationships,With disability - Physical restriction,Proportion,2.9,14.5,0.8,2.1,3.7,
Females,2021-22,Experienced sexual violence in the last 2 years,By a person,Any person - all relationships,With disability - Psychosocial,Proportion,11.7,15.9,3.6,8.1,15.3,
Females,2021-22,Experienced sexual violence in the last 2 years,By a person,Any person - all relationships,"With disability - Head injury, stroke or acquired brain injury",Proportion,8.1,n.p.,n.a.,n.a.,n.a.,**
Females,2021-22,Experienced sexual violence in the last 2 years,By a person,Any person - all relationships,With disability - Other,Proportion,4.1,24.2,1.9,2.2,6.0,
Females,2021-22,Experienced sexual violence in the last 2 years,By a person,Any person - all relationships,Without disability,Proportion,2.5,11.2,0.5,2.0,3.0,
Persons,2016,Experienced intimate partner violence since age 15,By a person,Intimate partner,With disability,Proportion,20.8,n.a.,n.a.,19.4,22.1,
Persons,2016,Experienced intimate partner violence since age 15,By a person,Intimate partner,"With disability — Sight, hearing, speech",Proportion,18.1,n.a.,n.a.,16.1,20.2,
Persons,2016,Experienced intimate partner violence since age 15,By a person,Intimate partner,With disability — Physical,Proportion,21.7,n.a.,n.a.,19.9,23.4,
Persons,2016,Experienced intimate partner violence since age 15,By a person,Intimate partner,With disability — Intellectual,Proportion,27.5,n.a.,n.a.,21.5,33.4,
Persons,2016,Experienced intimate partner violence since age 15,By a person,Intimate partner,With disability — Psychological,Proportion,38.7,n.a.,n.a.,34.7,42.8,
Persons,2016,Experienced intimate partner violence since age 15,By a person,Intimate partner,"With disability — Head injury, stroke or brain damage",Proportion,29.8,n.a.,n.a.,20.0,39.5,
