sex,year,experience_of_violence,type_of_violence,sex_of_perpetrator,relationship_with_perpetrator,unit,value,rse,95_moe,lower_ci,upper_ci,data_flag
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Stranger,Number,445.9,6.2,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Known person,Number,1788.4,2.9,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Intimate partner or family member,Number,1154.8,3.9,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Intimate partner,Number,1040.9,4,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Cohabiting partner,Number,563.3,5.1,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Boyfriend or date,Number,580.0,5.1,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Family member,Number,186.6,9.2,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Father,Number,46.3,17,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Son,Number,—,n.p.,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Brother,Number,35.4,21.5,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Other relative or in-law,Number,121.5,11.9,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Other known person,Number,972.7,4.1,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Friend or housemate,Number,452.1,6.4,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Acquaintance or neighbour,Number,408.2,6.7,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Employer/manager/supervisor,Number,93.5,16.1,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Co-worker,Number,142.7,11.3,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Client/patient/customer,Number,24.3,29.1,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Other,Number,126.2,9.8,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a person,Any person - all relationships,Number,1972.5,2.7,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Any person - all relationships,Number,1958.5,2.8,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a female,Any person - all relationships,Number,60.3,17.7,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual threat,By a male,Stranger,Number,219.2,10.5,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual threat,By a male,Known person,Number,391.5,7.6,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual threat,By a male,Intimate partner or family member,Number,206.1,10.2,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual threat,By a male,Intimate partner,Number,179.7,10.9,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual threat,By a male,Cohabiting partner,Number,97.7,14.3,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual threat,By a male,Boyfriend or date,Number,86.8,13.7,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual threat,By a male,Family member,Number,29.1,27.7,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced violence since age 15,Sexual threat,By a male,Father,Number,8.1,44,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced violence since age 15,Sexual threat,By a male,Son,Number,—,n.p.,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual threat,By a male,Brother,Number,2.9,n.p.,n.a.,n.a.,n.a.,**
Females,2021-22,Experienced violence since age 15,Sexual threat,By a male,Other relative or in-law,Number,22.0,31.3,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced violence since age 15,Sexual threat,By a male,Other known person,Number,228.5,10,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual threat,By a male,Friend or housemate,Number,64.8,17.8,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual threat,By a male,Acquaintance or neighbour,Number,114.0,13.4,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual threat,By a male,Employer/manager/supervisor,Number,14.4,31.6,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced violence since age 15,Sexual threat,By a male,Co-worker,Number,45.2,22.7,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual threat,By a male,Client/patient/customer,Number,18.4,27.2,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced violence since age 15,Sexual threat,By a male,Other,Number,28.9,28.7,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced violence since age 15,Sexual threat,By a person,Any person - all relationships,Number,544.7,6.5,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual threat,By a male,Any person - all relationships,Number,534.5,6.6,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual threat,By a female,Any person - all relationships,Number,15.8,27.9,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced violence since age 15,Sexual violence,By a male,Stranger,Number,604.9,5.5,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual violence,By a male,Known person,Number,1959.1,2.7,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual violence,By a male,Intimate partner or family member,Number,1256.0,3.9,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual violence,By a male,Intimate partner,Number,1128.8,3.9,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual violence,By a male,Cohabiting partner,Number,608.8,5,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual violence,By a male,Boyfriend or date,Number,625.9,4.8,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual violence,By a male,Family member,Number,203.3,9.3,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual violence,By a male,Father,Number,51.9,16.7,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual violence,By a male,Son,Number,6.8,n.p.,n.a.,n.a.,n.a.,**
Females,2021-22,Experienced violence since age 15,Sexual violence,By a male,Brother,Number,35.4,21.5,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual violence,By a male,Other relative or in-law,Number,137.4,11.2,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual violence,By a male,Other known person,Number,1110.0,3.7,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual violence,By a male,Friend or housemate,Number,488.8,6.2,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual violence,By a male,Acquaintance or neighbour,Number,497.3,5.9,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual violence,By a male,Employer/manager/supervisor,Number,105.7,14.6,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual violence,By a male,Co-worker,Number,175.7,10.5,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual violence,By a male,Client/patient/customer,Number,36.6,22,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual violence,By a male,Other,Number,151.8,9.7,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual violence,By a person,Any person - all relationships,Number,2203.2,2.5,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual violence,By a male,Any person - all relationships,Number,2187.8,2.5,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual violence,By a female,Any person - all relationships,Number,67.7,16.4,n.a.,n.a.,n.a.,
Males,2016,Experienced sexual harassment since age 15,Sexual harassment,By a male,Any person - all relationships,Number,1469.1,3.9,n.a.,n.a.,n.a.,
Males,2016,Experienced sexual harassment since age 15,Sexual harassment,By a female,Any person - all relationships,Number,1429.3,4.7,n.a.,n.a.,n.a.,
Males,2016,Experienced sexual harassment since age 15,Sexual harassment,By a person,Any person - all relationships,Number,2214.5,2.9,n.a.,n.a.,n.a.,
Males,2021-22,Experienced sexual harassment during the last 12 months,Sexual harassment,By a male,Any person - all relationships,Number,310.8,23.5,n.a.,n.a.,n.a.,
Males,2021-22,Experienced sexual harassment during the last 12 months,Sexual harassment,By a female,Any person - all relationships,Number,250.4,24.7,n.a.,n.a.,n.a.,
Males,2021-22,Experienced sexual harassment during the last 12 months,Sexual harassment,By a person,Any person - all relationships,Number,426.8,17.8,n.a.,n.a.,n.a.,
Males,2021-22,Experienced violence in the last 12 months,Sexual assault,By a person,Any person - all relationships,Number,48.1,n.p.,n.a.,n.a.,n.a.,**
Males,2021-22,Experienced violence in the last 12 months,Sexual threat,By a person,Any person - all relationships,Number,—,n.p.,n.a.,n.a.,n.a.,
Males,2021-22,Experienced violence in the last 12 months,Sexual violence,By a person,Any person - all relationships,Number,71.8,n.p.,n.a.,n.a.,n.a.,**
Males,2021-22,Experienced violence since age 15,Sexual assault,By a person,Any person - all relationships,Number,483.8,18.6,n.a.,n.a.,n.a.,
Males,2021-22,Experienced violence since age 15,Sexual assault,By a male,Any person - all relationships,Number,275.7,19.0,n.a.,n.a.,n.a.,
Males,2021-22,Experienced violence since age 15,Sexual assault,By a female,Any person - all relationships,Number,233.0,28.4,n.a.,n.a.,n.a.,*
Males,2021-22,Experienced violence since age 15,Sexual threat,By a person,Any person - all relationships,Number,137.9,30.3,n.a.,n.a.,n.a.,*
Males,2021-22,Experienced violence since age 15,Sexual threat,By a male,Any person - all relationships,Number,65.3,42.7,n.a.,n.a.,n.a.,*
Males,2021-22,Experienced violence since age 15,Sexual threat,By a female,Any person - all relationships,Number,42.5,n.p.,n.a.,n.a.,n.a.,**
Males,2021-22,Experienced violence since age 15,Sexual violence,By a person,Any person - all relationships,Number,582.4,16.5,n.a.,n.a.,n.a.,
Males,2021-22,Experienced violence since age 15,Sexual violence,By a male,Any person - all relationships,Number,341.7,17.3,n.a.,n.a.,n.a.,
Males,2021-22,Experienced violence since age 15,Sexual violence,By a female,Any person - all relationships,Number,288.9,23.7,n.a.,n.a.,n.a.,
Persons,2016,Experienced sexual harassment since age 15,Sexual harassment,By a male,Any person - all relationships,Number,6356.0,1.4,n.a.,n.a.,n.a.,
Persons,2016,Experienced sexual harassment since age 15,Sexual harassment,By a female,Any person - all relationships,Number,2415.0,3.2,n.a.,n.a.,n.a.,
Persons,2016,Experienced sexual harassment since age 15,Sexual harassment,By a person,Any person - all relationships,Number,7170.1,1.3,n.a.,n.a.,n.a.,
Persons,2021-22,Experienced violence since age 15,Sexual assault,By a person,Any person - all relationships,Number,2450.5,4.1,n.a.,n.a.,n.a.,
Persons,2021-22,Experienced violence since age 15,Sexual assault,By a male,Any person - all relationships,Number,2237.2,3.5,n.a.,n.a.,n.a.,
Persons,2021-22,Experienced violence since age 15,Sexual assault,By a female,Any person - all relationships,Number,288.1,23.3,n.a.,n.a.,n.a.,
Persons,2021-22,Experienced violence since age 15,Sexual threat,By a person,Any person - all relationships,Number,676.9,8.1,n.a.,n.a.,n.a.,
Persons,2021-22,Experienced violence since age 15,Sexual threat,By a male,Any person - all relationships,Number,611.7,7.8,n.a.,n.a.,n.a.,
Persons,2021-22,Experienced violence since age 15,Sexual threat,By a female,Any person - all relationships,Number,70.5,40.1,n.a.,n.a.,n.a.,*
Persons,2021-22,Experienced violence since age 15,Sexual violence,By a person,Any person - all relationships,Number,2784.3,3.9,n.a.,n.a.,n.a.,
Persons,2021-22,Experienced violence since age 15,Sexual violence,By a male,Any person - all relationships,Number,2522.3,3.4,n.a.,n.a.,n.a.,
Persons,2021-22,Experienced violence since age 15,Sexual violence,By a female,Any person - all relationships,Number,353.1,19.7,n.a.,n.a.,n.a.,
Females,1996,Experienced sexual harassment during the last 12 months,Sexual harassment,By a male,Any person - all relationships,Proportion,n.a.,n.a.,n.a.,n.a.,n.a.,
Females,1996,Experienced sexual harassment during the last 12 months,Sexual harassment,By a female,Any person - all relationships,Proportion,n.a.,n.a.,n.a.,n.a.,n.a.,
Females,1996,Experienced sexual harassment during the last 12 months,Sexual harassment,By a person,Any person - all relationships,Proportion,n.a.,n.a.,n.a.,n.a.,n.a.,
Females,1996,Experienced violence in the last 12 months,Sexual assault,By a person,Any person - all relationships,Proportion,1.5,11.8,0.3,1.2,1.8,
Females,1996,Experienced violence in the last 12 months,Sexual threat,By a person,Any person - all relationships,Proportion,0.7,18.9,0.3,0.4,1.0,
Females,1996,Experienced violence in the last 12 months,Sexual violence,By a person,Any person - all relationships,Proportion,1.9,11.8,0.4,1.5,2.3,
Females,2005,Experienced sexual harassment during the last 12 months,Sexual harassment,By a male,Any person - all relationships,Proportion,17.6,2.2,0.8,16.8,18.4,
Females,2005,Experienced sexual harassment during the last 12 months,Sexual harassment,By a female,Any person - all relationships,Proportion,4.2,5.2,0.4,3.8,4.6,
Females,2005,Experienced sexual harassment during the last 12 months,Sexual harassment,By a person,Any person - all relationships,Proportion,19,2.1,0.8,18.2,19.8,
Females,2005,Experienced violence in the last 12 months,Sexual assault,By a person,Any person - all relationships,Proportion,1.3,9.3,0.2,1.1,1.5,
Females,2005,Experienced violence in the last 12 months,Sexual threat,By a person,Any person - all relationships,Proportion,0.5,17.6,0.2,0.3,0.7,
Females,2005,Experienced violence in the last 12 months,Sexual violence,By a person,Any person - all relationships,Proportion,1.6,8.4,0.3,1.3,1.9,
Females,2012,Experienced sexual harassment during the last 12 months,Sexual harassment,By a male,Any person - all relationships,Proportion,14,3.1,0.9,13.1,14.9,
Females,2012,Experienced sexual harassment during the last 12 months,Sexual harassment,By a female,Any person - all relationships,Proportion,2.8,7.7,0.4,2.4,3.2,
Females,2012,Experienced sexual harassment during the last 12 months,Sexual harassment,By a person,Any person - all relationships,Proportion,14.8,3.0,0.9,13.9,15.7,
Females,2012,Experienced violence in the last 12 months,Sexual assault,By a person,Any person - all relationships,Proportion,1,14.7,0.3,0.7,1.3,
Females,2012,Experienced violence in the last 12 months,Sexual threat,By a person,Any person - all relationships,Proportion,0.2,26.3,0.1,0.1,0.3,*
Females,2012,Experienced violence in the last 12 months,Sexual violence,By a person,Any person - all relationships,Proportion,1.2,13.8,0.3,0.9,1.5,
Females,2016,Experienced sexual harassment during the last 12 months,Sexual harassment,By a male,Any person - all relationships,Proportion,16.1,3.2,1.0,15.1,17.1,
Females,2016,Experienced sexual harassment during the last 12 months,Sexual harassment,By a female,Any person - all relationships,Proportion,4.1,8.1,0.7,3.4,4.8,
Females,2016,Experienced sexual harassment during the last 12 months,Sexual harassment,By a person,Any person - all relationships,Proportion,17.3,3.2,1.1,16.2,18.4,
Females,2016,Experienced sexual harassment since age 15,Sexual harassment,By a male,Any person - all relationships,Proportion,52.2,1.4,1.4,50.8,53.6,
Females,2016,Experienced sexual harassment since age 15,Sexual harassment,By a female,Any person - all relationships,Proportion,10.6,3.8,0.8,9.8,11.4,
Females,2016,Experienced sexual harassment since age 15,Sexual harassment,By a person,Any person - all relationships,Proportion,52.9,1.4,1.5,51.4,54.4,
Females,2016,Experienced violence in the last 12 months,Sexual assault,By a person,Any person - all relationships,Proportion,1.6,11.5,0.4,1.2,2.0,
Females,2016,Experienced violence in the last 12 months,Sexual threat,By a person,Any person - all relationships,Proportion,0.4,21.4,0.2,0.2,0.6,
Females,2016,Experienced violence in the last 12 months,Sexual violence,By a person,Any person - all relationships,Proportion,1.8,11.2,0.4,1.4,2.2,
Females,2021-22,Experienced sexual harassment during the last 12 months,Sexual harassment,By a male,Any person - all relationships,Proportion,12.2,3.3,0.8,11.4,13.0,
Females,2021-22,Experienced sexual harassment during the last 12 months,Sexual harassment,By a female,Any person - all relationships,Proportion,1.1,14.0,0.3,0.8,1.4,
Females,2021-22,Experienced sexual harassment during the last 12 months,Sexual harassment,By a person,Any person - all relationships,Proportion,12.6,3.3,0.8,11.8,13.4,
Females,2021-22,Experienced violence in the last 12 months,Sexual assault,By a male,Stranger,Proportion,0.4,25.5,0.2,0.2,0.6,*
Females,2021-22,Experienced violence in the last 12 months,Sexual assault,By a male,Known person,Proportion,1.2,12.7,0.3,0.9,1.5,
Females,2021-22,Experienced violence in the last 12 months,Sexual assault,By a male,Intimate partner or family member,Proportion,0.9,15.1,0.3,0.6,1.2,
Females,2021-22,Experienced violence in the last 12 months,Sexual assault,By a male,Intimate partner,Proportion,0.8,17.1,0.3,0.5,1.1,
Females,2021-22,Experienced violence in the last 12 months,Sexual assault,By a male,Cohabiting partner,Proportion,0.4,23.7,0.2,0.2,0.6,
Females,2021-22,Experienced violence in the last 12 months,Sexual assault,By a male,Boyfriend or date,Proportion,0.4,22.7,0.2,0.2,0.6,
Females,2021-22,Experienced violence in the last 12 months,Sexual assault,By a male,Family member,Proportion,—,n.p.,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual assault,By a male,Other known person,Proportion,0.5,21.2,0.2,0.3,0.7,
Females,2021-22,Experienced violence in the last 12 months,Sexual assault,By a male,Any person - all relationships,Proportion,1.5,13.4,0.4,1.1,1.9,
Females,2021-22,Experienced violence in the last 12 months,Sexual assault,By a person,Any person - all relationships,Proportion,1.5,13.4,0.4,1.1,1.9,
Females,2021-22,Experienced violence in the last 12 months,Sexual threat,By a male,Stranger,Proportion,0.5,22.6,0.2,0.3,0.7,
Females,2021-22,Experienced violence in the last 12 months,Sexual threat,By a male,Known person,Proportion,0.3,24.8,0.1,0.2,0.4,
Females,2021-22,Experienced violence in the last 12 months,Sexual threat,By a male,Intimate partner or family member,Proportion,0.1,n.p.,n.a.,n.a.,n.a.,**
Females,2021-22,Experienced violence in the last 12 months,Sexual threat,By a male,Intimate partner,Proportion,0.1,n.p.,n.a.,n.a.,n.a.,**
Females,2021-22,Experienced violence in the last 12 months,Sexual threat,By a male,Cohabiting partner,Proportion,—,n.p.,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual threat,By a male,Boyfriend or date,Proportion,0.1,40.8,0.1,0.0,0.2,*
Females,2021-22,Experienced violence in the last 12 months,Sexual threat,By a male,Family member,Proportion,—,n.p.,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual threat,By a male,Other known person,Proportion,0.2,33.4,0.1,0.1,0.3,*
Females,2021-22,Experienced violence in the last 12 months,Sexual threat,By a male,Any person - all relationships,Proportion,0.6,19.9,0.2,0.4,0.8,
Females,2021-22,Experienced violence in the last 12 months,Sexual threat,By a person,Any person - all relationships,Proportion,0.6,19.9,0.2,0.4,0.8,
Females,2021-22,Experienced violence in the last 12 months,Sexual violence,By a male,Stranger,Proportion,0.7,17.6,0.2,0.5,0.9,
Females,2021-22,Experienced violence in the last 12 months,Sexual violence,By a male,Known person,Proportion,1.3,11.9,0.3,1.0,1.6,
Females,2021-22,Experienced violence in the last 12 months,Sexual violence,By a male,Intimate partner or family member,Proportion,0.8,15.8,0.2,0.6,1.0,
Females,2021-22,Experienced violence in the last 12 months,Sexual violence,By a male,Intimate partner,Proportion,0.8,16.4,0.3,0.5,1.1,
Females,2021-22,Experienced violence in the last 12 months,Sexual violence,By a male,Cohabiting partner,Proportion,0.4,22.4,0.2,0.2,0.6,
Females,2021-22,Experienced violence in the last 12 months,Sexual violence,By a male,Boyfriend or date,Proportion,0.5,19.0,0.2,0.3,0.7,
Females,2021-22,Experienced violence in the last 12 months,Sexual violence,By a male,Family member,Proportion,—,n.p.,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual violence,By a male,Other known person,Proportion,0.6,19.0,0.2,0.4,0.8,
Females,2021-22,Experienced violence in the last 12 months,Sexual violence,By a male,Any person - all relationships,Proportion,1.8,11.5,0.4,1.4,2.2,
Females,2021-22,Experienced violence in the last 12 months,Sexual violence,By a person,Any person - all relationships,Proportion,1.9,10.8,0.4,1.5,2.3,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Stranger,Proportion,4.5,6.2,0.5,4.0,5.0,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Known person,Proportion,18,2.9,1.0,17.0,19.0,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Intimate partner or family member,Proportion,11.7,3.9,0.9,10.8,12.6,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Intimate partner,Proportion,10.5,4,0.8,9.7,11.3,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Cohabiting partner,Proportion,5.7,5.1,0.6,5.1,6.3,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Boyfriend or date,Proportion,5.9,5.1,0.6,5.3,6.5,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Family member,Proportion,1.9,9.2,0.3,1.6,2.2,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Father,Proportion,0.5,17,0.2,0.3,0.7,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Son,Proportion,—,n.p.,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Brother,Proportion,0.4,21.5,0.2,0.2,0.6,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Other relative or in-law,Proportion,1.2,11.9,0.3,0.9,1.5,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Other known person,Proportion,9.8,4.1,0.8,9.0,10.6,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Friend or housemate,Proportion,4.6,6.4,0.6,4.0,5.2,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Acquaintance or neighbour,Proportion,4.1,6.7,0.5,3.6,4.6,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Employer/manager/supervisor,Proportion,0.9,16.1,0.3,0.6,1.2,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Co-worker,Proportion,1.4,11.3,0.3,1.1,1.7,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Client/patient/customer,Proportion,0.2,29.1,0.1,0.1,0.3,*
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Other,Proportion,1.3,9.8,0.2,1.1,1.5,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a person,Any person - all relationships,Proportion,19.9,2.7,1.1,18.8,21.0,
