year,age_group,sex,perpetrator_s_relationship_to_victim,unit,value
2020–21,0–44,Male,Parent,"Rate per 100,000 population",4.1
2021–22,0–44,Male,Parent,"Rate per 100,000 population",3.4
2022–23,0–44,Male,Parent,"Rate per 100,000 population",3.8
2023–24,0–44,Male,Parent,"Rate per 100,000 population",4.0
2019–20,0–44,Persons,Parent,"Rate per 100,000 population",4.4
2020–21,0–44,Persons,Parent,"Rate per 100,000 population",4.6
2021–22,0–44,Persons,Parent,"Rate per 100,000 population",3.8
2022–23,0–44,Persons,Parent,"Rate per 100,000 population",3.9
2023–24,0–44,Persons,Parent,"Rate per 100,000 population",4.6
2019–20,15+,Female,Spouse or domestic partner,"Rate per 100,000 population",48.7
2020–21,15+,Female,Spouse or domestic partner,"Rate per 100,000 population",49.5
2021–22,15+,Female,Spouse or domestic partner,"Rate per 100,000 population",41.4
2022–23,15+,Female,Spouse or domestic partner,"Rate per 100,000 population",41.7
2023–24,15+,Female,Spouse or domestic partner,"Rate per 100,000 population",44.7
2019–20,15+,Male,Spouse or domestic partner,"Rate per 100,000 population",7.2
2020–21,15+,Male,Spouse or domestic partner,"Rate per 100,000 population",7.3
2021–22,15+,Male,Spouse or domestic partner,"Rate per 100,000 population",6.3
2022–23,15+,Male,Spouse or domestic partner,"Rate per 100,000 population",6.1
2023–24,15+,Male,Spouse or domestic partner,"Rate per 100,000 population",6.3
2019–20,15+,Persons,Spouse or domestic partner,"Rate per 100,000 population",28.2
2020–21,15+,Persons,Spouse or domestic partner,"Rate per 100,000 population",28.7
2021–22,15+,Persons,Spouse or domestic partner,"Rate per 100,000 population",24.1
2022–23,15+,Persons,Spouse or domestic partner,"Rate per 100,000 population",24.2
2023–24,15+,Persons,Spouse or domestic partner,"Rate per 100,000 population",25.7
2023–24,65+,Female,All FDV perpetrators,"Rate per 100,000 population",15.4
2023–24,65+,Male,All FDV perpetrators,"Rate per 100,000 population",10.4
2023–24,65+,Female,Other family member,"Rate per 100,000 population",9.0
2023–24,65+,Male,Other family member,"Rate per 100,000 population",7.1
2023–24,65+,Female,Parent,"Rate per 100,000 population",n.p.
2023–24,65+,Male,Parent,"Rate per 100,000 population",n.p.
2023–24,65+,Female,Spouse or domestic partner,"Rate per 100,000 population",n.p.
2023–24,65+,Male,Spouse or domestic partner,"Rate per 100,000 population",n.p.
2023–24,55–64,Female,All FDV perpetrators,"Rate per 100,000 population",25.3
2023–24,55–64,Male,All FDV perpetrators,"Rate per 100,000 population",13.5
2023–24,55–64,Female,Other family member,"Rate per 100,000 population",12.0
2023–24,55–64,Male,Other family member,"Rate per 100,000 population",n.p.
2023–24,55–64,Female,Parent,"Rate per 100,000 population",n.p.
2023–24,55–64,Male,Parent,"Rate per 100,000 population",n.p.
2023–24,55–64,Female,Spouse or domestic partner,"Rate per 100,000 population",n.p.
2023–24,55–64,Male,Spouse or domestic partner,"Rate per 100,000 population",n.p.
2023–24,45–54,Female,All FDV perpetrators,"Rate per 100,000 population",62.4
2023–24,45–54,Male,All FDV perpetrators,"Rate per 100,000 population",21.7
2023–24,45–54,Female,Other family member,"Rate per 100,000 population",15.6
2023–24,45–54,Male,Other family member,"Rate per 100,000 population",13.9
2023–24,45–54,Female,Parent,"Rate per 100,000 population",0.9
2023–24,45–54,Male,Parent,"Rate per 100,000 population",n.p.
2023–24,45–54,Female,Spouse or domestic partner,"Rate per 100,000 population",46.3
2023–24,45–54,Male,Spouse or domestic partner,"Rate per 100,000 population",7.8
2023–24,35–44,Female,All FDV perpetrators,"Rate per 100,000 population",96.5
2023–24,35–44,Male,All FDV perpetrators,"Rate per 100,000 population",23.3
2023–24,35–44,Female,Other family member,"Rate per 100,000 population",18.2
2023–24,35–44,Male,Other family member,"Rate per 100,000 population",12.6
2023–24,35–44,Female,Parent,"Rate per 100,000 population",1.4
2023–24,35–44,Male,Parent,"Rate per 100,000 population",0.7
2023–24,35–44,Female,Spouse or domestic partner,"Rate per 100,000 population",77.7
2023–24,35–44,Male,Spouse or domestic partner,"Rate per 100,000 population",10.1
2023–24,25–34,Female,All FDV perpetrators,"Rate per 100,000 population",100.4
2023–24,25–34,Male,All FDV perpetrators,"Rate per 100,000 population",20.2
2023–24,25–34,Female,Other family member,"Rate per 100,000 population",15.9
2023–24,25–34,Male,Other family member,"Rate per 100,000 population",10.4
2023–24,25–34,Female,Parent,"Rate per 100,000 population",2.7
2023–24,25–34,Male,Parent,"Rate per 100,000 population",1.5
2023–24,25–34,Female,Spouse or domestic partner,"Rate per 100,000 population",82.0
2023–24,25–34,Male,Spouse or domestic partner,"Rate per 100,000 population",8.2
2023–24,20–24,Female,All FDV perpetrators,"Rate per 100,000 population",86.8
2023–24,20–24,Male,All FDV perpetrators,"Rate per 100,000 population",23.6
2023–24,20–24,Female,Other family member,"Rate per 100,000 population",15.2
2023–24,20–24,Male,Other family member,"Rate per 100,000 population",15.6
2023–24,20–24,Female,Parent,"Rate per 100,000 population",5.8
2023–24,20–24,Male,Parent,"Rate per 100,000 population",2.2
2023–24,20–24,Female,Spouse or domestic partner,"Rate per 100,000 population",66.8
2023–24,20–24,Male,Spouse or domestic partner,"Rate per 100,000 population",5.8
2023–24,15–19,Female,All FDV perpetrators,"Rate per 100,000 population",45.3
