sex,year,offence,location,unit,value
Females,2018,Kidnapping/abduction,Victoria,Number,22
Females,2018,Kidnapping/abduction,Queensland,Number,3
Females,2018,Kidnapping/abduction,Western Australia,Number,0
Females,2018,Kidnapping/abduction,South Australia,Number,16
Females,2018,Kidnapping/abduction,Tasmania,Number,0
Females,2018,Kidnapping/abduction,Australian Capital Territory,Number,0
Females,2018,Kidnapping/abduction,Northern Territory,Number,0
Females,2018,Kidnapping/abduction,Australia,Number,119
Females,2018,Sexual assault,New South Wales,Number,2896
Females,2018,Sexual assault,Victoria,Number,1943
Females,2018,Sexual assault,Queensland,Number,1421
Females,2018,Sexual assault,Western Australia,Number,616
Females,2018,Sexual assault,South Australia,Number,536
Females,2018,Sexual assault,Tasmania,Number,78
Females,2018,Sexual assault,Australian Capital Territory,Number,60
Females,2018,Sexual assault,Northern Territory,Number,92
Females,2018,Sexual assault,Australia,Number,7645
Females,2019,Assault,New South Wales,Number,20427
Females,2019,Assault,Victoria,Number,n.a.
Females,2019,Assault,Queensland,Number,n.p.
Females,2019,Assault,Western Australia,Number,14562
Females,2019,Assault,South Australia,Number,5965
Females,2019,Assault,Tasmania,Number,1150
Females,2019,Assault,Australian Capital Territory,Number,696
Females,2019,Assault,Northern Territory,Number,3239
Females,2019,Assault,Australia,Number,n.a.
Females,2019,Homicide and related offences,New South Wales,Number,24
Females,2019,Homicide and related offences,Victoria,Number,25
Females,2019,Homicide and related offences,Queensland,Number,14
Females,2019,Homicide and related offences,Western Australia,Number,9
Females,2019,Homicide and related offences,South Australia,Number,8
Females,2019,Homicide and related offences,Tasmania,Number,3
Females,2019,Homicide and related offences,Australian Capital Territory,Number,3
Females,2019,Homicide and related offences,Northern Territory,Number,3
Females,2019,Homicide and related offences,Australia,Number,80
Females,2019,Kidnapping/abduction,New South Wales,Number,59
Females,2019,Kidnapping/abduction,Victoria,Number,40
Females,2019,Kidnapping/abduction,Queensland,Number,3
Females,2019,Kidnapping/abduction,Western Australia,Number,0
Females,2019,Kidnapping/abduction,South Australia,Number,17
Females,2019,Kidnapping/abduction,Tasmania,Number,0
Females,2019,Kidnapping/abduction,Australian Capital Territory,Number,0
Females,2019,Kidnapping/abduction,Northern Territory,Number,0
Females,2019,Kidnapping/abduction,Australia,Number,127
Females,2019,Sexual assault,New South Wales,Number,2890
Females,2019,Sexual assault,Victoria,Number,1935
Females,2019,Sexual assault,Queensland,Number,1441
Females,2019,Sexual assault,Western Australia,Number,637
Females,2019,Sexual assault,South Australia,Number,524
Females,2019,Sexual assault,Tasmania,Number,93
Females,2019,Sexual assault,Australian Capital Territory,Number,104
Females,2019,Sexual assault,Northern Territory,Number,70
Females,2019,Sexual assault,Australia,Number,7690
Females,2020,Assault,New South Wales,Number,20432
Females,2020,Assault,Victoria,Number,n.a.
Females,2020,Assault,Queensland,Number,n.p.
Females,2020,Assault,Western Australia,Number,16262
Females,2020,Assault,South Australia,Number,6421
Females,2020,Assault,Tasmania,Number,1177
Females,2020,Assault,Australian Capital Territory,Number,634
Females,2020,Assault,Northern Territory,Number,4070
Females,2020,Assault,Australia,Number,n.a.
Females,2020,Homicide and related offences,New South Wales,Number,27
Females,2020,Homicide and related offences,Victoria,Number,18
Females,2020,Homicide and related offences,Queensland,Number,11
Females,2020,Homicide and related offences,Western Australia,Number,19
Females,2020,Homicide and related offences,South Australia,Number,9
Females,2020,Homicide and related offences,Tasmania,Number,0
Females,2020,Homicide and related offences,Australian Capital Territory,Number,0
Females,2020,Homicide and related offences,Northern Territory,Number,3
Females,2020,Homicide and related offences,Australia,Number,86
Females,2020,Kidnapping/abduction,New South Wales,Number,28
Females,2020,Kidnapping/abduction,Victoria,Number,34
Females,2020,Kidnapping/abduction,Queensland,Number,9
Females,2020,Kidnapping/abduction,Western Australia,Number,6
Females,2020,Kidnapping/abduction,South Australia,Number,13
Females,2020,Kidnapping/abduction,Tasmania,Number,0
Females,2020,Kidnapping/abduction,Australian Capital Territory,Number,0
Females,2020,Kidnapping/abduction,Northern Territory,Number,0
Females,2020,Kidnapping/abduction,Australia,Number,94
Females,2020,Sexual assault,New South Wales,Number,3524
Females,2020,Sexual assault,Victoria,Number,2130
Females,2020,Sexual assault,Queensland,Number,1561
Females,2020,Sexual assault,Western Australia,Number,718
Females,2020,Sexual assault,South Australia,Number,531
Females,2020,Sexual assault,Tasmania,Number,104
Females,2020,Sexual assault,Australian Capital Territory,Number,66
Females,2020,Sexual assault,Northern Territory,Number,96
Females,2020,Sexual assault,Australia,Number,8739
Females,2021,Assault,New South Wales,Number,20893
Females,2021,Assault,Victoria,Number,n.a.
Females,2021,Assault,Queensland,Number,n.p.
Females,2021,Assault,Western Australia,Number,16873
Females,2021,Assault,South Australia,Number,6469
Females,2021,Assault,Tasmania,Number,1181
Females,2021,Assault,Australian Capital Territory,Number,692
Females,2021,Assault,Northern Territory,Number,4473
Females,2021,Assault,Australia,Number,n.a.
Females,2021,Homicide and related offences,New South Wales,Number,7
Females,2021,Homicide and related offences,Victoria,Number,21
Females,2021,Homicide and related offences,Queensland,Number,4
Females,2021,Homicide and related offences,Western Australia,Number,10
Females,2021,Homicide and related offences,South Australia,Number,10
Females,2021,Homicide and related offences,Tasmania,Number,3
Females,2021,Homicide and related offences,Australian Capital Territory,Number,0
Females,2021,Homicide and related offences,Northern Territory,Number,7
Females,2021,Homicide and related offences,Australia,Number,59
Females,2021,Kidnapping/abduction,New South Wales,Number,76
Females,2021,Kidnapping/abduction,Victoria,Number,30
Females,2021,Kidnapping/abduction,Queensland,Number,3
Females,2021,Kidnapping/abduction,Western Australia,Number,0
Females,2021,Kidnapping/abduction,South Australia,Number,20
Females,2021,Kidnapping/abduction,Tasmania,Number,0
Females,2021,Kidnapping/abduction,Australian Capital Territory,Number,0
Females,2021,Kidnapping/abduction,Northern Territory,Number,0
Females,2021,Kidnapping/abduction,Australia,Number,123
Females,2021,Sexual assault,New South Wales,Number,4015
Females,2021,Sexual assault,Victoria,Number,2299
Females,2021,Sexual assault,Queensland,Number,1923
Females,2021,Sexual assault,Western Australia,Number,829
Females,2021,Sexual assault,South Australia,Number,633
Females,2021,Sexual assault,Tasmania,Number,167
Females,2021,Sexual assault,Australian Capital Territory,Number,102
Females,2021,Sexual assault,Northern Territory,Number,90
Females,2021,Sexual assault,Australia,Number,10063
Females,2022,Assault,New South Wales,Number,21395
Females,2022,Assault,Victoria,Number,n.a.
Females,2022,Assault,Queensland,Number,n.p.
Females,2022,Assault,Western Australia,Number,18260
Females,2022,Assault,South Australia,Number,7039
Females,2022,Assault,Tasmania,Number,1228
Females,2022,Assault,Australian Capital Territory,Number,672
Females,2022,Assault,Northern Territory,Number,5332
Females,2022,Assault,Australia,Number,n.a.
Females,2022,Homicide and related offences,New South Wales,Number,10
Females,2022,Homicide and related offences,Victoria,Number,21
Females,2022,Homicide and related offences,Queensland,Number,24
Females,2022,Homicide and related offences,Western Australia,Number,12
Females,2022,Homicide and related offences,South Australia,Number,6
Females,2022,Homicide and related offences,Tasmania,Number,0
Females,2022,Homicide and related offences,Australian Capital Territory,Number,3
Females,2022,Homicide and related offences,Northern Territory,Number,4
Females,2022,Homicide and related offences,Australia,Number,71
Females,2022,Kidnapping/abduction,New South Wales,Number,63
Females,2022,Kidnapping/abduction,Victoria,Number,45
Females,2022,Kidnapping/abduction,Queensland,Number,12
Females,2022,Kidnapping/abduction,Western Australia,Number,0
Females,2022,Kidnapping/abduction,South Australia,Number,15
Females,2022,Kidnapping/abduction,Tasmania,Number,0
Females,2022,Kidnapping/abduction,Australian Capital Territory,Number,0
Females,2022,Kidnapping/abduction,Northern Territory,Number,0
Females,2022,Kidnapping/abduction,Australia,Number,135
Females,2022,Sexual assault,New South Wales,Number,4022
Females,2022,Sexual assault,Victoria,Number,2485
Females,2022,Sexual assault,Queensland,Number,2331
Females,2022,Sexual assault,Western Australia,Number,760
Females,2022,Sexual assault,South Australia,Number,594
Females,2022,Sexual assault,Tasmania,Number,232
Females,2022,Sexual assault,Australian Capital Territory,Number,101
Females,2022,Sexual assault,Northern Territory,Number,107
Females,2022,Sexual assault,Australia,Number,10633
Females,2023,Assault,New South Wales,Number,23429
Females,2023,Assault,Victoria,Number,n.a.
Females,2023,Assault,Queensland,Number,24380
Females,2023,Assault,Western Australia,Number,20042
Females,2023,Assault,South Australia,Number,7581
Females,2023,Assault,Tasmania,Number,1293
Females,2023,Assault,Australian Capital Territory,Number,717
Females,2023,Assault,Northern Territory,Number,6239
Females,2023,Assault,Australia,Number,n.a.
Females,2023,Homicide and related offences,New South Wales,Number,20
Females,2023,Homicide and related offences,Victoria,Number,21
Females,2023,Homicide and related offences,Queensland,Number,24
Females,2023,Homicide and related offences,Western Australia,Number,15
Females,2023,Homicide and related offences,South Australia,Number,11
Females,2023,Homicide and related offences,Tasmania,Number,3
Females,2023,Homicide and related offences,Australian Capital Territory,Number,3
Females,2023,Homicide and related offences,Northern Territory,Number,3
Females,2023,Homicide and related offences,Australia,Number,94
Females,2023,Kidnapping/abduction,New South Wales,Number,79
Females,2023,Kidnapping/abduction,Victoria,Number,28
Females,2023,Kidnapping/abduction,Queensland,Number,3
Females,2023,Kidnapping/abduction,Western Australia,Number,6
Females,2023,Kidnapping/abduction,South Australia,Number,15
Females,2023,Kidnapping/abduction,Tasmania,Number,0
Females,2023,Kidnapping/abduction,Australian Capital Territory,Number,0
Females,2023,Kidnapping/abduction,Northern Territory,Number,0
Females,2023,Kidnapping/abduction,Australia,Number,134
Females,2023,Sexual assault,New South Wales,Number,5154
Females,2023,Sexual assault,Victoria,Number,2282
Females,2023,Sexual assault,Queensland,Number,3014
Females,2023,Sexual assault,Western Australia,Number,861
Females,2023,Sexual assault,South Australia,Number,667
Females,2023,Sexual assault,Tasmania,Number,214
Females,2023,Sexual assault,Australian Capital Territory,Number,113
Females,2023,Sexual assault,Northern Territory,Number,111
Females,2023,Sexual assault,Australia,Number,12421
Females,2024,Assault,New South Wales,Number,23518
Females,2024,Assault,Victoria,Number,n.a.
Females,2024,Assault,Queensland,Number,25152
Females,2024,Assault,Western Australia,Number,22282
Females,2024,Assault,South Australia,Number,8409
Females,2024,Assault,Tasmania,Number,1455
Females,2024,Assault,Australian Capital Territory,Number,684
Females,2024,Assault,Northern Territory,Number,5997
Females,2024,Assault,Australia,Number,n.a.
Females,2024,Homicide and related offences,New South Wales,Number,26
Females,2024,Homicide and related offences,Victoria,Number,20
Females,2024,Homicide and related offences,Queensland,Number,27
Females,2024,Homicide and related offences,Western Australia,Number,15
Females,2024,Homicide and related offences,South Australia,Number,3
Females,2024,Homicide and related offences,Tasmania,Number,0
Females,2024,Homicide and related offences,Australian Capital Territory,Number,3
Females,2024,Homicide and related offences,Northern Territory,Number,7
Females,2024,Homicide and related offences,Australia,Number,99
Females,2024,Kidnapping/abduction,New South Wales,Number,65
Females,2024,Kidnapping/abduction,Victoria,Number,41
Females,2024,Kidnapping/abduction,Queensland,Number,4
Females,2024,Kidnapping/abduction,Western Australia,Number,5
Females,2024,Kidnapping/abduction,South Australia,Number,18
Females,2024,Kidnapping/abduction,Tasmania,Number,0
Females,2024,Kidnapping/abduction,Australian Capital Territory,Number,0
Females,2024,Kidnapping/abduction,Northern Territory,Number,0
Females,2024,Kidnapping/abduction,Australia,Number,132
Females,2024,Sexual assault,New South Wales,Number,5688
Females,2024,Sexual assault,Victoria,Number,2685
Females,2024,Sexual assault,Queensland,Number,3539
Females,2024,Sexual assault,Western Australia,Number,1020
Females,2024,Sexual assault,South Australia,Number,659
Females,2024,Sexual assault,Tasmania,Number,256
Females,2024,Sexual assault,Australian Capital Territory,Number,143
Females,2024,Sexual assault,Northern Territory,Number,80
Females,2024,Sexual assault,Australia,Number,14066
Males,2014,Assault,New South Wales,Number,9569
Males,2014,Assault,Victoria,Number,n.a.
Males,2014,Assault,Queensland,Number,n.p.
Males,2014,Assault,Western Australia,Number,3860
Males,2014,Assault,South Australia,Number,1587
Males,2014,Assault,Tasmania,Number,228
Males,2014,Assault,Australian Capital Territory,Number,161
Males,2014,Assault,Northern Territory,Number,798
Males,2014,Assault,Australia,Number,n.a.
Males,2014,Homicide and related offences,New South Wales,Number,18
Males,2014,Homicide and related offences,Victoria,Number,15
Males,2014,Homicide and related offences,Queensland,Number,21
Males,2014,Homicide and related offences,Western Australia,Number,9
Males,2014,Homicide and related offences,South Australia,Number,3
Males,2014,Homicide and related offences,Tasmania,Number,0
Males,2014,Homicide and related offences,Australian Capital Territory,Number,0
Males,2014,Homicide and related offences,Northern Territory,Number,0
Males,2014,Homicide and related offences,Australia,Number,63
Males,2014,Kidnapping/abduction,New South Wales,Number,37
Males,2014,Kidnapping/abduction,Victoria,Number,4
Males,2014,Kidnapping/abduction,Queensland,Number,0
Males,2014,Kidnapping/abduction,Western Australia,Number,0
Males,2014,Kidnapping/abduction,South Australia,Number,0
Males,2014,Kidnapping/abduction,Tasmania,Number,0
Males,2014,Kidnapping/abduction,Australian Capital Territory,Number,0
Males,2014,Kidnapping/abduction,Northern Territory,Number,0
Males,2014,Kidnapping/abduction,Australia,Number,40
Males,2014,Sexual assault,New South Wales,Number,591
Males,2014,Sexual assault,Victoria,Number,164
Males,2014,Sexual assault,Queensland,Number,211
Males,2014,Sexual assault,Western Australia,Number,70
Males,2014,Sexual assault,South Australia,Number,74
Males,2014,Sexual assault,Tasmania,Number,11
Males,2014,Sexual assault,Australian Capital Territory,Number,11
Males,2014,Sexual assault,Northern Territory,Number,5
Males,2014,Sexual assault,Australia,Number,1138
Males,2015,Assault,New South Wales,Number,10103
Males,2015,Assault,Victoria,Number,n.a.
Males,2015,Assault,Queensland,Number,n.p.
Males,2015,Assault,Western Australia,Number,4858
Males,2015,Assault,South Australia,Number,1815
Males,2015,Assault,Tasmania,Number,266
Males,2015,Assault,Australian Capital Territory,Number,185
Males,2015,Assault,Northern Territory,Number,727
Males,2015,Assault,Australia,Number,n.a.
Males,2015,Homicide and related offences,New South Wales,Number,16
Males,2015,Homicide and related offences,Victoria,Number,12
Males,2015,Homicide and related offences,Queensland,Number,7
Males,2015,Homicide and related offences,Western Australia,Number,10
Males,2015,Homicide and related offences,South Australia,Number,3
Males,2015,Homicide and related offences,Tasmania,Number,0
Males,2015,Homicide and related offences,Australian Capital Territory,Number,0
Males,2015,Homicide and related offences,Northern Territory,Number,3
Males,2015,Homicide and related offences,Australia,Number,58
Males,2015,Kidnapping/abduction,New South Wales,Number,6
Males,2015,Kidnapping/abduction,Victoria,Number,0
Males,2015,Kidnapping/abduction,Queensland,Number,0
Males,2015,Kidnapping/abduction,Western Australia,Number,8
Males,2015,Kidnapping/abduction,South Australia,Number,0
Males,2015,Kidnapping/abduction,Tasmania,Number,0
Males,2015,Kidnapping/abduction,Australian Capital Territory,Number,0
Males,2015,Kidnapping/abduction,Northern Territory,Number,0
Males,2015,Kidnapping/abduction,Australia,Number,13
Males,2015,Sexual assault,New South Wales,Number,599
Males,2015,Sexual assault,Victoria,Number,217
Males,2015,Sexual assault,Queensland,Number,211
Males,2015,Sexual assault,Western Australia,Number,71
Males,2015,Sexual assault,South Australia,Number,74
Males,2015,Sexual assault,Tasmania,Number,3
Males,2015,Sexual assault,Australian Capital Territory,Number,8
Males,2015,Sexual assault,Northern Territory,Number,4
Males,2015,Sexual assault,Australia,Number,1190
Males,2016,Assault,New South Wales,Number,9487
Males,2016,Assault,Victoria,Number,n.a.
Males,2016,Assault,Queensland,Number,n.p.
Males,2016,Assault,Western Australia,Number,5416
Males,2016,Assault,South Australia,Number,1834
Males,2016,Assault,Tasmania,Number,316
Males,2016,Assault,Australian Capital Territory,Number,293
Males,2016,Assault,Northern Territory,Number,700
Males,2016,Assault,Australia,Number,n.a.
Males,2016,Homicide and related offences,New South Wales,Number,19
Males,2016,Homicide and related offences,Victoria,Number,20
Males,2016,Homicide and related offences,Queensland,Number,10
Males,2016,Homicide and related offences,Western Australia,Number,22
Males,2016,Homicide and related offences,South Australia,Number,11
Males,2016,Homicide and related offences,Tasmania,Number,0
Males,2016,Homicide and related offences,Australian Capital Territory,Number,0
Males,2016,Homicide and related offences,Northern Territory,Number,3
Males,2016,Homicide and related offences,Australia,Number,80
Males,2016,Kidnapping/abduction,New South Wales,Number,11
Males,2016,Kidnapping/abduction,Victoria,Number,0
Males,2016,Kidnapping/abduction,Queensland,Number,0
Males,2016,Kidnapping/abduction,Western Australia,Number,0
Males,2016,Kidnapping/abduction,South Australia,Number,0
Males,2016,Kidnapping/abduction,Tasmania,Number,0
Males,2016,Kidnapping/abduction,Australian Capital Territory,Number,0
Males,2016,Kidnapping/abduction,Northern Territory,Number,0
Males,2016,Kidnapping/abduction,Australia,Number,13
Males,2016,Sexual assault,New South Wales,Number,621
Males,2016,Sexual assault,Victoria,Number,254
Males,2016,Sexual assault,Queensland,Number,204
Males,2016,Sexual assault,Western Australia,Number,75
Males,2016,Sexual assault,South Australia,Number,70
Males,2016,Sexual assault,Tasmania,Number,4
Males,2016,Sexual assault,Australian Capital Territory,Number,9
Males,2016,Sexual assault,Northern Territory,Number,11
Males,2016,Sexual assault,Australia,Number,1243
Males,2017,Assault,New South Wales,Number,9510
Males,2017,Assault,Victoria,Number,n.a.
Males,2017,Assault,Queensland,Number,n.p.
Males,2017,Assault,Western Australia,Number,4767
Males,2017,Assault,South Australia,Number,1717
Males,2017,Assault,Tasmania,Number,357
Males,2017,Assault,Australian Capital Territory,Number,287
Males,2017,Assault,Northern Territory,Number,848
Males,2017,Assault,Australia,Number,n.a.
Males,2017,Homicide and related offences,New South Wales,Number,17
Males,2017,Homicide and related offences,Victoria,Number,17
Males,2017,Homicide and related offences,Queensland,Number,14
Males,2017,Homicide and related offences,Western Australia,Number,6
Males,2017,Homicide and related offences,South Australia,Number,5
Males,2017,Homicide and related offences,Tasmania,Number,0
Males,2017,Homicide and related offences,Australian Capital Territory,Number,0
Males,2017,Homicide and related offences,Northern Territory,Number,4
Males,2017,Homicide and related offences,Australia,Number,59
Males,2017,Kidnapping/abduction,New South Wales,Number,15
Males,2017,Kidnapping/abduction,Victoria,Number,11
Males,2017,Kidnapping/abduction,Queensland,Number,4
Males,2017,Kidnapping/abduction,Western Australia,Number,3
Males,2017,Kidnapping/abduction,South Australia,Number,3
Males,2017,Kidnapping/abduction,Tasmania,Number,0
Males,2017,Kidnapping/abduction,Australian Capital Territory,Number,0
Males,2017,Kidnapping/abduction,Northern Territory,Number,0
Males,2017,Kidnapping/abduction,Australia,Number,33
Males,2017,Sexual assault,New South Wales,Number,574
Males,2017,Sexual assault,Victoria,Number,241
Males,2017,Sexual assault,Queensland,Number,205
Males,2017,Sexual assault,Western Australia,Number,92
Males,2017,Sexual assault,South Australia,Number,71
Males,2017,Sexual assault,Tasmania,Number,16
Males,2017,Sexual assault,Australian Capital Territory,Number,10
Males,2017,Sexual assault,Northern Territory,Number,8
Males,2017,Sexual assault,Australia,Number,1212
Males,2018,Assault,New South Wales,Number,10087
Males,2018,Assault,Victoria,Number,n.a.
Males,2018,Assault,Queensland,Number,n.p.
Males,2018,Assault,Western Australia,Number,4788
Males,2018,Assault,South Australia,Number,1829
Males,2018,Assault,Tasmania,Number,403
Males,2018,Assault,Australian Capital Territory,Number,261
Males,2018,Assault,Northern Territory,Number,814
Males,2018,Assault,Australia,Number,n.a.
Males,2018,Homicide and related offences,New South Wales,Number,20
Males,2018,Homicide and related offences,Victoria,Number,9
Males,2018,Homicide and related offences,Queensland,Number,11
Males,2018,Homicide and related offences,Western Australia,Number,18
Males,2018,Homicide and related offences,South Australia,Number,4
Males,2018,Homicide and related offences,Tasmania,Number,0
