sex,year,primary_type_of_abuse_or_neglect,state_or_territory,unit,value
Boys,2023–24,Sexual,ACT,Proportion,n.a.
Boys,2023–24,Emotional,ACT,Proportion,19.7
Boys,2023–24,Neglect,ACT,Proportion,28.5
Boys,2023–24,Not stated,ACT,Proportion,38.7
Boys,2023–24,Total,ACT,Proportion,100
Boys,2023–24,Physical,NT,Proportion,11.8
Boys,2023–24,Sexual,NT,Proportion,2
Boys,2023–24,Emotional,NT,Proportion,66.1
Boys,2023–24,Neglect,NT,Proportion,20.1
Boys,2023–24,Not stated,NT,Proportion,0
Boys,2023–24,Total,NT,Proportion,100
