sex,year,age_at_report,unit,value
Females,2023,0–9 years,Proportion of total victims,59
Females,2023,10–17 years,Proportion of total victims,37.5
Females,2023,Under 18 years,Proportion of total victims,40
Females,2023,18–24 years,Proportion of total victims,32.8
Females,2023,25–34 years,Proportion of total victims,43.6
Females,2023,35–44 years,Proportion of total victims,50.2
Females,2023,45–54 years,Proportion of total victims,46.9
Females,2023,55–64 years,Proportion of total victims,42.9
Females,2023,65 years and over,Proportion of total victims,18.7
Females,2023,18 years and over,Proportion of total victims,41.2
Females,2024,0–9 years,Proportion of total victims,62.4
Females,2024,10–17 years,Proportion of total victims,40.2
Females,2024,Under 18 years,Proportion of total victims,43.1
Females,2024,18–24 years,Proportion of total victims,36.1
Females,2024,25–34 years,Proportion of total victims,46.7
Females,2024,35–44 years,Proportion of total victims,50.3
Females,2024,45–54 years,Proportion of total victims,48
Females,2024,55–64 years,Proportion of total victims,43.1
Females,2024,65 years and over,Proportion of total victims,22.6
Females,2024,18 years and over,Proportion of total victims,43.7
Males,2014,0–9 years,Proportion of total victims,48.2
Males,2014,10–17 years,Proportion of total victims,29.7
Males,2014,Under 18 years,Proportion of total victims,38.5
Males,2014,18–24 years,Proportion of total victims,21
Males,2014,25–34 years,Proportion of total victims,24.5
Males,2014,35–44 years,Proportion of total victims,24
Males,2014,45–54 years,Proportion of total victims,16.9
Males,2014,55–64 years,Proportion of total victims,11.8
Males,2014,65 years and over,Proportion of total victims,0
Males,2014,18 years and over,Proportion of total victims,21.3
Males,2015,0–9 years,Proportion of total victims,49
Males,2015,10–17 years,Proportion of total victims,28.1
Males,2015,Under 18 years,Proportion of total victims,37.4
Males,2015,18–24 years,Proportion of total victims,25.4
Males,2015,25–34 years,Proportion of total victims,27.2
Males,2015,35–44 years,Proportion of total victims,22.4
Males,2015,45–54 years,Proportion of total victims,13.8
Males,2015,55–64 years,Proportion of total victims,10.1
Males,2015,65 years and over,Proportion of total victims,11.6
Males,2015,18 years and over,Proportion of total victims,21
Males,2016,0–9 years,Proportion of total victims,49.8
Males,2016,10–17 years,Proportion of total victims,29.7
Males,2016,Under 18 years,Proportion of total victims,38.7
Males,2016,18–24 years,Proportion of total victims,19.4
Males,2016,25–34 years,Proportion of total victims,23.8
Males,2016,35–44 years,Proportion of total victims,21.1
Males,2016,45–54 years,Proportion of total victims,15.4
Males,2016,55–64 years,Proportion of total victims,13.3
Males,2016,65 years and over,Proportion of total victims,8.2
Males,2016,18 years and over,Proportion of total victims,18.7
Males,2017,0–9 years,Proportion of total victims,49.5
Males,2017,10–17 years,Proportion of total victims,26.3
Males,2017,Under 18 years,Proportion of total victims,35.8
Males,2017,18–24 years,Proportion of total victims,18.3
Males,2017,25–34 years,Proportion of total victims,21.8
Males,2017,35–44 years,Proportion of total victims,20.8
Males,2017,45–54 years,Proportion of total victims,13.4
Males,2017,55–64 years,Proportion of total victims,7.6
Males,2017,65 years and over,Proportion of total victims,7.5
Males,2017,18 years and over,Proportion of total victims,16.8
Males,2018,0–9 years,Proportion of total victims,49.3
Males,2018,10–17 years,Proportion of total victims,26.1
Males,2018,Under 18 years,Proportion of total victims,35.2
Males,2018,18–24 years,Proportion of total victims,22.4
Males,2018,25–34 years,Proportion of total victims,23.3
Males,2018,35–44 years,Proportion of total victims,22.5
Males,2018,45–54 years,Proportion of total victims,17.3
Males,2018,55–64 years,Proportion of total victims,9.8
Males,2018,65 years and over,Proportion of total victims,7.3
Males,2018,18 years and over,Proportion of total victims,19.7
Males,2019,0–9 years,Proportion of total victims,49.2
Males,2019,10–17 years,Proportion of total victims,26.1
Males,2019,Under 18 years,Proportion of total victims,34.8
Males,2019,18–24 years,Proportion of total victims,19.5
Males,2019,25–34 years,Proportion of total victims,22.2
Males,2019,35–44 years,Proportion of total victims,27
Males,2019,45–54 years,Proportion of total victims,19.7
Males,2019,55–64 years,Proportion of total victims,11.2
Males,2019,65 years and over,Proportion of total victims,12.9
Males,2019,18 years and over,Proportion of total victims,20.1
Males,2020,0–9 years,Proportion of total victims,54.1
Males,2020,10–17 years,Proportion of total victims,33.3
Males,2020,Under 18 years,Proportion of total victims,40.9
Males,2020,18–24 years,Proportion of total victims,24.8
Males,2020,25–34 years,Proportion of total victims,21.8
Males,2020,35–44 years,Proportion of total victims,30.2
Males,2020,45–54 years,Proportion of total victims,23.6
Males,2020,55–64 years,Proportion of total victims,15.2
Males,2020,65 years and over,Proportion of total victims,14.3
Males,2020,18 years and over,Proportion of total victims,23.3
Males,2021,0–9 years,Proportion of total victims,56.1
Males,2021,10–17 years,Proportion of total victims,26.7
Males,2021,Under 18 years,Proportion of total victims,36.5
Males,2021,18–24 years,Proportion of total victims,23.5
Males,2021,25–34 years,Proportion of total victims,21.4
Males,2021,35–44 years,Proportion of total victims,26.8
Males,2021,45–54 years,Proportion of total victims,19.2
Males,2021,55–64 years,Proportion of total victims,14.3
Males,2021,65 years and over,Proportion of total victims,13.4
Males,2021,18 years and over,Proportion of total victims,21.4
Males,2022,0–9 years,Proportion of total victims,54.2
Males,2022,10–17 years,Proportion of total victims,25.5
Males,2022,Under 18 years,Proportion of total victims,34.2
Males,2022,18–24 years,Proportion of total victims,17
Males,2022,25–34 years,Proportion of total victims,19.4
Males,2022,35–44 years,Proportion of total victims,15.9
Males,2022,45–54 years,Proportion of total victims,16.2
Males,2022,55–64 years,Proportion of total victims,12
Males,2022,65 years and over,Proportion of total victims,11.2
Males,2022,18 years and over,Proportion of total victims,16.6
Males,2023,0–9 years,Proportion of total victims,57
Males,2023,10–17 years,Proportion of total victims,27.9
Males,2023,Under 18 years,Proportion of total victims,36.8
Males,2023,18–24 years,Proportion of total victims,21.3
